,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.7100000381469709,5.130001068115234,-1.129999160766598,-0.6499996185302699,-3.3200016021728516,0.8800010681152344,0.7900009155273473,0.3000011444091797,1.4699993133544922,6.0,6.0,02-16,0.34833359718322826
01-03,0.0,0.0,0.0,0.7100000381469709,5.130001068115234,-1.129999160766598,-0.6499996185302699,-3.3200016021728516,0.8800010681152344,0.7900009155273473,0.3000011444091797,1.319999694824217,6.0,6.0,02-17,0.335833628972372
01-04,0.0,0.0,0.0,0.7100000381469709,5.130001068115234,-1.129999160766598,-0.20000076293944957,-3.3200016021728516,0.8800010681152344,0.43000030517578125,-0.5599994659423828,1.319999694824217,5.0,7.0,02-18,0.271666765213013
01-05,0.0,0.0,0.0,0.7100000381469709,5.130001068115234,-1.129999160766598,-0.20000076293944957,-3.3200016021728516,0.8800010681152344,0.43000030517578125,-0.6499996185302734,1.319999694824217,5.0,7.0,02-19,0.26416675249735544
01-06,0.0,0.0,0.0,0.7100000381469709,5.130001068115234,-0.7299995422363281,-0.20000076293944957,-3.3200016021728516,0.8800010681152344,1.2999992370605433,-0.6499996185302734,1.319999694824217,5.0,7.0,02-20,0.36999996503194144
01-07,0.0,0.0,0.0,0.7100000381469709,9.04000091552734,-0.4799995422363281,-0.20000076293944957,-2.8500003814697266,1.4500007629394531,1.2999992370605433,-0.6499996185302734,1.3899993896484375,5.0,7.0,02-21,0.8091666698455806
01-08,0.0,0.0,0.0,0.7100000381469709,9.04000091552734,-0.4500007629394496,1.3499984741211009,-2.8500003814697266,1.4500007629394531,0.6499996185302699,-0.6499996185302734,1.3899993896484375,6.0,6.0,02-22,0.8866665363311769
01-09,0.0,0.0,0.0,0.7100000381469709,7.4700012207031214,-0.4500007629394496,1.3499984741211009,-2.8500003814697266,1.4799995422363281,0.6499996185302699,-0.6499996185302734,1.3899993896484375,6.0,6.0,02-23,0.7583331267038983
01-10,0.0,0.0,0.0,0.6599998474121094,7.4700012207031214,-0.4500007629394496,1.3499984741211009,-2.8500003814697266,1.6499996185302699,0.6499996185302699,-0.6499996185302734,1.5200004577636719,6.0,6.0,02-24,0.7791665395100912
01-11,0.0,0.0,3.249999046325682,0.48999977111816406,6.95000076293945,-0.4500007629394496,2.099998474121101,-2.8500003814697266,1.6499996185302699,0.6499996185302699,-0.6499996185302734,2.229999542236328,7.0,5.0,02-25,1.1141663392384846
01-12,0.0,0.0,3.249999046325682,0.48999977111816406,6.95000076293945,-0.2700004577636683,2.099998474121101,-1.3299999237060547,1.6499996185302699,-0.14999961853027344,-4.340000152587891,2.229999542236328,6.0,6.0,02-26,0.8816664218902589
01-13,0.0,0.0,3.249999046325682,2.7099990844726527,6.95000076293945,-0.2700004577636683,2.099998474121101,-1.3299999237060547,1.6499996185302699,0.8199996948242188,-4.340000152587891,2.229999542236328,7.0,5.0,02-27,1.147499640782674
01-14,0.0,0.0,3.249999046325682,2.7099990844726527,6.95000076293945,-0.2700004577636683,2.099998474121101,-1.3299999237060547,1.1999988555908203,0.8199996948242188,-4.25,2.5099992752075178,7.0,5.0,02-28,1.1408329010009766
01-15,0.0,0.0,3.249999046325682,2.719999313354492,6.95000076293945,-0.2700004577636683,2.099998474121101,-0.8899993896484375,1.1999988555908203,0.8199996948242188,-4.899999618530273,2.5099992752075178,7.0,5.0,02-29,1.124166329701742
01-16,0.0,0.0,4.8000001907348615,2.719999313354492,6.95000076293945,-0.2700004577636683,2.6899986267089915,0.06999969482421875,1.1999988555908203,0.8199996948242188,-4.899999618530273,2.5099992752075178,8.0,4.0,03-01,1.3824996948242194
01-17,0.0,0.0,4.8000001907348615,2.719999313354492,6.95000076293945,-0.2700004577636683,2.2599983215332067,0.06999969482421875,1.1999988555908203,0.8199996948242188,-4.899999618530273,1.049999237060545,8.0,4.0,03-02,1.224999666213989
01-18,0.0,0.0,4.8000001907348615,2.719999313354492,6.95000076293945,-0.2700004577636683,3.1199989318847656,0.06999969482421875,1.1999988555908203,0.8199996948242188,-4.899999618530273,1.049999237060545,8.0,4.0,03-03,1.296666383743286
01-19,0.0,0.0,4.8000001907348615,2.719999313354492,6.95000076293945,-0.2700004577636683,3.1199989318847656,0.06999969482421875,1.1999988555908203,0.8199996948242188,-4.25,1.049999237060545,8.0,4.0,03-04,1.3508330186208088
01-20,0.0,0.0,4.8000001907348615,2.229999542236328,6.95000076293945,-0.2700004577636683,3.1199989318847656,0.5699996948242188,1.3999996185302699,0.8199996948242188,-4.200000762939453,1.049999237060545,8.0,4.0,03-05,1.3724997043609612
01-21,0.0,0.0,4.8000001907348615,2.229999542236328,6.95000076293945,-0.2700004577636683,3.1199989318847656,0.5699996948242188,0.75,0.8199996948242188,-4.200000762939453,1.3599996566772443,8.0,4.0,03-06,1.3441664377848308
01-22,0.0,0.0,4.480000495910643,2.229999542236328,3.9500007629394496,-0.2700004577636683,3.1199989318847656,-0.11000061035156605,0.75,0.8199996948242188,-4.299999237060547,1.3599996566772443,7.0,5.0,03-07,1.002499898274739
01-23,0.0,0.0,4.480000495910643,2.229999542236328,4.990001678466793,-0.2700004577636683,3.1199989318847656,-0.11000061035156605,0.75,0.8199996948242188,-4.299999237060547,1.5,7.0,5.0,03-08,1.1008333365122471
01-24,0.0,0.0,4.480000495910643,2.229999542236328,4.990001678466793,-0.6199989318847692,2.839998245239258,-0.11000061035156605,0.4500007629394496,0.8199996948242188,-4.299999237060547,1.7200002670288068,7.0,5.0,03-09,1.0416668256123847
01-25,0.0,0.0,4.480000495910643,2.229999542236328,5.210000991821289,-0.6199989318847692,2.839998245239258,-0.11000061035156605,0.059999465942386365,-0.059999465942386365,-4.299999237060547,2.4200000762939453,6.0,6.0,03-10,1.0125000476837152
01-26,0.0,0.0,4.480000495910643,2.229999542236328,5.210000991821289,-0.6199989318847692,2.839998245239258,-0.5,0.059999465942386365,-0.059999465942386365,-4.299999237060547,2.4200000762939453,6.0,6.0,03-11,0.9800000985463456
01-27,0.0,0.0,4.480000495910643,2.229999542236328,5.210000991821289,-0.6199989318847692,2.839998245239258,-0.5,0.059999465942386365,-0.059999465942386365,-4.299999237060547,0.2700004577636719,6.0,6.0,03-12,0.8008334636688228
01-28,0.0,0.0,4.480000495910643,2.229999542236328,5.210000991821289,-0.6199989318847692,2.839998245239258,-0.5,-0.5500011444091726,-0.059999465942386365,-4.299999237060547,-0.6999998092651385,4.0,8.0,03-13,0.6691667238871254
01-29,0.0,0.0,4.480000495910643,2.229999542236328,5.210000991821289,0.8800010681152308,2.839998245239258,-0.5,-0.5500011444091726,-0.059999465942386365,-4.19999885559082,-0.6999998092651385,5.0,7.0,03-14,0.8025000890096026
01-30,0.0,0.0,4.480000495910643,2.229999542236328,5.210000991821289,0.7299995422363317,2.839998245239258,-0.5,-0.5500011444091726,-0.20000076293944957,-4.19999885559082,-0.6999998092651385,5.0,7.0,03-15,0.7783331871032724
01-31,0.0,0.0,3.419999122619627,2.229999542236328,5.210000991821289,0.8299999237060511,2.839998245239258,1.260000228881836,-0.3900012969970632,-0.20000076293944957,-4.19999885559082,-2.2200002670288104,6.0,6.0,03-16,0.7316664059956871
02-01,0.0,0.0,3.419999122619627,2.229999542236328,5.210000991821289,0.8299999237060511,2.839998245239258,1.260000228881836,-0.3900012969970632,-0.20000076293944957,-4.219999313354492,-1.800000190734865,6.0,6.0,03-17,0.7649997075398766
02-02,0.0,0.0,3.419999122619627,2.229999542236328,5.210000991821289,0.8299999237060511,2.839998245239258,1.260000228881836,-0.3900012969970632,-0.20000076293944957,-4.219999313354492,-1.800000190734865,6.0,6.0,03-18,0.7649997075398766
02-03,0.0,0.0,3.419999122619627,2.229999542236328,5.210000991821289,0.8299999237060511,2.2599983215332067,1.260000228881836,-0.3900012969970632,-0.20000076293944957,-4.219999313354492,-2.0100002288818377,6.0,6.0,03-19,0.699166377385458
02-04,0.0,0.0,3.419999122619627,2.229999542236328,5.210000991821289,2.3500003814697195,2.2599983215332067,1.289999008178711,-1.0600013732910085,0.0,-4.219999313354492,-2.0100002288818377,6.0,6.0,03-20,0.7891663710276284
02-05,0.0,0.0,3.419999122619627,2.229999542236328,0.48999977111816406,2.3500003814697195,2.2599983215332067,1.1599998474121094,-1.0600013732910085,-0.15000152587889914,-4.219999313354492,-2.0100002288818377,6.0,6.0,03-21,0.3724995454152431
02-06,0.0,0.0,3.419999122619627,2.229999542236328,0.48999977111816406,2.3500003814697195,2.2599983215332067,2.729999542236328,-1.0600013732910085,0.2199993133544993,-4.219999313354492,-2.0100002288818377,7.0,5.0,03-22,0.5341662565867112
02-07,0.0,0.0,3.419999122619627,2.229999542236328,0.48999977111816406,2.3500003814697195,1.399999618530277,2.729999542236328,-1.0600013732910085,0.10999870300293679,-4.219999313354492,-3.3999996185302734,7.0,5.0,03-23,0.3374996980031339
02-08,0.0,0.0,3.419999122619627,2.229999542236328,-1.6499996185302699,0.04999923706054332,1.399999618530277,2.729999542236328,-1.0600013732910085,0.10999870300293679,-4.219999313354492,-3.3999996185302734,6.0,6.0,03-24,-0.032500346501666964
02-09,0.0,0.0,3.419999122619627,2.229999542236328,-0.8800010681152415,0.04999923706054332,1.399999618530277,2.729999542236328,-1.0600013732910085,-0.5999984741211009,-4.219999313354492,-3.3999996185302734,5.0,7.0,03-25,-0.027500232060751067
