,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.9549999237060547,-12.395000457763675,-4.090000152587891,1.4750022888183523,-2.819999694824226,-5.69000244140625,-2.1399993896484446,-0.20000076293945312,-1.6300010681152415,-3.849998474121101,7.350000381469727,-4.979999542236328,2.0,10.0,02-16,-2.493749936421716
01-03,-0.7049999237060565,-10.225000381469727,-4.215000152587891,1.7100028991699148,-2.779998779296875,-6.029998779296875,3.05999755859375,-0.14000320434570312,-1.4799995422363352,-3.8899993896484375,7.440000534057617,-3.8999977111816406,3.0,9.0,02-17,-1.762916405995688
01-04,-1.1149997711181658,-10.325000762939453,-4.020000457763675,1.749999999999993,-3.1999969482421875,-4.6699981689453125,2.200000762939453,-0.24000167846679688,-2.4499969482421804,-3.720001220703118,6.389999389648441,-3.3800010681152273,3.0,9.0,02-18,-1.8983330726623526
01-05,-1.4699993133544922,-10.400001525878906,-3.7999992370605504,2.170001983642578,-2.6599998474121094,-4.0900001525878835,4.099998474121094,0.23999786376953125,-1.1799964904785156,-3.6500015258789062,6.10000038146973,-3.9900016784667827,4.0,8.0,02-19,-1.552500089009601
01-06,-1.3999996185302752,-11.90999984741211,-4.4349975585937464,1.190002441406243,-2.279998779296868,-3.6199989318847656,5.529998779296875,0.1399993896484375,-0.9399986267089844,-4.560001373291016,6.5599994659423935,-4.460002899169922,4.0,8.0,02-20,-1.6820831298828116
01-07,-1.0550003051757812,-12.604999542236328,-4.069999694824222,0.13500213623046164,-2.1899986267089844,-4.08000183105468,6.229999542236321,1.4599990844726562,-2.079998016357422,-4.240001678466797,7.109998703002933,-3.959999084472649,4.0,8.0,02-21,-1.6120832761128743
01-08,-1.2799997329711914,-13.405000686645511,-3.1350002288818324,-0.09999847412110796,-3.19000244140625,-2.3800010681152273,5.569999694824212,-2.799999237060554,-3.1500015258789062,-5.350002288818359,7.139999389648441,-3.9699974060058523,2.0,10.0,02-22,-2.170833667119345
01-09,-0.8550004959106463,-14.130001068115234,-3.25,-0.029998779296882105,-3.920001983642578,-2.1300010681152273,6.009998321533203,-7.3199996948242045,-3.5,-4.260002136230476,6.8600006103515625,-3.1199989318847585,2.0,10.0,02-23,-2.4704171021779366
01-10,-1.0900001525878906,-14.510002136230465,-5.045000076293945,-0.3750000000000071,-3.3800010681152344,-0.5,5.8300018310546875,-6.889999389648423,-3.470001220703125,-5.3500022888183665,6.020000457763672,-3.979999542236328,2.0,10.0,02-24,-2.7283336321512857
01-11,-1.625,-15.285001754760742,-5.744998931884773,0.9850006103515554,-3.4099998474121165,-0.13000106811523438,6.299999237060547,-8.589998245239247,-3.25,-6.400001525878906,5.769998550415032,-3.6499977111816406,3.0,9.0,02-25,-2.9191667238871273
01-12,-1.375,-15.59000205993652,-5.435001373291016,1.1450004577636648,-3.6699981689453125,-0.15000152587889914,5.959999084472656,-9.299999237060547,-2.6700019836425852,-7.149997711181641,10.81999778747559,-2.3699989318847656,3.0,9.0,02-26,-2.4820836385091143
01-13,-2.1999998092651376,-16.105001449584957,-5.474998474121087,1.7900009155273438,-4.229999542236328,0.06999969482421875,5.720001220703125,-8.889999389648438,-3.5,-6.619998931884766,10.030000686645518,-2.55999755859375,4.0,8.0,02-27,-2.6641660531361877
