,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.1499998569488521,0.25,-0.1200000047683718,0.19999980926513494,-0.25999999046325684,-0.35999995470046997,0.6100000143051147,-0.19999992847442627,0.5800000429153442,-0.3100000023841858,5.0,5.0,02-16,0.04909089478579412
01-03,0.0,0.39999985694885165,0.25,-0.10000002384185813,0.1099996566772452,-0.16999995708465576,-0.3999999761581421,0.5600000619888306,-0.24000000953674316,0.5200000405311584,-0.3200000524520873,5.0,5.0,02-17,0.05545450882478176
01-04,0.0,0.4500000476837154,0.36000001430511497,-0.050000071525574175,-0.08999967575073242,-0.18000000715255737,-0.3999999761581421,0.5700000524520872,-0.21000003814697266,0.4500000476837158,-0.40000003576278687,4.0,6.0,02-18,0.0454545779661698
01-05,0.0,0.49999999999999956,0.38999998569488525,-0.08999991416931175,0.40000009536743164,-0.18000000715255737,-0.3999999761581421,0.5500000715255737,-0.18999993801116943,0.5200000405311584,-0.42000001668930054,5.0,5.0,02-19,0.0981818491762334
01-06,0.0,0.24999999999999956,0.3999999761581421,0.16000008583068803,0.38000011444091797,-0.14000004529953003,-0.4099999666213987,0.5700000524520872,-0.10000002384185791,0.42000001668930054,-0.40000003576278687,6.0,4.0,02-20,0.10272728854959653
01-07,0.0,0.09999990463256747,0.4500000476837158,0.16000008583068803,0.010000228881835938,-0.09000003337860107,-0.3299999833106996,0.4299999475479126,-0.12999999523162842,0.47999995946884133,-0.41999995708465576,6.0,4.0,02-21,0.06000001863999784
01-08,0.0,-0.20000004768371538,0.550000071525574,-0.04999995231628418,0.1100001335144043,-0.0700000524520874,-0.26999998092651367,0.5199999809265137,-0.15999996662139915,0.47999995946884144,-0.3299999833106996,4.0,6.0,02-22,0.05272728746587582
01-09,0.0,-0.20000004768371538,0.6500000953674316,-0.03999996185302779,0.010000228881835938,-0.06000000238418579,-0.3500000238418579,0.4799998998641968,-0.04999995231628396,0.4299999475479126,-0.3400000333786012,4.0,6.0,02-23,0.048181831836700446
01-10,0.0,-0.20000004768371538,0.5200000405311584,0.0,0.019999980926511896,-0.04000002145767212,-0.3100000023841858,0.2999999523162844,-0.01999998092651345,0.3399999737739563,-0.30000001192092884,4.0,6.0,02-24,0.028181807561354133
01-11,0.0,-0.14000010490417525,0.5200000405311584,-0.04999995231628418,-0.1399998664855966,-0.050000011920928955,-0.3199999928474426,0.33000004291534424,-0.04999995231628396,0.33999991416931175,-0.25,3.0,7.0,02-25,0.01727273789319117
01-12,0.0,-0.14000010490417525,0.5500000715255737,-0.04999995231628418,-0.19000005722045987,-0.060000002384185736,-0.20000004768371582,0.36000001430511475,-0.03999996185302712,0.5900000333786009,-0.30000001192092896,3.0,7.0,02-26,0.04727272553877385
01-13,0.0,-0.09000015258789107,0.5,-0.04999995231628418,-0.17999982833862394,-0.06000003218650812,-0.19000005722045898,0.24000000953674339,-0.019999980926513672,0.7699999809265137,-0.19999998807907104,3.0,7.0,02-27,0.06545454534617327
01-14,0.0,0.049999952316283736,0.6799999475479126,0.0,-0.21000003814697177,-0.09000000357627863,-0.17000001668930054,-0.04999995231628418,-0.039999961853027344,0.7200000286102295,0.04000002145767212,4.0,6.0,02-28,0.08454545248638504
