,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.7335538864135751,-1.223761558532713,3.0696964263916016,-2.627664566040032,6.587944030761719,-3.6673736572265625,-0.4002151489257777,-2.1700000762939453,4.079998970031733,-0.1100006103515625,1.6800003051757777,-0.850000381469723,4.0,8.0,02-16,0.30292248725891163
01-03,-0.9611239433288574,-1.250758171081543,3.134021759033203,-2.952346801757809,6.493820190429691,-4.584360122680664,0.2971439361572301,-1.8299999237060547,4.039999961853026,-0.12000083923340199,1.840000152587887,-0.8800001144409162,5.0,7.0,02-17,0.2688663403193159
01-04,-1.0835108757019043,-0.8368330001831037,5.289838790893562,-2.7765693664550817,5.872592926025391,-2.7476959228515625,0.6862831115722727,-1.680000305175783,3.9200000762939453,-1.1000003814697301,0.7900009155273402,-0.8900003433227521,5.0,7.0,02-18,0.4536754687627161
01-05,-1.6517391204833984,-0.6843757629394513,6.179103851318359,-3.0448608398437464,6.682001113891598,-3.6493053436279297,0.19985580444336293,-1.3600006103515625,3.810000419616699,-1.75,0.5099983215331996,-1.2799997329711914,5.0,7.0,02-19,0.3300565083821616
01-06,-1.3218765258789062,-0.5593070983886719,6.105768203735352,-2.9616012573242223,7.16386604309082,-3.5150222778320312,0.7030925750732457,-0.9800004959106445,3.690000534057617,-1.9699993133544922,1.0499992370605469,-1.6700000762939453,5.0,7.0,02-20,0.47790996233622235
01-07,-0.9845776557922363,-0.6039752960205078,5.4456901550293,-3.7738571166992188,7.494556427001953,-4.315633773803711,0.3835296630859375,-0.5800008773803711,3.4700002670288104,-2.0200004577636754,1.0699996948242188,-1.4200000762939453,5.0,7.0,02-21,0.34714424610137956
01-08,-0.90673828125,-0.009890556335449219,7.419303894042969,-3.6903743743896484,6.63304328918457,-3.5705852508544886,0.2576446533203125,-0.49000072479248047,3.550000190734865,-2.4599990844726527,0.6399993896484375,-1.5699996948242188,5.0,7.0,02-22,0.4835336208343513
01-09,-1.3761930465698242,0.23215770721435547,7.584720611572269,-3.3749675750732457,6.990716934204098,-4.095939636230469,-0.33574867248535867,-0.029999732971191406,3.4700002670288104,-1.7700004577636648,0.5599994659423864,-1.5499992370605469,5.0,7.0,02-23,0.5253955523173016
01-10,-1.3780598640441903,0.29514598846435547,6.39005279541016,-4.772310256958008,7.094255447387695,-4.037441253662109,-0.42532539367676137,0.11999988555908203,2.4799995422363246,-1.4200000762939418,0.23999977111816406,-1.25,6.0,6.0,02-24,0.27802638212839753
01-11,-1.858868122100831,0.13317584991455078,2.0771961212158203,-4.735296249389648,5.989656448364254,-3.7888526916503906,0.1000137329101527,-0.09000015258789062,2.1700000762939418,-2.4300003051757777,0.5200004577636719,-0.7299995422363299,6.0,6.0,02-25,-0.22024786472320637
01-12,-1.3868026733398446,0.44591617584228693,1.9855175018310582,-5.059091567993171,5.971048355102539,-3.1941738128662145,0.4988822937011719,-0.11999988555908203,1.9099998474121023,-2.110000610351559,0.11999893188476207,-1.3400001525878924,6.0,6.0,02-26,-0.18989213307698694
01-13,-1.7533106803894043,0.6513881683349609,2.1138668060302805,-4.317096710205078,5.536420822143551,-3.088665008544922,1.1588058471679723,0.010000228881835938,1.1800003051757812,-0.9500007629394531,0.43000030517578125,-1.8299999237060565,7.0,5.0,02-27,-0.07154921690622922
01-14,-1.3814177513122559,0.44591617584228693,2.6370315551757812,-5.6521759033203125,5.130146026611325,-3.774063110351559,1.3621673583984375,-0.35999965667724787,2.4200000762939453,-1.0200004577636683,0.049999237060546875,-2.0399999618530256,6.0,6.0,02-28,-0.1818663676579789
01-15,-1.5197954177856445,0.5430831909179705,3.914115905761715,-6.116008758544922,5.142383575439457,-3.5543670654296875,2.0012874603271484,-0.2600002288818377,2.789999008178711,-1.5200004577636683,-0.12000083923339488,-1.9499998092651367,5.0,7.0,02-29,-0.054108619689940816
01-16,-1.4850158691406241,0.7677192687988299,3.2616519927978516,-6.338649749755859,5.396524429321293,-3.3442230224609375,1.6134014129638636,-0.2800006866455096,0.6899986267089844,-3.200000762939453,-0.010000228881832385,-2.219999313354492,5.0,7.0,03-01,-0.42904949188232383
01-17,-0.9493579864501944,1.4875898361206055,2.140501022338867,-6.737550735473633,5.547126770019535,-2.6064624786376953,1.4576129913330078,-0.32000064849853693,1.769998550415039,-3.039999008178711,-0.3400001525878906,-2.5100002288818377,5.0,7.0,03-02,-0.34171183904012037
01-18,-1.0717430114746094,1.61356735229492,2.011850357055664,-7.699697494506836,5.055416107177734,-2.5189075469970703,1.6229991912841761,-0.11999988555908203,1.5499992370605469,-2.809999465942383,-0.13999938964844105,-2.3999996185302717,5.0,7.0,03-03,-0.4088761806488043
01-19,-0.9668393135070792,1.6855525970458967,2.3693943023681605,-7.745954513549805,4.060811996459957,-2.902572631835941,1.5548973083496094,-0.010000228881835938,1.25,-4.0,0.1399993896484375,-1.810000419616701,6.0,6.0,03-04,-0.5312259594599417
01-20,-0.6521306037902832,1.8195600509643537,2.946952819824215,-7.516618728637699,3.805704116821289,-1.9434165954589915,1.1462993621826172,-0.4700002670288068,0.649999618530277,-3.5100002288818395,0.24999999999999645,-2.4300003051757812,6.0,6.0,03-05,-0.49197089672088773
01-21,-0.8769979476928711,2.266230583190916,4.087688446044922,-1.6167755126953125,3.994670867919922,-2.5860500335693395,1.4368057250976598,-1.109999656677246,0.07999992370605113,-3.590000152587887,-0.470001220703125,-1.5600004196166992,5.0,7.0,03-06,0.004630883534749201
01-22,-1.03267240524292,2.035977363586426,2.7387619018554723,-2.776361465454105,3.805704116821289,-2.519184112548828,0.6040096282958984,-1.5200004577636719,-0.3400001525878906,-3.8500003814697266,-1.4800014495849645,-1.3100004196166992,4.0,8.0,03-07,-0.4703139861424767
01-23,-1.7455015182495126,2.278736114501955,1.4705810546875036,-3.871017456054684,2.3655872344970703,-2.089351654052738,1.0993595123291016,-1.2200002670288068,-0.8199996948242188,-2.610000610351559,-1.3100013732910156,-1.1100006103515625,4.0,8.0,03-08,-0.6301341056823723
01-24,-1.4759001731872559,2.377718925476074,2.48144721984864,-3.619657516479492,2.412643432617184,-0.6749591827392614,0.7008476257324219,-0.6700000762939435,-0.7000007629394496,-3.0,-1.2800006866455114,-1.5000000000000018,4.0,8.0,03-09,-0.4123217662175496
