,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,18.59999847412108,-5.080001831054673,3.720001220703125,0.0,18.0,-14.240005493164091,-3.9199981689453125,-35.959999084472656,18.640007019042983,3.1199951171875284,14.040000915527344,-6.0,6.0,6.0,02-16,0.9099998474121106
01-03,15.879997253417969,-4.080001831054673,5.0399932861328125,0.2400054931640625,15.720001220703125,-18.67999267578125,4.1599884033203125,-29.519996643066406,22.040000915527358,0.5599975585937642,12.0,-7.040000915527344,8.0,4.0,02-17,1.359999338785811
01-04,16.43999481201172,-4.239997863769531,3.9600067138671875,-2.239990234375,16.400009155273438,-20.31999206542966,5.0,-25.400001525878906,21.15999603271483,-0.3600006103515483,7.599998474121094,-8.080001831054688,6.0,6.0,02-18,0.8266684214274113
01-05,12.639999389648438,-7.5199966430664205,2.0,-10.0,20.240005493164034,-20.360000610351534,3.8799896240234375,-18.87999725341797,21.55999755859375,0.07999420166017046,7.600006103515611,-8.48000335693358,7.0,5.0,02-19,0.22999954223632812
01-06,8.319999694824219,-7.080001831054702,6.32000732421875,-9.519989013671875,21.759994506835938,-18.99999999999997,3.32000732421875,-13.879997253417969,19.399993896484375,0.959999084472642,7.7600021362304545,-8.920005798339858,7.0,5.0,02-20,0.7866675059000627
01-07,9.760002136230469,-7.120002746582017,10.32000732421875,-7.32000732421875,19.479995727539062,-21.520004272460938,7.279998779296875,-7.559997558593764,19.960006713867188,-1.5200042724609517,9.880004882812472,-9.83999633789061,6.0,6.0,02-21,1.8166669209798154
01-08,8.959999084472656,-10.20000457763669,8.879989624023438,-8.839996337890625,20.67999267578125,-18.600006103515625,3.279998779296875,-8.8800048828125,20.480010986328125,-5.080001831054702,2.519996643066392,-9.680000305175767,6.0,6.0,02-22,0.29333114624023554
01-09,2.55999755859375,-8.999999999999972,9.199996948242188,-7.8000030517578125,17.919998168945312,-15.0,1.8799896240234375,-5.720001220703125,19.360000610351562,-8.800003051757827,2.1199951171875,-9.439994812011705,6.0,6.0,02-23,-0.22666867574055752
01-10,5.519996643066406,-9.720001220703082,9.67999267578125,-5.1200103759765625,18.44000244140625,-14.319992065429688,10.399993896484375,2.0800018310546875,18.12000274658203,-9.959999084472656,2.720001220703111,-11.799995422363281,7.0,5.0,02-24,1.3366661071777368
01-11,2.8000030517578125,-10.999999999999972,11.0,-2.8000030517578125,18.879989624023438,-12.199996948242188,8.919998168945312,-2.4800033569335938,15.720001220703125,-11.27999877929686,2.559997558593764,-14.0,6.0,6.0,02-25,0.5099989573160855
01-12,1.9199981689453125,-3.6399993896484233,9.959991455078125,2.1999969482421875,19.120010375976562,-12.55999755859375,10.55999755859375,0.3600006103515483,17.59999847412108,-14.639999389648438,2.9599990844726562,-16.639999389648438,8.0,4.0,02-26,1.433333079020181
01-13,8.200004577636719,-5.040000915527315,8.479995727539062,3.239990234375,19.84001159667966,-11.919998168945312,13.080001831054688,7.079994201660142,16.040000915527344,-13.919998168945312,2.7600021362304688,-19.279998779296875,8.0,4.0,02-27,2.3800004323323556
01-14,6.5200042724609375,-5.239997863769517,6.55999755859375,5.44000244140625,25.919998168945312,-8.600006103515625,11.279998779296875,1.3199996948241903,15.919998168945312,-12.0,1.4400024414062642,-22.279998779296875,8.0,4.0,02-28,2.1899998982747397
01-15,6.9199981689453125,-3.9199981689453125,6.4799957275390625,4.839996337890625,26.240005493164062,-5.559997558593778,11.480010986328125,3.720001220703111,15.720001220703153,-13.44000244140625,-1.7999954223632812,-22.400001525878906,7.0,5.0,02-29,2.3566678365071603
01-16,6.120002746582031,-6.0400009155273295,6.1199951171875,4.44000244140625,25.199996948242188,-3.9600067138671875,2.7599945068359375,9.760002136230469,16.160003662109375,-15.27999877929689,-3.279998779296861,-22.55999755859375,7.0,5.0,03-01,1.6199995676676444
01-17,12.959999084472656,-5.8799972534179545,6.0399932861328125,6.1200103759765625,22.960006713867188,-0.1599884033203125,4.32000732421875,12.480003356933594,15.559997558593722,-13.680000305175795,-3.079994201660142,-25.44000244140625,7.0,5.0,03-02,2.683336257934569
01-18,2.0,-5.759994506835909,7.7599945068359375,6.720001220703125,21.399993896484375,1.8400115966796875,3.44000244140625,14.959999084472656,16.08000183105466,-11.559997558593764,-7.0,-24.800003051757812,8.0,4.0,03-03,2.090000788370767
01-19,4.879997253417969,-5.5999984741210795,7.2400054931640625,7.3600006103515625,20.240005493164062,4.4000091552734375,6.2400054931640625,18.600006103515625,14.36000061035152,-13.680000305175795,-4.800003051757827,-22.800003051757812,8.0,4.0,03-04,3.0366687774658154
