,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-32.40555804401977,-7.70763374775178,1.4450804460927755,1.176467596315884,1.563782603692673,10.015468257766127,2.517089677628449,-11.523377131195913,-1.6685524389249287,-12.636875827373833,14.020161080178697,6.431328717309795,7.0,5.0,-2.3977182341901515
01-03,-28.0450321672282,-6.996696321007641,0.7484341103420002,1.0212031849277339,1.358024420028666,8.430008715093148,2.969077013686195,-10.72177866575391,-1.9568986791042104,-13.465519721160202,13.594623711952348,5.680663796008352,7.0,5.0,-2.281990883517977
01-04,-33.08511421873678,-2.8553226462912558,2.9387022021789577,2.0424138614057346,1.2757180068944127,7.879486505489686,2.3112480196196414,-9.184880550181676,-2.97788741276422,-11.157148137368837,13.729005282479816,6.4906292704847175,7.0,5.0,-1.882762484732483
01-05,-41.19639631649201,-1.3141489226344296,3.7783359784250203,1.8460303623543006,0.6990134803748567,7.986109910228769,2.2208434505574153,-11.262992359496126,-3.3182133843950314,-11.00916633682726,13.530468185732007,7.810016552086766,7.0,5.0,-2.5191749500071445
01-06,-50.94549544283695,-0.6257846328807339,4.492022286031834,3.102902736004061,1.226998507353458,8.057055164065408,2.4181176995891076,-10.46061362095129,-3.3182133843950314,-9.331392273508458,13.433508988492687,8.01110626825181,7.0,5.0,-2.8283156420653413
01-07,-49.72191747311731,-1.3767285795074362,5.289673572731465,4.502746611805115,2.934081860370269,8.554917747338262,1.7447190902080794,-8.380385042941153,-1.6351790143691585,-8.6680148716979,13.685157825417907,8.688721769301889,7.0,5.0,-2.03185054203833
01-08,-44.382645969988644,2.276922372671274,5.0818946308815685,5.207929173835581,3.6873749425310622,10.096342050884093,2.356898051947121,-6.1651919130222055,-1.2924953146964453,-9.84228611765553,10.940676942225538,8.56914948367793,8.0,4.0,-1.1221193055590548
01-09,-44.78312741011005,1.9619847044901964,5.280805518232817,2.9832936285146348,2.6052164569245493,9.595381908515758,-0.5654992091064611,-6.5573819920157135,-0.27815986647817076,-11.198065229713185,11.775323720032729,9.0075735956053,7.0,5.0,-1.681054514592299
01-10,-22.077922211963017,2.973299664616807,4.721749427936084,1.3237060556214233,2.2044133370374235,8.575867103469466,-0.5902530273754016,-5.81395323048289,-0.1401323896661905,-9.602644519835048,9.745101130348191,9.225311151992715,7.0,5.0,0.045378540974963556
01-11,-34.28571720512564,3.090910478071733,3.2354203332785243,1.6446042615049155,1.494349094560197,9.069676431563865,0.5528264667809123,-6.308410460068711,0.44843006178141653,-8.609273044123713,10.259275771992296,8.521500346715758,9.0,3.0,-0.9072006219223709
01-12,-22.342726749250215,6.6427215069949614,2.55428006520224,4.171684327301925,1.2882435300262283,8.927871509691391,-2.4035427220446004,-6.916004529627654,-0.7006726397469641,-6.758379871539151,10.606065113514836,7.779097920755933,7.0,5.0,0.23738645510657755
01-13,-33.63533740306383,5.0269254634138125,2.9799866428755575,4.603173858304272,-0.5330097227079293,9.702358513553948,-0.9119525864307744,-6.826960954324292,1.5473820940696388,-5.653193730756093,9.903435814739858,5.859772534905173,7.0,5.0,-0.6614516229517217
01-14,-26.387315332253436,5.804903450029726,2.7801524459462845,3.453685936327777,-0.7395246674090228,8.597983499587343,-1.8867996956399216,-5.194419920850407,0.7458576024122375,-5.653193730756093,10.065011470600393,5.783276267690208,7.0,5.0,-0.21919855619290915
01-15,-33.63533740306383,6.71865555148862,2.8991539866713487,3.529410268746156,-1.607581970193614,7.70720292269049,-2.987423854502153,-3.6200406724296252,1.182619081291659,-7.41512128646396,7.978357417282253,4.890421889427033,7.0,5.0,-1.1966403390879685
01-16,-54.47761362217013,5.178565305917174,4.975325245296659,1.8355909588019532,-1.8136872625985543,7.164989943205051,-5.176243799981234,-4.306079686442287,1.5616429995184076,-7.287331471673239,6.964165487881909,3.9569744248074366,7.0,5.0,-3.451975123119739
01-17,-41.972184056494186,5.065556297302226,2.407093274824141,1.6786573485597853,-1.690024087155596,7.217697234425947,-2.723859814296873,-4.427604316908075,1.3995563686969759,-7.31708202654605,6.400721706006252,-0.9359762967800497,6.0,6.0,-2.9081206973637914
01-18,-53.83560614819447,4.838706553269445,2.076270183041648,0.5195885920733134,-3.185248153565078,6.354124074324388,-1.4533123639008854,-0.5892230304966,1.015364834875611,-6.722195740723551,6.168388061044777,-6.714096239436117,6.0,6.0,-4.293936614807293
01-19,-49.335100674464606,3.8043428809419666,3.050852580784108,1.3589134547053496,-2.711729430533493,7.571700080765092,-1.8311611739132494,0.8847102875967596,2.0032919038072143,-6.735906250364371,5.506662978523437,-1.9541166804680703,7.0,5.0,-3.198961670218322
01-20,-40.90338566955328,4.7705255655559755,3.0932183493077967,2.577318145231202,-2.28500686074976,8.99849185883122,-1.8944117885042073,3.6217794440434594,0.8521202973869759,-8.927499840863817,6.435756576793803,-1.3299579529675125,7.0,5.0,-2.0825876562906784
01-21,-55.583437201471966,7.246375893508238,3.773583245849907,2.694137525127453,-1.1503725755553762,9.237698693197554,-1.7080721243136583,3.870604871591188,-0.417820904752645,-7.989315674769816,6.748335169315614,2.7355593026594045,7.0,5.0,-2.545226981634509
01-22,-44.792976984200536,9.382567480538013,1.3983047388641903,4.212168289450427,-0.8190039406822388,9.049943384762525,-4.440994631346859,2.2447295982088966,0.24903197041466837,-7.319951192593903,6.268187490115247,3.16108937553829,8.0,4.0,-1.7839087017442736
01-23,-62.106709633761014,9.740262811015178,1.0208412113213419,3.6484908337642628,-1.4742039689878692,9.988734251749557,-4.372092550115068,-1.8699699576114452,0.49682668354974696,-8.433373718110996,6.066709638588376,2.370817031653717,7.0,5.0,-3.7436389472453513
01-24,-59.19778974436054,10.689256937339719,2.1857941897945707,1.4943022554265917,-1.228498100422906,9.878421016779173,-7.753160841819184,1.1997776321011882,0.2783922027244077,-7.818442312285068,6.201022513119588,1.1489564095325477,8.0,4.0,-3.576830653505827
01-25,-55.751020796101244,10.375143959546337,1.0544074637426766,-0.5898529953998483,-1.3923020127995578,10.344830358149656,-6.773282812019285,-0.08479021591638719,1.8374161499337527,-7.554898685443094,5.015677756650501,0.5381952573783662,6.0,6.0,-3.5817063810231775
01-26,-34.14918800966834,10.647061291862936,1.0965766831407258,-1.8875325854346667,-0.8994326612333481,8.807483407330432,-7.210324281094432,-2.180594826152933,2.5334072767265847,-5.8874675355207735,4.277117832592473,-5.419037531330229,5.0,7.0,-2.522660911565131
