,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.21000003814697243,-0.17000007629394487,-0.16000008583068848,0.3899998664855957,-0.12999999523162864,0.0,0.2699999809265141,0.15000009536743186,0.10000002384185791,0.04999995231628418,0.009999990463256836,0.09999990463256836,7.0,5.0,02-16,0.03333330154418954
01-03,-0.24000000953674294,-0.2699999809265128,-0.12000012397766069,0.4600000381469731,-0.24000012874603294,0.0,0.19000005722045854,0.1399999856948857,0.10000002384185791,0.029999971389770508,0.04999995231628418,0.14999985694885254,7.0,5.0,02-17,0.020833303531011094
01-04,-0.1400001049041748,-0.1800000667572017,-0.07000017166137695,0.4900000095367436,-0.24000012874603294,-0.009999990463256836,0.19000005722045854,0.21000003814697288,0.12000000476837158,0.04999995231628418,0.059999942779541016,0.17999982833862305,7.0,5.0,02-18,0.05499994754791263
01-05,-0.34000003337860085,-0.2200000286102295,-0.029999971389770508,0.4700000286102304,-0.22999989986419633,-0.009999990463256836,0.17000007629394487,0.2799999713897705,0.10000002384185791,0.019999980926514116,0.039999961853027344,0.11999988555908203,7.0,5.0,02-19,0.03083333373069776
01-06,-0.3200000524520872,-0.4099998474121094,-0.1100001335144043,0.5099999904632568,-0.2199999094009395,-0.019999980926513672,0.25,0.2999999523162842,0.08000004291534424,-0.029999971389770952,0.09000003337860107,0.049999952316283736,6.0,6.0,02-20,0.014166673024495424
01-07,-0.2500001192092902,-0.44999980926513583,-0.15000009536743164,0.4900000095367436,-0.20999991893768288,-0.03999996185302779,0.2100000381469722,0.3599998950958252,0.05999994277954124,-0.029999971389770952,0.07000005245208718,0.019999980926513672,6.0,6.0,02-21,0.006666670242945316
01-08,-0.24000012874603338,-0.43000006675720215,-0.08000016212463379,0.48000001907348633,-0.2199999094009395,-0.15000009536743208,0.11000013351440385,0.39999985694885254,0.08999991416931197,-0.059999942779541016,0.07000005245208718,0.05000019073486328,6.0,6.0,02-22,0.001666655143101936
01-09,-0.28999984264373757,-0.5099997520446782,-0.06000018119812056,0.42999982833862305,-0.16999995708465576,-0.09999990463256836,0.049999952316283736,0.3700000047683716,0.08999991416931197,-0.08999991416931108,0.07000005245208718,0.040000200271606445,6.0,6.0,02-23,-0.01416663328806563
01-10,-0.25999999046325684,-0.45999979972839355,-0.28000020980835005,0.34999990463256836,-0.17999994754791215,-0.10999989509582475,0.049999952316283736,0.3799999952316284,0.06999993324279785,0.0,0.030000090599059837,0.019999980926513672,6.0,6.0,02-24,-0.032499998807907125
01-11,-0.28999996185302734,-0.619999885559082,-0.33000016212463423,0.3399999141693115,-0.19999992847442627,-0.08999991416931152,0.049999952316283736,0.3500000238418579,0.04999995231628396,0.019999980926514116,0.04000008106231667,-0.030000209808350053,6.0,6.0,02-25,-0.059166679779688626
01-12,-0.25,-0.5699999332427987,-0.37000012397766113,0.28999996185302734,-0.12999999523162864,-0.09999990463256836,0.049999952316283736,0.3400000333786011,0.04999995231628396,0.0,0.09000003337860152,-0.09000015258789107,5.0,7.0,02-26,-0.057500014702479195
01-13,-0.22999989986419656,-0.5800001621246347,-0.3900001049041748,0.2699999809265141,-0.17999994754791238,-0.09999990463256836,0.1299998760223393,0.3400000333786011,0.0499999523162844,0.009999990463256836,0.11000001430511475,-0.1000001430511479,6.0,6.0,02-27,-0.055833359559377016
01-14,-0.12000000476837136,-0.6400001049041748,-0.47000002861022905,0.25999999046325684,-0.2200000286102295,-0.1099998950958252,0.15999984741210982,0.25999999046325684,0.18999993801116966,0.029999971389770508,0.11000001430511475,-0.12000012397766069,6.0,6.0,02-28,-0.05583336949348435
01-15,-0.059999942779540794,-0.819999933242797,-0.6000001430511475,0.23000001907348633,-0.17999994754791282,-0.12999987602233842,0.15999984741210982,0.38999998569488503,0.18999993801116966,0.0,0.060000061988830566,-0.09000015258789107,5.0,7.0,02-29,-0.07083334525426217
