,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,ups,downs,avg
01-02,-2.425878775076473,-2.5760056199749393,2.4210613432015062,0.0,14.05405267938836,-0.5882337981579211,10.792267135408766,-10.127395704322845,-2.06860681836958,0.0,3.0,5.0,0.9481260442096872
01-03,-1.3514415462726688,-2.5760056199749393,1.6190111208524773,0.0,13.513513513513514,-0.5882337981579211,8.672171480096502,-12.638439647203906,-2.06860681836958,0.0,3.0,5.0,0.4581968684483478
01-04,-4.4567272576023855,-3.4031192139609368,1.6190111208524773,0.0,13.513513513513514,0.0,12.66706683136764,-9.53437492976585,-1.8853135548414945,0.0,3.0,5.0,0.8520056509562963
01-05,-4.4567272576023855,-3.4031192139609368,1.6190111208524773,0.0,17.187496481670166,0.0,12.640534386812623,-8.810576097897288,-1.5187270277853984,0.0,3.0,5.0,1.3257892392089257
01-06,-3.0638791752280885,-3.4031192139609368,-0.24898694094010212,0.0,13.114755123541293,1.1627877749298976,60.31745828431535,-8.810576097897288,-2.409012874379007,0.0,3.0,5.0,5.665942688038111
01-07,-3.0638791752280885,-2.419358449313352,0.37359365231109776,0.0,8.620689529175014,0.0,12.637355599553162,-8.810576097897288,-1.4925365680049663,0.0,3.0,5.0,0.5845288490595579
01-08,-3.0638791752280885,-3.2520909801050477,0.37359365231109776,0.0,5.681818263918245,-1.1695951223034624,12.148955551904367,-8.299409647826888,-1.4925365680049663,0.0,3.0,5.0,0.09268559746652565
01-09,1.9500406402888506,-3.2520909801050477,0.0,0.0,7.954547014446637,-1.1695951223034624,13.44817389670343,-7.96129612532504,-1.4925365680049663,0.0,3.0,5.0,0.94772427557004
01-10,1.9500406402888506,-3.2520909801050477,-0.6289782584380098,0.0,7.954547014446637,0.5882337981579211,12.526600815874357,-8.982043271146857,-3.0898149976641727,0.0,4.0,4.0,0.706649476141368
01-11,1.9500406402888506,-1.6001138819858869,-0.49060797800235745,0.0,8.571428571428571,0.0,15.778686808327876,-8.40126095477333,-1.335433764257313,0.0,3.0,5.0,1.447273944102641
01-12,1.9500406402888506,-0.8000531122548487,-0.49060797800235745,0.0,7.514453586160791,-0.5882337981579211,15.82796898510527,-9.385939339153142,-1.5449074988321048,0.0,3.0,5.0,1.2482721485154538
01-13,1.9500406402888506,-0.8000531122548487,-0.36473526999152184,0.0,7.514453586160791,0.0,15.218034114778597,-9.385939339153142,-1.5449074988321048,0.0,3.0,5.0,1.258689312099662
01-14,1.9500406402888506,-0.8000531122548487,-0.36473526999152184,0.0,7.514453586160791,-0.584793843123152,14.654401545161786,-9.385939339153142,-1.5449074988321048,0.0,3.0,5.0,1.1438466708256656
01-15,0.0,-0.8160797643756792,-0.9999972132605663,0.0,9.142855689639124,-0.584793843123152,10.14535230444612,-7.673037079621657,-1.5449074988321048,0.0,2.0,6.0,0.7669392594872084
01-16,0.0,-0.8160797643756792,-0.10035365145532908,0.0,9.142855689639124,-0.584793843123152,9.536623202687462,-4.257339412789233,-1.5449074988321048,0.0,2.0,6.0,1.137600472175109
01-17,-3.0638791752280885,-1.6128464521762569,-0.10035365145532908,0.0,8.571428571428571,-1.1764675963158702,7.0866145370925,-4.653375161768401,-1.5449074988321048,0.0,2.0,6.0,0.3506213572745021
