,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-5.600000381469727,-0.1400012969970703,-1.1499996185302734,-2.2700004577636754,1.5599994659423864,-1.0500011444091797,-1.9600009918212926,-0.7300014495849574,0.4300003051757777,1.269998550415039,-1.3199996948242152,3.0,9.0,02-16,-0.9133338928222656
01-03,0.0,-6.25,0.0,-1.1499996185302734,-1.720001220703125,1.6000003814697301,-0.10000038146973012,-1.3199996948242259,-0.8000011444091726,0.029998779296878553,1.039999008178711,-1.3199996948242152,3.0,9.0,02-17,-0.8325002988179518
01-04,0.0,-5.64999961853027,0.4599990844726598,-0.5799999237060547,-1.2800006866455114,2.350000381469723,-0.24000167846679332,-0.6599998474121129,-0.9800014495849574,-0.4500007629394531,1.0,-1.399999618530277,3.0,9.0,02-18,-0.6191670099894205
01-05,-1.600000381469723,-6.100000381469727,1.2899990081787145,-0.25,-1.0499992370605469,2.600000381469723,-0.4500007629394531,-0.4899997711181605,-1.3199996948242152,-0.9400005340576172,1.1499996185302699,-1.789999008178711,3.0,9.0,02-19,-0.7458333969116205
01-06,-1.8999996185302734,-5.350000381469727,1.2199993133544922,0.22999954223632812,-1.0499992370605469,2.9400005340576136,0.42000007629394176,-0.28999900817871094,-1.2399997711181605,0.049999237060546875,2.119998931884762,-2.039999008178711,6.0,6.0,02-20,-0.40749994913737037
01-07,-1.8999996185302734,-5.100000381469727,1.75,0.4599990844726527,-0.2899990081787145,3.359998703002937,0.2800006866455007,-0.5999984741210938,-1.0500011444091797,-2.3199996948242223,2.1999988555908168,-1.5500011444091726,5.0,7.0,02-21,-0.396666844685873
01-08,-1.8999996185302734,-5.150001525878899,2.0699996948242188,0.7099990844726527,-1.2900009155273438,3.2899990081787145,0.2800006866455007,0.23999977111816406,-1.2900009155273438,-2.0799999237060582,2.4899997711181605,-1.4500007629394531,6.0,6.0,02-22,-0.34000047047933
01-09,-1.8999996185302734,-5.0,2.4200000762939453,0.8499984741210902,-1.0700016021728516,3.279998779296875,0.1500015258789098,-0.6200008392333984,-1.4200000762939453,-3.7999992370605504,2.329999923706051,-1.350000381469723,5.0,7.0,02-23,-0.5108335812886559
01-10,-1.8999996185302734,-4.89999961853027,1.1299991607666051,0.7300014495849609,-1.6500015258789062,2.8700008392333984,0.12000083923339844,-0.12000083923339844,-1.260000228881836,-3.840000152587894,2.309999465942383,-1.9599990844726562,5.0,7.0,02-24,-0.705833276112874
01-11,-2.7999992370605433,-4.89999961853027,1.0499992370605504,0.7300014495849609,-2.1900005340576136,2.8299999237060547,0.1800003051757848,-0.6200008392333984,-1.1900005340576136,-4.04999923706055,2.14999961853027,-1.5900001525878906,5.0,7.0,02-25,-0.8666666348775216
