,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,11.562022820563978,15.254240941010345,24.72727226488518,0.0,11.393184163313453,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,2.4663643761319003,-11.51514920321378,9.0,3.0,6.655550179568518
01-03,0.0,11.562022820563978,15.254240941010345,24.72727226488518,0.0,11.393184163313453,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,2.4663643761319003,-11.51514920321378,9.0,3.0,6.655550179568518
01-04,0.0,11.562022820563978,15.254240941010345,24.72727226488518,0.0,11.393184163313453,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,10.04484236661088,-11.51514920321378,9.0,3.0,7.2870900121084325
01-05,0.0,11.562022820563978,15.254240941010345,24.72727226488518,0.0,11.393184163313453,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,10.04484236661088,-11.51514920321378,9.0,3.0,7.2870900121084325
01-06,0.0,11.562022820563978,15.254240941010345,24.72727226488518,0.0,11.393184163313453,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,10.04484236661088,-11.51514920321378,9.0,3.0,7.2870900121084325
01-07,0.0,11.562022820563978,15.254240941010345,24.72727226488518,0.0,11.393184163313453,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,10.04484236661088,-11.51514920321378,9.0,3.0,7.2870900121084325
01-08,0.0,11.562022820563978,15.254240941010345,24.72727226488518,0.0,0.0,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,10.04484236661088,-11.51514920321378,8.0,4.0,6.337657998498979
01-09,0.0,11.562022820563978,15.254240941010345,24.72727226488518,0.0,0.0,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,10.04484236661088,-11.51514920321378,8.0,4.0,6.337657998498979
01-10,-42.27642055796147,11.562022820563978,15.254240941010345,24.72727226488518,0.0,0.0,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,2.01793215688978,-11.51514920321378,8.0,4.0,2.145713767858764
01-11,-42.27642055796147,11.562022820563978,15.254240941010345,24.72727226488518,0.0,0.0,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,2.01793215688978,-9.333338881983902,8.0,4.0,2.3275312946279203
01-12,-42.27642055796147,11.562022820563978,15.254240941010345,24.72727226488518,0.0,0.0,9.27152501915138,3.7262884973310686,7.439950362005177,5.54090291364351,2.01793215688978,-9.333338881983902,8.0,4.0,2.3275312946279203
01-13,-42.27642055796147,0.0,15.254240941010345,24.72727226488518,0.0,0.0,9.710021834783902,3.7262884973310686,7.439950362005177,5.54090291364351,2.01793215688978,-9.333338881983902,7.0,5.0,1.4005707942169658
01-14,-42.27642055796147,0.0,15.254240941010345,24.72727226488518,0.0,0.0,15.421793469174668,3.7262884973310686,7.439950362005177,5.54090291364351,2.01793215688978,-9.333338881983902,7.0,5.0,1.8765517637495295
01-15,-42.27642055796147,0.0,15.254240941010345,24.72727226488518,0.0,0.0,15.421793469174668,3.7262884973310686,7.439950362005177,5.54090291364351,2.01793215688978,-9.333338881983902,7.0,5.0,1.8765517637495295
01-16,-42.27642055796147,0.0,15.254240941010345,24.72727226488518,0.0,0.0,15.048543117274333,7.906676882045003,7.439950362005177,5.54090291364351,1.3452881045931864,-9.333338881983902,7.0,5.0,2.13775959545928
01-17,-42.27642055796147,0.0,15.254240941010345,24.72727226488518,0.0,0.0,15.048543117274333,7.906676882045003,7.439950362005177,5.54090291364351,1.3452881045931864,-9.333338881983902,7.0,5.0,2.13775959545928
01-18,-42.27642055796147,0.0,15.254240941010345,24.72727226488518,0.0,0.0,15.048543117274333,7.906676882045003,7.439950362005177,5.54090291364351,1.3452881045931864,0.0,7.0,5.0,2.915537835624605
01-19,-42.27642055796147,0.0,15.254240941010345,24.72727226488518,0.0,0.0,15.048543117274333,7.906676882045003,7.439950362005177,-4.5255452176950275,1.3452881045931864,0.0,6.0,6.0,2.0766671580130605
01-20,-42.27642055796147,0.0,15.254240941010345,24.72727226488518,0.0,0.0,15.048543117274333,7.906676882045003,7.439950362005177,-4.5255452176950275,1.3452881045931864,0.0,6.0,6.0,2.0766671580130605
01-21,-42.27642055796147,0.0,0.0,24.72727226488518,0.0,0.0,15.048543117274333,7.906676882045003,7.439950362005177,-4.5255452176950275,1.3452881045931864,0.0,5.0,7.0,0.805480412928865
