,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-8.108106714865869,13.020833624371656,-14.084510825924799,-13.114751054855619,3.7037110623015317,25.757577262743485,13.592231998413013,0.0,2.7777860562003345,0.0,5.0,5.0,2.140433764398521
01-03,0.0,-1.2658215623466575,15.656568636493793,-14.084510825924799,-13.114751054855619,3.7037110623015317,25.757577262743485,10.101012411974777,0.0,2.7777860562003345,0.0,5.0,5.0,2.6846883624169857
01-04,0.0,-1.2658215623466575,15.656568636493793,-14.084510825924799,-2.985071705720311,3.7037110623015317,25.757577262743485,10.101012411974777,0.0,2.7777860562003345,0.0,5.0,5.0,3.605568303247468
01-05,0.0,-1.2658215623466575,15.656568636493793,-14.893620079308825,-2.985071705720311,3.7037110623015317,25.757577262743485,7.070706280113903,0.0,2.7777860562003345,0.0,5.0,5.0,3.256530540952478
01-06,0.0,-1.2658215623466575,19.69696878474681,-14.893620079308825,-2.985071705720311,3.7037110623015317,25.757577262743485,7.070706280113903,0.0,2.7777860562003345,0.0,5.0,5.0,3.623839645339116
01-07,0.0,-1.2658215623466575,16.315786666817246,-14.893620079308825,-2.985071705720311,3.7037110623015317,25.757577262743485,5.263159215615403,0.0,2.7777860562003345,0.0,5.0,5.0,3.15213699239111
01-08,0.0,-2.27847881222397,16.315786666817246,-22.727268211769513,-2.985071705720311,3.7037110623015317,25.757577262743485,5.263159215615403,0.0,2.7777860562003345,0.0,5.0,5.0,2.347927412178564
01-09,0.0,-2.27847881222397,16.315786666817246,-22.727268211769513,-2.985071705720311,3.7037110623015317,31.94444582418153,10.000002384185791,0.0,2.7777860562003345,0.0,5.0,5.0,3.3409921149066037
01-10,0.0,-2.27847881222397,13.684210196096135,-15.151509130844202,-2.985071705720311,3.7037110623015317,31.94444582418153,12.62135911093478,0.0,2.7777860562003345,0.0,5.0,5.0,4.028768418265984
01-11,0.0,-2.27847881222397,13.684210196096135,-15.151509130844202,-2.985071705720311,3.7037110623015317,31.94444582418153,12.62135911093478,0.0,2.7777860562003345,0.0,5.0,5.0,4.028768418265984
01-12,0.0,-2.27847881222397,13.684210196096135,-15.151509130844202,-2.985071705720311,3.7037110623015317,38.749999720603235,7.766988886684749,0.0,2.7777860562003345,0.0,5.0,5.0,4.2061487520997725
01-13,0.0,-2.27847881222397,13.684210196096135,-15.151509130844202,-2.985071705720311,3.7037110623015317,38.749999720603235,4.040406168924148,0.0,8.695654427396825,0.0,5.0,5.0,4.405356538775763
01-14,0.0,-2.27847881222397,7.368420392192282,-15.151509130844202,10.294116486933829,3.7037110623015317,38.749999720603235,4.040406168924148,0.0,8.695654427396825,0.0,6.0,4.0,5.03839275593488
