,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-20.83333255723113,10.095041315987316,-3.6908966911954866,34.54545700845642,-0.334447597997563,49.50000083819033,62.99999916180966,-30.555555914862136,39.23240989821538,6.561461660387933,37.98449663145192,-28.301895067929056,7.0,5.0,13.100228223773634
01-03,-44.74244652582817,20.436466145165557,-2.45151824644424,34.54545700845642,-31.578950316810772,25.581399756123446,6.666665976798063,-34.285708203607875,39.23240989821538,15.847174973672354,38.77550997134796,-20.8928541588236,7.0,5.0,3.92780052318871
01-04,-61.1374459126679,23.913046154272767,-0.012198633593103162,37.27272850422821,-30.000005587935586,35.567011249608264,16.000001117587114,-34.285708203607875,20.255864691103113,23.188404779903905,45.24761863471157,-16.86919038443718,7.0,5.0,4.928343867431109
01-05,-61.90476866265835,21.73912874466985,-0.012198633593103162,24.52829595790695,0.0,37.499997671693514,16.000001117587114,-34.285708203607875,18.750001164153243,18.749997412992727,40.00000223517415,-46.966290960948776,7.0,5.0,2.84153815361412
01-06,-80.95238433132917,19.586960551249668,5.813954777818146,32.16630120236397,-7.14285144088236,27.745665393356735,62.99999916180966,-39.999997339078426,29.999996274709616,37.53011987086977,44.44444712726661,-39.14893317514007,8.0,4.0,7.7536065060845125
01-07,-85.71428470060127,14.306114895932728,4.289157505564237,29.97811289993888,0.0,41.61850078171877,62.99999916180966,-39.999997339078426,33.244325920420245,30.866671368810678,36.84210588231973,-39.2340409989916,8.0,4.0,7.433055448153637
01-08,-95.33110215842491,-3.4090944496560756,-1.168831631272344,28.888888336994068,-29.666666604578506,41.04046171203788,63.7362654232385,5.128202525890214,28.57142781116525,31.776315525039983,36.84210588231973,-44.68085295261437,7.0,5.0,5.14392661834495
01-09,-82.60868663823909,-2.564102734484303,3.827162719575968,28.888888336994068,-10.000001862645204,27.272728715892423,44.95412851875453,-3.125002046363131,32.43243229637365,30.592104521453606,36.84210588231973,-26.92308662205794,7.0,5.0,6.632389257297859
01-10,-80.0000044703483,-2.22222678455319,3.827162719575968,32.22222415385415,-43.47825981324472,52.65151418940505,25.581399756123446,31.250003637978608,8.918918755648379,27.63157701248766,42.1686748285774,-27.99999713897705,8.0,4.0,5.879248903877283
01-11,-62.89593345964032,11.53845668897102,-1.3456815515162437,24.44444334065477,-31.999997317791024,50.33333277453978,53.62318904154556,1.7857140382327195,18.918921776153994,36.3297844988885,38.77550997134796,-27.99999713897705,8.0,4.0,9.292311888534138
