,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-0.2045888900756836,0.47505903244018555,-0.14586615562438965,0.4467132091522208,0.4990200996398926,0.12156200408935547,0.46601152420043945,-0.13541460037231268,0.38265275955200195,-1.4100003242492658,6.0,4.0,03-02,0.04501351443204037
01-03,0.0,-0.2045888900756836,0.47505903244018555,-0.06381678581237793,0.3920135498046875,0.3234381675720215,0.0,0.46601152420043945,-0.13541460037231268,0.4905800819396964,-1.46000003814697,5.0,5.0,03-03,0.025752912868153288
01-04,0.0,-0.2045888900756836,0.39438819885253906,-0.1276319026947017,0.16409921646118164,0.3234381675720215,0.16831541061401367,0.36139678955078125,-0.32886266708374023,0.38265275955200195,-0.9099998474121094,6.0,4.0,03-04,0.020291566848754924
01-05,0.0,-0.2045888900756836,0.45713186264038086,-0.06381630897522017,0.2552647590637207,0.4250907897949219,0.16831541061401367,0.36139678955078125,-0.5223112106323242,0.38265275955200195,-1.1900000572204599,6.0,4.0,03-05,0.00628508221019386
01-06,0.0,-0.12453269958496094,0.5467658042907706,-0.045583248138427734,0.2552647590637207,0.5729484558105469,0.3179283142089844,0.3043341636657715,-0.29984474182128906,0.38265275955200195,-0.96000003814697,6.0,4.0,03-06,0.08635759353637712
01-07,0.0,-0.16011333465575905,0.5378026962280273,-0.03646683692932129,0.2552647590637207,0.5359840393066415,0.3179283142089844,0.4850325584411621,-0.29984474182128906,0.38265275955200195,-0.96000003814697,6.0,4.0,03-07,0.09620365229519988
01-08,0.0,-0.26685476303100586,0.555729866027832,-0.03646683692932129,0.14586591720581055,0.5082597732543954,0.32727909088134766,0.4850325584411621,-0.2611551284790039,0.0588698387146005,-0.8600001335144016,6.0,4.0,03-08,0.059687289324674146
01-09,0.0,-0.26685476303100586,0.591583251953125,-0.03646683692932129,0.20056509971618652,0.5082597732543954,0.32727909088134766,0.4850325584411621,-0.37722396850586115,0.26491308212280273,-0.880000114440918,6.0,4.0,03-09,0.07428065213290119
01-10,0.0,-0.44475889205932617,0.47505950927734375,-0.027350187301635742,0.18233156204223633,0.526742935180665,0.32727909088134766,0.4850325584411621,-0.25148391723632635,0.17660903930664062,-1.0399999618530273,6.0,4.0,03-10,0.03722379424355271
01-11,0.0,-0.5070257186889648,0.47505950927734375,-0.12763261795043945,0.1367483139038086,0.45281362533569425,0.32727909088134766,0.4850325584411621,-0.5610008239746112,0.17660903930664062,-1.0100002288818377,6.0,4.0,03-11,-0.013828841122714198
01-12,0.0,-0.5070257186889648,0.47505950927734375,0.045582532882689986,0.1367483139038086,0.5359840393066415,0.41143798828125,0.4850325584411621,-0.4546041488647461,0.09811592102050781,-1.0100002288818377,7.0,3.0,03-12,0.019666433334350465
01-13,0.0,-0.5070257186889648,0.5378031730651864,0.009116649627685991,0.10939884185791016,0.5359840393066415,0.41143798828125,0.25678205490112305,-0.4546041488647461,0.09811592102050781,-1.0799999237060565,7.0,3.0,03-13,-0.007544647563587495
01-14,0.0,-0.5070257186889648,0.5378031730651864,0.10028290748596191,0.10939884185791016,0.36040353775024414,0.21507024765014648,0.3518867492675781,-0.5803451538085938,-0.1275510787963876,-1.429999828338623,6.0,4.0,03-14,-0.08818875659595836
01-15,0.0,-0.8628320693969727,0.5378031730651864,0.10028290748596191,0.10939884185791016,0.24026918411254883,0.05610513687133789,0.4089493751525879,-0.5513281822204599,-0.1275510787963876,-1.429999828338623,6.0,4.0,03-15,-0.1380820491097191
01-16,0.0,-1.3965415954589844,0.5378031730651864,0.20968198776245117,0.06381535530090376,0.3234391212463379,0.05610513687133789,0.4469914436340332,-0.5513281822204599,-0.1275510787963876,-1.8499999046325684,6.0,4.0,03-16,-0.20796223120255908
01-17,0.0,-1.1563720703125,0.5378031730651864,0.2734973430633536,0.10028147697448775,0.5267424583435059,0.009350299835205078,0.4469914436340332,-0.5609993934631339,-0.0981159210205087,-2.029999732971195,6.0,4.0,03-17,-0.1773473566228696
01-18,0.0,-1.1563720703125,0.5198764801025391,0.3555471897125235,0.036465644836426225,0.5452251434326172,0.009350299835205078,0.4469914436340332,-0.4449305534362793,-0.0981159210205087,-1.9299998283386257,6.0,4.0,03-18,-0.1559965610504154
01-19,0.0,-1.1563720703125,0.5198764801025391,0.36466336250305176,0.09116530418395952,0.5452251434326172,0.009350299835205078,0.4469914436340332,-0.4449305534362793,-0.0981159210205087,-1.9299998283386257,6.0,4.0,03-19,-0.15019512176513708
01-20,0.0,-0.7382993698120117,0.30475378036499023,0.38289618492126376,0.027348756790161577,0.5452251434326172,0.009350299835205078,0.4755220413208008,-0.560999870300293,-0.0981159210205087,-1.9299998283386257,6.0,4.0,03-20,-0.14384716207330914
01-21,0.0,-0.7205090522766087,0.30475378036499023,0.3555471897125235,0.027348756790161577,0.443572998046875,0.05610513687133789,0.599158763885498,-0.560999870300293,-0.0981159210205087,-1.9299998283386257,6.0,4.0,03-21,-0.13846709511496816
01-22,0.0,-0.8450412750244132,0.30475378036499023,0.3555471897125235,0.027348756790161577,0.397367000579834,0.028052806854248047,0.6086688041687003,-0.5029649734497079,-0.0981159210205087,-1.9299998283386257,6.0,4.0,03-22,-0.15039851448752709
01-23,0.0,-0.800565242767334,0.30475378036499023,0.3737807273864737,0.027348756790161577,0.45281410217285156,-0.05610466003417969,0.6086688041687003,-0.5029649734497079,-0.0981159210205087,-0.7800002098083496,5.0,5.0,03-23,-0.04276225783608205
01-24,0.0,-0.6226625442504883,0.33164501190185547,0.36466336250305176,0.05469918251037598,0.38812685012817383,-0.05610466003417969,0.4850330352783194,-0.5029649734497079,-0.0981159210205087,-0.8499999046325684,5.0,5.0,03-24,-0.04597096009687968
01-25,0.0,-0.6226625442504883,0.33164501190185547,0.3920135498046875,0.06381630897521973,0.4250907897949219,-0.05610466003417969,0.4850330352783194,-0.5029649734497079,-0.1569857597351083,-1.3499999046325692,5.0,5.0,03-25,-0.0901017405770045
01-26,0.0,-0.6137676239013672,0.2957911491394034,0.5014128684997563,0.06381630897521973,0.43433189392089844,-0.05610466003417969,0.4850330352783194,-0.47394752502441495,0.0784926414489755,-1.1399998664855966,6.0,4.0,03-26,-0.038631070743907786
01-27,0.0,-0.6671390533447239,0.3406081199645996,0.42848038673400923,-0.011275291442871094,0.43433189392089844,-0.05610466003417969,0.3709077835082999,-0.48362064361572354,-0.0098114013671875,-1.0000000000000009,4.0,6.0,03-27,-0.05942026051607995
01-28,0.0,-0.6671390533447239,0.33164501190185547,0.42848038673400923,-0.011275291442871094,0.1663393974304208,-0.05610466003417969,0.408949375152587,-0.6383795738220241,0.058869361877441406,-0.799999713897706,5.0,5.0,03-28,-0.0707831599495628
01-29,0.0,-1.132009983062745,0.4251065254211426,0.33731460571289107,-0.011275291442871094,0.03696393966674805,-0.037403106689453125,0.4850330352783203,-0.6383795738220241,0.14717388153076083,-0.9000000953674308,5.0,5.0,03-29,-0.11704327843406012
01-30,0.0,-1.1857900619506845,0.2883577346801758,0.3281979560852051,0.13459038734436035,0.004586696624755859,0.12156200408935547,0.4729437828063974,-0.6383795738220241,0.12755060195922852,-0.8500003814697257,7.0,3.0,03-30,-0.10876189578663235
01-31,0.0,-1.2664599418640146,0.2076864242553711,0.3281979560852051,0.1442058086395268,0.004586696624755859,0.2141289710998544,0.4729437828063974,-0.6383795738220241,0.13489341735839755,-0.6300001144409171,7.0,3.0,03-31,-0.09347241575067705
02-01,0.0,-1.275355339050293,-0.11499404907226562,0.32819771766662553,0.20814538002014205,0.004586696624755859,0.2141289710998544,0.3873496055603036,-0.4156928062438974,0.29677724838256747,-1.2799997329711914,6.0,4.0,04-01,-0.14971420981667258
02-02,0.0,-1.275355339050293,-0.15981197357177734,0.05469965934753418,0.20814538002014205,0.004586696624755859,0.25153255462646396,0.3778390884399423,-0.09650325775146484,0.29677724838256747,-1.2699999809265137,6.0,4.0,04-02,-0.14618999307805847
02-03,0.0,-1.2574291229248047,-0.15981197357177734,0.0,0.18966364860534712,0.12472105026245117,0.4853034019470224,0.5395164489746085,-0.1451435089111337,-0.00322294235229581,-1.9699997901916513,4.0,6.0,04-03,-0.19967298074202125
02-04,0.0,-1.141791820526123,-0.15981197357177734,0.0,0.20789670944213912,0.12472105026245117,0.34360408782958984,0.3484988212585449,-0.1451435089111337,-0.00322294235229581,-1.859999656677247,4.0,7.0,04-04,-0.20774993029507743
02-05,0.0,-1.4475011825561532,-0.15981197357177734,-0.018233060836791992,0.2534799575805664,0.12472105026245117,0.191436767578125,0.3484988212585449,-0.007781028747558594,-0.29757070541381836,-1.9099998474121103,4.0,7.0,04-05,-0.26570556380532023
02-06,0.0,-1.4475011825561532,-0.15981197357177734,-0.018233060836791992,0.2534799575805664,0.12472105026245117,0.33393430709838867,0.27111959457397194,-0.007781028747558594,-0.29757070541381836,-2.239999771118163,4.0,7.0,04-06,-0.2897857102480804
02-07,0.0,-1.4475011825561532,-0.23151874542236328,0.03646588325500444,0.12584733963012695,0.25409650802612305,0.1342153549194336,0.27111959457397194,0.20501232147216886,-0.29757070541381836,-2.299999952316284,6.0,5.0,04-07,-0.29543941671198093
02-08,0.0,-1.4652910232543945,-0.15981197357177734,-0.2826149463653569,0.06265401840209961,0.25409650802612305,0.2388300895690918,0.37573337554931374,0.20501232147216886,-0.18757057189941406,-1.9000000953674316,5.0,6.0,04-08,-0.25990566340359794
02-09,0.0,-1.4652910232543945,-0.15981197357177734,-0.3828966617584233,0.06265401840209961,0.4317626953125,0.1827239990234375,0.37573337554931374,-0.04786300659179599,0.2637629508972168,-1.9000000953674316,5.0,6.0,04-09,-0.23992961103265956
02-10,0.0,-1.4652910232543945,-0.5700578689575195,-0.3373138904571533,0.14582347869873047,0.4594864845275879,0.31363630294799805,0.45100736618041903,0.23263692855834872,0.1437630653381321,-1.9000000953674316,6.0,5.0,04-10,-0.22966447743502572
02-11,0.0,-1.4652910232543945,-0.4535331726074219,-0.3373138904571533,0.12759017944335938,0.34859323501586914,0.34216785430908203,0.45100736618041903,0.23263692855834872,0.3137631416320801,-1.9000000953674316,6.0,5.0,04-11,-0.2127617705952039
02-12,0.0,-1.3575949668884277,-0.27120208740234375,-0.2734982967376709,0.12759017944335938,0.32054042816162287,0.5133562088012704,0.45100736618041903,0.23263692855834872,0.21564722061157227,-1.9100003242492676,6.0,5.0,04-12,-0.17741066759282884
02-13,0.0,-1.3575949668884277,-0.27120208740234375,-0.20056533813476562,0.06290292739868164,0.36575889587402344,0.5133562088012704,0.45100736618041903,0.08755111694335938,0.27451658248901367,-1.7300000190734854,6.0,5.0,04-13,-0.16402448307384135
02-14,0.48033952713012695,-1.3844857215881348,-0.27120208740234375,-0.08204936981201127,0.06290292739868164,0.3287944793701172,0.5133562088012704,0.45100736618041903,0.07787847518920898,-0.12115001678467063,-1.7199997901916495,6.0,5.0,04-14,-0.15132800015536232
02-15,0.48033952713012695,-1.3844857215881348,-0.45943355560302734,-0.08204889297485352,0.04466938972473011,0.3287944793701172,0.5133562088012704,0.45100736618041903,0.08824729919433594,-0.0715274810790989,-1.5500001907348633,6.0,5.0,04-15,-0.14918923377990712
02-16,0.48033952713012695,-1.3844857215881348,-0.45943355560302734,-0.11851572990417525,-0.047742128372193715,0.3287944793701172,0.5133562088012704,0.4606800079345694,0.00975418090820579,-0.40512180328368874,-1.5300002098083496,5.0,6.0,04-16,-0.19567043131047998
02-17,0.48033952713012695,-1.4823317527771023,-0.45943355560302734,-0.10028243064880416,-0.047742128372193715,0.3287944793701172,0.3076372146606454,0.4606800079345694,-0.12565946578979226,-0.24512147903442472,-1.440000057220459,4.0,7.0,04-17,-0.21119269457730405
02-18,0.48033952713012695,-1.5271487236022976,-0.25327539443969727,-0.08204960823059126,-0.047742128372193715,0.17169523239135742,0.3456788063049334,0.4606800079345694,-0.10603618621826172,-0.24512147903442472,-1.440000057220459,4.0,7.0,04-18,-0.2039072730324489
02-19,0.48033952713012695,-1.5630016326904324,-0.052710533142089844,-0.08204960823059126,-0.047742128372193715,0.17169523239135742,0.4027414321899414,0.4606800079345694,-0.09622478485107422,-0.24512147903442472,-1.440000057220459,4.0,7.0,04-19,-0.18285400217229728
02-20,0.48033952713012695,-1.6884903907775906,-0.052710533142089844,0.036466121673583984,-0.047742128372193715,0.17169523239135742,0.09416341781616211,0.4606800079345694,-0.09622478485107422,-0.019454479217530185,-1.4600000381469718,5.0,6.0,04-20,-0.19284345886924095
02-21,0.48923444747924805,-1.6884903907775906,-0.052710533142089844,0.08204936981201216,-0.047742128372193715,0.27532291412353516,0.09416341781616211,0.4606800079345694,-0.3767247200012207,-0.019454479217530185,-1.1599998474121103,5.0,6.0,04-21,-0.1766974492506553
02-22,0.48923444747924805,-1.6884903907775906,-0.052710533142089844,0.054699659347534624,-0.1656355857849121,0.22856855392456055,0.09416341781616211,0.4606800079345694,-0.2589850425720215,-0.19606351852416992,-1.0500001907348633,5.0,6.0,04-22,-0.18950356136668842
02-23,0.48923444747924805,-1.5995383262634277,-0.052710533142089844,0.18233227729797408,-0.1656355857849121,0.22856855392456055,0.15961933135986328,0.4606800079345694,-0.2589850425720215,-0.3096432685852051,-1.0600004196166992,5.0,6.0,04-23,-0.17509805072437637
02-24,0.48923444747924805,-1.6973171234130833,-0.052710533142089844,0.03646612167358443,-0.1656355857849121,0.22856855392456055,0.15961933135986328,0.2304859161376953,-0.14291667938232422,-0.3096432685852051,-1.0399999618530273,5.0,6.0,04-24,-0.2058044346896082
02-25,0.48923444747924805,-1.5628662109374982,-0.32620811462402344,0.03646612167358443,-0.1656355857849121,0.22856855392456055,0.15961933135986328,0.2304859161376953,-0.14291667938232422,-0.1696434020996067,-1.1899995803833017,5.0,6.0,04-25,-0.21935410933061042
02-26,0.48923444747924805,-1.4650187492370614,-0.30797433853149414,0.09116601943969727,-0.12916803359985263,0.2659721374511719,0.16896963119506836,0.26917552947998136,0.082749843597413,-0.1696434020996067,-0.9899997711181641,6.0,5.0,04-26,-0.15404878963123628
02-27,0.48923444747924805,-1.5367250442504883,-0.30797433853149414,0.09116601943969727,-0.08333683013915927,0.33142852783203125,0.16896963119506836,0.2401580810546875,-0.02364635467529208,-0.2677593231201145,-0.5199999809265146,5.0,6.0,04-27,-0.1289531967856664
02-28,0.48033952713012695,-1.518798828125,-0.30797433853149414,0.10939955711364746,-0.028637170791625977,0.3862161636352539,0.007291316986083984,0.2116260528564453,-0.02364635467529208,-0.5556864738464347,-0.8200001716613787,5.0,6.0,04-28,-0.18726097453724255
02-29,0.0,0.0,-0.30797433853149414,0.0,0.0,0.0,0.007291316986083984,0.0,0.0,0.0,-1.3400001525878906,1.0,2.0,04-29,-0.14915301583030008
03-01,0.4358634948730469,-1.4565329551696777,-0.25220251083374023,0.11851572990417436,0.044295310974121094,0.3488125801086426,0.12885332107543945,0.14505338668823242,-0.3278059959411621,-0.25775909423828036,-1.2400002479553223,6.0,5.0,04-30,-0.210264270955866
03-02,0.4358634948730469,-1.4565329551696777,-0.25220251083374023,0.08204936981201172,0.044295310974121094,0.3488125801086426,-0.03946208953857422,0.21276044845581055,-0.12398910522460849,-0.4977593421936044,-1.190000057220459,5.0,6.0,05-01,-0.2214695323597301
03-03,0.4358634948730469,-1.1338515281677246,-0.09722089767456055,0.13674902915954634,0.044295310974121094,0.3488125801086426,-0.048972129821777344,0.21276044845581055,0.10167789459228516,-0.3777589797973633,-0.9099998474121085,6.0,5.0,05-02,-0.11705860224637106
03-04,0.4358634948730469,-1.1338515281677246,-0.09722089767456055,0.17321515083313033,-0.04687023162841797,0.2471599578857422,-0.05848264694213867,0.01931190490722745,0.10167789459228516,-0.42775917053222656,-1.1399998664855984,5.0,6.0,05-03,-0.17517781257629406
03-05,0.4358634948730469,-1.0095229148864746,-0.09722089767456055,0.1549820899963379,-0.04687023162841797,0.2748842239379883,0.0366215705871582,0.01931190490722745,-0.2711629867553711,-0.42775917053222656,-1.119999885559082,5.0,6.0,05-04,-0.18644298206676127
03-06,0.4358634948730469,-1.0095229148864746,-0.11514806747436523,0.14586567878723145,-0.0924530029296875,0.2748842239379883,0.0366215705871582,-0.11610174179077148,-0.2711629867553711,-0.42775917053222656,-1.0199999809265137,4.0,7.0,05-05,-0.19626480882818048
03-07,0.5426044464111328,-1.0364136695861816,-0.1510014533996582,0.10939979553222656,-0.04624652862548828,0.25640106201171875,0.0366215705871582,-0.11610174179077148,-0.30985260009765625,-0.4577593803405753,-0.8299999237060547,4.0,7.0,05-06,-0.18203167481855906
03-08,0.5426044464111328,-1.0364136695861816,-0.1510014533996582,0.13674926757812544,-0.04624652862548828,0.25640106201171875,0.0366215705871582,-0.11610174179077148,-0.30985260009765625,-0.3877592086791992,-1.2100000381469727,4.0,7.0,05-07,-0.20772717215798114
03-09,0.5426044464111328,-0.8585095405578613,-0.1510014533996582,-0.036465883255003995,-0.04624652862548828,0.09743738174438477,0.0366215705871582,-0.11610174179077148,-0.3485422134399414,-0.3898320198059091,-0.9600000381469727,3.0,8.0,05-08,-0.2027305472980846
03-10,0.5426044464111328,-0.6254615783691406,-0.4791989326477051,-0.045582532882689986,-0.04624652862548828,0.17136669158935547,0.0833749771118164,-0.11610174179077148,-0.3485422134399414,-0.5698318481445312,-0.9600000381469727,3.0,8.0,05-09,-0.21760175444863056
03-11,0.5426044464111328,-0.6254615783691406,-0.4791989326477051,0.009116649627685991,-0.04624652862548828,0.0881962776184082,0.321455478668212,-0.07579278945922763,-0.3681654930114737,-0.59983205795288,-0.8900003433227539,4.0,7.0,05-10,-0.19302953373302092
03-12,0.30243587493896484,-0.2696552276611328,-0.45184898376464844,0.045582532882689986,-0.018897056579589844,0.0881962776184082,0.321455478668212,-0.07579278945922763,-0.3681654930114737,-0.59983205795288,-0.6200003623962411,4.0,7.0,05-11,-0.14968380061062894
03-13,0.25795936584472656,-0.2696552276611328,-0.45184898376464844,-0.04558372497558594,-0.009780406951904297,0.18170404434204102,0.321455478668212,0.12732791900634766,-0.24242448806762606,-0.37416505813598455,-0.46000003814697177,4.0,7.0,05-12,-0.08772828362204788
03-14,0.25795936584472656,-0.2696552276611328,-0.45184898376464844,-0.10939908027648837,-0.04624652862548828,0.052329063415527344,0.3309664726257324,0.07026529312133789,-0.27144145965575994,-0.4741649627685538,-0.4099998474121094,4.0,7.0,05-13,-0.1201123541051688
03-15,0.31133079528808594,0.2640542984008789,-0.4062652587890625,-0.18233180046081454,0.017569303512573242,0.052329063415527344,0.37772130966186523,0.03222322463989258,-0.2230796813964835,-0.3941650390625,-0.3800001144409171,6.0,5.0,05-14,-0.048237627202814035
03-16,0.31133079528808594,0.02388477325439453,-0.4535331726074219,-0.22791433334350586,0.017569303512573242,0.052329063415527344,0.37772130966186523,0.04189586639404208,-0.2230796813964835,-0.4741649627685538,-0.3800001144409171,6.0,5.0,05-15,-0.08490555936639943
03-17,0.31133079528808594,-0.39418792724609375,-0.4535331726074219,-0.2461476325988765,0.036051034927368164,0.033846378326416016,0.3309664726257324,0.013365268707274502,-0.029631137847899502,-0.49416494369506747,-0.3800001144409171,5.0,6.0,05-16,-0.11564590714194538
03-18,0.15121793746948242,-0.39418792724609375,-0.6449828147888184,-0.22791433334350586,-0.018648624420165127,0.033846378326416016,0.3880295753479004,0.025142669677734375,-0.029631137847899502,-0.2841649055480948,-0.3800001144409171,4.0,7.0,05-17,-0.1255721178921783
03-19,0.15121793746948242,-0.39548397064209073,-0.6176319122314453,-0.24614715576171786,0.04516792297363281,0.033298492431640625,0.321455478668212,-0.14896106719970792,-0.029631137847899502,-0.2841649055480948,-1.0099997520446777,4.0,7.0,05-18,-0.19826182452115146
03-20,0.06226587295532138,-0.39548397064209073,-0.6176319122314453,-0.21879816055297763,0.06365013122558594,0.024605274200439453,0.22635173797607422,-0.14896106719970792,-0.029631137847899502,-0.2841649055480948,-1.25,4.0,7.0,05-19,-0.23343619433316318
03-21,0.06226587295532138,-0.39548397064209073,-0.6176319122314453,-0.14586544036865234,0.07276654243469238,0.024605274200439453,0.22635173797607422,-0.15847110748291016,-0.08766603469848455,-0.2841649055480948,-0.7200002670288077,4.0,7.0,05-20,-0.18393583731217802
03-22,0.06226587295532138,-0.4399600028991699,-0.6176319122314453,-0.16409850120544434,0.07276654243469238,0.024605274200439453,0.22635173797607422,-0.15847110748291016,-0.08766603469848455,-0.2252950668334952,-0.6800003051757812,4.0,7.0,05-21,-0.1806485002691094
03-23,0.06226587295532138,-0.6178627014160156,-0.6176319122314453,-0.1185157299041748,0.15593552589416504,0.024605274200439453,0.22635173797607422,-0.08109140396117986,-0.08766603469848455,-0.48002004623413175,-0.6800003051757812,4.0,7.0,05-22,-0.20123906569047392
03-24,0.06226587295532138,-0.6537151336669922,-0.6176319122314453,-0.07293248176574707,0.15593552589416504,-0.012358665466308594,0.20765018463134766,-0.08109140396117986,-0.08766603469848455,-0.39001989364624023,-0.8900003433227539,3.0,8.0,05-23,-0.2163240259343925
03-25,-0.008895397186279297,-0.6895685195922843,-0.6176319122314453,0.16409897804260165,0.15593552589416504,-0.021599769592285156,0.16865062713623047,-0.08109140396117986,-0.06804275512695224,-0.39001989364624023,-1.0300002098083496,3.0,8.0,05-24,-0.21983315727927444
03-26,-0.008895397186279297,-0.30475378036498935,-0.6723318099975586,0.23703145980834872,0.23102712631225586,0.09853458404541016,0.16865062713623047,-0.08109140396117986,-0.06804275512695224,-0.30171585083007724,-1.0799999237060547,4.0,7.0,05-25,-0.16196246580644055
03-27,0.017790794372559482,-0.30475378036498935,-0.7657933235168457,0.23703145980834872,0.23102712631225586,-0.028052806854248047,0.16865062713623047,0.054322242736817294,0.08671617507934837,-0.37039661407470614,-1.3000001907348633,6.0,5.0,05-26,-0.17940529910000838
03-28,0.14232206344604492,-0.3854246139526367,-0.6290445327758789,0.328197479248046,0.19406199455261186,-0.028052806854248047,0.16865062713623047,-0.021761417388916016,-0.039246082305907315,-0.25999975204467596,-0.6800003051757812,4.0,7.0,05-27,-0.11002703146501008
03-29,0.12453174591064453,-0.33164453506469727,-0.6290445327758789,0.31908106803894176,0.18482160568237305,-0.09350872039794833,0.07608366012573153,-0.009672164916993076,-0.039246082305907315,-0.5199999809265128,-0.09000015258789062,4.0,7.0,05-28,-0.09169073538346705
03-30,0.12453174591064453,-0.2509746551513672,-0.6290445327758789,0.5469961166381836,0.11089324951171875,0.0,0.07608366012573153,-0.009672164916993076,-0.019623279571532315,-0.5199999809265128,-0.15000009536743164,4.0,7.0,05-29,-0.06552817604758522
03-31,0.12453174591064453,-0.26890087127685547,-0.6928615570068359,0.48318004608154297,0.09241104125976562,0.0,0.16167831420898438,-0.058034896850586826,0.10792779922485529,-0.7000002861022949,-0.15999984741210938,5.0,6.0,05-30,-0.08273350108753542
04-01,0.12453174591064453,-0.1254873275756836,-0.6016955375671387,0.3737802505493164,0.09241104125976562,0.0,0.3138456344604492,-0.009673118591308594,0.3826522827148455,-0.880000114440918,0.5399999618530282,6.0,5.0,05-31,0.019124074415727336
04-02,0.008895397186279297,0.3137173652648926,-0.6746282577514648,0.4284799098968506,0.11089277267456055,0.0,0.18069934844970703,0.13541364669799805,0.3826522827148455,-0.5799999237060547,1.0299997329711905,8.0,3.0,06-01,0.12146566130898223
04-03,0.008895397186279297,0.49298524856567383,-0.6746282577514648,0.4284799098968506,0.11089277267456055,0.03740406036376953,0.18069934844970703,0.20312023162841797,0.3826522827148455,-0.5799999237060547,0.7699997425079346,9.0,2.0,06-02,0.12368189204822903
04-04,0.008895397186279297,0.36749935150146396,-0.6746282577514648,0.41936349868774414,0.11089277267456055,0.03740406036376953,0.18069934844970703,0.20312023162841797,0.24528980255127042,-0.5799999237060547,0.510000228881835,9.0,2.0,06-03,0.0753215009515935
04-05,0.008895397186279297,0.36749935150146396,-0.10028314590454102,0.49229645729064986,0.06468725204467773,-0.09350872039794833,0.3804183006286621,0.28049945831299095,0.24528980255127042,-0.690000057220459,0.6800003051757812,8.0,3.0,06-04,0.14870858192443884
04-06,0.008895397186279297,0.36749935150146396,-0.10028314590454102,0.5287625789642338,0.06468725204467773,-0.2057185173034668,0.2758035659790039,0.37722349166870384,0.27472496032714844,-0.690000057220459,0.6800003051757812,8.0,3.0,06-05,0.14378138021989323
04-07,0.008895397186279297,0.4840221405029297,-0.10028314590454102,0.21879839897155806,0.12937545776367276,-0.2057185173034668,0.24727201461791992,0.4255862236022949,0.27472496032714844,-0.5,0.6800003051757812,8.0,3.0,06-06,0.15115211226723424
04-08,0.008895397186279297,0.4840221405029297,-0.10028314590454102,0.22791528701782315,0.12937545776367276,-0.38338470458984375,0.07608366012573153,0.5706729888916016,0.46114540100097656,-0.5300002098083487,0.6000003814697266,8.0,3.0,06-07,0.1404038776050916
04-09,0.008895397186279297,0.3585348129272461,0.05469846725463867,0.18233251571655318,0.046205997467041904,-0.3553318977355975,0.07608366012573153,0.8318276405334473,0.46114540100097656,-0.410000324249264,0.36999988555908203,9.0,2.0,06-08,0.14767195961692137
04-10,0.008895397186279297,0.45713186264038086,-0.12763261795043945,0.18233251571655318,0.12937498092651456,-0.14026355743408203,0.07608366012573153,0.8318276405334473,0.46114540100097656,-0.580000400543212,0.6800003051757812,8.0,3.0,06-09,0.17989956248890282
04-11,0.008895397186279297,0.3226814270019531,-0.12763261795043945,0.04558277130126909,0.12937498092651456,-0.14026355743408203,0.07608366012573153,0.8318276405334473,0.46114540100097656,-0.30999994277953924,0.8900003433227557,8.0,3.0,06-10,0.19888140938498786
04-12,0.008895397186279297,0.3226814270019531,-0.12763261795043945,0.2370312213897705,0.12937498092651456,-0.14026355743408203,0.07608366012573153,0.8221549987792969,0.41208696365356445,-0.44000005722046076,0.8300004005432129,8.0,3.0,06-11,0.19367389245466737
04-13,-0.47144412994384766,0.34957218170166016,-0.12763261795043945,0.1367485523223877,0.12937498092651456,-0.14026355743408203,0.07608366012573153,0.8221549987792969,0.4905800819396946,-0.23000001907348988,0.7400002479553223,7.0,4.0,06-12,0.16137948903170443
04-14,-0.47144412994384766,0.403353214263916,-0.12763261795043945,0.07293272018432617,0.12937498092651456,-0.14026355743408203,0.038042068481443536,0.5610003471374512,0.294348239898679,-0.38999986648559837,0.7200002670288086,7.0,4.0,06-13,0.09906469691883378
04-15,-0.47144412994384766,0.32268238067626953,-0.12763261795043945,0.1549816131591797,0.2217864990234384,-0.14026355743408203,-0.2092299461364746,0.5610003471374512,0.294348239898679,-0.37999963760376243,0.630000114440918,6.0,5.0,06-14,0.07783902775157542
04-16,-0.47144412994384766,0.3585352897644043,-0.12763261795043945,0.1367483139038086,0.2217864990234384,-0.14026355743408203,-0.22825098037719727,0.5610003471374512,0.294348239898679,-0.5399999618530265,0.5,6.0,5.0,06-15,0.05134794928810805
