,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.019999980926513672,-0.3700000047683716,-0.7399997711181632,0.6999998092651376,0.1599998474121076,-0.18000006675720237,0.3799999952316284,-0.34999990463256814,0.23000001907348677,-0.769999742507935,8.170000076293945,-6.8600006103515625,6.0,6.0,03-02,0.03249996900558472
01-03,-0.050000011920928955,-0.38999998569488525,-0.6599998474121094,0.6999998092651376,-0.2899999618530291,-0.25,0.48000001907348633,-0.3299999237060547,0.23000001907348677,-0.7200000286102308,7.859999656677244,-6.280000686645508,4.0,8.0,03-03,0.02499992152055075
01-04,-0.050000011920928955,-0.309999942779541,-0.029999732971192294,1.4000000953674325,-0.8599996566772488,-0.28999996185302734,0.48000001907348633,-0.2999999523162842,0.18999981880188033,-0.820000171661377,9.130000114440916,-5.129999160766602,4.0,8.0,03-04,0.28416678806145956
01-05,-0.050000011920928955,-0.25999999046325684,-0.059999942779541016,2.3900003433227557,-0.8999996185302761,-0.2799999713897705,0.6300001144409182,-0.330000042915344,0.1100001335144043,-1.0099999904632568,7.4200000762939435,-5.689999580383301,4.0,8.0,03-05,0.1641667932271956
01-06,-0.07999998331069946,-0.4099999666213989,-1.079999923706053,1.1700000762939453,-0.8999996185302761,-0.2200000286102295,0.6800000667572021,-0.23000001907348633,0.2899999618530287,-0.8600001335144052,8.229999542236326,-5.209999084472656,4.0,8.0,03-06,0.11500007410844153
01-07,-0.07999998331069946,-0.3799999952316284,-0.9900002479553214,0.6800003051757804,-0.2799997329711932,-0.20000004768371582,0.6500000953674319,-0.19000005722045898,0.20000004768371626,-0.9300003051757821,7.440000534057619,-4.059999465942379,4.0,8.0,03-07,0.15500009556611408
01-08,-0.1799999475479126,-0.34000003337860085,-1.1700005531311009,0.4700002670288095,0.039999961853027344,-0.2400000095367436,0.5999999046325684,-0.10000002384185791,0.20000004768371626,-0.8600001335144052,7.60000038146973,-3.4399986267089844,5.0,7.0,03-08,0.21500010291735383
01-09,-0.12999999523162853,-0.3200000524520872,-1.4500002861022976,0.6500000953674316,-0.06999969482421875,-0.31000006198883123,0.6999999284744263,0.020000100135803223,0.22000002861022994,-0.880000114440918,6.480000495910646,-4.539999961853029,5.0,7.0,03-09,0.03083337346712726
01-10,-0.13999998569488525,-0.2900000810623167,-1.720000267028806,0.46000003814697266,0.3100004196166992,-0.3799999952316282,0.8200000524520876,0.0,0.24000000953674316,-0.9400000572204581,2.9499988555908203,-4.040000915527344,5.0,7.0,03-10,-0.22750016053517622
01-11,-0.0899999737739563,-0.26999998092651345,-2.239999771118163,0.019999980926513672,-0.14000034332275568,-0.3400000333786004,0.800000071525574,0.0700000524520874,0.2799999713897705,-0.7600002288818346,3.3999996185302734,-5.779999732971193,5.0,7.0,03-11,-0.42083336412906647
01-12,-0.20999997854232788,-0.3299999237060547,-2.05999946594238,0.10999965667724432,0.30000019073486506,-0.29000008106231645,0.8800001144409182,0.0700000524520874,0.2799999713897705,-0.6500000953674316,4.7499999999999964,-5.579999923706055,6.0,6.0,03-12,-0.2274999568859736
01-13,-0.21999996900558472,-0.33999991416931175,-1.6100006103515625,0.17999982833862216,0.28999996185302557,-0.28000009059906006,0.9100000858306885,0.10000002384185791,0.15000009536743164,-0.44000005722045854,4.189998626708984,-7.189999580383301,6.0,6.0,03-13,-0.3550001333157224
