,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.09000003337860107,-0.4000000953674312,0.32000064849853693,1.1400003433227557,-0.15999984741210893,0.6000000238418581,-0.12000003457069397,0.37000003457069397,0.15999996662139893,-0.3700000047683716,0.37000006437301625,-0.6200000047683714,6.0,6.0,03-02,0.1000000884135568
01-03,-0.20000004768371582,-0.3200001716613765,0.11999988555908025,1.1400003433227557,-0.20000004768371582,0.6099998950958254,-0.12000000476837158,0.320000022649765,0.15999996662139893,-0.33000004291534424,0.3200000524520874,-0.7200000286102295,6.0,6.0,03-03,0.06499998519817994
01-04,-0.25999999046325684,-0.3700001239776607,0.6099996566772443,1.1400003433227557,-0.24999999999999956,0.5199999809265137,-0.11000001430511475,0.3400000035762787,0.16999995708465576,-0.25,0.25999999046325684,-0.5900001525878913,6.0,6.0,03-04,0.10083330422639848
01-05,-0.21000003814697266,-0.32000017166137695,0.949999809265134,1.1199998855590847,-0.3299999237060547,0.5399999618530276,-0.12000000476837158,0.3400000035762787,-0.16999995708465576,-0.2399998903274536,0.23000001907348633,-0.560000061988831,5.0,7.0,03-05,0.10249996930360793
01-06,-0.18999993801116943,-0.48000001907348633,1.2099995613098136,1.1799998283386204,-0.4699997901916504,0.5599999427795412,-0.12000000476837158,0.3400000035762787,-0.12000000476837158,-0.18999993801116943,0.20000004768371582,-0.5500000715255742,5.0,7.0,03-06,0.11416663477818138
01-07,-0.009999990463256836,-0.47000002861022994,2.1100001335144043,0.9000000953674316,-0.2099997997283931,0.5599999427795412,-0.12000000476837158,0.39000001549720764,-0.2200000286102295,-0.09000003337860107,0.23000001907348633,-0.5800000429153442,5.0,7.0,03-07,0.2075000231464704
01-08,0.0,-0.2999999523162842,2.3499999046325684,0.6100001335144043,-0.11999988555908159,0.5799999237060549,-0.14000001549720764,0.35999998450279236,-0.24000000953674316,-0.12000000476837158,0.18000006675720237,-0.5500000715255742,5.0,7.0,03-08,0.21750000615914666
01-09,-0.019999980926513672,-0.37999987602233887,2.1299996376037598,0.7200002670288077,-0.11999988555908159,0.6499999761581419,-0.15000000596046448,0.429999977350235,-0.3400000333786011,-0.029999971389770508,0.1600000858306887,-0.22000002861022927,5.0,7.0,03-09,0.2358333468437194
01-10,0.009999990463256614,-0.3900001049041748,1.7899994850158691,0.6400003433227539,-0.30999994277954146,0.640000104904175,-0.1600000262260437,0.429999977350235,-0.38999998569488525,-0.029999971389770508,0.18000006675720237,-0.3500000238418577,6.0,6.0,03-10,0.17166665941476822
01-11,-0.06000006198883079,-0.4200000762939453,1.6399998664855966,0.6500000953674299,-0.15999984741211026,0.43000006675720215,-0.270000010728836,0.4099999964237213,-0.4099999666213989,-0.0700000524520874,0.2900000810623167,-0.39000010490417547,5.0,7.0,03-11,0.13666666547457357
01-12,0.0,-0.36000013351440474,1.499999523162841,0.820000171661377,-0.24000000953674316,0.41000008583068825,-0.17000001668930054,0.4300000071525574,-0.3400000333786013,-0.18000006675720215,0.33000004291534424,-0.3799999952316291,5.0,7.0,03-12,0.1516666313012439
01-13,0.08000004291534446,-0.43000006675720215,1.1900005340576199,1.0699996948242205,0.019999980926513672,0.44000005722045943,-0.13999998569488525,0.4300000071525574,-0.41000008583068825,-0.26999998092651345,0.3400000333786011,-0.5500000715255744,7.0,5.0,03-13,0.1475000133117044
01-14,0.12999999523162864,-0.440000057220459,1.7699999809265163,0.820000171661377,-0.25,0.39999997615814253,-0.12000000476837164,0.4599999785423279,-0.35000002384185835,-0.25999999046325684,0.3899999856948855,-0.6200000047683716,6.0,6.0,03-14,0.16083333392938
01-15,0.24000000953674305,-0.33000016212463423,1.4700002670288113,0.9000000953674316,-0.1399998664855957,0.3300000429153449,-0.15999996662139893,0.4399999976158142,-0.39999997615814253,-0.31999993324279785,0.40999996662139915,-0.6599999666213991,6.0,6.0,03-15,0.14833337565263133
01-16,0.09000003337860107,-0.4100000858306885,1.179999828338624,0.6300001144409171,-0.17000007629394576,0.30999994277954124,-0.15000000596046448,0.46000000834465027,-0.2999999523162846,-0.31999993324279785,0.4299999475479127,-0.9699999690055852,6.0,6.0,03-16,0.06499998768170667
01-17,0.0,-0.36999988555908203,1.1899995803833017,0.6300001144409171,-0.31999993324279874,0.3299999237060547,-0.24000000953674316,0.41999998688697815,-0.2999999523162846,-0.2899999618530271,0.26999998092651356,-0.9300000071525577,5.0,7.0,03-17,0.032499986390272635
01-18,0.04999995231628418,-0.3399999141693115,1.1899995803833017,0.7100000381469691,-0.36999988555908203,0.31000006198883034,-0.24000000953674316,0.4699999988079071,-0.2099999189376831,-0.18000006675720237,0.40000003576278664,-0.8600000143051144,6.0,6.0,03-18,0.07749998817841187
01-19,0.11000001430511475,-0.3399999141693115,1.239999771118164,0.8599996566772461,-0.7899997234344487,0.37999999523162775,-0.21000000834465027,0.4699999988079071,-0.12000000476837136,-0.29999995231628396,0.31999999284744285,-0.5900000333786009,6.0,6.0,03-19,0.08583331604798633
