,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.265071868896488,-0.554046630859375,0.8908214569091761,4.122760772705078,-0.18468093872069602,-0.16295623779296875,-2.2596435546875,2.3400001525878906,6.770000457763679,0.6200027465820312,9.769996643066406,-1.600006103515625,6.0,6.0,03-02,1.4572647412618007
01-03,-1.6784343719482457,0.08691024780273438,0.7821846008300781,4.122760772705078,-0.09777450561524148,0.10863494873046875,-0.8310699462890696,2.8100013732910156,6.770000457763679,-0.45999908447265625,10.249999999999986,-2.029998779296875,7.0,5.0,03-03,1.6527679761250793
01-04,-1.260183334350586,0.385662078857429,1.0320491790771484,4.600761413574219,0.2552947998046875,-0.2878875732421875,-1.124389648437507,2.5400009155273438,6.459999084472656,-2.100006103515639,9.339996337890625,1.8899993896484375,8.0,4.0,03-04,1.8109413782755521
01-05,-0.9451370239257848,0.6029357910156321,0.7061386108398438,4.693101882934567,0.36936569213866477,-0.21184158325195312,-1.2167320251464915,2.3899993896484375,5.720001220703125,-2.900001525878892,9.300003051757812,0.6200027465820312,8.0,4.0,03-05,1.5939863522847493
01-06,-0.7930469512939453,0.49429893493653054,1.9880504608154297,4.258554458618168,0.9451408386230398,-0.8039093017578125,-1.0103225708007812,2.299999237060547,5.3899993896484375,-2.4300003051757812,9.540000915527344,5.7699966430664205,8.0,4.0,03-06,2.137396812438966
01-07,-0.7278652191162109,0.00543212890625,2.3845729827880824,4.399782180786133,0.798480987548821,-1.0048866271972656,-1.1950035095214915,2.5400009155273438,4.510002136230469,-2.2699966430664205,8.560005187988281,5.569999694824233,8.0,4.0,03-07,1.9642103513081854
01-08,-1.3362312316894567,0.16838836669921875,2.118413925170909,4.20423698425293,0.8365020751953125,-1.1298179626464844,-2.22161865234375,3.259998321533203,4.870002746582031,-2.260002136230497,8.740005493164062,4.3299942016601705,8.0,4.0,03-08,1.798322677612304
01-09,-1.11895751953125,0.16295242309570668,2.0858230590820312,4.19337272644043,0.8582305908203125,-1.4340057373046946,-2.5258026123046875,4.229999542236328,5.19000244140625,-2.3600006103515767,7.6100006103515625,1.1100006103515625,8.0,4.0,03-09,1.5001346270243312
01-10,-1.070072174072255,0.08147811889649503,2.102119445800785,3.954372406005856,0.4671363830566406,-1.3633880615234375,-2.7267799377441406,3.990001678466797,4.850002288818359,-1.4100036621093892,7.410003662109375,-0.5200042724609375,7.0,5.0,03-10,1.3137388229370124
01-11,-0.9125480651855469,-0.19011497497558238,1.8739814758300781,3.5850086212158203,0.510589599609375,-1.3090705871582031,-2.7267799377441406,4.0,4.369998931884766,-0.6399993896484375,7.319999694824219,-10.970001220703125,6.0,6.0,03-11,0.4092553456624352
01-12,-2.4171657562255895,-0.6952762603759695,1.1461162567138707,3.916351318359382,1.0537757873535156,-1.2764816284179688,-3.101573944091797,4.1100006103515625,5.620002746582024,0.5500030517578267,9.0,-6.3899993896484375,7.0,5.0,03-12,0.9596460660298683
01-13,-2.3574142456054723,-1.0266170501708984,0.9560031890869212,4.122760772705078,0.6789779663085938,-1.3470954895019602,-2.6941871643066406,4.759998321533196,5.55999755859375,0.8300018310546875,9.55999755859375,-11.400001525878906,7.0,5.0,03-13,0.6368684768676749
01-14,-2.65073394775391,-1.9282989501953054,1.2438888549804652,3.650190353393544,0.8690910339355398,-1.10809326171875,-2.5638236999511648,4.489997863769531,5.779998779296875,0.4199981689452983,10.259994506835938,-11.239997863769531,7.0,5.0,03-14,0.6018509864807108
01-15,-1.6295490264892578,-2.0423660278320277,0.7170009613037109,4.236829757690423,1.4068412780761648,-1.2004356384277415,-2.4334602355957102,5.3800010681152415,5.380001068115227,-0.3899993896484233,8.839996337890625,-11.589996337890625,6.0,6.0,03-15,0.5562386512756339
01-16,-2.0586624145507812,-1.6675701141357457,0.2335681915283203,4.155351638793945,1.6892967224120952,-1.678436279296875,-2.5258026123046875,5.079998016357415,5.6399993896484375,-0.3899993896484233,8.1199951171875,-14.519996643066406,6.0,6.0,03-16,0.17314513524373285
01-17,-1.4991855621337926,-1.8413887023925781,-0.3204784393310547,4.155351638793945,1.5589370727539062,-1.868549346923821,-1.8359565734863281,4.75999832153321,5.6399993896484375,-0.9199981689452983,7.3899993896484375,-8.740005493164062,5.0,7.0,03-17,0.5398936271667502
01-18,-0.9342746734619105,-1.6838665008544886,-0.3204784393310547,4.258556365966797,1.2819099426269531,-1.662139892578125,-1.8142318725585938,4.66999816894532,5.3899993896484375,-1.6100006103515767,6.310005187988281,-19.5,5.0,7.0,03-18,-0.4678769111633301
01-19,-1.0755023956298828,-1.6838665008544886,-0.04345512390137074,3.889188766479503,1.0592079162597656,-1.2221603393554688,-1.7707748413085938,4.66999816894532,4.8600006103515625,-2.1200027465820312,7.289993286132798,-10.55999755859375,5.0,7.0,03-19,0.27438577016194693
01-20,-1.0755023956298828,-1.3362293243408097,0.27159118652344816,3.8728942871093857,1.3145027160644531,-1.1624107360839773,-1.7707748413085938,5.270000457763686,5.400001525878899,-3.4399948120117188,7.929992675781236,-6.480003356933594,6.0,6.0,03-20,0.732838948567711
01-21,-1.9663219451904297,-0.34220504760741477,1.2438888549804723,3.6773490905761683,1.6132545471191406,-1.1624107360839773,-1.5263442993164062,4.470001220703132,5.169998168945305,-3.2899932861327983,7.519996643066392,-6.480003356933594,6.0,6.0,03-21,0.7439341545104993
01-22,-3.5632801055908203,0.2770252227783203,1.6349811553955078,3.6610527038574183,1.6132545471191406,-1.2601852416992045,-2.3248252868652344,4.0600013732910085,5.380001068115227,-3.7399978637695312,7.519996643066392,-6.57000732421875,7.0,5.0,03-22,0.5573347409566228
01-23,-4.291145324707031,0.38565826416014204,1.624116897583015,3.595870971679684,1.8087997436523438,-0.6300926208496094,-1.7653427124023438,4.0,5.770000457763672,-3.1399993896484517,7.540000915527344,-12.930000305175781,7.0,5.0,03-23,0.16398890813191525
01-24,-3.5578498840332067,0.22270584106444602,1.4937534332275426,3.145029067993164,1.2384567260742188,0.03802108764647727,-1.108093261718757,4.549999237060547,5.94000244140625,-3.6800003051757812,8.5,-15.029998779296875,8.0,4.0,03-24,0.14600213368733547
01-25,-3.954372406005863,-0.03259086608887429,0.7821846008300746,2.7322101593017543,1.5969581604003906,-0.554046630859375,-1.2927780151367188,4.549999237060547,5.650001525878906,-5.5,6.909996032714844,-18.720001220703125,6.0,6.0,03-25,-0.6527032852172866
01-26,-4.22053146362305,-0.08690834045410156,0.8256378173828125,1.9500293731689453,1.8305244445800781,0.2770233154296875,-1.488323211669929,4.05999755859375,5.63999938964843,-7.970001220703125,7.459999084472656,-16.6199951171875,7.0,5.0,03-26,-0.6952123641967788
01-27,-4.6007595062255895,-0.0054302215576171875,2.232481002807617,1.8685493469238281,2.189025878906243,1.1950035095214844,-1.3688201904296875,4.099998474121094,4.939998626708984,-6.560005187988281,8.6300048828125,-16.959999084472656,7.0,5.0,03-27,-0.36166270573934006
01-28,-4.42694091796875,0.2824535369873047,2.346549987792965,2.525800704956051,2.189025878906243,0.8582305908203054,-1.09722900390625,4.989997863769524,4.930000305175788,-7.180000305175781,8.919998168945312,-16.98000335693358,8.0,4.0,03-28,-0.22017637888590555
01-29,-4.807170867919922,0.45627403259277344,2.6127109527587855,2.69418907165527,2.232482910156243,0.9125480651855469,-1.8250961303710938,3.5100021362304688,4.989997863769538,-7.180000305175781,8.839996337890625,-16.93000030517578,8.0,4.0,03-29,-0.37450551986694397
01-30,-4.432373046875,0.46170616149902344,2.514938354492184,2.330255508422848,1.9337310791015625,1.9174385070800781,-0.9560012817382812,3.200000762939446,5.079998016357429,-6.879997253417969,7.3699951171875,-10.470001220703125,8.0,4.0,03-30,0.17247422536214133
01-31,-4.367191314697262,0.43997764587402344,2.471483230590824,2.23248291015625,2.1944618225097656,2.4714813232421875,-0.9668655395507884,4.0,4.069999694824219,-7.159996032714844,7.200004577636719,-9.430000305175781,8.0,4.0,03-31,0.2629865010579427
02-01,-4.035848617553722,0.43997764587402344,2.3791408538818395,1.7599143981933594,2.1021194458007884,3.8185768127441406,-1.10809326171875,3.979999542236321,3.8800010681152344,-6.099998474121094,9.180000305175781,-7.5,8.0,4.0,04-01,0.7329824765523268
02-02,-4.334600448608398,0.10863685607909801,2.466051101684574,1.6186828613281286,2.16729736328125,3.8674659729003906,-1.10809326171875,3.30999755859375,4.119998931884773,-3.5100021362304688,9.199996948242188,-8.5,8.0,4.0,04-02,0.7837859789530445
02-03,-5.33949089050293,0.6409549713134766,2.92775726318359,1.4883193969726634,2.1184120178222656,3.606739044189453,-1.0592079162597585,3.0,3.2299995422363352,-2.089996337890611,8.970001220703125,-11.029998779296875,8.0,4.0,04-03,0.5386241277058946
02-04,-4.774580001831055,1.010320663452152,2.9277572631835973,1.7055950164794922,1.656707763671875,3.38946533203125,-0.8527984619140554,2.7900009155273438,3.94000244140625,-1.5,8.300003051757812,-12.20999908447267,8.0,4.0,04-04,0.5318729082743326
02-05,-5.431829452514648,0.8908195495605362,2.9603481292724574,1.7164592742919922,1.3090705871582031,3.1993484497070312,-2.0749588012695312,4.19999694824218,4.0300025939941335,-1.1099929809570028,8.819999694824219,-12.64999389648439,8.0,4.0,04-05,0.48827250798543176
