,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.05999946594238281,0.7600002288818359,-0.7300014495849574,2.1400012969970668,-0.600000381469723,-2.909999847412113,-2.5100002288818253,3.0,7.0,03-02,-0.3445455377752121
01-03,0.0,0.0,0.0,0.0,0.0,0.7600002288818359,-0.7300014495849574,2.1400012969970668,-0.350000381469723,-2.4400005340576136,-2.6700000762939524,2.0,8.0,03-03,-0.2990909923206676
01-04,0.0,0.0,0.0,0.0,0.0,0.7600002288818359,0.7299995422363281,2.1400012969970668,-2.25,-2.4400005340576136,-2.1700000762939453,3.0,7.0,03-04,-0.2936363220214844
01-05,0.0,0.0,0.0,0.0,0.0,0.7600002288818359,1.409999847412113,2.2200012207031214,-2.180000305175785,-2.3000011444091797,-1.9899997711181676,3.0,7.0,03-05,-0.18909090215509652
01-06,0.0,0.0,0.0,0.0,-0.5599994659423828,0.7600002288818359,1.409999847412113,2.2200012207031214,-2.5500011444091797,-1.810001373291012,-1.6299991607666051,3.0,7.0,03-06,-0.19636362249200995
01-07,0.0,0.0,0.0,0.0,-0.5599994659423828,0.7600002288818359,1.409999847412113,2.2200012207031214,-2.4600009918212926,-1.810001373291012,-1.4200000762939453,3.0,7.0,03-07,-0.16909096457741477
01-08,0.0,0.0,0.0,0.0,-0.5599994659423828,0.7600002288818359,1.409999847412113,2.1200008392333984,-2.4600009918212926,-1.810001373291012,-1.499999999999993,3.0,7.0,03-08,-0.185454628684303
01-09,0.0,0.0,0.0,0.0,-0.5599994659423828,1.25,1.409999847412113,2.1200008392333984,-2.4600009918212926,-1.810001373291012,-1.44000053405761,3.0,7.0,03-09,-0.13545469804243512
01-10,0.0,0.0,0.0,0.0,-0.5599994659423828,1.25,1.409999847412113,2.1200008392333984,-2.1300010681152415,-1.810001373291012,-1.5900001525878942,3.0,7.0,03-10,-0.1190910339355472
01-11,0.0,0.0,0.0,0.0,-0.5599994659423828,1.25,1.409999847412113,2.1200008392333984,-2.230001449584961,-1.4000015258789062,-2.04000091552734,3.0,7.0,03-11,-0.13181842457164353
01-12,0.0,0.0,0.0,0.0,-0.5599994659423828,1.25,1.409999847412113,2.1200008392333984,-1.8299999237060511,-0.6500015258789062,-2.25,3.0,7.0,03-12,-0.04636365717107535
01-13,0.0,0.0,0.0,0.0,-0.5599994659423828,1.25,1.409999847412113,2.1200008392333984,-1.9699993133544993,-0.9300003051757812,-3.5200004577636683,3.0,7.0,03-13,-0.19999989596280185
01-14,0.0,0.0,0.0,0.0,-0.5599994659423828,1.25,1.2299995422363246,2.420000076293949,-1.7699985504150426,-0.9600009918212891,-3.4899997711181605,3.0,7.0,03-14,-0.1709090146151456
01-15,0.0,0.0,0.0,0.0,-0.5599994659423828,1.25,1.510000228881836,2.420000076293949,-2.289999008178711,-0.8400001525878871,-3.559999465942383,3.0,7.0,03-15,-0.18818161704323444
01-16,0.0,0.0,0.0,0.0,-0.5599994659423828,0.14999961853026988,0.8999996185302734,2.420000076293949,-2.289999008178711,-0.8400001525878871,-4.809999465942383,3.0,7.0,03-16,-0.4572726162997156
01-17,0.0,0.0,0.0,0.0,-1.3099994659423828,0.14999961853026988,0.8999996185302734,2.420000076293949,-2.389999389648434,-0.9099998474121094,-4.159999847412109,3.0,7.0,03-17,-0.4818181124600494
01-18,0.0,0.0,0.0,0.0,-1.3099994659423828,0.5699996948242116,0.8999996185302734,2.420000076293949,-2.389999389648434,-0.9099998474121094,-5.389999389648441,3.0,7.0,03-18,-0.5554544275457212
01-19,0.0,0.0,0.0,0.0,-1.3099994659423828,0.5699996948242116,0.8999996185302734,2.7499999999999964,-2.389999389648434,-0.5900001525878871,-4.540000915527351,3.0,7.0,03-19,-0.41909096457741574
01-20,0.0,-1.1499996185302734,0.0,0.0,-1.3099994659423828,0.5699996948242116,0.8999996185302734,1.7499999999999964,-2.5,-0.07999992370605113,-3.7800006866455114,3.0,7.0,03-20,-0.5090909437699761
01-21,0.0,-1.1499996185302734,0.0,0.0,-1.3099994659423828,0.5699996948242116,0.8600006103515625,1.7499999999999964,-2.5,-0.07999992370605113,-3.7800006866455114,3.0,7.0,03-21,-0.512727217240768
01-22,0.0,-1.1499996185302734,0.0,0.0,-1.3099994659423828,0.5699996948242116,0.35000038146972656,1.7499999999999964,-2.3999996185302734,-0.07999992370605113,-3.700000762939453,3.0,7.0,03-22,-0.5427272103049545
01-23,0.0,-1.1499996185302734,0.0,0.0,-1.3099994659423828,0.5699996948242116,0.26000022888183594,1.7499999999999964,-2.3999996185302734,-0.07999992370605113,-4.079999923706048,3.0,7.0,03-23,-0.5854544206099077
01-24,0.0,-1.1499996185302734,0.0,0.0,-1.3099994659423828,0.9999999999999964,0.26000022888183594,1.7499999999999964,-2.3999996185302734,0.9899997711181641,-4.3899993896484375,4.0,6.0,03-24,-0.47727255387739764
01-25,0.0,-1.1499996185302734,0.0,0.0,-2.0399990081787074,1.0299987792968714,0.26000022888183594,1.7499999999999964,-2.2999992370605504,0.9899997711181641,-3.9999999999999964,4.0,6.0,03-25,-0.49636355313387814
01-26,0.0,-1.1499996185302734,0.0,0.0,-2.0399990081787074,1.0299987792968714,0.26000022888183594,1.7499999999999964,-2.2999992370605504,1.25,-2.6700000762939418,4.0,6.0,03-26,-0.3518180847167972
01-27,0.0,-1.1499996185302734,0.0,0.0,-2.0399990081787074,1.0299987792968714,0.26000022888183594,1.7499999999999964,-2.1499996185302734,1.3700008392333949,-2.2200012207031214,4.0,6.0,03-27,-0.28636360168457065
01-28,0.0,-1.0,0.0,0.0,-2.0399990081787074,1.0299987792968714,0.26000022888183594,1.6900005340576172,-2.1499996185302734,1.4699993133544922,-2.270000457763672,4.0,6.0,03-28,-0.2736363844438033
01-29,0.0,-1.0,0.0,0.0,-2.0399990081787074,1.0299987792968714,0.26000022888183594,1.7900009155273473,-2.1499996185302734,1.4699993133544922,-2.100000381469723,4.0,6.0,03-29,-0.24909088828346881
01-30,0.0,-1.0,0.0,0.0,-2.0399990081787074,0.4099998474121058,-0.5,1.7900009155273473,-2.1499996185302734,1.4699993133544922,-1.7700004577636719,3.0,7.0,03-30,-0.3445453643798825
01-31,0.0,-1.0,0.0,0.0,-2.0399990081787074,-0.1900005340576243,-1.2999992370605469,1.7900009155273473,-2.5,1.5500011444091797,-2.370000839233388,2.0,8.0,03-31,-0.5509088689630672
