,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-4.134802341461182,-0.9868149757385245,1.015854835510254,3.74296283721924,0.04053878784179332,4.0360679626464915,5.628726959228516,-6.516357421875,1.3596954345703125,0.34244537353515625,2.5427856445312482,-2.045792579650879,8.0,4.0,03-02,0.41877587636311886
01-03,-4.21622109413147,-0.9868149757385245,1.2636222839355469,3.74296283721924,0.04053878784179332,4.986747741699219,6.628215789794922,-4.729469299316406,1.3596954345703125,-0.48127365112303977,2.4212541580200195,-1.4378452301025408,7.0,5.0,03-03,0.7159510652224227
01-04,-4.082119464874268,-0.5738663673400906,0.8341550827026367,3.74296283721924,0.04053878784179332,2.6791915893554616,5.812835693359375,-4.542781829833984,1.4503440856933594,-2.249031066894524,2.094057083129883,-1.5922441482543928,7.0,5.0,03-04,0.3011701901753741
01-05,-4.086909294128418,-1.2443747520446804,1.2553615570068377,4.12618350982666,0.5117893218994141,4.22620773315429,5.786537170410156,-4.284969329833984,1.0333633422851634,-2.896900177001953,1.9164361953735352,-1.765943527221678,7.0,5.0,03-05,0.38139847914377856
01-06,-4.029437065124512,-1.2443747520446804,0.908485412597658,4.12618350982666,0.5117893218994141,3.8891410827636648,6.303821563720703,-2.6225433349609375,1.0333786010742188,-2.8321075439453125,1.8042564392089844,-1.7369937896728516,7.0,5.0,03-06,0.5092999537785842
01-07,-3.8091278076171893,-1.2443747520446804,0.9679498672485387,4.12618350982666,1.305654525756836,3.4310836791992188,6.075862884521484,-0.542285919189446,1.3325042724609375,-2.3323211669921875,1.6453323364257812,-1.8238439559936523,7.0,5.0,03-07,0.7610514561335252
01-08,-4.406199932098389,-0.8974981307983398,0.9679498672485387,2.8658609390258807,1.3613929748535156,3.5434379577636648,5.286796569824219,-0.044452667236328125,1.3687629699707102,-2.2397689819335938,1.4490146636962908,-2.1133422851562518,7.0,5.0,03-08,0.5951628287633265
01-09,-3.8921422958374023,-0.8974981307983398,0.9679498672485387,3.3035840988159197,1.4965152740478516,6.42140197753907,4.997467041015625,-0.4711761474609375,0.9608535766601562,-4.8497581481933665,0.9815902709960938,-3.9564857482910156,7.0,5.0,03-09,0.42185846964518275
01-10,-3.8139171600341797,-0.8974981307983398,1.2966575622558612,2.626349449157715,2.425504684448242,5.220104217529297,4.4626502990722585,-1.15570068359375,0.054386138916015625,-2.8413658142089844,0.8413639068603516,-3.358187675476074,7.0,5.0,03-10,0.40502889951070103
01-11,-3.381279230117798,-0.999908447265625,1.0901832580566406,2.626349449157715,2.425504684448242,3.8545761108398438,3.9804420471191335,-0.9067840576171875,-0.5257492065429688,-3.3504104614257812,1.11246871948242,-3.9564847946166974,6.0,6.0,03-11,0.16407567262649478
01-12,-3.4706807136535645,-1.5347175598144513,1.0901832580566406,3.2969808578491193,2.388347625732422,3.99285888671875,4.795818328857415,-1.7691116333007812,-0.17223358154297586,-4.803493499755859,0.8039693832397461,-3.580137252807617,6.0,6.0,03-12,0.08648200829823693
01-13,-3.159372806549073,-1.8412370681762695,1.0241127014160156,3.2969808578491193,2.3326053619384766,3.17181396484375,3.822620391845703,0.25780487060546875,0.5710716247558594,-4.118595123291023,0.8694086074829102,-4.139834403991697,8.0,4.0,03-13,0.1739482482274366
01-14,-2.4138307571411133,-1.8412370681762695,0.73504638671875,2.989747047424318,2.346118927001953,2.8866119384765625,3.7963218688964844,-1.4046173095703125,0.262866973876946,-4.673912048339844,1.0563783645629883,-4.245985031127926,7.0,5.0,03-14,-0.04220755894978856
01-15,-1.4032790660858154,-1.2364006042480487,0.18169784545898438,2.9980058670043963,2.3359851837158203,2.3939857482910156,3.594676971435547,1.2446022033691406,0.33538436889647727,-4.535076141357422,1.1124696731567383,-4.139834403991697,8.0,4.0,03-15,0.24018480380376137
01-16,-1.0153415203094478,-1.5353765487670916,0.039643287658691406,3.097113609313965,2.3359851837158203,0.33705902099609375,2.8757362365722656,0.6756401062011719,1.314361572265618,-4.535076141357422,1.2153024673461914,-5.346081256866457,8.0,4.0,03-16,-0.04508616526921679
01-17,-0.7263839244842529,-1.3916711807251012,-0.6194219589233416,3.097113609313965,2.195789337158203,1.4000892639160156,4.208400726318359,0.49784088134764914,1.314361572265618,-5.432838439941399,1.1685590744018537,-4.9697318077087385,7.0,5.0,03-17,0.06184226274490253
01-18,-0.791838645935059,-1.3916711807251012,-0.6194219589233416,3.097113609313965,2.195789337158203,2.5581932067871094,3.4631614685058594,1.7868919372558594,1.7041473388671875,-4.88677978515625,0.8320140838623065,-5.654879570007326,7.0,5.0,03-18,0.19105998675028438
01-19,-0.791838645935059,-1.3916711807251012,-0.4195566177368182,3.014524459838867,2.195789337158203,2.929828643798828,2.884502410888672,1.7868919372558594,2.0395393371582102,-6.136238098144531,1.0470304489135742,-5.500480175018312,7.0,5.0,03-19,0.13819348812103271
01-20,-0.791838645935059,-1.3916711807251012,0.4707622528076172,2.56027889251709,2.195789337158203,2.5581932067871094,2.884502410888672,2.213611602783196,2.275218963623054,-6.126991271972649,1.2900886535644531,-5.4522299766540545,8.0,4.0,03-20,0.22380952040354427
01-21,-1.069621086120606,-0.9590330123901385,0.7713880538940447,2.743629455566408,2.0420875549316406,2.5581932067871094,2.0252838134765625,1.795776367187507,2.021411895751953,-5.821563720703118,1.0376806259155273,-5.4522299766540545,8.0,4.0,03-21,0.14108359813690305
01-22,-0.9770267009735107,-1.1935853958129865,1.0654067993164062,2.743629455566408,2.0420875549316406,2.3853416442871094,1.3414306640625,1.2001457214355469,1.6769561767578125,-5.562419891357408,1.0376806259155273,-5.384680271148682,8.0,4.0,03-22,0.031247198581697038
01-23,-0.7343664169311523,-1.2784872055053693,1.0654067993164062,2.1820201873779297,2.0420875549316406,2.4285545349121094,2.9195709228515696,1.82244873046875,1.6678924560546875,-5.312522888183587,0.9441957473754883,-5.809278964996335,8.0,4.0,03-23,0.16146012147267816
01-24,-0.19955539703369185,-1.2784872055053693,1.0654067993164062,2.1820201873779297,1.2313346862792969,3.4051666259765625,1.5430793762207102,1.5113029479980469,1.6950912475585938,-5.627204895019531,0.6169986724853516,-5.3171305656433105,8.0,4.0,03-24,0.0690018733342496
01-25,-0.27139592170715376,-1.2784872055053693,1.0654067993164062,2.0581369400024414,1.4762458801269531,3.068103790283203,1.6482963562011719,1.5113029479980469,1.21466064453125,-5.867839813232422,-0.392636299133299,-4.680233001708985,7.0,5.0,03-25,-0.03736990690231301
01-26,-0.27139592170715376,-1.2223262786865199,0.6029062271118146,1.8268842697143555,0.94757080078125,3.6125831604003906,1.253753662109375,0.8267745971679616,2.2752227783203125,-7.941017150878906,-0.43937778472900213,-3.8503355979919434,7.0,5.0,03-26,-0.1982297698656721
01-27,-0.14368009567260742,-1.2223262786865199,0.875450134277342,1.8268842697143555,1.2499141693115234,3.8891448974609375,1.7885627746582031,0.8534393310546875,3.2360687255859446,-6.03443527221679,-0.5609083175659197,-3.695936679840088,7.0,5.0,03-27,0.1718481381734224
01-28,-0.20913481712341309,-0.7119235992431641,1.128175735473631,2.5041189193725586,1.2499141693115234,3.275531768798828,2.18310546875,1.2357139587402415,3.544269561767578,-6.497200012207031,-0.7291803359985352,-4.110885143280029,7.0,5.0,03-28,0.23854213953018233
01-29,-0.17241621017456055,-0.7829484939575195,1.59893703460693,2.6858139038085938,1.2499141693115234,3.569377899169922,1.0871658325195312,1.191253662109375,4.115341186523445,-6.497200012207031,-0.4113321304321289,-4.004735469818117,7.0,5.0,03-29,0.30243094762166356
01-30,-0.2506422996520996,-1.0472373962402362,1.59893703460693,2.6858139038085938,1.2499141693115234,3.206390380859375,1.4290924072265625,1.8580055236816406,4.0790863037109375,-6.821132659912109,-0.6076498031616211,-3.7731351852417,7.0,5.0,03-30,0.3006201982498164
01-31,-0.38474440574645996,-1.0472373962402362,1.7955017089843732,2.6858139038085938,1.2499141693115234,3.880500793457024,1.4115753173828054,2.320281982421875,4.033756256103516,-5.747520446777351,-0.6450443267822266,-3.840686321258545,7.0,5.0,03-31,0.4760092695554077
02-01,-0.11813712120056152,-1.0472373962402362,1.4849662780761719,2.099428176879883,0.4138221740722656,4.805259704589844,0.59619140625,3.475982666015625,3.426433563232422,-5.571674346923821,-0.42068195343017756,-4.0915846824646,7.0,5.0,04-01,0.4210640390714013
02-02,0.1915740966796875,-1.129826545715332,1.4849662780761719,2.112642288208008,1.1502609252929723,5.660865783691406,0.59619140625,4.329425811767578,3.498943328857422,-2.4526519775390696,0.4393787384033203,-4.0915846824646,9.0,3.0,04-02,0.982515454292297
