,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.3400001525878906,0.9000005722045881,1.1100006103515607,2.260000228881834,3.760000228881836,0.7700004577636701,1.9900007247924805,-0.4200000762939453,3.3999996185302734,-0.25,0.7199993133544886,-12.240001678466804,8.0,4.0,03-02,-0.028333346048992365
01-03,-2.4499998092651376,0.9000005722045881,1.0900001525878888,2.260000228881834,3.9499998092651367,0.3800001144409162,1.830000877380371,-0.25,3.3999996185302734,-0.2999992370605469,1.2300004959106463,-11.589998245239261,8.0,4.0,03-03,0.03750038146972582
01-04,-2.799999713897705,1.150000572204588,1.1800003051757812,2.210000514984128,3.760000228881836,0.4700002670288068,1.9100008010864276,-0.2799997329711932,3.0,1.6500015258788991,0.7799987792968786,-12.360002517700195,9.0,3.0,03-04,0.055833419164020924
01-05,-2.7699995040893537,1.150000572204588,1.0399999618530273,2.260000228881835,4.039999961853029,0.600000381469723,1.820000648498537,-0.11999988555908381,3.0,2.75,4.189998626708981,-13.390001296997067,9.0,3.0,03-05,0.3808333079020179
01-06,-2.8000001907348615,1.6000003814697266,1.0799999237060547,1.9800004959106454,3.6500005722045916,0.5100002288818342,1.320000648498537,-0.35999965667724787,3.0,1.4499969482421946,4.25,-11.160001754760746,9.0,3.0,03-06,0.3766664663950608
01-07,-2.7699995040893537,1.6700000762939453,0.8000001907348668,1.7999997138977069,3.75,0.6000003814697266,0.8200006484985369,0.13000011444091797,2.3999996185302734,1.4499969482421946,3.489999771118164,-11.219999313354496,10.0,2.0,03-07,0.24333322048187359
01-08,-2.0900001525878906,2.3700008392334,0.8999996185302734,1.7699999809265137,3.5900001525878906,0.8299999237060547,0.8900003433227521,0.3900003433227557,2.3999996185302734,2.549999237060554,4.409999847412109,-11.289999008178722,10.0,2.0,03-08,0.5600000619888302
01-09,-2.260000228881836,2.309999465942383,1.1899995803833008,2.070000171661377,3.460000038146971,0.7799997329711914,0.26000022888183594,1.4300003051757812,3.0500011444091797,2.200000762939453,2.9800004959106428,-13.579999923706051,10.0,2.0,03-09,0.32416681448618573
01-10,-2.299999713897705,2.349999427795412,1.130000114440918,1.760000228881836,3.280000686645508,0.26000022888183594,-0.2200002670288086,0.6600008010864258,1.9500007629394531,2.549999237060554,2.300000190734865,-14.39999771118164,9.0,3.0,03-10,-0.05666633447011223
01-11,-2.0799999237060547,2.2699995040893555,1.4300003051757795,1.5399999618530273,3.09999942779541,0.6599998474121094,0.09000015258789062,1.1900005340576172,2.0,0.3000030517578054,2.1999998092651385,-16.229999542236328,10.0,2.0,03-11,-0.29416640599568744
01-12,-2.0199999809265137,1.9499998092651367,1.119999885559082,0.8599996566772461,3.130000114440916,0.6099996566772461,0.26000022888183594,1.390000343322754,2.299999237060547,0.10000228881835938,2.7100000381469744,-16.710000991821293,10.0,2.0,03-12,-0.35833330949147574
01-13,-2.119999885559082,1.9200000762939435,0.9699993133544922,0.8299999237060547,3.1500005722045863,0.32999992370605646,-0.11999988555908203,1.609999656677246,1.75,1.4499969482421946,3.050000190734865,-17.819999694824222,9.0,3.0,03-13,-0.4166669050852456
01-14,-2.05999994277954,1.9300003051757812,0.5699996948242188,0.8399991989135724,3.720000267028807,0.3400001525878924,0.1999998092651385,0.9899997711181641,2.0,4.149997711181648,3.2599992752075178,-18.540000915527347,10.0,2.0,03-14,-0.21666705608367906
01-15,-2.2800002098083523,2.109999656677246,0.46000003814697266,0.7999992370605451,3.25,0.35999965667724965,0.6000003814697248,1.609999656677246,1.8000011444091797,3.4499969482421946,2.989998817443846,-17.189998626708988,10.0,2.0,03-15,-0.1700002749760947
01-16,-1.8799996376037624,1.719999313354494,-0.0200004577636701,0.6999998092651349,3.25,0.5900001525878906,0.35000038146972656,1.2799997329711879,1.8000011444091797,3.4499969482421946,3.0999994277954084,-18.30000114440918,9.0,3.0,03-16,-0.3300003608067829
01-17,-1.6199998855590803,1.5899991989135742,-0.4099998474121076,0.6999998092651349,3.0599994659423846,0.880000114440918,0.7299995422363281,0.5799999237060529,1.8000011444091797,3.5999984741210938,2.92000102996826,-17.68000030517578,9.0,3.0,03-17,-0.3208334445953369
01-18,-1.510000228881835,1.3999996185302734,-0.4099998474121076,0.4700002670288086,2.52000045776367,1.3200006484985352,1.109999656677246,0.6199998855590785,1.7000007629394531,4.350002288818352,4.039999008178711,-17.770000457763672,9.0,3.0,03-18,-0.17999982833862394
01-19,-1.260000228881835,1.3999996185302734,0.07000064849853516,0.3600006103515643,2.2500000000000018,1.5700006484985352,1.25,0.6199998855590785,2.3500003814697266,3.5,4.179999351501465,-17.17000102996826,10.0,2.0,03-19,-0.07333334287007649
01-20,-1.260000228881835,1.6000003814697266,0.2199993133544922,0.4999999999999982,2.4200000762939453,1.6800003051757812,1.25,0.6099996566772443,2.1000003814697266,3.4499969482421946,4.060000419616699,-19.39000129699707,10.0,2.0,03-20,-0.23000033696492483
01-21,-1.130000114440917,1.7899999618530256,0.7000007629394531,0.8299999237060547,2.7500000000000018,1.6800003051757812,1.4300003051757812,0.7700004577636719,2.25,4.25,4.609999656677246,-19.39000129699707,10.0,2.0,03-21,0.04499999682108561
01-22,-0.3099999427795437,1.6700000762939489,0.5000000000000018,0.7600002288818377,2.7500000000000018,1.6900005340576172,1.359999656677246,0.5799999237060547,1.5,3.6499977111816477,4.609999656677246,-18.380001068115238,10.0,2.0,03-22,0.03166639804840177
01-23,-0.48000001907348633,1.6499996185302734,0.32000064849853693,0.6700000762939471,2.3900003433227557,1.7100000381469727,1.0500001907348633,0.11999988555908025,1.7999992370605469,4.049999237060547,4.819999694824219,-19.51000022888184,10.0,2.0,03-23,-0.117500106493632
01-24,-0.309999942779541,1.6599998474121094,0.2300004959106463,0.8100004196166974,2.1199998855590803,1.5199995040893555,0.7899999618530291,-0.05000019073486328,1.7999992370605469,3.75,5.439999580383306,-19.94999980926514,9.0,3.0,03-24,-0.182500084241231
01-25,-0.3899998664855948,1.6299991607666016,0.10999965667724432,1.0300002098083496,1.75,1.4099998474121076,0.7600002288818377,-0.05000019073486328,2.049999237060547,2.0,5.400000572204586,-17.8100004196167,9.0,3.0,03-25,-0.17583346366882355
01-26,-0.5299997329711914,1.7999992370605469,-0.010000228881835938,1.0300002098083496,2.0000000000000018,1.6199998855590803,0.11999988555908558,0.2700004577636719,1.9500007629394531,0.549999237060554,3.7899999618530273,-16.520000457763672,9.0,3.0,03-26,-0.32750006516774405
01-27,-0.32999992370605646,1.7099990844726545,0.09000015258788885,0.9800000190734863,2.3299999237060565,1.9099998474121076,-0.4300003051757795,0.14999961853027344,1.6000003814697266,1.299999237060554,3.890000343322754,-15.59000015258789,9.0,3.0,03-27,-0.19916681448618542
01-28,-0.25999975204467773,1.5600004196166974,0.3400001525878906,1.330000400543213,2.3299999237060565,1.75,-0.36999988555908025,-0.05000019073486328,1.8500003814697266,-0.20000076293944602,3.40000057220459,-15.59000015258789,7.0,5.0,03-28,-0.3258332411448153
