,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-7.471264367816093,7.777777777777778,1.8181818181818181,6.685432506652768,-5.655685759988923,1.5384615384615385,4.0,1.1764705882352942,0.0,14.821125468250845,-2.127659574468085,-5.057913070412316,7.0,5.0,1.458743910406219
01-03,-7.471264367816093,7.777777777777778,1.8181818181818181,6.685432506652768,-2.5640978431253862,1.5384615384615385,14.000000000000002,1.1764705882352942,0.0,14.821125468250845,-2.127659574468085,-15.737978815693074,7.0,5.0,1.6597040913714505
01-04,-7.471264367816093,7.777777777777778,1.8181818181818181,6.685432506652768,-2.5640978431253862,1.5384615384615385,14.000000000000002,1.1764705882352942,0.0,14.821125468250845,-2.127659574468085,-12.044818953382308,7.0,5.0,1.967467413230681
01-05,-7.471264367816093,6.666666666666667,1.8181818181818181,2.7445524192534996,-2.5640978431253862,-1.5711818835717553,14.000000000000002,1.1764705882352942,0.0,14.821125468250845,-10.638297872340425,-20.43010752688172,6.0,6.0,-0.1206627110956043
01-06,-7.471264367816093,6.666666666666667,1.8181818181818181,2.7445524192534996,-2.5640978431253862,-1.5711818835717553,9.0,1.1764705882352942,2.5210084033613445,14.821125468250845,-10.638297872340425,-20.43010752688172,7.0,5.0,-0.3272453441488257
01-07,-7.471264367816093,6.666666666666667,1.8181818181818181,2.7445524192534996,-2.5640978431253862,-1.5711818835717553,9.0,-8.235294117647058,2.5210084033613445,14.821125468250845,-10.638297872340425,-22.537633424164145,6.0,6.0,-1.287186227745891
01-08,-9.195402298850574,6.666666666666667,1.8181818181818181,2.7445524192534996,-2.5640978431253862,0.015867833359053226,9.0,-8.235294117647058,2.5210084033613445,14.821125468250845,-10.638297872340425,-22.537633424164145,7.0,5.0,-1.2986102455878634
01-09,-9.195402298850574,6.666666666666667,1.8181818181818181,2.7445524192534996,-2.5640978431253862,0.0,9.0,5.88235294117647,2.5210084033613445,1.1925055431709792,-19.148936170212767,-22.537633424164145,7.0,5.0,-1.9684001620451745
01-10,-9.195402298850574,6.666666666666667,1.8181818181818181,2.7445524192534996,-2.5640978431253862,0.0,9.0,5.88235294117647,2.5210084033613445,1.1925055431709792,-19.148936170212767,-23.869564222252887,7.0,5.0,-2.079394395219236
01-11,-9.195402298850574,6.666666666666667,1.8181818181818181,1.224493609026674,4.600306050328225,0.0,9.0,5.88235294117647,2.5210084033613445,4.599660524440945,-19.148936170212767,-23.923445214251505,8.0,4.0,-1.3295928058443918
01-12,-9.195402298850574,6.666666666666667,1.8181818181818181,1.224493609026674,4.600306050328225,0.015867833359053226,9.0,5.88235294117647,2.5210084033613445,0.034483547868399786,-19.148936170212767,-23.869564222252887,9.0,3.0,-1.7042118184456312
01-13,-9.195402298850574,6.666666666666667,0.9090909090909091,4.4520547945205475,4.600306050328225,3.076923076923077,9.0,5.88235294117647,0.033614214728860295,1.7241379310344827,-19.148936170212767,-23.869564222252887,9.0,3.0,-1.322396342237249
01-14,-9.195402298850574,6.666666666666667,0.9090909090909091,4.4520547945205475,4.600306050328225,3.076923076923077,9.0,5.88235294117647,0.033614214728860295,1.7241379310344827,-16.618074690055835,-23.869564222252887,9.0,3.0,-1.111491218890838
01-15,-9.195402298850574,6.666666666666667,0.9090909090909091,4.778156996587031,4.600306050328225,3.076923076923077,9.0,5.88235294117647,-10.148147300437644,1.7241379310344827,-16.618074690055835,-23.869564222252887,8.0,4.0,-1.9327961616491731
01-16,-6.896551724137931,6.666666666666667,0.9090909090909091,4.778156996587031,4.600306050328225,7.6923076923076925,9.0,5.88235294117647,-10.148147300437644,1.7241379310344827,-16.618074690055835,-23.869564222252887,8.0,4.0,-1.3566098958077346
01-17,-6.896551724137931,6.666666666666667,0.9090909090909091,4.778156996587031,-4.072393399641936,4.777016984151479,10.784313725490197,5.88235294117647,-10.148147300437644,1.7241379310344827,-16.618074690055835,-17.869567871093732,7.0,5.0,-1.6735832359308198
01-18,-6.896551724137931,6.666666666666667,0.9090909090909091,4.778156996587031,-4.072393399641936,0.015867833359053226,10.784313725490197,5.88235294117647,-10.185185185185185,1.7241379310344827,-16.618074690055835,-69.43750381469724,7.0,5.0,-6.370760150859443
01-19,-6.896551724137931,6.666666666666667,0.9090909090909091,4.778156996587031,-4.102169641599121,0.015867833359053226,10.784313725490197,5.88235294117647,-5.3097345132743365,1.7241379310344827,-16.618074690055835,-69.43750381469724,7.0,5.0,-5.9669539483633045
01-20,-6.896551724137931,6.666666666666667,4.363639137961648,4.778156996587031,-4.102169641599121,0.015867833359053226,10.784313725490197,5.88235294117647,-2.6548672566371683,1.7241379310344827,-16.618074690055835,-59.47059182559741,7.0,5.0,-4.627259992145993
