,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.5900001525878906,-0.49000024795532227,1.5599994659423828,-0.10000038146972656,0.6400003433227504,-0.09000015258788885,-0.5999999046325684,-0.3600001335144043,-0.07000017166137784,0.6100001335144043,0.48000001907348544,-0.5199999809265128,4.0,8.0,03-02,-0.12750009695688905
01-03,-2.7899999618530273,-0.46000003814697266,1.5499992370605469,-0.10000038146972656,0.3000001907348615,-0.029999732971187854,-0.559999942779541,-0.009999752044677734,-0.07000017166137784,0.5499997138977051,0.41000032424926847,-0.4699997901916504,4.0,8.0,03-03,-0.14000002543131496
01-04,-2.880000114440918,-0.3899998664855957,1.5299997329711896,-0.5500001907348633,0.1700000762939453,-0.039999961853027344,-0.6100001335144034,-0.07999992370605469,-0.38000011444091797,0.7099995613098145,0.3699998855590829,-0.4400000572204581,4.0,8.0,03-04,-0.2158334255218505
01-05,-2.929999828338622,-0.21000003814697266,1.3999996185302734,-0.6099996566772461,0.07999992370605469,-0.029999732971193183,-0.559999942779541,0.0,-0.19999980926513583,1.239999771118164,-0.15999984741210938,-0.3800001144409171,3.0,9.0,03-05,-0.1966666380564371
01-06,-3.2899999618530256,-0.21000003814697266,1.3699998855590803,-0.8299999237060529,-0.009999275207519531,-0.01000022888183949,-0.40000009536743253,0.17999982833862305,-0.18999958038330078,0.7199997901916504,-0.09999990463256836,-0.4700002670288086,3.0,9.0,03-06,-0.2699999809265139
01-07,-3.5899996757507306,-0.440000057220459,1.390000343322754,-1.4400005340576172,0.11000061035156072,-0.02000045776367365,-0.4099998474121085,0.2199997901916504,-0.5999999046325701,0.48999977111816406,-0.039999961853027344,-0.4700002670288086,4.0,8.0,03-07,-0.4000000158945722
01-08,-4.390000343322756,-0.5500001907348642,1.2799997329711932,-1.4600000381469727,0.07000064849853338,-0.03000068664550959,-0.21000003814697088,0.3299999237060547,-0.559999942779541,0.6199998855590829,-0.2799997329711914,-0.4099998474121094,4.0,8.0,03-08,-0.4658333857854209
01-09,-5.929999828338625,-0.4099998474121085,1.2200002670288068,-1.4200000762939453,-0.07999992370605646,0.2699995040893537,-0.2200002670288086,0.5999999046325675,-0.5500001907348651,0.6199998855590829,-0.39999961853027166,-0.34999990463256747,4.0,8.0,03-09,-0.5541666746139531
01-10,-4.519999980926514,-0.48000001907348633,1.0,-1.880000114440918,-0.010000228881834161,0.06999969482421697,-0.3400001525878915,0.5299997329711914,-0.5100002288818359,0.6199998855590829,-0.6800003051757804,-0.48999977111816406,4.0,8.0,03-10,-0.557500123977661
01-11,-4.329999923706056,-0.4099998474121085,0.9200000762939453,-1.5200004577636719,-0.029999732971191406,0.2799997329711914,-0.28999996185302734,0.45999956130981445,-0.5300002098083505,0.880000114440918,-0.18000030517578125,-0.8700003623962393,4.0,8.0,03-11,-0.4683334430058797
01-12,-4.309999942779541,-0.25999975204467596,0.6400003433227539,-1.4299993515014648,0.0,0.18999958038330256,-0.3000001907348624,0.5699996948242188,-0.6599998474121094,0.690000057220459,0.38000011444091886,-0.75,5.0,7.0,03-12,-0.43666660785675004
01-13,-4.660000324249268,-0.08999967575073065,0.6799993515014648,-1.6599998474121094,0.06000041961669922,0.13000011444091975,-0.07000017166137606,0.7199997901916504,-0.5999999046325684,0.5799999237060547,0.3400001525878915,-0.8000001907348633,6.0,6.0,03-13,-0.44750003019968626
01-14,-4.5099997520446795,-0.07999992370605469,0.5899991989135742,-1.6000003814697266,-0.09000015258789062,0.0,-0.019999980926512784,0.7999997138977051,-0.3899998664855957,0.679999828338623,0.5699996948242179,-0.5799999237060547,4.0,8.0,03-14,-0.3858334620793662
01-15,-3.6700005531311035,-0.04999971389770419,0.39999961853027166,-1.5900001525878906,-0.25,-0.03999996185302557,0.15999984741210938,0.869999885559082,-0.21000003814697266,0.6999998092651367,0.24999952316284002,-0.5999999046325684,5.0,7.0,03-15,-0.3358334700266521
01-16,-3.4499998092651367,-0.12999963760375888,0.0,-1.5200004577636719,-0.18000030517578125,-0.04999923706054332,0.09000015258789151,0.940000057220459,-0.3299999237060547,0.6999998092651367,0.2099990844726527,-0.7699999809265146,4.0,8.0,03-16,-0.3741666873296101
01-17,-0.9700002670288086,-0.04999971389770419,0.1599998474121076,-1.5200004577636719,-0.23000049591064275,0.15999984741210938,-0.019999980926515448,1.0399999618530265,-0.3299999237060547,0.75,0.34999942779541016,-1.1500000953674325,5.0,7.0,03-17,-0.15083348751068137
01-18,-1.1200003623962411,0.0,0.1599998474121076,-1.3100004196166992,-0.48999977111816584,-0.2600002288818377,-0.10000038146972745,1.1099996566772452,-0.4499998092651376,1.0600004196166992,0.4099998474121085,-1.2699999809265137,4.0,8.0,03-18,-0.18833343187968019
01-19,-0.9800000190734863,0.0,0.28999996185302557,-0.9399995803833008,-0.34999942779541016,-0.2700004577636719,-0.08000040054321378,1.1099996566772452,-0.20000028610229492,1.0999999046325684,0.3899993896484357,-1.7199997901916504,4.0,8.0,03-19,-0.1375000874201461
01-20,-0.9800000190734863,0.009999752044676846,1.1499996185302734,-0.9399995803833008,-0.1399993896484375,-0.24999999999999822,-0.08000040054321378,1.2599997520446768,0.05000019073486506,0.9499998092651358,0.039999961853026456,-1.8799998760223389,6.0,6.0,03-20,-0.06750001509984342
01-21,-0.7699999809265137,0.09999990463256747,1.25,-0.880000114440918,-0.23999977111816406,-0.24999999999999822,-0.18000030517578125,1.2100000381469727,0.09999990463256747,0.9400000572204599,0.1399998664855966,-1.8799998760223389,6.0,6.0,03-21,-0.0383333563804625
01-22,-0.570000171661377,0.06999969482421964,1.2399997711181623,-0.8599996566772479,-0.23999977111816406,-0.27999973297118963,-0.019999980926512784,1.2699999809265128,-0.09999990463256747,0.9299998283386239,0.1399998664855966,-1.9100000858306894,5.0,7.0,03-22,-0.027500013510386074
01-23,-0.75,0.15000009536743164,1.2199993133544922,-0.7399997711181641,-0.25,-0.1700000762939453,-0.07000017166137606,1.3400001525878915,-0.019999980926513672,0.8499999046325692,0.09000015258789151,-1.6100001335144052,5.0,7.0,03-23,0.0033332904179893172
01-24,-0.3399996757507324,0.23000001907348633,1.189999580383299,-0.5999994277954102,-0.4099998474121094,0.10000038146972479,0.11000013351440341,1.380000114440918,-0.21999979019165128,0.8299999237060556,0.48000001907348544,-1.9000000953674308,7.0,5.0,03-24,0.07083344459533654
01-25,-0.4199995994567871,0.24000024795532138,1.109999656677246,-0.5199995040893555,-0.46000003814697266,-0.060000419616700995,0.19000005722045898,1.380000114440918,-0.17999982833862216,0.6700000762939453,0.40000009536743253,-2.0399999618530273,6.0,6.0,03-25,0.025833408037821377
01-26,-0.26999998092651367,0.24000024795532138,0.9600000381469727,-0.07999992370605291,-0.9300003051757812,0.06999969482421875,0.12000036239624023,1.309999942779541,-0.23999977111816406,0.9299998283386222,-0.21999979019165128,-1.9499998092651367,6.0,6.0,03-26,-0.004999955495198642
01-27,-0.6800003051757812,0.2699999809265128,1.0900001525878906,-0.10000038146972656,-0.8000001907348633,-0.07999992370605469,0.019999980926515448,1.200000286102295,-0.11999988555908203,0.48000001907348633,-0.43999958038330167,-1.8899998664855957,5.0,7.0,03-27,-0.08749997615814209
01-28,-0.630000114440918,0.32000017166137784,1.1499996185302717,0.1300001144409162,-0.8000001907348633,-0.019999504089353692,-0.04999971389770419,0.8299999237060547,-0.309999942779541,0.46000003814697266,-0.21999979019165128,-1.8800001144409189,5.0,7.0,03-28,-0.0849999586741131
01-29,-0.49000024795532315,0.26999998092651367,1.1599998474121094,0.28999996185302557,-0.9499998092651367,0.07999992370605646,0.009999752044678623,0.8299999237060547,-0.34999990463256747,0.46000003814697266,0.23000001907348633,-1.940000057220459,8.0,4.0,03-29,-0.03333338101704908
01-30,-0.42999982833862305,0.19999980926513672,1.1599998474121094,0.2700004577636701,-0.9099998474121094,0.3000001907348633,0.1700000762939462,0.8600001335144052,-0.1399998664855966,0.5,-0.1399998664855957,-1.5999999046325684,7.0,5.0,03-30,0.02000010013580315
01-31,-0.5799999237060547,0.26999998092651456,1.2799997329711896,0.3900003433227539,-0.8500003814697248,0.26000022888183416,0.059999942779541016,1.0399999618530291,-0.2999997138977051,0.4499998092651367,-0.15999984741211026,-1.739999771118164,7.0,5.0,03-31,0.010000030199686686
02-01,-0.5999999046325684,0.26999998092651456,1.1899995803833008,-0.09999942779541016,-0.9899997711181641,0.3299999237060529,-0.10000038146972479,0.9100003242492685,-0.2799997329711923,0.41000032424926935,-0.15000009536743253,-1.5999999046325666,5.0,7.0,04-01,-0.05916659037272106
02-02,-0.42999982833862216,0.22000026702880948,1.0599994659423828,0.4300003051757795,-1.2699995040893555,0.28999996185302557,-0.10000038146972479,0.9200000762939453,-0.3299999237060547,0.4699997901916504,-0.01999998092651456,-1.450000286102295,6.0,6.0,04-02,-0.017500003178914463
02-03,-0.559999942779541,0.13000011444091886,1.1899995803833008,0.18999958038330078,-1.3199996948242188,0.2999992370605433,-0.10000038146972479,0.940000057220459,-0.5,0.4400000572204599,0.3600001335144034,-1.3299999237060538,7.0,5.0,04-03,-0.021666765213012695
02-04,-0.6299996376037589,0.1700000762939453,1.0,0.12000083923339844,-1.4099998474121094,0.39999961853027166,-0.18000030517578036,0.7899999618530273,-0.3600001335144052,0.4200000762939444,0.12000036239623935,-1.3299999237060538,7.0,5.0,04-04,-0.07416657606760675
02-05,-0.820000171661377,0.32000017166137784,0.5899991989135742,0.06000041961669922,-1.3500003814697266,0.319999694824217,-0.1700000762939462,0.8300004005432129,-0.13000011444091708,0.4699997901916495,0.1900000572204581,-1.369999885559083,7.0,5.0,04-05,-0.08833340803782175
02-06,-0.6299996376037589,0.4499998092651376,0.5,0.06000041961669922,-1.550000190734865,0.38000011444091797,-0.039999961853026456,1.1500000953674308,-0.09000015258789151,0.3299999237060538,0.3300004005432138,-1.3600001335144034,7.0,5.0,04-06,-0.03916660944620768
