,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-7.567565505569046,5.737709082829153,-6.0606060606060606,16.919960442323216,1.802575493761824,0.0,2.129403997293485,-11.481479159435004,3.626106485077648,7.3614584953685664,9.012869282763218,-11.976625972849906,7.0,5.0,0.7919838817464244
01-03,-7.567565505569046,5.737709082829153,-7.493852960063191,16.919960442323216,1.2875504158102016,-2.2631977970043917,2.129403997293485,-11.481479159435004,3.626106485077648,8.354013367532023,10.38626676195224,-2.272727272727273,7.0,5.0,1.4468489881682551
01-04,-7.567565505569046,5.447068426576483,-7.493852960063191,16.4133728910101,1.1177997692321382,0.33528885859013746,8.429121573888555,-11.481479159435004,4.4319113416392035,6.093485560351347,7.381971543667235,-5.818184939297779,8.0,4.0,1.4407447833825149
01-05,-16.10268568940974,5.447068426576483,-7.493852960063191,12.234038991483283,-0.08606049036423712,0.33528885859013746,5.233940248861358,-11.481479159435004,5.1200027465820455,6.66666825612386,7.381971543667235,-5.818184939297779,7.0,5.0,0.11972631944287089
01-06,-15.402575210075431,11.099691413323859,-4.294483409225553,11.290324400002994,1.0212756217794214,2.2203906864917844,5.233940248861358,-11.481479159435004,5.498012140007926,6.166664759318033,7.381971543667235,-5.818184939297779,8.0,4.0,1.0762956746182368
01-07,-14.235709573777672,11.099691413323859,-4.320980386570099,16.22449103716459,2.021902050817585,2.2203906864917844,0.5551125831089991,-13.888888643602307,4.4319113416392035,5.774055158129166,3.2286965829035528,-5.818184939297779,8.0,4.0,0.6077072758609068
01-08,-28.654967890176902,10.176536700566192,-4.57920654768244,16.22449103716459,4.296547883730805,2.2203906864917844,0.5551125831089991,-14.881513425971416,2.4671068626593042,5.378146303902835,5.650216881797923,-5.000001733953319,8.0,4.0,-0.5122617215301369
01-09,-28.789656208823068,4.4198957323128125,-6.96202161086335,17.154387845011655,4.80201937927289,0.24670833345097407,1.6470591227213542,-17.809522719610303,-4.035088188943954,4.621842476398965,4.035872866912735,-5.000001733953319,7.0,5.0,-2.1390420588427173
01-10,-24.559343083149415,4.4198957323128125,-6.826801166496864,17.05347736029104,3.165097509327271,-1.2520916355276335,-0.16287018077021315,-17.809522719610303,-2.6315807085398704,4.621842476398965,9.877615403974872,-5.000001733953319,5.0,7.0,-1.5920235621452214
01-11,-21.14286150251116,8.851424371414067,-6.06827440164472,17.05347736029104,3.2617954781919645,0.5008302857679626,3.149603342816233,-17.809522719610303,-2.1929825295224954,4.1176452674431445,10.314680024332034,-20.942407958696634,7.0,5.0,-1.7422160818107388
01-12,-21.14286150251116,3.6880867885855735,-10.366620867792998,18.999996185302717,2.1459228170476043,0.5008302857679626,3.453685936327777,-17.809522719610303,-3.6490014590968025,3.442484069394821,7.504359980929842,-19.072169256154684,7.0,5.0,-2.6920674784841374
01-13,-21.14286150251116,7.79767954652936,-12.948720566462981,18.429001686457216,2.564104236115404,0.5008302857679626,3.061219753963999,-17.809522719610303,-0.2579512697849493,6.50406649048246,7.504359980929842,-19.072169256154684,7.0,5.0,-2.0724969445231527
