,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.9900002479553223,1.364999771118164,1.3000001907348624,0.33000004291534446,0.0,0.15999996662139887,-0.09799999743700027,-0.020000001415610317,0.01549999788403511,0.07350999116897583,0.03147999942302704,8.0,3.0,03-02,0.34562418408070994
01-03,0.0,0.9900002479553223,1.364999771118164,1.3000001907348624,0.33000004291534446,0.0,0.15999996662139887,-0.09799999743700027,-0.020000001415610317,0.01549999788403511,0.07350999116897583,0.03750000149011612,8.0,3.0,03-03,0.34612585091963405
01-04,0.0,-0.4249997138977051,1.364999771118164,1.3000001907348624,0.06000006198883123,0.0,0.15999996662139887,-0.09799999743700027,-0.020000001415610317,0.01549999788403511,0.07350999116897583,0.05058000236749649,7.0,4.0,03-04,0.20679918909445402
01-05,0.0,-0.4249997138977051,1.380000114440918,-0.7250003814697248,0.06000006198883123,0.0,0.15999996662139887,-0.09799999743700027,-0.020000001415610317,0.01549999788403511,0.04399999976158142,0.05058000236749649,6.0,5.0,03-05,0.03684000407035172
01-06,0.0,-0.4249997138977051,1.6050000190734863,-0.7250003814697248,0.06000006198883123,0.0,0.15999996662139887,-0.09799999743700027,-0.020000001415610317,0.01549999788403511,0.04399999976158142,0.05058000236749649,6.0,5.0,03-06,0.055589996123065755
01-07,0.0,-1.169999599456788,0.8000001907348615,-0.8650002479553214,0.06000006198883123,0.0,0.15999996662139887,-0.09799999743700027,-0.02500000037252903,0.01549999788403511,0.06349000334739685,0.05058000236749649,6.0,5.0,03-07,-0.08403580185646821
01-08,0.0,-0.7150001525878906,0.5250005722045898,-0.8650002479553214,0.06000006198883123,0.0,0.15999996662139887,-0.09799999743700027,-0.02500000037252903,0.01549999788403511,0.06349000334739685,0.05058000236749649,6.0,5.0,03-08,-0.06903581616158273
01-09,0.0,-1.6999998092651376,0.5250005722045898,-0.8650002479553214,0.06000006198883123,0.0,0.17549997568130488,-0.09799999743700027,-0.02500000037252903,0.01549999788403511,0.058490008115768405,0.02319999784231186,6.0,5.0,03-09,-0.15252578677609557
01-10,0.0,-1.6999998092651376,0.9250001907348615,-1.1700000762939444,0.06000006198883123,0.0,0.1855000257492065,-0.09799999743700027,-0.02500000037252903,0.01549999788403511,0.049490004777908325,0.02973000332713127,6.0,5.0,03-10,-0.14398163324221977
01-11,0.0,-1.6999998092651376,1.8049998283386222,-1.1700000762939444,0.06000006198883123,0.0,0.1855000257492065,-0.09799999743700027,-0.02500000037252903,0.01549999788403511,0.009900003671646118,0.02973000332713127,6.0,5.0,03-11,-0.07394749686742824
01-12,0.0,-1.6999998092651376,1.875,-1.1700000762939444,0.06000006198883123,0.0,0.1855000257492065,-0.09799999743700027,-0.02500000037252903,0.01549999788403511,0.011500000953674344,0.00918000191450119,6.0,5.0,03-12,-0.06969331623986358
01-13,0.0,-2.229999542236331,2.0500001907348624,-1.1700000762939444,0.06000006198883123,0.0,0.18000003695487976,-0.09799999743700027,-0.02500000037252903,0.01549999788403511,0.0,0.00918000191450119,5.0,6.0,03-13,-0.10069327723855791
01-14,0.0,-2.4600000381469735,2.0500001907348624,-0.43500041961669833,0.06000006198883123,0.0,0.01500004529953003,-0.09799999743700027,-0.02500000037252903,0.01549999788403511,0.0,0.00918000191450119,5.0,6.0,03-14,-0.07236001314595343
01-15,0.0,-3.1700000762939444,1.3750000000000018,-0.43500041961669833,0.06000006198883123,0.0,0.01500004529953003,-0.09799999743700027,-0.02500000037252903,0.09950000420212746,0.0,0.00918000191450119,5.0,6.0,03-15,-0.18077669835959834
