,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.819999694824217,0.7100000381469709,0.3800010681152308,1.4600009918212855,0.1700000762939453,1.2500009536743146,0.4799995422363281,0.8799991607666016,0.7000007629394496,-1.3800010681152344,2.239999771118164,-1.340000152587887,9.0,3.0,03-02,0.22750012079874601
01-03,-4.6500000953674325,0.8400001525878906,0.3999996185302699,1.4600009918212855,-0.02000045776366477,1.150000572204588,0.4099998474121094,0.9899997711181641,0.7000007629394496,-1.370000839233402,2.1000003814697266,-2.2099990844726562,8.0,4.0,03-03,-0.01666653156280599
01-04,-5.340000152587892,0.7899999618530291,0.6299991607666016,1.3199996948242116,-0.12000083923339844,1.019999504089352,0.44000053405761363,0.9899997711181641,0.5799999237060511,-1.3700008392333984,1.989999771118164,-1.1900005340576136,8.0,4.0,03-04,-0.02166700363159298
01-05,-5.2100000381469735,0.5799999237060582,0.4799995422363281,1.2900009155273402,0.14000129699706676,1.1000013351440465,0.4200000762939453,0.8299999237060547,0.5200004577636719,-1.4400005340576172,1.5299987792968714,-0.9600009918212855,9.0,3.0,03-05,-0.05999994277954109
01-06,-5.619999885559081,0.6099996566772479,0.5300006866455114,1.1599998474121094,0.15999984741210582,1.1999998092651367,0.37000083923339844,0.8500003814697266,0.39999961853027344,-1.4000015258789062,1.5899982452392543,-0.43000030517577414,9.0,3.0,03-06,-0.04833356539408314
01-07,-5.4099998474121085,0.6499996185302752,0.629999160766598,0.7900009155273402,0.2399997711181605,1.1099987030029297,0.28000068664550426,0.9300003051757777,0.2599983215332031,-1.3700008392333984,1.5499992370605433,-0.44999885559081676,9.0,3.0,03-07,-0.06583356857299931
01-08,-5.899999618530273,0.630000114440918,0.5799999237060582,0.3999996185302699,0.25,1.1099987030029297,0.11999893188476562,0.6000003814697266,0.2399997711181605,-1.3000011444091797,1.3899993896484375,-0.5200004577636683,9.0,3.0,03-08,-0.20000036557515463
01-09,-6.789999485015869,0.46000003814697266,0.7700004577636719,0.6499996185302699,0.1399993896484375,0.9599990844726562,-0.07999992370605469,0.9099998474121094,0.0,-1.2900009155273438,1.25,-0.7699985504150355,7.0,5.0,03-09,-0.3158333698908488
01-10,-6.949999809265137,0.28999996185302734,0.7800006866455078,0.6199989318847656,-0.009998321533203125,0.6399993896484375,0.020000457763671875,0.7800006866455078,0.04000091552734375,-1.3099994659423828,1.4100017547607457,-1.039999008178711,8.0,4.0,03-10,-0.3941661516825355
01-11,-6.049999713897706,0.3100004196166992,0.8699998855590803,0.6199989318847656,-0.07999992370605469,0.7000007629394567,-0.05999946594238281,0.6800003051757812,0.13000106811523438,-1.0900001525878906,1.1599998474121094,-2.0699996948242188,7.0,5.0,03-11,-0.4066664775212605
