,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,-0.08000001311302185,0.10000002384185791,-0.04000002145767212,-0.04000002145767212,-0.13999998569488525,-0.030000001192092896,-0.02000001072883606,-0.14000001549720764,-0.019999980926513672,1.0,9.0,03-02,-0.03727272965691306
01-03,0.0,0.0,-0.08000001311302185,0.12000000476837153,-0.04000002145767212,-0.030000030994415283,-0.13999998569488525,-0.030000001192092896,-0.02000001072883606,-0.14000001549720764,0.019999980926513672,2.0,8.0,03-03,-0.030909099362113265
01-04,0.0,-0.039999999105930314,-0.12999999523162842,0.15999996662139887,-0.009999990463256836,-0.030000030994415283,-0.13999998569488525,-0.04999999701976779,0.0,-0.15000000596046448,0.030000001192092896,2.0,8.0,03-04,-0.03272727605971423
01-05,0.0,-0.03000000864267348,-0.10999999940395355,0.21000000834465027,0.009999990463256836,-0.030000030994415283,-0.10999998450279241,-0.04999999701976779,0.02000001072883606,-0.15000000596046448,0.030000001192092896,4.0,6.0,03-05,-0.019090910526839176
01-06,0.0,-0.03000000864267348,-0.10999999940395355,0.18000003695487976,-0.009999990463256836,-0.06000000238418579,-0.10999998450279241,-0.04999999701976779,0.02000001072883606,-0.17000000178813932,0.030000001192092896,3.0,7.0,03-06,-0.028181812302632767
01-07,0.0,-0.03000000864267348,-0.09000001847743988,0.18000003695487976,-0.009999990463256836,-0.030000030994415283,-0.09999999403953563,-0.04999999701976779,0.02000001072883606,-0.17000000178813932,-0.010000020265579224,2.0,8.0,03-07,-0.02636363763700833
01-08,0.0,-0.03000000864267348,-0.10000000894069672,0.11000001430511469,-0.009999990463256836,-0.030000030994415283,-0.050000011920928955,-0.04999999701976779,0.02000001072883606,-0.17000000178813932,0.060000002384185847,3.0,7.0,03-08,-0.02272727475924925
01-09,0.0,-0.03000000864267348,-0.09000001847743988,0.11000001430511469,-0.009999990463256836,-0.030000030994415283,-0.050000011920928955,-0.04999999701976779,0.02000001072883606,-0.07000000774860379,-0.03999999165534973,2.0,8.0,03-09,-0.021818184717134998
01-10,0.0,-0.03000000864267348,-0.09000001847743988,0.11000001430511469,-0.019999980926513672,0.0,-0.050000011920928955,-0.01000000536441803,0.02000001072883606,-0.07000000774860379,-0.030000001192092896,2.0,8.0,03-10,-0.015454546294429085
01-11,0.0,-0.03000000864267348,-0.09000001847743988,0.12999999523162836,-0.019999980926513672,-0.030000030994415283,-0.050000011920928955,-0.030000001192092896,0.02000001072883606,-0.060000002384185736,-0.030000001192092896,2.0,8.0,03-11,-0.017272731797261673
01-12,0.0,-0.03000000864267348,-0.06000001728534696,0.1399999856948852,0.009999990463256836,-0.030000030994415283,-0.03999999165534973,-0.019999995827674866,0.0,-0.1300000101327896,-0.12000000476837158,2.0,8.0,03-12,-0.025454553013498134
01-13,0.0,-0.03000000864267348,-0.0400000065565109,0.15999996662139887,-0.009999990463256836,-0.030000030994415283,-0.03999999165534973,-0.030000001192092896,0.02000001072883606,-0.09000001847743985,-0.12000000476837158,2.0,8.0,03-13,-0.01909091594544324
01-14,0.0,-0.03000000864267348,-0.06999999284744257,0.15999996662139887,-0.019999980926513672,-0.030000030994415283,-0.03999999165534973,-0.01000000536441803,0.02000001072883606,-0.09000001847743985,-0.12000000476837158,2.0,8.0,03-14,-0.02090909602967175
01-15,0.0,-0.03000000864267348,-0.06999999284744257,0.15999996662139887,-0.019999980926513672,-0.009999990463256836,-0.07999998331069952,-0.01000000536441803,0.02000001072883606,-0.1499999910593033,-0.12000000476837158,2.0,8.0,03-15,-0.028181816366585823
01-16,0.0,-0.03000000864267348,-0.04999999701976768,0.1499999761581421,-0.050000011920928955,-0.04999998211860651,-0.07999998331069952,-0.01000000536441803,0.02000001072883606,-0.16000001132488248,-0.11000001430511475,2.0,8.0,03-16,-0.03363636610182848
01-17,0.0,-0.03000000864267348,-0.04999999701976768,0.17000001668930054,-0.009999990463256836,-0.009999990463256891,-0.07999998331069952,-0.01000000536441803,0.02000001072883606,-0.06000001728534696,-0.08000001311302185,2.0,8.0,03-17,-0.01272727074948224
