,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-44.736843921471205,7.388534149710944,2.8220804049289425,8.675801472882446,0.10438652360622687,5.110332147830823,3.4520025102105905,-0.7821301674897214,2.27508030292718,-6.794058791287689,8.039642603194807,-5.157892327559622,8.0,4.0,-1.6335887577096901
01-03,-65.59765941079472,7.0332503665152135,2.222225885168691,8.675801472882446,0.0,4.292342116836169,3.1115876754167306,-0.8948644422301089,2.27508030292718,-7.006367750177056,8.0574002439343,-10.098793753736595,7.0,5.0,-3.9941664411048126
01-04,-85.62091289384838,6.435006450802833,2.3456854951795036,7.990865193784201,-0.5279851037486033,4.074509607130578,3.9361691550465316,-0.8948644422301089,2.481900405632103,-7.5132280685430475,9.539472549080505,-4.712039793483079,7.0,5.0,-5.205451787099746
01-05,-65.1162713330911,7.0785095506432665,2.4691392183120637,7.710001783338096,-0.9554156248298104,4.739882838073131,3.5256403398544705,-1.5659994395296515,2.2892749345899475,-7.627121811795395,8.396951486993528,-5.04201175583855,7.0,5.0,-3.674784984440001
01-06,-71.22092350326157,6.692406463358931,4.600485519506565,8.105023054749417,-1.1702193065488817,4.408354054360543,3.4188002837792526,-1.5659994395296515,3.834195856843282,-7.391761241045458,8.196721653202331,-1.4198818275611693,7.0,5.0,-3.626066536012201
01-07,-67.73255479503419,4.444446383651465,3.7850974581841528,6.912446548094629,-0.8483554731397777,4.988402678475137,3.0982903043820635,-0.6711456647979699,2.494800145251936,-7.052632382041511,6.6666709052192035,-1.7241387648408497,7.0,5.0,-3.803222721382975
01-08,-97.63512936624151,4.247103275625809,2.9447826055413175,4.265398987862214,-0.6362615482573536,4.756378803426369,1.6129093454646173,-0.22197007304448463,2.494800145251936,-6.9400613199533945,6.222226884630011,-1.7241387648408497,7.0,5.0,-6.717830085377944
01-09,-112.14286279921639,3.713187758997829,3.771294520027461,6.805076671234477,-0.8483554731397777,4.408354054360543,0.0,0.11099032883239994,0.6355875912014246,-6.51945184686899,6.33332994249132,-3.929680573348619,7.0,5.0,-8.138544152119026
01-10,-111.02940113022682,4.810127972830674,3.536584982908908,6.459058992950729,-1.0582051162761126,2.4561407422486083,-0.10905374916722499,0.22173455375445278,0.2118591629062889,-5.993687498483266,7.056222835527258,-5.999996787623374,7.0,5.0,-8.286551253220823
01-11,-75.535162220148,3.9591308531305,2.6829243330356607,7.266437242180696,-0.4237284282951545,2.4618997036454173,0.3257299983380787,0.5524882837687902,0.2118591629062889,-5.642633010166926,7.236840522960702,-12.639822902457801,8.0,4.0,-5.795336371758478
01-12,-80.50313366727431,3.575986407400426,4.024389407097195,7.175400154912361,0.7383934409737941,2.9171529626889656,0.3257299983380787,-0.11049976432126367,-1.0787424256452989,-4.911183720131139,7.439828004739156,-9.934496316276743,7.0,5.0,-5.861764626458232
01-13,-80.50313366727431,4.086841608457617,4.257912045010642,7.208239484430994,0.8429918402055836,2.4618997036454173,0.3257299983380787,1.1049765675375804,-0.4268939417456637,-4.28422006777962,6.828192629609925,-16.147630982821344,8.0,4.0,-6.187091231865426
01-14,-69.81132018887251,2.723735889856678,4.289214597762159,6.864982191168277,1.1554685405698244,2.696360485772441,0.9772003497841288,1.441242880747579,-1.3933560075451494,-3.742200217877904,6.415928386654173,-15.340252733591356,8.0,4.0,-5.310249652130971
01-15,-55.68862104472312,4.591838348313978,5.13447506876248,7.289287119737289,1.8907594172328939,2.696360485772441,0.649344885591094,1.4444457160101998,-2.3809553298526285,-4.39329606887683,5.199118020045517,-15.45559562625383,8.0,4.0,-4.085236584020042
01-16,-57.87966228725667,4.597702899389185,4.901956201103759,5.895945638136018,1.7857150012562055,3.154210800561663,-0.5452583458981918,1.4380543693527896,-0.7454706311485458,-4.39329606887683,4.424774559935741,-36.64849488368033,7.0,5.0,-6.167818562260433
01-17,-35.18006250001238,3.9845811215516105,3.482583759946414,5.895945638136018,0.6335841385939311,2.3282864460122443,-0.5434803453420628,1.4380543693527896,-0.7454706311485458,-3.9748864444279732,4.083894283628011,-24.01477631462893,7.0,5.0,-3.550978873194906
01-18,-34.065933346158154,4.719392285650765,3.482583759946414,4.16184592547314,-1.7167366164288835,2.320183432950997,-1.536776603719623,1.4380543693527896,-0.21298725621002934,-2.3109170459658976,2.7624308810064226,-44.90675302003147,6.0,6.0,-5.488801102844461
01-19,-30.481286149659166,4.719392285650765,2.4875598285331417,3.2520295486196145,-1.4957302185676933,2.320183432950997,-0.5434803453420628,1.4380543693527896,1.3698642526479285,-1.9916098652310237,2.9867201905829317,-45.743154857928346,7.0,5.0,-5.140121460699177
01-20,-30.481286149659166,5.357143726015224,2.5957977031656116,3.15051941311528,-0.8492560834195914,1.8648001029701509,-0.5434803453420628,3.6504416493206597,1.6789071552494952,-1.4705817533261394,2.9867201905829317,-105.2845574156512,7.0,5.0,-9.778735983914899
01-21,-41.978607733673954,6.329113847646665,3.174600309717093,3.2596010244171305,-0.6355976936840391,1.8648001029701509,-0.5434803453420628,3.1903185586907323,0.21119806969071186,-2.2222226707463073,2.879283310033615,-105.2845574156512,7.0,5.0,-10.812962552994287
01-22,-30.287202885624303,7.0332503665152135,3.8882103599396407,3.1468473949907665,-0.6355976936840391,2.6806473692482284,-0.7592157570162229,1.4301442492705283,-0.21208381168747426,-2.2222226707463073,2.879283310033615,-106.09756475778029,6.0,6.0,-9.929625377211721
01-23,-39.21568300078837,6.033373459476237,4.121213970762321,2.350173958707563,-0.6355976936840391,1.8779435738249302,-1.3001174992943016,2.2026410897094744,-0.10593463269444224,-3.2804277870224197,1.9933483590728787,-62.88000488281247,6.0,6.0,-7.403255923728554
01-24,-26.923068928765776,6.632652688850622,3.8882103599396407,1.9976506665298186,-0.10593463269444224,3.7122934927216154,-0.6493552067419409,2.524693204217062,-0.4237284282951545,-2.328045200732282,1.1111153496636283,-68.5337603447933,6.0,6.0,-6.591439748341709
01-25,-25.634511100926215,6.751589037070149,3.402184064947163,1.762638873915742,-0.6383023622513776,3.7037110623015317,-1.0869606906841256,2.524693204217062,0.10592453021184667,-2.9723962919685225,1.2114499735849211,-88.84757678983661,7.0,5.0,-8.309796374118202
01-26,-21.323527005579436,6.878980489341828,3.402184064947163,0.58685666723531,0.3181408873236172,4.036913245557164,-0.7584035966438928,2.634465204861499,-0.5296630609895968,-2.8876951130874096,-0.8978667236373803,-63.870970322115795,6.0,6.0,-6.034215438565577
01-27,-26.715690513979013,5.60509633841905,1.8404862030818328,1.3986000772276133,0.5291025581380563,4.3678175031249475,-0.5417139026504281,2.195387670717916,-0.5274281977767905,-0.21345205985003599,1.208797865278732,-52.781950401622346,7.0,5.0,-5.302912238324205
01-28,-39.70588029049667,6.439396767284937,3.3939419370709043,2.665127379613558,0.5291025581380563,4.022982016880912,-0.6500587496471508,1.8805318253463637,-1.3771199175799247,0.6349149963321382,1.100114189120853,-53.082709160672636,8.0,4.0,-6.179138037384054
01-29,-35.89108472664604,6.935683805846085,3.272727041533499,2.43902493055403,0.5291025581380563,4.3678175031249475,-1.4145823762431298,-0.4454445163299212,-0.8429918402056024,0.6349149963321382,1.2101277063262283,-53.98495675588969,7.0,5.0,-6.099138472788283
01-30,-33.66336995930599,7.097591283344089,2.8014618514593597,2.665127379613558,0.1058225299859936,3.682390221819808,-1.2987000923330156,-2.348993825545224,-0.41972678881236913,1.5872975826222575,0.22002703441073146,-51.02941426026363,7.0,5.0,-5.88337392025037
01-31,-41.06666564941406,7.215191959246006,2.8014618514593597,2.085750901376906,0.4232800281520627,3.563212330329571,-1.6216174976245779,-1.7797536316534166,-0.9443877765968127,0.1058225299859936,-1.330375603870353,-44.47591914921984,6.0,6.0,-6.2519999756524305
02-01,-32.249999046325684,7.215191959246006,2.192451940796921,2.2016284071617056,-0.31813077412868623,3.801842305342753,-2.6200848811800905,-1.7797536316534166,-0.9443877765968127,1.8769583139913466,-0.8888880411784051,-38.69209936714482,5.0,7.0,-5.017105882639099
