,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.8125,-0.6750001907348615,-0.5074996948242188,1.2725000381469727,1.090000152587887,-0.020000457763668322,0.48999977111816406,1.4400005340576207,2.2100009918212855,0.2200012207031179,1.6499996185302805,-0.7199993133544922,7.0,5.0,03-02,0.469791889190674
01-03,-1.0250000953674316,-0.6750001907348615,-0.3499994277954084,1.2725000381469727,0.7699985504150391,0.6700000762939453,0.7699985504150391,1.4400005340576207,2.2100009918212855,0.030000686645507812,1.5499992370605469,-1.0900001525878924,8.0,4.0,03-03,0.46437489986419694
01-04,-1.2125000953674316,-0.6750001907348615,-0.4875001907348615,1.1374998092651385,0.899999618530277,0.5300006866455078,1.0999984741210938,1.4700002670288104,2.3600006103515625,-0.3299999237060547,1.0599994659423864,-1.5900001525878924,7.0,5.0,03-04,0.35520819822947286
01-05,-1.0999999046325684,-0.4375,-0.4624996185302699,0.2874994277954084,0.9300003051757848,0.8799991607666016,1.0499992370605469,1.6199998855590803,2.1200008392333984,-0.3400001525878871,1.090000152587887,-1.7200002670288068,7.0,5.0,03-05,0.3264582554499313
01-06,-1.179999828338623,-0.4425001144409162,-0.33500003814697266,0.27499961853027344,0.5100002288818395,1.2800006866455078,1.1399993896484375,1.8000001907348633,2.0,-0.5400009155273438,0.9899997711181605,-2.020000457763672,7.0,5.0,03-06,0.2897915442784629
01-07,-1.125,-0.4425001144409162,-0.10000038146972656,0.680000305175783,1.0300006866455114,0.9800014495849609,0.9599990844726527,2.0,1.7900009155273402,-0.5,0.5900001525878871,-2.020000457763672,7.0,5.0,03-07,0.3202084700266517
01-08,-1.0374999046325684,-0.475000381469723,0.31749916076660156,0.6075000762939453,0.889999389648441,0.7900009155273438,0.5900001525878906,1.8999996185302734,1.7800006866455043,-0.7400016784667969,0.7199993133544922,-2.25,8.0,4.0,03-08,0.25770811239878366
01-09,-1.125,0.3125,0.44999980926513494,0.6525001525878924,1.3400001525878906,0.46000099182128906,0.38999938964843395,1.6199998855590803,1.6599998474121058,-0.6100006103515625,0.6599998474121094,-2.359999656677246,9.0,3.0,03-09,0.2874999841054273
01-10,-1.112499713897705,0.7250003814697266,0.3149995803833008,0.75,1.5300006866455078,0.6800003051757812,0.3400001525878906,1.469999313354494,1.3899993896484375,-0.5100002288818324,0.06000137329101207,-2.4800004959106445,9.0,3.0,03-10,0.26312506198883073
01-11,-1.0999999046325684,0.7250003814697266,0.4975004196166992,0.7875003814697301,1.8800010681152344,0.8799991607666016,0.1700000762939453,1.419999122619629,1.3999996185302734,-0.20999908447265625,0.6599998474121058,-3.09999942779541,9.0,3.0,03-11,0.33416680494944256
01-12,-0.9749999046325684,0.7250003814697266,0.4975004196166992,0.8700008392333984,1.8899993896484375,0.7299995422363281,-0.020000457763668322,1.3199996948242188,1.3000011444091797,0.1700000762939453,1.1200008392333984,-2.8999996185302734,9.0,3.0,03-12,0.3939585288365685
01-13,-0.7125000953674316,0.7250003814697266,0.15999984741210938,1.1700000762939453,1.9799995422363281,0.4200000762939453,-0.23999977111816406,1.2199993133544922,1.8999996185302734,0.2099990844726598,1.1700000762939453,-3.119999885559082,9.0,3.0,03-13,0.40687485535939566
01-14,-0.625,0.6000003814697266,-0.4300003051757795,1.0249996185302734,1.8299999237060547,0.2600002288818395,-0.32999992370605113,0.9400005340576172,1.5100002288818395,0.10999870300292969,0.6800003051757848,-3.5099992752075195,8.0,4.0,03-14,0.17166670163472628
01-15,-0.75,0.7200002670288068,-0.22500038146972656,0.8100004196166992,1.7000007629394531,-0.1999988555908203,-0.19000053405761363,1.320000648498537,1.8999996185302734,-0.05000114440917969,0.8500003814697301,-3.630000114440918,6.0,6.0,03-15,0.18791675567627011
01-16,-0.5999999046325684,0.9250001907348633,-1.010000228881836,0.9475002288818359,1.6800003051757812,-0.5300006866455043,-0.07000160217285512,0.6799993515014631,1.8999996185302734,-0.05000114440917969,0.9099998474121129,-4.260000228881836,6.0,6.0,03-16,0.04354131221771255
01-17,-0.5500001907348633,0.7749996185302734,-0.9500007629394531,0.9475002288818359,0.6499996185302734,-0.9300003051757848,0.2699985504150355,0.5899991989135724,1.8999996185302734,-0.20000076293945312,0.4799995422363317,-3.6000003814697266,7.0,5.0,03-17,-0.051458835601807085
