,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.859999656677246,1.0299997329711914,-0.1100006103515625,0.33000040054321467,0.6000003814697266,-0.2799997329711914,0.07000064849853516,-2.4099998474121094,1.1000003814697195,0.9599990844726562,2.6099987030029297,-3.550001144409187,7.0,5.0,03-02,-0.12583347161611025
01-03,-1.8299994468688938,1.0999999046325684,-0.020000457763671875,0.33000040054321467,0.5500001907348633,-0.1499996185302752,0.5800008773803711,-2.060000419616699,1.1000003814697195,0.8899993896484375,2.590000152587889,-3.559999465942383,7.0,5.0,03-03,-0.03999984264373831
01-04,-2.0199995040893537,1.0999999046325684,0.07999992370605469,0.2900004386901873,0.38000011444091975,-0.39999961853027344,0.5600004196166992,-1.6499996185302734,0.8500003814697195,0.6800003051757812,1.9300003051757812,-2.6400012969970668,8.0,4.0,03-04,-0.069999853769938
01-05,-1.9899997711181623,0.869999885559082,0.01999950408935547,0.09000015258788885,0.5199995040893555,-0.029999732971191406,0.46000003814697266,-1.5399999618530273,0.5999984741210938,1.0100002288818395,1.510000228881836,-3.4000015258789062,8.0,4.0,03-05,-0.15666691462198865
01-06,-2.199999809265135,0.9099998474121094,0.630000114440918,0.0,0.5500001907348633,-0.07999992370605646,0.8699998855590803,-1.3099994659423828,0.75,1.1700000762939453,1.4699993133544886,-2.9200000762939453,7.0,5.0,03-06,-0.013333320617676225
01-07,-1.4600000381469735,0.7100000381469709,0.5300006866455096,-0.17999982833862305,0.6899995803833008,-0.18000030517578303,0.7699995040893555,-0.7100000381469727,0.7299995422363246,1.4200000762939453,1.1800003051757812,-2.7699985504150426,7.0,5.0,03-07,0.06083341439564941
01-08,-2.429999828338623,0.75,0.6100006103515607,-0.36999988555908203,0.6999998092651367,-0.27000045776367365,0.6800003051757812,-0.36999988555908025,0.5300006866455043,1.6899986267089808,1.1900005340576172,-2.95999908447266,7.0,5.0,03-08,-0.02083321412404482
01-09,-2.2199997901916513,0.7399997711181641,0.6500005722045881,-0.19999980926513672,0.7600002288818359,-0.11999988555908025,1.2899999618530273,-0.5,0.5300006866455043,1.2299995422363246,1.0699996948242188,-3.7100009918212855,7.0,5.0,03-09,-0.040000001589457566
01-10,-0.9099998474121094,0.7300000190734863,0.7200002670288068,-0.35000038146972656,0.9800004959106428,0.26999950408935547,1.4700002670288104,-0.8499994277954102,0.3100013732910156,0.9599990844726491,0.9000005722045881,-4.580000877380371,8.0,4.0,03-10,-0.029166579246521884
01-11,-0.059999942779541904,1.0299997329711914,0.6999998092651367,-0.40999984741211115,1.0199995040893555,0.5099992752075213,1.1100006103515625,-1.0399999618530273,0.20000076293945312,0.6199989318847727,0.8100004196166992,-7.319999694824219,8.0,4.0,03-11,-0.2358333667119339
01-12,0.06000041961669922,1.1500000953674325,0.6099996566772443,-0.2800002098083496,1.0399999618530273,0.30999946594238637,1.3699998855590838,-1.1500005722045916,0.5499992370605469,0.7299995422363281,0.7199993133544886,-6.109999656677246,9.0,3.0,03-12,-0.08333357175191251
01-13,-0.3699998855590829,1.070000171661377,0.43000030517578125,-0.2999992370605451,0.9899997711181641,0.30000019073486506,1.5299997329711932,-0.780000686645506,0.0,0.4799995422363281,0.8299999237060582,-7.229999542236328,7.0,5.0,03-13,-0.25416664282480794
01-14,0.10000038146972745,1.0300002098083505,0.3099994659423828,-0.3299999237060547,1.130000114440918,0.20000076293945135,1.8099994659423828,-0.869999885559082,0.8200016021728516,0.0400009155273402,1.0799999237060582,-7.25,9.0,3.0,03-14,-0.1608330806096395
01-15,1.7400002479553223,0.6700000762939444,0.10000038146972656,0.05000019073486328,1.0299997329711914,0.0900001525878924,2.449999809265135,-0.2899999618530291,0.7600002288818324,-0.39999961853027344,1.010000228881836,-6.920000076293945,9.0,3.0,03-15,0.02416678269704131
01-16,1.3899998664855966,0.8099999427795419,-0.05000019073486328,0.2799997329711914,0.8500003814697266,0.21000003814697088,2.1100006103515625,-0.18999958038330078,0.6200008392333949,-0.39999961853027344,0.5699996948242223,-8.539999961853027,8.0,4.0,03-16,-0.19499985376993814
01-17,2.059999942779542,0.9399995803833017,-0.22000026702881037,0.2799997329711914,0.6599998474121094,0.25,2.3299999237060547,-0.15999984741211115,0.6200008392333949,-0.3400001525878942,1.0900001525878906,-6.8600006103515625,8.0,4.0,03-17,0.0541665951410922
