,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.17766475677490234,0.7123122215270996,-0.46482419967651456,0.16013383865356445,0.39084386825561523,0.31858110427856356,0.09080028533935636,-0.4541935920715323,0.7721452713012695,-0.01673412322997958,0.8294119834899902,-0.16141748428344727,8.0,4.0,03-02,0.19622699419657397
01-03,0.14422941207885742,0.6833877563476562,-0.12634897232055753,0.16013383865356445,0.5941038131713858,0.28270530700683505,0.10567092895507812,-0.4935889244079581,0.7721452713012695,-0.0592951774597168,0.9209742546081543,-0.17082500457763672,8.0,4.0,03-03,0.234441041946411
01-04,0.14422941207885742,0.5040450096130371,-0.12634897232055753,0.16013383865356445,0.6077775955200186,0.28270530700683505,-0.01477956771850586,-0.4935889244079581,0.8946146965026847,0.2811884880065918,0.9566683769226074,0.009777069091795987,9.0,3.0,03-04,0.2672018607457476
01-05,0.14422941207885742,0.4811367988586417,-0.12634897232055753,0.3198413848876944,0.4727163314819336,0.3544573783874503,-0.05242109298706055,-0.2753391265869132,0.6415972709655771,0.1109457015991202,0.7316207885742188,-0.16178607940673917,8.0,4.0,03-05,0.22005414962768524
01-06,0.14422941207885742,0.4811367988586417,-0.08404016494751065,0.24355649948120117,0.40435028076171875,0.24682950973510653,-0.0895991325378418,-0.2753391265869132,0.3704323768615705,0.29937314987182617,0.7316207885742188,-0.018816471099853516,8.0,4.0,03-06,0.20447782675425183
01-07,0.14422941207885742,0.4477524757385263,-0.05568361282348633,0.14713621139526545,0.40435028076171875,0.1829972267150879,0.0070662498474129976,-0.28498411178588867,0.33777523040771396,0.1271977424621582,0.6954379081726065,-0.009407997131346768,9.0,3.0,03-07,0.17865558465321882
01-08,0.08896780014038086,0.40187358856201083,-0.01942157745361328,0.14713621139526545,0.40435028076171875,0.03405570983886719,-0.00046253204345614307,-0.41104650497436523,0.0902423858642587,0.1271977424621582,0.6418986320495597,-0.009407997131346768,8.0,4.0,03-08,0.12461531162261985
01-09,0.08896780014038086,0.7738809585571289,-0.01942157745361328,0.14713621139526545,0.4313631057739258,0.31858110427856356,0.06655359268188477,-0.55914306640625,0.0902423858642587,0.08463764190673828,0.8203668594360352,-0.06647348403930664,9.0,3.0,03-09,0.18139096101125096
01-10,0.13898181915283203,0.7333812713623047,-0.05568361282348633,0.09627771377563565,0.4731321334838867,0.35404205322265625,0.13504695892334073,-0.55914306640625,-0.1220412254333505,0.08463764190673828,0.909843921661377,-0.16178607940673917,8.0,4.0,03-10,0.16889079411824545
01-11,0.16689062118530273,0.7391667366027832,-0.05568361282348633,0.09627771377563565,0.29663658142089844,0.3824119567871085,0.0070662498474129976,-0.55914306640625,-0.07305145263671875,0.15379714965820312,0.9077610969543448,-0.9236736297607413,8.0,4.0,03-11,0.09487136205037443
01-12,0.18363475799560547,0.653252124786377,-0.05568361282348633,0.07056522369384766,0.3304009437561035,0.3824119567871085,0.014594078063965732,-0.5981178283691397,-0.03996038436889737,0.1197504997253418,0.8725571632385254,-0.628203868865965,8.0,4.0,03-12,0.10876675446828221
01-13,0.18363475799560547,0.5845222473144531,-0.2051825523376456,0.07056522369384766,0.3440732955932617,0.3824119567871085,0.0517725944519043,-0.5981178283691397,0.33133745193481445,-0.05165290832519531,0.8363733291625968,-0.8760166168212891,8.0,4.0,03-13,0.08781007925669353
01-14,0.18363475799560547,0.5259776115417472,-0.21122789382934481,0.07056522369384766,0.3030538558959961,0.3824119567871085,0.014594078063965732,-0.2672905921936026,0.22450494766235263,-0.1721768379211417,0.8725571632385254,-0.8101582527160653,8.0,4.0,03-14,0.09303716818491618
01-15,0.1945209503173828,0.3165574073791495,-0.09034347534179688,0.09627771377563565,0.19500350952148438,0.35404205322265625,0.06655359268188477,-0.21340322494506747,0.22450494766235263,-0.1721768379211417,0.8814806938171404,-0.8948330879211435,8.0,4.0,03-15,0.07984868685404474
01-16,0.16689062118530273,0.16712284088134854,-0.09034347534179688,0.09627771377563565,0.20175695419311523,0.28311824798583984,0.07454252243041992,-0.1978130340576163,0.22450494766235263,-0.1721768379211417,0.8190164566040057,-1.2003264427185059,8.0,4.0,03-16,0.031047542889913293
01-17,0.16689062118530273,0.2539024353027344,-0.17496252059936435,0.09627771377563565,0.0666966438293457,0.24724245071411133,0.07454252243041992,-0.1978130340576163,0.22450494766235263,-0.2147369384765616,0.9439449310302734,-1.1240758895874032,8.0,4.0,03-17,0.030201156934102524
01-18,0.16689062118530273,0.20761775970458984,-0.17496252059936435,0.09627771377563565,0.31155872344970703,0.04799270629882901,0.051957130432129794,-0.23720598220825106,0.42862462997436523,-0.2147369384765616,0.9177870750427237,-1.0852117538452148,8.0,4.0,03-18,0.043049097061157594
01-19,0.16689062118530273,0.20761775970458984,-0.17496252059936435,0.09627771377563565,0.2097616195678711,0.14126920700073242,0.044429779052734375,-0.23720598220825106,0.3951005935668963,0.06055068969726651,0.9180321693420419,-0.9231805801391593,9.0,3.0,03-19,0.07538175582885802
01-20,0.16689062118530273,0.30498504638671875,-0.06172895431518555,0.07834196090698242,0.07303285598754883,0.23454761505126864,0.044429779052734375,-0.25279617309570224,0.4455571174621582,0.0009670257568368257,0.8999400138854989,-3.201155185699462,9.0,3.0,03-20,-0.10558235645294167
01-21,0.16689062118530273,0.44615602493286133,-0.06172895431518555,0.07198476791381747,0.13456153869628906,0.23454761505126864,-0.015055656433105469,-0.13461446762084872,0.34611272811889826,-0.10233831405639737,1.089905261993409,-3.201155185699462,7.0,5.0,03-21,-0.08539450168609604
01-22,0.16689062118530273,0.1927022933959952,-0.06172895431518555,0.07198476791381747,0.13456153869628906,0.17071628570556463,0.03764200210571378,-0.16579389572143466,0.14808988571166992,-0.06790447235107422,1.089905261993409,-3.238789081573487,8.0,4.0,03-22,-0.1268103122711183
01-23,0.16689062118530273,0.1460747718811044,-0.4243812561035156,0.07198476791381747,0.16157245635986328,0.16362285614013494,0.030205726623536044,-0.04761171340942205,0.12333631515502841,-0.06790447235107422,1.0542116165161142,-2.2292122840881348,8.0,4.0,03-23,-0.0709342161814371
01-24,0.13926124572753906,0.15764522552490412,-0.4243812561035156,0.07198476791381747,0.09404373168945312,0.04164457321166992,0.0602264404296875,-0.27609682083129705,0.08251142501830966,-0.025343418121337002,0.8555679321289062,-2.2768688201904297,8.0,4.0,03-24,-0.12498374780019102
01-25,0.13926124572753906,0.15764522552490412,-0.4243812561035156,0.1864151954650879,-0.06836414337158203,-0.2065906524658203,0.03764200210571378,-0.27609682083129705,0.08251142501830966,-0.1630821228027335,0.3799319267272949,-1.8109426498413095,6.0,6.0,03-25,-0.16383755207061737
01-26,0.13926124572753906,0.3008337020874041,-0.543978214263916,0.08999300003051758,-0.06836414337158203,-0.1420145034790048,0.11292362213134766,-0.30727291107177646,0.16501998901367188,0.04352807998657404,0.5156211853027353,-1.7346925735473633,7.0,5.0,03-26,-0.11909512678782108
01-27,0.11163377761840731,0.17934274673462003,-0.574199676513671,-0.025712966918945312,-0.047853946685791016,-0.18506526947021573,0.11292362213134766,-0.3860616683959952,0.08250856399536222,-0.12052202224731356,0.6151280403137198,-1.5345358848571777,5.0,7.0,03-27,-0.14770122369130437
01-28,0.05581855773925781,0.22562599182128817,-0.574199676513671,0.12213134765625089,-0.047853946685791016,-0.05740070343017578,0.0376415252685538,-0.06302833557128906,0.2887892723083487,0.06887006759643644,0.3799319267272949,-1.5345358848571777,7.0,5.0,03-28,-0.09151748816172282
01-29,0.17860937118530273,0.17355918884277344,-0.5137577056884766,0.03856611251831055,0.027345657348632812,-0.1291537284851083,0.09033918380737216,-0.33090734481811523,0.6518349647521973,0.06887006759643644,0.3799319267272949,-1.5345358848571777,8.0,4.0,03-29,-0.07494151592254646
01-30,0.1562819480895996,0.15041637420654208,-0.5137577056884766,0.03856611251831055,0.020510196685791016,0.19373083114624023,0.10539484024047852,-0.22060632705688477,0.5775752067565936,0.025826454162597656,0.1085519790649414,-2.4495372772216797,9.0,3.0,03-30,-0.15058728059132886
01-31,0.17860937118530273,0.32976055145263494,-0.4291386604309073,0.03856611251831055,-0.13672876358032227,0.0,0.18820571899413974,-0.2284865379333496,0.33004379272461115,0.11191415786743164,0.30756330490112305,-2.2970380783081055,7.0,5.0,03-31,-0.13389408588409424
02-01,0.1618633270263672,0.32976055145263494,-0.4835352897644034,0.03856611251831055,0.0,0.11480331420898349,0.10539293289184481,-0.4333338737487793,0.33004379272461115,-0.008608818054200107,-0.04522991180419833,-2.1064114570617676,6.0,6.0,04-01,-0.1663907766342164
02-02,0.2344217300415039,0.358686923980712,-0.4835352897644034,0.03856611251831055,0.17090940475463867,0.014350891113280362,0.10539293289184481,-0.4490928649902344,0.33004379272461115,-0.10330533981323242,-0.0542759895324707,-1.7632856369018546,7.0,5.0,04-02,-0.1334269444147745
02-03,0.22325801849365234,0.3876142501831046,-0.5318899154663086,-0.10284900665283203,0.15040111541748047,0.028700828552245206,0.18067598342895508,-0.3939399719238281,0.33003902435303,0.008608341217040127,0.26233339309692383,-1.7632856369018546,8.0,4.0,04-03,-0.10169446468353265
02-04,0.21767711639404297,0.34132862091064364,-0.39287233352661044,0.12213134765625089,0.15040111541748047,0.05022621154785156,0.18067598342895508,-0.4727306365966806,0.3217916488647452,-0.07748031616211026,0.07236766815185547,-1.715630054473876,8.0,4.0,04-04,-0.10017613569895434
02-05,0.19535303115844727,0.3297576904296875,-0.27803373336791815,0.12213134765625089,0.11622047424316406,0.07892608642578036,0.36135387420654297,-0.35454559326171875,0.2722845077514675,-0.07748031616211026,0.08141326904296875,-1.715630054473876,8.0,4.0,04-05,-0.07235411802927616
02-06,0.15070104598998935,0.48017454147339045,-0.27803373336791815,0.12213134765625089,0.08887434005737305,0.021526336669921875,0.045168399810791016,0.0,0.04125499725341797,-0.043044567108155185,0.03618288040161133,-2.0968799591064453,8.0,4.0,04-06,-0.11932869752248106
02-07,0.13953542709350586,0.43389415740966886,-0.4170513153076163,0.12213134765625089,0.08887577056884766,0.11480331420898438,0.045168399810791016,-0.4096975326538095,0.04950666427612305,-0.25826454162597745,0.2261505126953134,-2.0968809127807617,8.0,4.0,04-07,-0.1634857257207233
02-08,0.16744327545166016,0.43389415740966886,-0.4170513153076163,0.11570549011230558,0.13672876358032227,0.11480331420898438,0.11292171478271484,-0.21272754669189542,0.04950666427612305,0.0,0.13568973541259854,-2.287506103515625,8.0,4.0,04-08,-0.1375493208567299
02-09,0.16744327545166016,0.3297591209411621,-0.4170513153076163,0.012855052947998935,0.06836605072021484,0.057401180267333096,0.11292171478271484,-0.21272754669189542,0.0330047607421875,-0.12913227081298917,0.2261505126953134,-1.9729743003845215,8.0,4.0,04-09,-0.14366531372070312
02-10,0.16744327545166016,0.30083370208740234,-0.4170513153076163,0.10927724838256925,0.06836605072021484,0.057401180267333096,0.10539388656616211,-0.19697093963623136,0.0330047607421875,-0.08608865737915039,0.26233386993408203,-1.9729743003845215,8.0,4.0,04-10,-0.13075260321299234
02-11,-0.03349018096923828,0.15041685104370117,-0.3686966896057111,0.05785226821899503,0.06836605072021484,0.057401180267333096,0.09786605834960849,0.03151416778564364,-0.2475318908691415,-0.08608865737915039,0.09950590133666992,-2.068286895751953,7.0,5.0,04-11,-0.18676431973775234
02-12,-0.03349018096923828,0.19091129302978516,-0.3686966896057111,-0.05785322189331055,0.06836605072021484,0.02152538299560458,0.09786605834960849,0.0,-0.20627689361572354,-0.08608865737915039,0.009045124053955078,-2.049224376678467,5.0,7.0,04-12,-0.20115967591603603
02-13,-0.03349018096923828,-0.04628419876098633,-0.3686966896057111,-0.22498178482055664,0.0068359375,-0.2511320114135751,0.19573259353637695,0.12606000900268466,-0.20627689361572354,0.0860881805419913,0.009045124053955078,-2.1159424781799316,5.0,7.0,04-13,-0.23525353272755956
02-14,0.12837457656860263,-0.08099508285522372,-0.7011275291442862,-0.22498178482055664,-0.09571170806884766,-0.17220354080200195,0.0,0.14969539642333896,-0.33004283905029386,-0.08608865737915039,0.11759710311889648,-1.7537550926208487,3.0,9.0,04-14,-0.2541032632191976
02-15,0.12837457656860263,0.07520627975463867,-0.7555265426635751,-0.16070270538330078,0.0,0.028700828552246094,0.0,0.1575751304626447,-0.45380878448486417,-0.12913227081298917,0.04522943496704013,-1.7728166580200195,5.0,7.0,04-15,-0.23640839258829804
02-16,0.12837457656860263,0.07520627975463867,-0.6104650497436523,-0.16070270538330078,-0.02734518051147461,0.028700828552246094,0.0,0.1575751304626447,-0.2145261764526385,0.04304313659667969,-0.13568925857544034,-1.7537546157836914,5.0,7.0,04-16,-0.20579858620961552
02-17,0.12837457656860263,0.06942129135131747,-0.7313499450683594,-0.28283405303955167,0.0,0.028700828552246094,0.0,0.047272205352782315,-0.1897735595703125,0.017215728759764737,-0.13568925857544034,-1.7537546157836914,5.0,7.0,04-17,-0.23353473345438683
02-18,-0.5693140029907244,0.18512773513793945,-0.6467289924621582,-0.28283405303955167,0.0,0.028700828552246094,0.0,0.047272205352782315,-0.33004283905029386,0.017215728759764737,-0.13568925857544034,-1.7537546157836914,4.0,8.0,04-18,-0.28667060534159394
02-19,-0.2065138816833505,-0.10413503646850586,-0.7555255889892578,-0.28283405303955167,0.0,-0.02152538299560547,0.06775426864624112,0.11818170547485352,-0.3712978363037118,0.017215728759764737,-0.13568925857544034,-1.4964098930358887,3.0,9.0,04-19,-0.26423160235087106
