,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.7899999618530256,-0.34999847412109375,-2.899999618530268,-1.1900005340576154,-1.9699997901916495,0.690000057220459,-0.06000018119812056,1.0500000715255737,0.20000004768371538,-0.9000000953674316,0.12999987602233887,0.5799999237060556,5.0,7.0,03-02,-0.6258332232634218
01-03,-2.669999122619629,0.07000160217285156,-3.119998931884762,-1.1900005340576154,-1.8000001907348615,0.7099995613098145,-0.17000007629394576,0.9900001287460327,0.20000004768371538,-0.880000114440918,0.09999990463256836,0.309999942779541,6.0,6.0,03-03,-0.6208331485589339
01-04,-1.7599992752075213,0.21000099182128906,-2.590000152587887,-1.1199998855590785,-1.7299995422363281,0.5900001525878906,-0.2100000381469731,1.0100001096725468,0.20000004768371538,-0.850000143051147,-0.029999971389770508,0.6399998664855957,5.0,7.0,03-04,-0.46999981999397233
01-05,-2.1599998474121076,-0.2999992370605504,-2.1999988555908203,-0.8800001144409162,-1.7999997138977069,0.5500001907348633,-0.25000000000000044,1.050000071525574,-0.13000011444091797,-0.8099997043609619,0.05999994277954146,0.8600001335144043,4.0,8.0,03-05,-0.5008331040541333
01-06,-2.7900009155273384,-0.9899997711181605,-1.8399991989135724,-1.3800001144409215,-1.7899999618530291,0.46000003814697266,-0.6299998760223389,1.03000009059906,0.019999980926513672,-0.7200002670288095,0.0699999332427983,0.880000114440918,5.0,7.0,03-06,-0.6399999956289925
01-07,-1.370000839233393,-1.3000011444091797,-1.8800001144409162,-1.8199996948242205,-1.469999790191653,0.4699997901916495,-0.5399999618530273,1.0699999332427983,-0.029999971389770508,-0.620000123977662,-0.009999990463256392,0.7699999809265137,3.0,9.0,03-07,-0.5608334938685098
01-08,-1.5,-1.340000152587887,-1.5700006484985352,-1.9300003051757795,-1.6299996376037607,0.5099997520446777,-0.47000002861022905,1.1200000047683711,-0.07999992370605469,-0.7100000381469735,-0.049999952316283736,1.010000228881836,3.0,9.0,03-08,-0.5533333917458849
01-09,-1.0799999237060582,-1.7600002288818324,-1.8200006484985352,-1.7899999618530273,-1.469999790191653,0.5499997138977051,-0.9100000858306885,1.2999999523162842,-0.08999991416931152,-0.5199999809265137,-0.049999952316283736,1.2699999809265137,3.0,9.0,03-09,-0.53083340326945
01-10,-1.0500001907348633,-2.04000091552734,-2.000000953674318,-2.1000003814697266,-1.6799993515014657,0.3899998664855966,-1.0199999809265137,1.1399998664855957,-0.1400001049041748,-0.5,-0.019999980926513672,1.0399999618530273,3.0,9.0,03-10,-0.6650001804033914
01-11,-2.229999542236328,-2.54000091552734,-2.3300008773803693,-2.1000003814697266,-1.5199995040893555,0.3400001525878906,-1.1200001239776607,1.1399998664855957,-0.11999988555908203,-0.5399999618530265,0.1699998378753662,0.8299999237060547,4.0,8.0,03-11,-0.8350001176198317
01-12,-1.4799995422363281,-1.960000991821289,-2.4900007247924822,-1.9400005340576172,-1.6799993515014648,0.28999996185302734,-1.070000171661377,1.199999928474426,-0.1299998760223393,-0.7700002193450932,0.17999982833862305,0.8600001335144043,4.0,8.0,03-12,-0.7491667966047925
01-13,-1.9599990844726562,-2.280000686645508,-2.2900009155273438,-1.5899991989135742,-1.4599995613098145,0.36999988555908203,-0.8300001621246342,1.1799999475479126,-0.07999992370605469,-0.8700001239776611,0.2999999523162842,0.46000003814697266,4.0,8.0,03-13,-0.7541666527589163
01-14,-1.0499992370605504,-2.3299999237060547,-1.4399995803833026,0.6399993896484375,-1.6999998092651367,0.48999977111816406,-0.8300001621246342,1.4199999570846555,-0.38000011444091797,-0.8700001239776611,0.2899999618530278,0.3400001525878906,5.0,7.0,03-14,-0.4516666432221735
01-15,-1.1499996185302734,-1.4300003051757848,-1.6099996566772479,0.26999950408935547,-1.9499998092651367,0.4499998092651367,-1.1400001049041748,1.47000002861023,-0.440000057220459,-0.8099999427795406,0.3500001430511479,0.17999982833862305,5.0,7.0,03-15,-0.48416668176651045
