,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.33987998962402344,0.15300226211547852,0.012603759765625,0.47696304321288885,0.24643993377685547,0.5693559646606445,0.39126300811767756,0.35759830474853516,0.06890201568603516,-0.829167366027832,0.3107318878173828,0.44108772277831854,11.0,1.0,03-02,0.21155504385630275
01-03,0.055063724517822266,0.10341501235961914,-0.028438568115235263,0.47696304321288885,0.2277536392211914,0.5346193313598615,0.3094491958618164,0.35759830474853516,0.06890201568603516,-0.872401237487793,0.4295234680175781,0.02556228637695135,10.0,2.0,03-03,0.14066751797993926
01-04,0.1538381576538086,0.0538182258605957,-0.07482624053955167,0.42134666442870916,0.0252799987792951,0.31266021728515625,0.5171699523925799,0.3968067169189453,0.06070995330810547,-0.8029861450195312,0.3555116653442365,0.20949649810791016,10.0,2.0,03-04,0.13573547204335493
01-05,0.21621990203857422,0.0865621566772461,-0.05163097381591886,0.44664669036865057,0.038448333740234375,0.3266448974609375,0.6136054992675799,0.3268585205078125,0.1264848709106463,-0.8288478851318359,0.034996986389160156,0.3061742782592791,10.0,2.0,03-05,0.13684693972269715
01-06,0.06680679321289062,0.07019186019897461,0.00055694580078125,0.37796306610107244,0.06476593017578125,0.3056650161743164,0.5621671676635742,0.2102804183959961,0.1507692337036115,-0.8024206161499041,0.053459167480470526,0.32550907135009766,11.0,1.0,03-06,0.11547617117563853
01-07,0.38109636306762695,0.13615894317626953,-0.010848522186278409,0.34683704376220525,0.17662906646728516,0.34718799591064275,0.5033721923828125,0.08682537078857422,0.09333419799804688,-0.7762365341186541,0.034996986389160156,0.2294559478759748,10.0,2.0,03-07,0.12906742095947213
01-08,0.15885400772094815,0.10341501235961914,0.06492662429809481,0.3031759262084961,0.13096046447753906,0.32642555236816406,0.48846435546874645,0.0943260192871076,0.010653495788574219,-0.7587871551513654,0.3369607925415057,0.17182254791259766,11.0,1.0,03-08,0.11926647027333563
01-09,-0.21953725814819336,0.0542454719543457,0.15874624252319247,0.3530759811401367,-0.0256195068359375,0.32642555236816406,0.36998081207275213,0.3043079376220703,0.002384185791015625,-0.6982593536376935,0.12650299072265803,0.22964382171630682,9.0,3.0,03-09,0.08182473977406812
01-10,-0.25620317459106445,0.0542454719543457,0.1235632896423331,0.322174072265625,-0.07190418243408203,0.1319398880004865,0.4365377426147443,0.3356761932373029,-0.06316661834716975,-0.5944910049438477,0.24578475952148438,0.06572723388672053,8.0,4.0,03-10,0.060823639233906546
01-11,-0.07425308227539062,0.09281396865844727,0.1873464584350586,0.3283576965332031,-0.3213376998901367,0.2011423110961914,0.49588489532470525,0.2964639663696289,-0.07136154174804688,-0.6204280853271467,0.1999530792236328,-0.18538284301757812,7.0,5.0,03-11,0.04409992694854736
