,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,6.875543756221917,-1.2426905884616697,-2.7231440953530157,1.7348187333313905,-6.109126583687577,2.7624283920971484,0.7078485003041869,0.06273071186166781,-0.3378391222330035,-6.70430348729823,4.525862866292806,3.7275119649042963,7.0,5.0,0.2733034206649932
01-03,-3.0357156998040966,-0.5079872993832061,-2.0285461726313825,1.7348187333313905,-6.046227028293294,1.5172432208883229,0.8354762913568233,-0.3148626597892304,-0.3378391222330035,-7.5511622375662615,4.642854418073382,3.432640850875166,5.0,7.0,-0.6382755587646158
01-04,-3.683736237164491,-1.316754236804517,-1.803153745693701,2.788103012901902,-7.164008499389738,0.8293011979585844,1.0897440521596373,-0.25173040269840175,-0.40540179168335605,-8.132953257482265,4.301071225799647,3.9692694628780436,5.0,7.0,-0.8150207682682212
01-05,-1.8534866686767058,-1.5362109508042188,-0.6010512485645759,2.0496889185534903,-6.445890966431341,0.7607168491497623,1.4057464454759814,-1.447454316810612,-0.9472283210563235,-8.150252304651044,3.5816618813302608,4.3367365557468744,5.0,7.0,-0.7372520105615377
01-06,-3.4421919324707515,-2.194588069206464,-0.5271133276060076,3.2158346030314457,-6.5088781437818115,1.1707993866009025,0.8945648118909357,-1.0698497101736513,-1.291635485320061,-7.703181498043789,3.51254321016349,4.275686490311776,5.0,7.0,-0.8056674720503322
01-07,-2.206531347603264,-2.191382030169965,-0.22659129278046922,3.157890323553643,-6.069538764417932,0.06887209756587118,-0.6389800888641671,-0.5025120811725401,-1.7675066499495844,-7.779345127914755,3.4433253707682665,3.7013396354955757,4.0,8.0,-0.9175799962907766
01-08,-9.147986481259828,-1.235465650190313,1.429643197356406,2.4329402783348537,-7.542726802812625,-0.5509636445175157,0.25510179256705934,-1.2610328726012285,-2.114600428672044,-7.475313421223826,3.012906278782545,3.446075042909258,5.0,7.0,-1.562618559277272
01-09,-7.650768746503658,-1.7403899331549813,2.165795029255877,3.3374533477621924,-7.248093690946793,-0.6920441715550147,-1.8064498901367303,-0.4396965734218397,-2.604524403473114,-6.911139077187641,2.3672879027230405,2.63665493493948,4.0,8.0,-1.548826272641599
01-10,-11.878453062932408,-1.8881573461454095,1.503757942834194,4.017308775925409,-8.045282591647927,-1.9485019846978078,-2.7831735306424936,-0.4396965734218397,-2.604524403473114,-6.205924509886751,3.4188001676673565,3.1928480515446966,4.0,8.0,-1.9717499220730081
01-11,-10.254075443077761,-2.110625667277059,2.255640499493024,4.7589644205220125,-8.729673704449874,-1.1863229392814927,-2.7166887144735496,-0.1252317079208047,-2.39889941148033,-6.276441258774771,2.853071035265814,0.5225400077577136,4.0,8.0,-1.9506452403080898
01-12,-10.054344751020599,-2.110625667277059,4.586470688748614,4.187188184022032,-11.822660734937612,-1.5406181452570102,-3.116886414289757,-0.06261286812978656,-3.445899325382235,-6.3829758452564045,3.205126855326179,-0.13148917842995614,3.0,9.0,-2.2241106001569664
01-13,-5.8876777244225025,-1.7467232541200604,6.198032677222681,2.8395121614662377,-12.098759210904007,-1.327739865911129,-2.272729806100667,1.1897340693843514,-3.3035134530762242,-5.088341246920778,3.274021579375614,-4.315062632232493,4.0,8.0,-1.8782705588532478
01-14,-3.3514482503401997,-1.0189253686673143,6.01675517873113,2.7760572548203584,-13.287579972102497,-1.1180981322178973,-2.792209843033873,0.9993744230151332,-4.083046092565293,-5.311614773928192,3.342818300154941,-4.315062632232493,4.0,8.0,-1.8452483256971828
01-15,-5.167730392546348,-1.603493506360819,5.23520878665422,2.53555872280539,-12.289452457701303,-1.1180981322178973,-3.385419722568945,-0.8253975520058283,-3.795722563302849,-5.836296681084444,3.342818300154941,-4.383557348811597,3.0,9.0,-2.274298545582123
01-16,-7.887578482513027,-1.5328470151142197,5.23520878665422,0.12673957178573136,-11.54085087259114,-0.41638043200585395,-3.392044751151967,-0.5047313677012968,-3.155007136859068,-5.836296681084444,3.6273130416857957,-13.805973389069667,3.0,9.0,-3.2568707273304116
01-17,-9.264300480336567,-1.5328470151142197,5.450418356923838,0.12673957178573136,-13.375387260957176,-0.5555550404536735,-3.740161791726287,-0.5681827760158507,-3.155007136859068,-5.907472686394611,2.7896952962707373,-10.49963624335199,3.0,9.0,-3.3526414338524284
01-18,-8.868773984800777,-1.3110000814061424,5.450418356923838,-0.8238283690796911,-12.382145394394385,-0.4850983599710175,-4.35644104095663,0.37523118699950353,-2.7434816229313017,-6.062763195736681,3.158654159498693,-17.43471139999678,3.0,9.0,-3.7903283121542812
01-19,-8.574005557821152,-1.3110000814061424,5.450418356923838,-4.674128095855133,-10.110291969267353,-0.9046632948936879,-3.1311187103685487,0.37523118699950353,-2.1962982512086855,-6.490726231811133,2.95176955329252,-16.00910172853829,3.0,9.0,-3.7186595686628556
01-20,-8.574005557821152,-1.529497779668302,4.64071782553683,-5.199998219807955,-9.573169093554638,-2.2566973761447584,-3.1311187103685487,1.626017714843622,-1.921761787990786,-6.080117376983513,3.230443309985074,-25.74013284306944,3.0,9.0,-4.542443324586964
01-21,-7.851984580773169,-2.191382030169965,3.949327346930641,-5.3749199470448,-8.12273409116963,-2.2566973761447584,-2.9354195140553543,1.5556938689956605,-1.7041581370131595,-6.460872927589777,3.8516469179451027,-25.74013284306944,3.0,9.0,-4.440136109429887
01-22,-5.924594497950002,-2.913332742467362,2.3134289161747295,-4.473686274399095,-8.12273409116963,-2.3977443248981487,-3.293807575415659,1.1801275127688695,-1.5656943667839314,-6.690649861140899,3.8516469179451027,-25.657894117680293,3.0,9.0,-4.474577875418026
01-23,-6.023031952820052,-2.7717003164376237,1.9475672018910613,-3.2509752683976205,-8.54392301197645,-3.1095444941313644,-2.8739357826504657,1.6250014305114746,-1.2211689821629255,-7.410077085702927,3.0670491521822,-29.857015429391225,3.0,9.0,-4.868479544923827
01-24,-7.74648011475659,-2.4727283824573862,3.037035906756366,-3.9011666016312048,-8.729673704449874,-2.1067429463259497,-3.073906266850299,1.747819467194914,-1.0176429751274867,-7.5539584140354386,2.9119307502396037,-25.73052073715309,3.0,9.0,-4.553002834883036
01-25,-8.222805632159144,-2.027514297345422,3.5555521647135415,-3.381011054747044,-8.578286134559498,-1.3995787949547491,-2.7379404961941307,1.747819467194914,-0.8141104981169017,-6.666668945458387,3.4727128493322166,-36.68430151178402,3.0,9.0,-5.144677740339885
01-26,-7.936504465785968,-2.2447462456412213,3.9259239479347645,-5.071519682492183,-7.017542645048182,-1.4705885299290329,-2.939254062256929,1.6853960677187325,-1.0862240737187152,-6.254492416266584,3.6144527825425703,-30.252105015734028,3.0,9.0,-4.5872670282230645
