,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,11.8012456852346,-11.054246398195808,24.452557443867434,20.935671601419898,18.948656881517746,10.458869908181534,-13.302901576644102,-34.80714740763422,8.146639764374454,10.530635238126289,20.74056088605854,-9.509682452483716,8.0,4.0,4.77840496448522
01-03,-10.299001453878098,-13.375138218006146,25.338145905804843,20.935671601419898,17.661097838448246,13.311290407660872,-8.130598677298893,-29.44896403570858,8.146639764374454,7.846756245228223,24.16829943730416,-3.748092379249702,7.0,5.0,4.367175536341606
01-04,-7.443366519811634,-14.814821168906017,23.895406093265063,18.245618535858974,15.63636317397609,15.563723599621959,-13.89075843924606,-22.68835230557294,8.920564948136459,1.5539644694827313,21.35642298477022,1.8684749128276341,8.0,4.0,4.016936690366872
01-05,-3.7499963678420123,-18.2010613941225,22.993689410723874,17.795639310520855,14.523807685661657,17.682200024428635,-15.408261875639829,-26.88355571580771,10.4858302533901,6.739974205158782,17.194352501613537,-3.416989351029405,7.0,5.0,3.3129690572546644
01-06,-8.437499278224987,-18.730163952260558,25.84269533261722,16.763004314577124,17.7548659240897,16.753926138519283,-12.299277136383594,-21.746574447669087,13.805235907028205,12.454352670126863,14.978748254697377,3.1108721147083385,8.0,4.0,5.020848820152156
01-07,-2.499997578561328,-15.196602851901774,25.687290692458504,11.097559372914947,16.99421797710343,12.484898876338885,-9.66859573658386,-15.860898147663566,13.10773649120839,15.240048726473935,10.361192390076276,-5.389762150283201,7.0,5.0,4.696424005131719
01-08,-8.25396770132252,-17.336155779170564,22.484130573666704,8.875000476837158,16.41618106450343,3.866287101983068,-14.993160448599491,-12.205385482299508,12.870512151388153,15.601263281818559,11.0466611995709,-4.033278179255857,7.0,5.0,2.861507354926669
01-09,-13.058414598426534,-13.66005677892378,21.487604029532218,9.888753716264784,15.491326414398282,6.17682946455481,-17.649118523848685,-8.203798061521068,11.977931870376342,20.38169307244772,6.564728864837423,-6.6827998343461354,7.0,5.0,2.726223302945448
01-10,-22.48062710372059,-15.834216740480992,17.151158492544,10.38319081266251,17.00223238740002,2.9074569598815536,-10.467550648891189,-17.54221306122305,11.426318811756332,19.751713185663025,5.075342032012397,-10.102966436594041,7.0,5.0,0.6058198909174983
01-11,-9.722220842485129,-10.435661042693594,15.50387088284371,10.754021582038368,18.04347697638381,6.116701949417757,-14.668595246398228,-15.91118636992136,10.204879160291615,22.455634284248973,6.830538422043876,-24.972806694349547,7.0,5.0,1.1832210884516867
01-12,1.2499987892806848,-3.9513713054178266,9.49611987612585,10.906861312844937,18.71658187635364,5.431699020850575,-13.558109040278648,-17.66882306448451,11.292247298864382,21.579041484465783,11.17089609714336,-20.03760975822822,8.0,4.0,2.885627715626667
01-13,1.5624984866008387,-5.977711848316504,3.0211498641998373,13.20528108892435,18.4549339754468,6.0789058760312615,-10.616933575760909,-11.563366803683458,11.914217488644534,27.707598212714394,11.668794474024699,-31.40438965892487,8.0,4.0,2.837581464991748
01-14,8.437499278225042,-9.489789116338047,5.175778757984462,11.386139665604968,20.08412490305315,4.710145205744098,-7.7833577532800815,-10.477944221798698,15.40856371308667,27.780585649420914,10.713374880096907,-31.564498746001178,8.0,4.0,3.698385184649851
01-15,14.571428298950195,-1.6048128698776178,6.756755139600526,15.665488334057867,20.08412490305315,6.0789058760312615,-4.568161164830465,2.721689291242498,15.011728553717466,28.203414109453874,12.464589040315326,-28.47666194104912,9.0,3.0,7.2423739642220815
01-16,6.593406665384172,-5.652622986747375,7.382554508474611,16.550117586488156,19.348055818125186,4.064709352036252,-0.9401130369739533,3.1390084284284936,16.768763121692857,28.203414109453874,13.520473222850205,-48.621484834244484,9.0,3.0,5.029690162914
01-17,15.616442651188411,-0.6855993590860443,3.9761486632207363,16.550117586488156,19.401441888704333,6.594323806673173,-4.0687472399140026,0.46083123481042976,16.768763121692857,25.961861449784095,11.793800565719309,-34.124209342130236,9.0,3.0,6.520431252262601
01-18,16.304351417576584,1.1538450957754807,3.9761486632207363,10.83915893482802,15.79509111152116,3.3848702700065965,-7.266812147397365,-0.7462679264300944,14.548242811314957,25.237930719937236,9.559945641047609,-71.0762957132853,9.0,3.0,1.8091840731763007
01-19,18.30238887828548,1.1538450957754807,6.858851941120567,10.758774829823675,14.59695106799051,5.594115739847613,-5.362216750937249,-0.7462679264300944,16.62827065598434,29.432157959946814,14.49129409244875,-57.758158201348905,9.0,3.0,4.495833948542249
01-20,18.30238887828548,4.038462420187085,5.974531384898563,12.018134950326758,15.151511398369372,3.5863165947447215,-5.362216750937249,6.250000556013448,14.883721961789458,28.6996981987068,16.101065573390965,-69.99136222305921,10.0,2.0,4.137687745226349
