,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.6398186683654785,0.2783966064453134,-0.0691852569580087,0.6387042999267578,-0.19972038269043324,0.3620452880859375,0.19764041900634766,0.24693202972411932,0.2000503540039027,-0.5088109970092773,0.5457897186279297,0.4148445129394549,9.0,3.0,03-02,0.22887543837229352
01-03,0.5050816535949707,0.34194278717040927,-0.008272171020509589,0.6387042999267578,-0.21298599243163885,0.38323211669921875,0.13711166381836115,0.30332279205322266,0.2000503540039027,-0.5528945922851562,0.527618408203125,0.2500696182250959,9.0,3.0,03-03,0.2094150781631466
01-04,0.42333030700683594,0.4054927825927761,-0.07464408874512074,0.657832145690918,-0.37377452850341975,0.35503292083740234,0.12949466705322443,0.2549867630004883,0.14964389801025213,-0.5617771148681641,0.546269416809082,0.3275566101074201,9.0,3.0,03-04,0.18662031491597456
01-05,0.4342312812805176,0.4112148284912127,-0.014305114746095526,0.5111417770385742,-0.4209003448486328,0.3908729553222656,0.1752033233642596,0.18313694000243963,0.031467437744140625,-0.5619754791259783,0.5834321975708008,0.4146537780761719,9.0,3.0,03-05,0.17818113168080632
01-06,0.22898340225219727,0.4398388862609881,0.05838966369628906,0.4857997894287127,-0.4478321075439453,0.40520954132080256,0.1525583267211914,0.19910240173339844,-0.0023412704467773438,-0.46439266204833984,0.5741424560546893,0.4920749664306623,9.0,3.0,03-06,0.17679444948832237
01-07,0.2073812484741211,0.3707742691040039,-0.020051956176757812,0.41536235809325994,-0.3338956832885742,0.32014083862304865,0.08461952209472656,0.2792243957519531,-0.052886962890625,-0.4466238021850586,0.5834321975708008,0.4343891143798828,8.0,4.0,03-07,0.1534887949625651
01-08,0.0881662368774423,0.3476648330688459,0.1119985580444336,0.38965129852294744,-0.4007282257080078,0.31304836273193537,0.061837196350097656,0.26311397552490234,-0.06982803344726562,-0.4466238021850586,0.4912090301513672,0.48246192932129084,9.0,3.0,03-08,0.13599761327107754
01-09,-0.3007183074951181,0.2388010025024414,0.19727373123168945,0.3510866165161133,-0.3739957809448242,0.2769775390625,-0.1280670166015625,0.31943321228027166,-0.10371398925781072,-0.3937196731567383,0.48198509216308594,0.42433261871337713,7.0,5.0,03-09,0.08247292041778542
01-10,-0.39268732070922674,0.35433673858642756,0.19727373123168945,0.4084606170654297,-0.3411731719970703,0.12747097015380682,-0.09751605987548828,0.33554649353027166,-0.12051391601562322,-0.36727046966552734,0.5563144683837891,0.4630422592163068,7.0,5.0,03-10,0.09360702832539876
01-11,-0.39813804626464755,0.43521690368652166,0.13090944290161133,0.4090995788574219,-0.51519775390625,0.19966506958007812,-0.059424400329589844,0.30332279205322266,-0.08171367645263494,-0.3296222686767578,0.500981330871582,0.2890348434448242,7.0,5.0,03-11,0.07367781798044848
01-12,-0.48302602767944247,0.47528457641601385,0.15393686294555664,0.3965539932250959,-0.744816780090332,0.16382503509521307,-0.08927536010742188,0.31130409240722656,-0.23401546478271484,-0.3207731246948242,0.44077777862549006,0.2793560028076172,7.0,5.0,03-12,0.02909429868062315
01-13,-0.6485095024108878,0.47414064407348544,0.2082672119140625,0.4287176132202166,-0.8533296585083008,0.2351741790771502,-0.10520076751708984,0.3522052764892578,-0.2170734405517578,-0.39194393157958807,0.4593610763549787,-0.0012950897216796875,6.0,6.0,03-13,-0.004957199096679392
01-14,-0.5833988189697266,0.3942151069641122,0.24592018127441406,0.46728038787841975,-0.9414939880371094,0.2636890411376971,-0.11278533935546875,0.3440132141113281,-0.22224998474121094,-0.3564090728759748,0.47794437408447266,-0.01576423645019709,6.0,6.0,03-14,-0.0032532612482703005
01-15,-0.4208350181579581,0.1570415496826172,0.12490844726562411,0.5247125625610352,-0.8878326416015625,0.29220390319824396,-0.1507778167724627,0.3033151626586914,-0.2307577133178711,-0.39653205871581854,0.5427398681640625,-0.03505706787109375,6.0,6.0,03-15,-0.014739235242207696
01-16,-0.4591221809387216,0.20920801162719727,0.10655212402343661,0.29886913299560547,-0.8542995452880859,0.2780284881591797,-0.16629505157470525,0.39998722076416016,-0.13716983795166016,-0.39653205871581854,0.5057125091552717,-0.8163938522338867,6.0,6.0,03-16,-0.08595458666483562
01-17,-0.41572141647338956,0.22661924362182617,0.16775417327881126,0.29886913299560547,-1.131391525268553,0.11407852172851562,-0.17388248443603338,0.3918943405151367,-0.13716983795166016,-0.36113739013671875,0.6125383377075195,-0.7289409637451172,6.0,6.0,03-17,-0.09470748901367143
01-18,-0.42119693756103427,0.19760847091674805,0.16775417327881126,0.26685523986816406,-0.6983823776245117,0.178619384765625,-0.19684600830078303,0.44853878021240234,-0.1287374496459961,-0.3703184127807617,0.5568618774414062,-1.6023969650268572,6.0,6.0,03-18,-0.13347001870473227
01-19,-0.42119693756103427,0.19760847091674805,0.1556291580200213,-0.029404640197753906,-0.494997978210451,0.18582630157470703,-0.04376411437988281,0.44853878021240234,-0.12902545928955078,-0.4057168960571289,0.5664558410644531,-1.4858770370483398,5.0,7.0,03-19,-0.12132704257965081
01-20,-0.42119693756103427,0.19760847091674805,0.08895206451416016,-0.21734142303466797,-0.6170749664306641,0.1137542724609375,-0.04376411437988281,0.5126962661743164,-0.03579902648925781,-0.47717952728271484,0.5571327209472656,-2.5928192138671875,5.0,7.0,03-20,-0.2445859511693318
01-21,-0.4645977020263663,0.335834503173829,0.0035009384155273438,-0.1975278854370135,-0.6645488739013672,0.1137542724609375,-0.0058460235595703125,0.44875335693359375,-0.03550910949707209,-0.5039281845092756,0.6690263748168963,-2.5928192138671875,5.0,7.0,03-21,-0.24115896224975572
01-22,-0.3289065361022949,0.30143022537231356,-0.03888225555419922,-0.07493591308593928,-0.6645488739013672,0.13514041900634766,-0.07493782043457031,0.41674613952636896,-0.0014810562133789062,-0.5217599868774414,0.6690263748168963,-2.602465629577635,4.0,8.0,03-22,-0.23213124275207497
01-23,-0.25243663787841797,0.3303394317626953,-0.08784914016723633,-0.08138275146484375,-0.7182064056396484,0.02766799926757635,-0.02121925354004084,0.4404468536376953,0.049561500549316406,-0.5217599868774414,0.6690263748168963,-2.495528221130373,5.0,7.0,03-23,-0.22177835305531848
01-24,-0.18650865554809481,0.3245391845703125,-0.057244300842285156,-0.0621757507324201,-0.5826444625854492,0.12159347534179688,-0.021149635314941406,0.48090457916259766,0.10017871856689453,-0.5306081771850568,0.6877450942993164,-2.0970993041992188,5.0,7.0,03-24,-0.1518724362055457
01-25,-0.18103504180908114,0.37676143646240234,-0.07542800903320135,-0.215817451477049,-0.6366004943847656,0.24277496337890625,0.009468078613283026,0.48090457916259766,0.12548446655273615,-0.4239511489868164,0.7715978622436506,-2.960784912109375,6.0,6.0,03-25,-0.20721880594889272
01-26,-0.13722276687621981,0.37676143646240234,0.06400346755981356,-0.2601747512817383,-0.6102895736694336,0.19953441619873225,-0.02880382537841797,0.41674613952636896,0.04942512512207031,-0.37982940673828125,0.7902450561523438,-2.378183364868164,6.0,6.0,03-26,-0.15814900398254364
01-27,-0.16977405548095703,0.36525869369506747,0.05158090591430664,-0.22232532501220703,-0.6374225616455078,0.24998188018798828,-0.08188819885254084,0.36862659454345703,0.10053253173827947,-0.21162128448486328,0.7622747421264631,-1.6790618896484375,6.0,6.0,03-27,-0.09198649724324597
01-28,-0.4030795097351074,0.3248462677001962,-0.003376483917236328,-0.2807474136352539,-0.6374225616455078,0.17870140075683594,-0.1880483627319336,0.30418014526367365,0.09217071533203125,-0.21162128448486328,0.7436227798461914,-1.6694145202636719,5.0,7.0,03-28,-0.14584906895955382
01-29,-0.3206772804260263,0.29588842391967773,0.0457000732421875,-0.2872047424316406,-0.6240053176879883,0.2642393112182617,-0.26409912109375,0.21603679656982422,0.10918712615966797,-0.21162128448486328,0.7713937759399414,-1.6887083053588867,6.0,6.0,03-29,-0.14115587870279955
01-30,-0.27138853073120117,0.3654651641845712,0.064056396484375,-0.09362316131591797,-0.46973228454589844,0.15739727020263672,-0.240997314453125,0.20020580291748047,0.12620162963867188,-0.1762247085571289,0.7065944671630859,-1.2515668869018537,6.0,6.0,03-30,-0.073634346326192
01-31,-0.20105934143066317,0.33645153045654386,0.039576053619384766,-0.18325519561767756,-0.43552303314208984,0.23612308502197266,-0.33979034423828125,0.2406606674194336,0.05027961730957031,-0.1496744155883789,0.7531480789184553,-1.3003082275390607,6.0,6.0,03-31,-0.07944762706756592
02-01,-0.17915344238281072,0.33645153045654386,0.015330791473388672,-0.22806072235107422,-0.5029640197753924,0.20753002166748047,-0.3091764450073242,0.2406606674194336,0.07558822631835938,-0.11401081085205078,0.6414594650268555,-1.2611503601074219,6.0,6.0,04-01,-0.08979125817616773
02-02,-0.16272211074829013,0.26169395446777344,-0.03316926956176758,-0.1954936981201172,-0.5365839004516602,0.20753002166748047,-0.3091764450073242,0.20056629180908203,0.10947513580322266,-0.09610843658447443,0.650917053222658,-1.2999916076660156,5.0,7.0,04-02,-0.10025525093078606
02-03,-0.4719805717468253,0.26169395446777344,0.05805921554565341,-0.23426914215088068,-0.49588775634765625,0.19312191009521662,-0.21817779541015625,0.1524496078491211,0.10983467102050959,-0.05166435241699219,0.641593933105467,-1.727231025695799,6.0,6.0,04-03,-0.14853811264038072
02-04,-0.4068751335144043,0.31945276260375977,0.10072755813598544,-0.2280130386352539,-0.5230188369750977,0.24301910400390803,-0.14234066009521484,0.17679882049560725,0.12699031829833984,-0.0873270034790039,0.6042938232421875,-1.6693506240844709,6.0,6.0,04-04,-0.12380357583363814
02-05,-0.24902057647705167,0.30827045440673917,0.1433877944946289,-0.20220565795898438,-0.6102199554443359,0.2786598205566424,-0.11193275451660156,0.17665481567382812,0.11848640441894709,-0.069491386413576,0.6135530471801758,-1.6886434555053693,6.0,6.0,04-05,-0.10770845413207979
02-06,-0.2603783607482901,0.2734546661376962,0.10666751861572266,-0.20220565795898438,-0.6772947311401367,0.33599281311035156,-0.0133514404296875,0.22534942626953125,0.09296417236328303,-0.060644149780275214,0.6042938232421875,-1.7760334014892596,6.0,6.0,04-06,-0.11259877681732178
02-07,-0.24390220642089933,0.29085731506347745,0.1556291580200213,-0.29823493957519354,-0.5558938980102539,0.2646350860595703,-0.051418304443359375,0.2981748580932617,0.05078315734863459,-0.12259101867676137,0.5393648147583008,-2.028304100036621,6.0,6.0,04-07,-0.14174167315165187
02-08,-0.19461488723754883,0.2560491561889675,0.09501409530639826,-0.24061775207519354,-0.38700294494628906,0.2574272155761719,-0.005488395690917969,0.3548154830932617,0.03390693664550959,-0.1847391128540039,0.5302410125732422,-1.8434972763061523,6.0,6.0,04-08,-0.11070887247721288
