,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.1903572082519531,-2.7279052734375,0.6943740844726598,-0.24798965454101562,5.257415771484382,19.77727508544922,6.019996643066406,-7.099998474121108,-16.43000030517579,4.280002593994155,11.750000000000014,1.9500045776367045,7.0,5.0,03-02,1.8360681533813479
01-03,-2.628706932067871,-2.7279052734375,0.6943740844726598,-0.24798965454101562,5.257415771484382,19.77727508544922,6.019996643066406,-7.099998474121108,-16.43000030517579,4.280002593994155,11.750000000000014,1.9500045776367045,7.0,5.0,03-03,1.7162056763966882
01-04,-1.8847332000732422,-2.7279052734375,0.6943740844726598,-0.24798965454101562,5.257415771484382,19.77727508544922,6.019996643066406,-7.099998474121108,-16.43000030517579,0.0,11.750000000000014,1.9500045776367045,6.0,6.0,03-04,1.4215366045633944
01-05,-1.3391532897949254,-2.7279052734375,0.6943740844726598,-0.049598693847663355,5.257415771484382,19.77727508544922,6.019996643066406,-0.7099990844726847,-16.43000030517579,0.0,11.750000000000014,1.9500045776367045,6.0,6.0,03-05,2.016034126281735
01-06,-1.3391532897949254,-2.7279052734375,0.6943740844726598,-0.049598693847663355,5.257415771484382,19.77727508544922,6.019996643066406,-2.4499969482422017,-5.050003051757805,0.0,11.750000000000014,1.9500045776367045,6.0,6.0,03-06,2.819367408752441
01-07,-1.3391532897949254,-1.8351364135742259,0.6943740844726598,-0.24798965454101562,5.257415771484382,19.77727508544922,6.019996643066406,-2.4499969482422017,-3.94000244140625,0.0,11.750000000000014,-0.26999664306642046,5.0,7.0,03-07,2.784732182820637
01-08,-1.7359390258789062,-1.8351364135742259,0.6943740844726598,-1.487945556640618,5.257415771484382,19.77727508544922,9.790000915527344,-8.099998474121094,-3.94000244140625,0.0,11.750000000000014,-0.26999664306642046,5.0,7.0,03-08,2.4916706085205087
01-09,-1.9839296340942383,-2.0335311889648438,0.6943740844726598,-1.2399559020996094,5.257415771484382,19.77727508544922,9.790000915527344,-8.099998474121094,-3.94000244140625,0.0,11.750000000000014,-0.26999664306642046,5.0,7.0,03-09,2.47513763109843
01-10,-2.628706932067871,-2.0335311889648438,0.6943740844726598,2.5791091918945312,1.2101974487304688,19.77727508544922,10.05999755859375,-4.7900009155273295,-5.220001220703125,0.0,11.750000000000014,-0.26999664306642046,6.0,6.0,03-10,2.5940597057342543
01-11,-2.1327247619628906,-2.0335311889648438,0.2975883483886719,2.5791091918945312,1.2101974487304688,19.77727508544922,10.05999755859375,-4.7900009155273295,-2.4000015258789062,0.0,11.750000000000014,-0.26999664306642046,6.0,6.0,03-11,2.837326049804689
01-12,-1.8351354598999023,-2.2815208435058665,0.2975883483886719,2.7775039672851562,1.2101974487304688,19.77727508544922,10.05999755859375,-4.7900009155273295,-2.4000015258789062,0.0,11.750000000000014,-0.26999664306642046,6.0,6.0,03-12,2.8579922517140712
01-13,-1.8351354598999023,-2.2815208435058665,-1.190359115600593,2.7775039672851562,1.2101974487304688,19.77727508544922,10.05999755859375,-1.459999084472642,-3.9800033569335938,0.0,11.750000000000014,-0.26999664306642046,5.0,7.0,03-13,2.8798299630482993
01-14,-1.8351354598999023,-2.2815208435058665,-1.190359115600593,2.876697540283203,1.2101974487304688,19.77727508544922,8.290000915527344,-0.9100036621093608,-4.870002746582038,0.0,11.750000000000014,-0.26999664306642046,5.0,7.0,03-14,2.7122627099355054
