,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-12.49999534338718,34.66666539510091,-2.7027000903735274,-8.130083113103058,7.843139271514356,4.166672461562474,-18.75000116415323,37.97468402182857,-207.69232356336755,-19.999995529651695,50.0,5.0,6.0,-11.260328137835828
01-03,0.0,-12.49999534338718,34.66666539510091,-2.7027000903735274,-8.130083113103058,7.843139271514356,9.756097797361287,-16.326526888506216,37.97468402182857,-207.69232356336755,-19.999995529651695,33.33333333333333,5.0,6.0,-11.981475392437565
01-04,0.0,-12.49999534338718,34.66666539510091,-2.7027000903735274,-3.6585330395809725,7.843139271514356,9.387755697839022,1.72413633637985,37.97468402182857,-185.714288755339,-19.999995529651695,42.857144377669506,6.0,5.0,-7.51016563816668
01-05,0.0,-12.49999534338718,22.00000286102295,-2.7027000903735274,-3.6585330395809725,12.639410608013451,10.843372686442148,1.72413633637985,37.97468402182857,-185.714288755339,-19.999995529651695,42.857144377669506,6.0,5.0,-8.044730155581325
01-06,0.0,-12.49999534338718,22.00000286102295,-2.7027000903735274,-3.6585330395809725,12.639410608013451,19.67871516706966,1.72413633637985,37.97468402182857,-135.29411867828105,-19.999995529651695,42.857144377669506,6.0,5.0,-3.106770775774203
01-07,0.0,-12.49999534338718,22.00000286102295,-2.7027000903735274,-24.390244469764628,12.639410608013451,19.67871516706966,6.8965453455194,37.97468402182857,-73.91304291488993,-19.999995529651695,42.857144377669506,6.0,5.0,0.7117103360880481
01-08,0.0,-12.49999534338718,22.00000286102295,-2.7027000903735274,-24.390244469764628,12.639410608013451,15.662654755440467,2.0408204226431472,40.243900754776526,-73.91304291488993,-19.999995529651695,42.857144377669506,6.0,5.0,0.16149628595825702
01-09,0.0,-12.49999534338718,22.00000286102295,-2.7027000903735274,-34.14634458370545,12.313438578527101,11.83673290648299,2.0408204226431472,44.31818043274326,-73.91304291488993,-19.999995529651695,42.857144377669506,6.0,5.0,-0.6579799069099016
01-10,0.0,-12.49999534338718,22.00000286102295,-14.864866606417648,-39.59390660212504,12.313438578527101,10.743800920098646,2.0408204226431472,44.31818043274326,-73.91304291488993,-19.999995529651695,42.857144377669506,6.0,5.0,-2.2165349503139065
01-11,0.0,-12.49999534338718,22.00000286102295,-14.864866606417648,-34.68468337852013,10.074625903021452,3.9999961853027344,2.0408204226431472,36.363635747885894,-81.81818551268462,-19.999995529651695,42.857144377669506,6.0,5.0,-3.8776250727596318
