,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,6.3829804795623435,-12.341412865359572,4.87244849550581,12.499998402020267,-31.543630089052705,-15.62499275638028,-1.9607860059875786,-18.333342825925182,-2.3629489773420316,23.789174940617812,14.677221901426782,-34.685435103646554,5.0,7.0,-4.55256036704674
01-03,-6.44014659229285,-10.581289170157843,8.781800535196025,12.499998402020267,-36.128147304001054,-17.142858115994215,4.709571731356064,-12.401062579404734,-2.3629489773420316,21.866094751890838,9.287531891517718,-32.14875427281548,5.0,7.0,-5.005017475002274
01-04,-5.813045965455549,-10.581289170157843,9.540120900145341,11.327081269542493,-37.91469335077884,-20.182649101756354,5.304207236260665,-3.649637238312458,-2.079397623962772,21.316163374921178,4.712714996919798,-29.863887995110833,5.0,7.0,-4.823692722312097
01-05,2.214151433377755,-9.445957676956821,9.050882256031297,14.252873707215416,-39.72318893120034,-18.66546137369689,1.7799297691374802,-1.7031555365027176,-11.3340028503096,21.97183047511986,3.213367522597515,-33.388153921781765,6.0,6.0,-5.148073760580734
01-06,-2.323053773940315,-11.058126318448219,10.185633387454066,15.825687586047868,-39.33748000673427,-19.419231404303545,2.5889943666086066,3.8929460008039785,-6.464249215927463,23.255811526295755,3.831414007929016,-31.549062560571468,6.0,6.0,-4.2142263670655
01-07,5.8802140716778295,-9.895121049231339,12.680806122423624,9.25051181915399,-21.04316645481528,-17.059882782873466,-0.32362429582610636,19.10828212480256,-7.015810732963761,23.465208841666914,1.5042481544156523,-30.25141577709919,6.0,6.0,-1.141645829889048
01-08,-0.6691461253842661,-7.808672440395463,13.110418097063429,5.08474770330168,-17.86570436279694,-15.063518860769424,-11.184215685997707,28.70722743681001,-7.015810732963761,21.70271928286887,0.5886210125077403,-27.33171051428646,5.0,7.0,-1.4787537658368575
01-09,-0.8607838903274508,-7.462020281133654,10.924785175154797,5.017668249384168,-17.805750953331277,-11.985689767535511,-18.45637412067148,28.927199477707997,-15.705131634060907,22.26098811840256,-2.1582728877002646,-34.15673174668135,4.0,8.0,-3.455009521732698
01-10,6.919895231398904,-5.067714627972831,10.660404008800487,3.0035282580784552,-13.952168778200868,-17.798170660112387,-17.531305766061475,26.824459318879057,-17.735051944176224,22.889042222150348,-2.9255291323091863,-48.669198315296335,5.0,7.0,-4.448484182068505
01-11,13.853113837977205,-3.307553813160935,8.384861152757535,2.43815775728148,-15.590460860463883,-16.666663690155172,-23.96226292871934,27.68031276055246,-23.29060240531751,20.25227926149388,-2.0694287656194414,-113.22312746842039,5.0,7.0,-10.458447930149509
01-12,13.823117716818615,-1.095357187480142,4.946821629739051,1.086961319478617,-15.204680254201605,-18.216319575359773,-21.441781089959907,31.96881224792929,-24.082067895430335,22.0258311537456,3.402646287000926,-93.25841572912506,6.0,6.0,-8.00370261473706
01-13,12.430361351590298,0.34364227382498946,5.128855299737957,-1.539564269521663,-13.34868650287394,-16.557535334348504,-25.32348245909074,34.697859066272926,-20.68229804599457,20.245400487953617,3.097343745704859,-125.98539792339854,6.0,6.0,-10.624458525845276
01-14,18.97631958875649,3.464497412393508,5.097646768130066,-5.729925973292511,-14.534883076207224,-16.183354198491127,-26.062853309020845,32.71028095691504,-19.51219610860441,18.975068218426046,5.661538931039663,-124.37956349699431,6.0,6.0,-10.126452023912467
01-15,18.24573354474444,3.6730352405146305,5.954771299789108,-2.042972652960067,-15.348832979919392,-18.89616966375262,-32.629554641419354,40.86799535510613,-24.66814718275217,19.1988937904472,6.215386023888221,-117.08029332237932,6.0,6.0,-9.709179599057766
01-16,16.866266749500348,1.0722710455648932,4.539655243199848,-2.186945056586332,-14.825576302037073,-18.975332136987806,-40.91815609268419,42.337162616001834,-20.27748767780505,19.1988937904472,5.84615267240083,-173.2110250354391,6.0,6.0,-15.044510015368717
01-17,21.708061562647476,1.8719363642582558,3.1314676593830693,-2.186945056586332,-12.816089604171438,-20.34715216936079,-33.79174339154304,37.16075126441486,-20.27748767780505,16.29834068567078,5.107691838191106,-130.39513713054177,6.0,6.0,-11.21135880462024
01-18,24.483095676352892,1.5368141503858899,3.1314676593830693,-5.784830220744472,-9.657502932508429,-19.182076198110185,-26.345085556000527,41.325537557199546,-19.210247734463664,13.788199164616538,7.17299893377028,-181.33334205264137,6.0,6.0,-14.172914296063368
01-19,25.798129445187897,1.5368141503858899,4.68425876600465,-7.22977276952001,-9.7245612883941,-15.90908413583609,-20.318023434103818,41.325537557199546,-21.218725266341323,13.758868663629068,11.279954624946836,-173.51852216511264,6.0,6.0,-12.461260487662841
01-20,25.798129445187897,4.73852183203836,6.649612725284223,-7.227616927297629,-11.22507866862495,-12.29357981178143,-20.318023434103818,42.69005864260358,-25.70145904680518,10.779312393154438,12.607947197740463,-242.69143048383484,6.0,6.0,-18.01613384470324
01-21,18.89713178684122,7.895301205545017,7.049132850687951,-11.629575377375724,-13.488369720442584,-12.29357981178143,-29.858659059737764,47.069272495575916,-23.555069023348093,10.909090909090908,13.896761044906874,-242.69143048383484,6.0,6.0,-18.98333276532271
01-22,24.798756999172475,7.462028102302741,7.106730673310453,-13.711151545506791,-13.488369720442584,-14.678903096011908,-45.43725784197655,45.60143845586264,-28.603852259509814,15.400549811702005,13.896761044906874,-242.69143048383484,6.0,6.0,-20.362058321668773
01-23,23.83018414927702,8.338892368705537,7.736753893008143,-14.254229118263284,-12.84883131653403,-5.099396440363109,-29.695881969584764,48.22694777626902,-24.368829316054274,16.781764007750567,12.195120367985233,-194.6640319371585,6.0,6.0,-13.651794794580205
01-24,30.122893426477816,8.562556463102181,8.92636282016309,-15.907421134950974,-16.35071306932754,-1.4667823473322956,-24.013724076988836,49.39341272189973,-21.844136111837216,9.599443602149192,8.973600280117372,-204.5360979008645,6.0,6.0,-14.04505044394933
