,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-10.990984427272183,9.876542067801381,7.913665165349966,6.955175020984152,8.784898371832114,5.322579578355961,6.946685369365069,-1.221005941309807,-4.831464310183783,0.13405132480829124,9.604523670411034,-9.781023147764333,8.0,4.0,2.3928035618648216
01-03,-45.86956907084857,11.591696400927324,7.913665165349966,6.955175020984152,6.715804195432767,5.680000305175781,6.725381649167875,0.0,-4.831464310183783,-0.9383400979011879,8.24859281858486,-14.826021169116707,7.0,5.0,-1.0529232577022933
01-04,-63.260336257199725,11.896552319475639,7.769783837017454,5.795981640810718,3.7037022501534267,4.163326770363939,7.539688366490671,-0.6067984481033338,-5.617977768886342,-1.2064363555988042,7.536558497404107,-9.325683141083122,7.0,5.0,-2.6343031907629473
01-05,-42.76596405215828,5.7758625367308625,7.266182035437428,5.019302147519915,3.7520393928159397,4.545452125663261,8.123033610851536,-2.0631077793207044,-7.01357324499116,-3.0666669209798174,7.12694234157007,-10.755810447806917,7.0,5.0,-2.0046923545556554
01-06,-50.63830236225137,1.810345096905624,7.741935042814497,4.009255567138046,3.9087911455531468,5.075332332063508,7.176654775320943,-0.7281604524675298,-7.579186252590779,-4.238406446888754,7.333331637912346,-6.872366946049989,7.0,5.0,-2.7500647385450265
01-07,-42.34043252581465,2.4075643182799027,8.125441278301542,3.618162599197915,3.6734678307357953,4.837428019708449,6.466881930308974,2.9585799484383832,-7.553552254095827,-3.963008019745707,7.23025178063413,-7.433376219696585,8.0,4.0,-1.8310492761456398
01-08,-73.4177170111533,1.8771353414361325,8.557284361866136,3.2457429384799714,2.7755114496970665,4.9960359365063,7.086611275959909,4.023670535650116,-7.674947308415595,-3.5526313725601035,7.007787880761642,-7.293127245163994,8.0,4.0,-4.364053601411309
01-09,-85.2861048875418,1.9624615244906582,8.557284361866136,3.692304171048678,2.7755114496970665,5.854435954848666,5.896412429256188,5.744428915093132,-8.286033001892736,-2.631582744894313,6.562849472848306,-8.677093008136293,8.0,4.0,-5.319593780276359
01-10,-100.88234506263885,-0.6129570434025362,7.510724402302693,3.6153866694523598,2.7093589116399484,4.176702908078587,5.506780487533861,5.076744883346043,-9.421111057587963,-1.9736854901274434,6.6815084452219216,-8.88251982614434,7.0,5.0,-7.2079509810271425
01-11,-67.40196204469643,0.1737659197737033,7.367666428452743,3.53846183189979,2.129403997293485,4.7770729412765185,3.5830585500903998,5.854800962920717,-8.172523031341914,-1.1718770130149965,7.374300128239895,-21.120002746582045,8.0,4.0,-5.255652839640679
01-12,-67.81325886082318,2.867071391345359,7.939911967262366,4.9961611127539305,0.4111857842293155,3.9357411937750433,2.1487621544211475,7.142858738163812,-9.677420772520119,-1.5706853991273635,8.008891342440355,-16.82098995956084,8.0,4.0,-4.869314275636681
01-13,-74.20147060322478,2.780196717073587,6.676240379048894,3.474902053227681,0.4930190570300518,4.166662845855964,2.8925650449212115,11.124119596120032,-10.788866792606258,-1.9736854901274434,8.008891342440355,-28.52292603154492,8.0,4.0,-6.322529323482134
01-14,-65.35625885063035,2.3457902032544236,7.802434729800576,3.623749092924849,1.0620924581034026,4.166662845855964,3.057858079079302,10.244471464599458,-12.80846208309809,-2.242745092414565,8.314855453853776,-28.183367773822095,8.0,4.0,-5.664409956041113
01-15,-35.21126909207611,2.925991014943372,7.593126194270426,3.5493829999459146,2.287579560515078,4.0865328037995505,3.861957798540431,16.040953965088143,-15.107916137038218,-2.3778048118474193,8.425722730731023,-28.86248428926772,8.0,4.0,-2.732352271866294
