,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-28.104580052156024,0.857520552436601,8.118925642519656,3.444783754104671,-0.4205614681878753,20.800175725658857,-42.388909413742454,-20.953009502381185,18.998052527164518,8.110263197359615,21.482032783392,7.608160940157313,8.0,4.0,-0.20392877613952534
01-03,-40.110908271688274,1.636125683042715,8.95184112098932,3.444783754104671,3.766062884195135,22.231598712191655,-38.69579354214317,-21.071547318944592,18.998052527164518,8.110263197359615,22.862315390757246,9.733118584172017,9.0,3.0,-0.012007273233261895
01-04,-35.59927937026786,1.2483609114594638,10.708212070804674,3.2928045900045846,6.794872557727645,22.062550071932694,-43.73605019543179,-19.74152006376647,18.455870795022282,6.010710467577064,18.229991760900674,2.03845356190723,9.0,3.0,-0.8529185701774836
01-05,-14.501511400946153,1.4454682205584117,8.95184112098932,2.0993335022894533,4.713370441456897,25.899134561164587,-45.6395396833259,-21.130858656903687,21.68572938108519,5.898450221150118,19.7816480695884,-2.037187629785304,8.0,4.0,0.5971565122767769
01-06,-31.117831649973283,3.6136674184318562,10.98840256239796,3.15245787248522,4.469984024229595,26.26949074249552,-40.47158580272149,-21.292407076380357,18.142543951616126,-3.0335044328875407,20.935437244938353,0.6925470382737806,8.0,4.0,-0.6375665089245219
01-07,-31.419938967723915,2.2457076940413807,12.216694414072837,4.197267888123692,2.7729609695149,26.00960019425823,-43.8307496644274,-16.07706941604407,12.319664481332179,1.051290986374935,19.45077466968065,1.882161585332337,9.0,3.0,-0.7651362637886869
01-08,-84.5401185672826,8.344196350971044,10.923426289729036,1.9334081317172513,2.7729609695149,26.289487016263852,-26.704193363881927,-10.171105976365181,14.359199956179186,3.100967396216059,19.515897387994336,1.172860132768933,9.0,3.0,-2.75025118968126
01-09,-166.3690502588509,7.170293814115443,12.159913971270301,4.7469997067836855,2.90294661398923,25.691457821571127,-28.070715775133042,-6.2752424477819595,15.53055510953979,6.871744885622964,18.723543378115124,0.11057728971249906,9.0,3.0,-8.900581324253812
01-10,-193.35666612119385,8.747641996791128,12.741310385392794,5.26865010361072,1.1168394382006512,25.257731958762886,-25.695736963767573,-9.297124339755705,9.110966029756153,5.941454666758146,20.26214035167672,-1.8014476701412394,8.0,4.0,-11.808686680325765
01-11,-162.18750682193775,11.260710742995164,11.03144011351094,0.9389687243578767,4.429584005116444,25.923635037171056,-25.308271414075644,-11.215860955525839,10.236053423600207,2.962591641800422,20.623705290984763,-6.822261483880358,8.0,4.0,-9.843934307990226
01-12,-214.23221361732584,12.17870105590539,9.156094452581973,2.857140076751318,5.194812043863424,25.477575782058487,-23.219155676527077,-12.1586467597179,10.464075543602892,5.86331255709224,20.879006589029846,-2.1713832578803833,8.0,4.0,-13.309223434213806
01-13,-258.80148501731264,11.505508548867228,2.321629960105524,1.4948402777375134,5.35341152159835,26.030504841214015,-21.400415881766797,-9.135238767989195,3.028280149125699,11.2567654102068,22.45515164376932,-7.169831092980913,8.0,4.0,-17.755073200618757
01-14,-227.71534644093757,9.896777345005335,2.2509826011597593,-1.4822694319351977,4.836002912837312,24.13437546165345,-16.70202498088891,-12.133076448847783,3.569054729700247,12.921875412182239,22.333651032159892,-7.640458921533172,7.0,5.0,-15.477538060787033
01-15,-159.8870030622644,7.284341325469613,1.1857656427366738,0.9814076862994655,4.709843595010397,24.711462418274305,8.369283316366333,-8.163257362146613,2.7498313320457344,12.695215515509958,19.59678416210116,-8.68630346593758,9.0,3.0,-7.871052408044579
01-16,-174.52228017750795,7.043150978623536,0.5116552120930457,1.5408281851082224,3.0698125673096333,16.24766158587256,5.672752493145961,-8.458345435631927,2.9884035415431507,12.695215515509958,22.720149626344575,-15.567096535259207,9.0,3.0,-10.504841036904036
01-17,-152.38093868494974,2.5930873956910787,-0.5169451658626442,1.5408281851082224,5.2783533469918,16.835573208973937,5.586743187654107,-10.324676571255871,2.9884035415431507,13.736385993940353,22.040435314365485,-14.35147884623706,8.0,4.0,-8.914519091169765
01-18,-164.11959582902142,3.5549702223191315,-0.5169451658626442,0.5136028641382702,2.9534149949333224,15.215152225821281,3.3342909367225184,-10.324676571255871,2.743085499667065,13.851791911308942,23.55161541377364,-39.095278734107374,8.0,4.0,-12.361547685963595
01-19,-142.37804507957478,3.5549702223191315,2.3549675531620027,1.4918007722722193,1.4987535532506793,17.820794644594457,2.1530342937632394,-10.324676571255871,2.733843493807753,11.791625784255269,21.555352285937836,-46.76043044538283,9.0,3.0,-11.209000791070908
01-20,-142.37804507957478,7.504933648060503,4.711161840618182,0.4004000277224252,1.621619135220013,16.521389060132247,2.1530342937632394,-11.753243576476907,5.519405656981256,9.846775953352584,22.634829841268765,-46.873321295465495,9.0,3.0,-10.840921707866498
01-21,-158.5365736647632,4.318940624364558,7.056897522272833,1.326531754191423,2.5133934851510515,16.521389060132247,4.189696454640027,-6.7985929331424195,6.375762432760893,10.304893568507174,23.132604658540306,-46.873321295465495,9.0,3.0,-11.372364861067553
01-22,-159.333340326945,8.366535151224804,9.725159329641558,0.8205120380108174,2.5133934851510515,15.18346118072029,5.090168544593177,-5.504580291592016,2.426952904396782,12.31515288051959,23.132604658540306,-47.08100092308577,9.0,3.0,-11.028748447402032
01-23,-160.20067508340065,8.607098532413042,10.15255277190129,-0.31120053841046835,3.213847020740353,14.40812972950619,5.095727550394715,-5.746036105685763,1.9185252247075444,11.922365972617383,25.434807219537873,-37.152648379155664,8.0,4.0,-10.221458840402846
01-24,-139.1176437176636,9.675323428744116,11.041670598917381,-1.089206830880013,1.8136872625985982,13.162121495199047,7.011291209298694,-3.063124034080166,1.8948437437882584,11.471812136378604,24.55089963867663,-35.03505562181487,8.0,4.0,-8.140281724236443
01-25,-165.6862832179029,9.616637185799497,12.187500310440846,-2.0746867442143677,1.0629531122846814,12.043276839633606,7.941178714527792,-3.063124034080166,0.9000498747709721,9.57185180306085,19.818070436843676,-34.22113380440336,8.0,4.0,-10.991975793603238
01-26,-144.14415317441816,9.941524707693274,11.145839645630515,-4.140466030850484,2.8455315125390865,13.07242199340366,4.573170838080878,-2.103961360137877,1.807368217175573,7.736113831871607,19.283800992920398,-22.53825232560676,8.0,4.0,-8.543421762641525
01-27,-140.54055292491634,7.407409472978774,12.717946370442709,-4.97618085987193,5.1963487247773745,12.31176091209925,4.54268233468318,-2.4133625824933973,2.8917948870780976,10.481651043031013,18.933442838323952,-15.970680166305515,8.0,4.0,-7.451478329181071
01-28,-157.05707554761818,8.445041705353756,16.406643639616522,-2.356014903682391,5.1963487247773745,11.355307459635162,7.987801807398974,-1.9065789468101966,2.0306890829755684,10.34799835512812,16.00813475312998,-16.271106785306838,8.0,4.0,-8.31773422128351
01-29,-103.20985567022929,7.967591301434421,14.764759375267895,-0.05116848037227071,5.712013800095329,13.369962914993888,7.490747536057052,-7.1359413652564205,2.2154103698988648,10.34799835512812,18.031905394526866,-17.623026570812794,8.0,4.0,-4.0099669199390275
01-30,-80.86561044879498,6.958251690638925,16.967330587036535,-0.7731939251534753,7.695353816588865,10.669413772558066,11.87406076658601,-6.4423021550716095,2.7654008462960333,11.278281531230967,17.625012519592243,-10.772342597873795,8.0,4.0,-1.0850286330305172
01-31,-84.41859247879238,8.235295510942862,19.25082710558536,-0.3092756037225547,9.953165733328996,8.840361099887978,13.18552716269305,-3.2328286438365295,2.507615984860649,12.105203804375208,13.66439637284114,-10.406824060388512,8.0,4.0,-0.885427334352061
02-01,-93.41463445837053,8.235295510942862,17.63868793949733,0.0,10.015468257766127,11.092362978997123,10.764612922021605,-3.1366406757842893,2.0623325314750534,9.55631708829913,13.208537219796856,-11.60499157655069,8.0,4.0,-2.131887688492452
02-02,-87.02830793425586,8.431372194584725,17.68610486130618,-1.127045636246346,11.923078390268179,12.730286381815429,10.764612922021605,-1.6149082156612025,1.2661216792681362,12.505772876235078,15.037198394877088,-17.60019613181207,8.0,4.0,-1.4188258514665888
02-03,-83.01888320233061,8.496733166853808,16.003884627057378,-3.8662476212950008,13.61750501389502,14.01182766250783,10.524733079843715,3.074539301273033,0.7658431884105443,13.035296271829043,15.365345252390386,-22.410000992199965,9.0,3.0,-1.1999520209804022
02-04,-95.28302311175854,11.994701135283208,16.883743739930754,-2.764740138425553,12.092129408007303,13.5631202870632,11.00449276419952,6.363089927807189,1.4215814787245948,13.117070312563051,15.74353215980358,-24.21939027155123,9.0,3.0,-1.673641025696077
02-05,-88.1431821510563,12.991337638443202,15.759038350668298,-1.7561990799013727,11.900186429605826,12.339382801729114,4.678178189238108,15.960621445130668,0.047260061219040965,12.42744347595959,15.078459555291069,-22.070745295558154,9.0,3.0,-0.8990182149359085
02-06,-90.44443766276041,15.846642828667559,14.773284509176724,-1.7561990799013727,11.785027964440882,12.349707379212006,-0.8164598077988132,23.60828319617583,-0.7622670279028115,11.005805606542713,15.379821818006242,-18.77993991668869,7.0,5.0,-0.6508941827358451
02-07,-115.21196064488353,15.250964551974667,15.514745814227183,-1.1363600538156038,13.078394363992581,4.513653662862558,-0.5259692538159866,20.67191780205093,-2.501189253239852,10.413458753909602,15.070496402272356,-21.289110477908572,7.0,5.0,-3.8459131943644738
02-08,-143.09859803829193,15.359898964460495,14.40309991621124,1.1363699058226573,11.48936625483433,-3.3253574521983116,-0.7578238528680474,22.50148042288773,-0.5955216834828059,15.311338318792755,14.480957198101033,-17.882493650159894,7.0,5.0,-5.914773641324229
02-09,-143.09859803829193,13.36761453269684,15.079752337838695,-6.881713726049572,12.418550219122103,-4.449819154744221,-0.857520552436601,23.122412079799588,0.44716976677019055,13.155063966423741,12.43923476094606,-22.315447352756184,7.0,5.0,-7.2977750967234405
02-10,-129.01409080685485,5.141389261958453,14.181285489743352,-9.22734779617472,12.519143769903648,-1.1238575334243597,-1.0224256895203774,23.536366517740834,0.9824518571820176,13.585033966600623,11.767841184446013,-22.315447352756184,7.0,5.0,-6.749138094262963
02-11,-140.84507903038718,0.9855490773514214,11.98044338159376,-14.181206487604166,13.183888121536938,-2.4350291215656785,-3.6609519179548187,26.21823694389953,0.49833670506469413,14.718514312929862,11.636095790886907,-22.683649572285095,7.0,5.0,-8.71540431637782
02-12,-105.97701688694168,0.0,13.265303947312676,-17.351069063887877,14.095741365841368,-4.214467983247843,-6.899998982747396,25.395881677144654,0.8747019824071209,14.10031302550767,10.036266475801627,-21.814450286160998,6.0,6.0,-6.5407328940808895
02-13,-107.17591327833591,-0.19671956046684053,14.058738622716163,-14.632768592930656,14.437687238301184,-6.412690503560838,-4.952444211928767,20.70102316851397,0.8747019824071209,15.281187748581965,9.385668570028065,-16.796502737853874,6.0,6.0,-6.285669296210703
02-14,-79.35221769334177,-1.7987974681694643,13.9344234404137,-14.463273195459712,17.392963545871968,-6.513413146620215,-5.510272350354111,21.079312490119218,-0.780146186777124,12.896058618869946,9.26301875130416,-16.05991280787405,5.0,7.0,-4.159354666834788
02-15,-96.88888125949435,-2.1390353877556367,14.946964395759949,-13.107342343633519,18.89523460751488,-5.135454101284732,-7.974645818333714,23.0523309906214,-2.600478271060128,10.422502653324962,5.238349726383836,-17.927780151367173,5.0,7.0,-6.1015195799436865
02-16,-107.98120142361624,-2.1390353877556367,13.16296804418501,-15.02192875822714,17.212165697116102,-6.160799467611988,-7.65136788180932,23.0523309906214,-4.274732962026356,9.665644982923235,4.15618838354384,-14.641391269263215,5.0,7.0,-7.5517632543266915
02-17,-107.98120142361624,-0.5347588469389063,10.976791219850886,-16.829971251254754,18.344093952531278,-6.160799467611988,-7.65136788180932,20.0290726493537,-9.572160989634092,9.374277452013906,2.078445250588829,-13.258993888749881,5.0,7.0,-8.432214435439715
02-18,-87.79341714025769,1.9775885908113573,13.718933215901927,-17.897216330058534,18.437027685208168,-6.160799467611988,-4.624089559854842,21.403611965085634,-11.030653297517103,11.603282255541627,2.078445250588829,-13.258993888749881,6.0,6.0,-5.9621900600760425
02-19,-41.50197486917367,1.9141912155451426,14.89361548626434,-17.204922370465777,18.437027685208168,-6.255940047914193,-6.302098713147037,20.55197188816866,-12.387001360913978,12.421031376401656,2.078445250588829,-15.073098002345892,6.0,6.0,-2.369062705148646
02-20,-53.51563103904494,0.662254165188261,14.244877578475949,-14.057137625558036,19.537182877971937,-6.807515562801292,-7.529410995355174,18.603291429871156,-11.353179546833188,12.421031376401656,4.078669810044355,-12.52404240888161,6.0,6.0,-3.01996749504341
02-21,-43.19654320875765,4.942964170914648,14.244877578475949,-14.057137625558036,18.223935841209617,-3.331803188620578,-4.090916128057397,17.46504234643033,-11.353179546833188,12.296933214049448,-3.0343352262938152,-6.506472087376955,5.0,7.0,-1.5330528217014692
02-22,-25.094337280045377,3.03814000592177,14.244877578475949,-12.628566196986608,18.719023763252,-5.573612713979837,-3.4527318814957333,17.73428598191571,-11.885741186604456,9.033350072860937,-6.660174605662101,-1.6325139233273889,5.0,7.0,-0.3465000321395945
02-23,-29.7455957184317,3.1674254449550117,15.578849420775743,-14.269406019862119,19.55606148918457,-6.1157771301419945,-4.124717180905353,16.073552157272307,-8.899524613878253,12.850385368460406,-9.086495009146851,-4.9617757705008545,5.0,7.0,-0.8314181301849238
02-24,-41.48727651991376,3.03814000592177,14.326512118472417,-15.315311251692155,18.810347804920895,-8.470530302995826,-6.008439165677809,13.226574230023964,-10.746985745717245,11.16251502271521,-8.063933611705533,-3.6498191351673954,5.0,7.0,-2.764850545901289
02-25,-31.898230822211897,3.367872527341392,14.922573368704478,-16.183977145610086,17.568625655828736,-9.138634800761483,-7.957131179245691,12.9070422159846,-8.994328384553178,9.540634073666162,-7.921265600449925,1.6399174388182023,6.0,6.0,-1.845575221040724
02-26,-40.53497399324326,1.2096794609638089,17.425650186950296,-15.13786470125683,16.901958689970144,-9.257936249681995,-7.513881709243568,9.070171386094025,-7.297233276146839,9.529975728657062,-10.549689087520932,9.99950029962951,6.0,6.0,-2.1795536054023823
02-27,-13.543599947238258,-2.849389978396753,17.425650186950296,-12.171049019801604,16.07843286850873,-9.328179097911717,-3.2877612352119288,12.83073098278534,-5.266752226283733,9.883377841879831,-12.241955095537289,10.870199487791414,5.0,7.0,0.6999753972945277
02-28,-3.047616141183019,-5.204719000289875,17.194775322142846,-11.29385686289457,11.420721741334477,-18.02340554763557,-6.137770853009525,11.111116029651708,0.6839927790373603,11.544355191682136,-12.872604695562387,6.799784372194375,6.0,6.0,0.18123102795566295
