,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.4099998474121076,-0.030000686645511365,0.880000114440918,-0.20000076293945312,-2.229999542236328,-3.779998779296875,3.760000228881836,1.1599998474121112,-1.630000114440918,0.07999992370605469,-0.6599998474121112,-1.2199993133544904,4.0,8.0,03-02,-0.35666656494140625
01-03,-0.5900001525878906,-0.1100006103515625,1.1999998092651367,-0.20000076293945312,-1.9899997711181605,-4.610000610351559,4.079999923706055,1.4600000381469744,-1.630000114440918,0.1099996566772461,-0.5599994659423828,-1.1400003433227512,4.0,8.0,03-03,-0.33166686693827213
01-04,-0.5,0.17000007629394354,1.2799997329711914,-0.19000053405761363,-2.0699996948242188,-4.469999313354496,3.9399986267089844,1.3500003814697283,-1.5700006484985334,-0.029999732971191406,-1.02000045776367,-1.2600002288818368,4.0,8.0,03-04,-0.36416681607564266
01-05,-0.3900003433227539,0.28999996185302734,1.369999885559082,0.5200004577636719,-1.8299999237060582,-4.399999618530277,4.059999465942383,1.380000114440918,-1.690000534057619,0.009999275207521308,-1.2100000381469727,-1.2000002861022958,6.0,6.0,03-05,-0.25750013192494775
01-06,-0.5100002288818359,0.4700002670288086,1.6899995803833026,0.13000106811523438,-1.6299991607666051,-4.430000305175788,4.3600006103515625,1.6100006103515625,-1.7100000381469709,0.22000026702881037,-1.390000343322754,-0.930000305175783,6.0,6.0,03-06,-0.17666649818420468
01-07,-0.42000007629394354,0.7200002670288068,2.1899995803833026,0.15000152587890625,-1.7699985504150426,-4.340000152587894,4.5,2.079999923706053,-1.6599998474121094,0.46000003814697443,-1.4799995422363281,-0.9600000381469727,6.0,6.0,03-07,-0.044166405995687295
01-08,-0.2799997329711914,1.080000877380371,2.339999198913574,-0.2999992370605469,-1.6199989318847656,-4.150001525878906,4.440000534057617,2.380000114440918,-1.7100000381469744,0.5,-1.9299993515014666,-0.8800001144409162,5.0,7.0,03-08,-0.010833183924357245
01-09,-0.07000064849853338,0.8900003433227539,2.390000343322754,-0.18999862670898793,-1.3999996185302699,-4.129999160766605,3.8700008392333984,2.389999389648441,-1.7299995422363281,0.4299993515014666,-2.1499996185302734,-0.7699995040893537,5.0,7.0,03-09,-0.039166371027628134
01-10,-0.30999946594238104,0.8200006484985369,2.5099992752075195,-0.2699985504150426,-1.649999618530277,-4.079999923706058,4.110000610351559,2.420000076293947,-1.7200002670288068,0.5699996948242188,-2.2600002288818377,-0.8399996757507306,5.0,7.0,03-10,-0.058333118756612734
01-11,0.3500003814697248,0.8200006484985369,2.4599990844726562,-0.0999984741210973,-1.9099998474121094,-4.3600006103515625,3.9300003051757777,2.4399995803833026,-1.75,0.5799999237060547,-2.4600000381469727,-1.130000591278078,6.0,6.0,03-11,-0.09416663646698058
01-12,0.6999998092651385,0.7600002288818377,2.3299989700317365,0.370000839233402,-1.3199996948242223,-4.739999771118164,3.840000152587887,2.369999885559082,-1.7199993133544922,0.5200004577636701,-1.9200000762939453,-0.870000362396242,7.0,5.0,03-12,0.02666676044464067
01-13,0.8899993896484393,0.5299997329711932,1.6299991607666016,0.2700004577636719,-1.409999847412113,-4.760000228881836,3.6199989318847656,2.510000228881836,-1.730000495910641,0.780000686645506,-1.9200000762939453,-1.1600003242492694,7.0,5.0,03-13,-0.06250019868214925
01-14,1.0499992370605469,0.5499992370605469,1.5699996948242188,-0.0699996948242152,-1.1700000762939489,-4.920000076293945,3.469999313354492,1.7899999618530256,-1.8499994277954102,0.7400007247924787,-1.75,-0.9200000762939444,6.0,6.0,03-14,-0.12583343187967957
01-15,0.7899999618530291,0.6300001144409197,1.4099998474121094,0.09000015258789418,-1.6800003051757812,-4.709999084472653,3.3899993896484375,2.5699996948242188,-2.0899996757507315,0.7899999618530256,-1.5999994277954102,-1.0999999046325684,7.0,5.0,03-15,-0.12583327293395916
01-16,0.7100000381469744,0.4499998092651385,1.1700000762939489,0.029998779296875,-1.4999999999999964,-4.569999694824219,2.969999313354492,2.950000762939453,-1.9799995422363281,0.7899999618530256,-0.6699991226196289,-0.75,7.0,5.0,03-16,-0.03333330154418871
01-17,0.8600006103515643,0.6199998855590856,0.4099998474121094,0.029998779296875,-1.5799999237060476,-4.299999237060547,3.200000762939453,2.770000457763672,-1.9799995422363281,1.1499996185302734,-0.7899999618530291,-0.7699999809265146,7.0,5.0,03-17,-0.031666556994119466
01-18,1.060000419616701,0.6900005340576207,0.4099998474121094,-0.040000915527350855,-1.529998779296875,-4.520000457763672,3.100000381469723,3.020000457763672,0.880000114440918,1.1999998092651367,-0.8899993896484375,-1.3499999046325701,7.0,5.0,03-18,0.1691668430964146
01-19,1.2300004959106463,0.6900005340576207,-0.3600006103515625,0.25,-0.5900001525878871,-4.410001754760746,3.659999847412113,3.020000457763672,0.870000362396242,1.1999998092651367,-0.8700008392333984,-0.8999996185302752,7.0,5.0,03-19,0.3158332109451301
01-20,1.2300004959106463,0.8200006484985352,0.23999977111816406,0.2700004577636719,-0.8700008392333949,-4.7499999999999964,3.659999847412113,3.2200002670288086,0.8600001335144025,1.0599994659423828,-0.7700004577636701,-1.2100000381469735,8.0,4.0,03-20,0.3133333126703908
01-21,0.8900003433227521,0.9200000762939453,0.2800006866455078,0.2899990081787074,-1.1700000762939453,-4.7499999999999964,2.7299995422363317,2.0299997329711914,0.6300005912780771,1.0099992752075195,-0.9600000381469727,-1.2100000381469735,8.0,4.0,03-21,0.05749992529551203
01-22,1.0199995040893555,0.8899993896484357,0.7500000000000036,-0.0400009155273402,-1.1700000762939453,-4.689998626708984,1.989999771118164,2.0300006866455096,0.7400002479553214,1.0599994659423828,-0.9600000381469727,-1.3000001907348633,7.0,5.0,03-22,0.02666660149892223
01-23,0.9899997711181641,0.8099994659423828,0.7600002288818395,0.020000457763671875,-0.9399986267089879,-3.2899990081787145,1.9799995422363281,2.380000114440918,0.6399998664855948,1.0399999618530273,-1.1700000762939453,-1.4000000953674299,8.0,4.0,03-23,0.15166680018107073
01-24,1.0600004196166992,0.8499994277954102,0.6300010681152379,0.75,-1.0599994659423828,-2.5799999237060547,1.810001373291012,2.2799997329711914,0.39999961853027344,0.9299993515014648,-0.930000305175783,-1.7899999618530265,8.0,4.0,03-24,0.19583344459533683
