,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,12.0,-8.0,119.0,46.0,-4.0,2.0,-3.0,0.0,-0.03999999165534973,0.009999990463256864,0.07000000029802321,-0.15000000596046448,6.0,6.0,03-02,13.657499999428788
01-03,7.0,-4.0,107.0,46.0,-4.0,1.0,-4.0,0.0,-0.03999999165534973,0.030000001192092896,0.07000000029802321,-0.16000001132488248,6.0,6.0,03-03,12.408333333209157
01-04,9.0,-4.0,103.0,48.0,-8.0,2.0,-4.0,0.0,-0.03999999165534973,0.030000001192092896,0.07000000029802321,-0.17999999225139615,6.0,6.0,03-04,12.156666668131948
01-05,4.0,-5.0,108.0,57.0,-5.0,2.0,-4.0,-1.0,-0.03999999165534973,0.01000000536441803,0.019999995827674866,-0.16999998688697815,6.0,6.0,03-05,12.98500000188748
01-06,-8.0,-5.0,118.0,66.0,-6.0,2.0,-5.0,-1.0,0.23000001907348633,0.01000000536441803,0.019999995827674866,-0.16999998688697815,6.0,6.0,03-06,13.424166669448217
01-07,-12.0,-5.0,122.0,64.0,-5.0,-1.0,-5.0,-1.0,0.23000001907348633,0.01000000536441803,0.019999995827674866,-0.1599999964237213,5.0,7.0,03-07,13.091666668653488
01-08,-14.0,-4.0,77.0,43.0,-4.0,-1.0,-7.0,-1.0,0.23000001907348633,0.01000000536441803,0.019999995827674866,-0.1399999856948853,5.0,7.0,03-08,7.426666669547558
01-09,-16.0,3.0,82.0,29.0,0.0,2.0,-6.0,-1.0,0.23000001907348633,0.01000000536441803,0.019999995827674866,-0.14999999105930326,7.0,5.0,03-09,7.759166669100523
01-10,-18.0,10.0,77.0,29.0,1.0,1.0,-7.0,-1.0,0.23000001907348633,0.01000000536441803,0.019999995827674866,-0.18999998271465307,8.0,4.0,03-10,7.672500003129244
01-11,-17.0,9.0,37.0,30.0,-1.0,2.0,-8.0,-1.0,0.23000001907348633,0.01000000536441803,0.019999995827674866,-0.25,7.0,5.0,03-11,4.250833335022132
01-12,-15.0,17.0,25.0,-12.0,-3.0,2.0,-8.0,-1.0,0.2600000202655792,0.01000000536441803,0.019999995827674866,-0.24000000953674316,6.0,6.0,03-12,0.4208333343267441
01-13,-33.0,14.0,4.0,18.0,-1.0,2.0,-8.0,-1.0,0.2600000202655792,0.01000000536441803,0.019999995827674866,-0.25,7.0,5.0,03-13,-0.41333333154519397
01-14,-33.0,13.0,15.0,18.0,0.0,-1.0,-8.0,-1.0,0.2600000202655792,0.01000000536441803,0.019999995827674866,-0.23999997973442083,6.0,6.0,03-14,0.2541666701436043
01-15,-21.0,14.0,5.0,18.0,4.0,-2.0,-8.0,-1.0,0.2600000202655792,0.01000000536441803,0.0,-0.22999998927116394,6.0,6.0,03-15,0.7533333363632361
01-16,-21.0,25.0,-30.0,7.0,4.0,-2.0,-10.0,0.0,0.2600000202655792,0.01000000536441803,0.0,-0.25999999791383743,5.0,7.0,03-16,-2.2491666643569865
01-17,-21.0,31.0,-17.0,7.0,5.0,-3.0,-9.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.25,5.0,7.0,03-17,-0.5824999970694383
01-18,-21.0,29.0,-17.0,7.0,7.0,-6.0,-8.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.26000000536441803,5.0,7.0,03-18,-0.7499999975164732
01-19,-23.0,29.0,-15.0,-11.0,10.0,-7.0,-8.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.26000000536441803,4.0,8.0,03-19,-2.0833333308498063
01-20,-23.0,35.0,9.0,-10.0,8.0,-7.0,-8.0,0.0,0.2500000298023224,0.01000000536441803,-0.009999990463256864,-0.2800000011920929,5.0,7.0,03-20,0.3308333369592826
01-21,-20.0,45.0,-5.0,-13.0,15.0,-7.0,-8.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.2800000011920929,4.0,8.0,03-21,0.5816666694978873
01-22,-8.0,63.0,28.0,-11.0,15.0,-6.0,-8.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.27000001072883606,5.0,7.0,03-22,6.082500002036492
01-23,-3.0,36.0,38.0,-15.0,15.0,-9.0,-8.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.29999999701976776,5.0,7.0,03-23,4.496666669845581
01-24,5.0,45.0,20.0,-23.0,9.0,-5.0,-7.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.2800000011920929,6.0,6.0,03-24,3.6650000028312206
01-25,9.0,40.0,26.0,-22.0,8.0,-6.0,-6.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.25,6.0,6.0,03-25,4.084166669597228
01-26,11.0,40.0,17.0,-23.0,9.0,-8.0,-6.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.25,6.0,6.0,03-26,3.3341666695972285
01-27,11.0,51.0,-17.0,-33.0,9.0,-9.0,-6.0,0.0,0.2600000202655792,0.01000000536441803,-0.009999990463256864,-0.25,5.0,7.0,03-27,0.500833336263895
01-28,11.0,53.0,-9.0,-34.0,9.0,-9.0,-6.0,0.0,0.2500000298023224,0.01000000536441803,-0.030000001192092896,-0.25,5.0,7.0,03-28,1.2483333361645539
01-29,3.0,49.0,-7.0,-38.0,10.0,-9.0,-5.0,0.0,0.2500000298023224,0.01000000536441803,-0.030000001192092896,-0.25,5.0,7.0,03-29,0.24833333616455397
01-30,4.0,43.0,-7.0,-33.0,13.0,-9.0,-5.0,0.0,0.2500000298023224,0.01000000536441803,-0.030000001192092896,-0.2200000062584877,5.0,7.0,03-30,0.5008333356430134
01-31,-6.0,43.0,9.0,-23.0,17.0,-6.0,-5.0,0.0,0.2500000298023224,0.0,-0.030000001192092896,-0.23000000417232513,4.0,8.0,03-31,2.4158333353698254
02-01,-5.0,43.0,6.0,-25.0,19.0,-6.0,-3.0,0.0,0.2500000298023224,0.0,-0.020000010728836032,-0.2199999913573265,4.0,8.0,04-01,2.41750000230968
02-02,-5.0,42.0,-20.0,-26.0,18.0,-6.0,-3.0,0.0,0.2500000298023224,0.0,-0.020000010728836032,-0.19999999552965164,3.0,9.0,04-02,0.0025000019619862263
02-03,-7.0,38.0,-30.0,-50.0,20.0,-5.0,-3.0,0.0,0.2500000298023224,-0.040000006556510925,-0.020000010728836032,-0.19999999552965164,3.0,9.0,04-03,-3.084166665251056
02-04,3.0,37.0,-10.0,-51.0,10.0,-5.0,-3.0,0.0,0.2500000298023224,-0.040000006556510925,-0.030000001192092868,-0.19999999552965164,4.0,8.0,04-04,-1.5849999977896612
02-05,3.0,42.0,-12.0,-49.0,18.0,-7.0,-4.0,0.0,0.2500000298023224,-0.040000006556510925,-0.030000001192092868,-0.24000001698732376,4.0,8.0,04-05,-0.7549999995778004
02-06,10.0,49.0,-4.0,-49.0,21.0,-7.0,-4.0,-1.0,0.2600000202655792,-0.040000006556510925,-0.03999999165534973,-0.23000001907348633,4.0,8.0,04-06,1.245833333581686
02-07,9.0,59.0,1.0,-39.0,25.0,-9.0,-6.0,-1.0,0.2600000202655792,-0.040000006556510925,-0.03999999165534973,-0.21000000834465027,5.0,7.0,04-07,3.247500001142422
