,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.7593154907226558,0.40252161026000977,0.13594484329223366,0.9605474472045898,0.5286540985107422,-3.701907157897951,1.2547397613525373,0.9317474365234375,1.4260201454162589,0.2281360626220703,2.775369644165039,-1.2507719993591326,9.0,3.0,03-02,0.24430720011393156
01-03,-1.1693463325500488,0.2636117935180664,0.019419193267821377,0.9605474472045898,0.855832099914549,-3.675619125366211,1.1829376220703125,1.1347026824951172,1.4260201454162589,0.16159629821777344,2.7560949325561506,-0.6547007560729972,9.0,3.0,03-03,0.2717580000559485
01-04,-1.2073123455047607,0.36305904388427734,-0.2751274108886719,1.0683984756469727,0.5579290390014648,-3.991121292114258,1.2565345764160174,1.1439285278320312,1.3884949684143066,-0.19011402130126775,1.4551420211791992,-0.9576215744018555,7.0,5.0,03-04,0.05101583401362131
01-05,-1.041780948638916,0.37410831451416016,-0.24923419952392578,1.2588243484497088,0.9643182754516602,-3.347842216491701,1.3229503631591797,1.1254782676696777,1.4166383743286133,-0.04752826690674006,1.3780488967895508,-0.8012752532958975,7.0,5.0,03-05,0.19605882962544752
01-06,-1.026594638824463,0.25098419189453125,-0.27188682556152255,1.1931018829345703,0.9746503829956037,-3.5564270019531232,1.3588533401489258,1.2823071479797363,1.3322038650512713,-0.14258670806884766,1.6767864227294922,-0.9283065795898438,7.0,5.0,03-06,0.17859045664469422
01-07,-0.9719233512878427,0.25729846954345614,-0.3495693206787118,1.1206445693969727,1.0469751358032227,-3.505592346191401,1.3337221145629883,1.992647647857666,1.2571501731872567,-0.019012451171875,1.4744157791137713,-0.7133302688598633,7.0,5.0,03-07,0.24361884593963667
01-08,-1.2331290245056143,0.4735560417175293,-0.37708330154419123,0.7296838760375994,1.1657915115356445,-3.5721988677978533,1.4952754974365234,1.9649720191955575,1.172715663909913,1.2072248458862305,0.9829425811767614,-0.7328739166259766,8.0,4.0,03-08,0.27307307720184365
01-09,-1.274132490158081,0.33306884765625,-0.3997387886047381,0.9285335540771484,1.25189208984375,-2.867574691772461,1.5257930755615252,1.9280719757080078,1.0601334571838388,1.2927770614624023,0.7805728912353516,-1.3191733360290527,8.0,4.0,03-09,0.2700186371803284
01-10,-1.1617529392242432,0.2951822280883789,-0.08415412902832209,0.8021421432495117,1.239839553833006,-2.8973751068115234,1.6532440185546875,1.7343416213989258,0.9663171768188485,1.7110280990600586,0.7516622543334961,-1.19214153289795,8.0,4.0,03-10,0.3181944489479062
01-11,-0.9096605777740479,0.33306884765625,-0.21362590789794744,0.9470691680908203,1.2277841567993182,-2.5941381454467756,1.305002212524414,1.6420879364013654,0.9381699562072745,1.5494327545166016,0.30837440490722656,-1.5146064758300781,8.0,4.0,03-11,0.2515798608462018
01-12,-0.8261358737945561,0.39147472381591797,-0.32205963134765625,1.2335500717163086,1.100357055664059,-2.459177017211914,1.2044811248779297,1.6420879364013654,0.806826114654541,1.188216209411621,0.5011072158813477,-1.4755196571350098,8.0,4.0,03-12,0.24876735607782954
01-13,-0.8200612068176278,0.36305999755859375,-0.6036562919616699,1.095362663269043,1.088302612304684,-2.7203426361083984,1.287053108215332,1.7896919250488272,1.1070423126220703,1.0741481781005877,0.4529247283935547,-1.9543304443359375,8.0,4.0,03-13,0.1799329121907549
01-14,-0.5239281654357915,0.19889307022094638,-0.5793781280517587,1.0650300979614258,1.2174520492553693,-2.806234359741211,1.2367897033691406,1.4944863319396982,0.7130107879638672,1.0266189575195295,0.6263847351074219,-1.925015449523924,8.0,4.0,03-14,0.14534246921539282
01-15,-0.44799590110778853,0.4924974441528329,-0.8512687683105478,1.3734169006347656,1.1657943725585938,-2.799222946166992,1.30859375,1.9372968673706046,0.7223901748657227,1.0551357269287092,0.35655784606933594,-1.9054718017578125,8.0,4.0,03-15,0.20064363876978528
01-16,-0.49811172485351607,0.3788437843322754,-1.001781940460205,1.238602638244629,1.0641956329345703,-3.3776369094848615,0.9693269729614258,1.7896900177001944,0.9100246429443359,1.0551357269287092,0.4336519241333008,-2.9998979568481445,8.0,4.0,03-16,-0.0031630992889405407
01-17,-0.08808040618896484,0.5872077941894531,-1.2623391151428223,1.238602638244629,1.5342988967895526,-2.967489242553709,0.8221311569213849,1.6697654724121085,0.9100246429443359,0.3136882781982422,0.6167478561401349,-2.618803024291992,8.0,4.0,03-17,0.06297957897186272
01-18,0.030372142791748047,0.6408796310424805,-1.2623391151428223,1.2975835800170898,1.5153560638427734,-2.779935836791992,0.6749362945556623,1.7251148223876944,1.0226049423217773,0.6368827819824201,0.3083744049072248,-3.5373382568359375,9.0,3.0,03-18,0.022707621256509897
01-19,0.05618882179260254,0.6408796310424805,-1.115067005157469,1.580693244934082,1.5790719985961896,-2.648477554321289,1.0860013961791974,1.7251148223876944,0.9756984710693359,0.3992424011230469,0.5589284896850568,-3.99660587310791,9.0,3.0,03-19,0.07013907035191817
01-20,0.05618882179260254,0.7497978210449228,-0.5955677032470703,1.5537300109863263,1.7822694778442365,-2.6099157333374023,1.0860013961791974,1.9926462173461914,1.1070442199707031,0.41825103759765625,0.6167478561401367,-4.592676639556885,9.0,3.0,03-20,0.13037639856338465
