,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-3.9066667556762678,-2.2399997711181605,0.12666702270508523,1.733333587646488,5.54666709899902,2.15000152587891,4.380001068115227,5.8000030517578125,6.38999938964843,1.55999755859375,5.6100006103515625,-5.930000305175778,9.0,3.0,03-02,1.768333673477173
01-03,-4.659998893737795,-2.226665496826172,0.4333343505859446,1.733333587646488,5.1866664886474645,1.7199993133544886,3.1399993896484375,8.59000015258789,6.38999938964843,-0.09000015258789062,7.579998016357422,-5.779998779296875,8.0,4.0,03-03,1.8347222805023193
01-04,-4.446665763854982,-2.3799991607666016,0.9533309936523366,1.7733325958252024,5.180000305175781,2.069999694824226,2.029998779296868,10.130001068115234,5.740001678466797,-1.8100013732910156,7.05999755859375,-5.099998474121097,8.0,4.0,03-04,1.766666491826375
01-05,-2.8066663742065447,-2.9133338928222656,-1.64666748046875,1.3466663360595774,5.680000305175778,2.0399990081787145,2.779998779296868,7.209999084472656,4.659999847412109,-1.1499977111816406,5.600002288818359,-5.3899993896484375,7.0,5.0,03-05,1.284166733423869
01-06,-2.8533334732055646,-2.639999389648441,-3.85333251953125,1.3866672515869105,6.626667022705078,2.029998779296875,2.719999313354485,7.380001068115234,2.960002899169929,-1.5200004577636719,5.950000762939453,-5.129999160766605,7.0,5.0,03-06,1.088056008021036
01-07,-2.0866670608520526,-3.1466655731201136,-4.7666664123535085,0.8266677856445312,7.553335189819343,3.519998550415039,2.549999237060536,7.810001373291016,1.3100013732910156,-2.1300010681152344,6.409999847412109,-3.8700008392333984,7.0,5.0,03-07,1.1650002002716071
01-08,-2.513332366943356,-1.813333511352539,-3.6866645812988352,0.8533344268798864,7.85333442687989,2.7999992370605433,2.1900005340576136,7.029998779296875,3.4599990844726562,-2.5,6.479999542236321,-3.670000076293949,7.0,5.0,03-08,1.3736112912495921
01-09,-1.9933328628540057,-2.8266677856445312,-1.7666664123535156,1.159999847412113,7.720001220703136,4.20000076293945,3.1399993896484446,5.320003509521484,2.970001220703125,-0.8499984741210938,4.409999847412109,-4.639999389648441,7.0,5.0,03-09,1.4036117394765226
01-10,-1.0466661453247088,-2.3199996948242188,-2.2333297729492188,-0.220001220703125,6.819999694824219,3.8699989318847585,4.7399997711181605,6.14000320434571,2.4300003051757812,-0.7900009155273366,4.05999755859375,-4.520000457763668,6.0,6.0,03-10,1.4108334382375085
01-11,0.026666641235351562,-2.0466670989990234,-3.8066635131835938,-0.04000091552734375,7.740001678466793,3.8699989318847656,4.14999961853027,4.5,1.490001678466804,-0.8100013732910156,4.5,-3.9200000762939453,7.0,5.0,03-11,1.3044446309407551
01-12,-0.5533332824707031,-1.2999992370605504,-6.226665496826172,0.8133335113525391,5.9466667175293,3.75,4.079999923706051,4.719997406005859,-2.1199989318847656,-1.1899986267089915,6.8600006103515625,-2.3299999237060547,6.0,6.0,03-12,1.0375002225240062
01-13,-0.8266677856445348,-0.5133342742919886,-6.253334045410156,-0.006668090820308947,3.5200004577636754,3.569999694824215,3.9799995422363317,5.589996337890625,-4.49000167846679,-2.1300010681152344,6.090000152587891,-3.6100006103515625,5.0,7.0,03-13,0.40999905268351355
01-14,-0.19999980926513672,-0.6666660308837926,-7.4199981689453125,-0.24666595458984375,2.8600006103515625,2.360000610351559,3.1399993896484375,6.069999694824226,-6.25,-2.4199981689453196,5.540000915527344,-2.9900016784667933,5.0,7.0,03-14,-0.018610715866089162
01-15,0.3800001144409144,-0.6466655731201136,-5.233333587646484,0.4933338165283203,2.7000007629394496,2.620000839233395,2.349998474121101,11.349998474121094,-5.75,-1.6699981689453196,5.3899993896484375,-3.030000686645508,7.0,5.0,03-15,0.7461111545562739
01-16,-0.15999984741210938,-1.4200000762939418,-6.239997863769524,-0.12666702270507812,2.706666946411133,1.7999992370605398,1.9899997711181676,9.020000457763679,-5.0,-1.6699981689453196,4.709999084472649,-4.05000114440918,5.0,7.0,03-16,0.13000011444091797
01-17,0.866666793823244,-0.64666748046875,-6.633331298828132,-0.12666702270507812,3.833332061767578,1.7799987792968786,2.360000610351559,10.130001068115234,-5.0,-2.1399993896484446,4.14000320434571,-3.860000610351559,6.0,6.0,03-17,0.3919447263081867
01-18,1.493332862854004,-0.5866661071777379,-6.633331298828132,-0.5200004577636719,3.5733337402343714,2.3700008392333984,2.9199981689453054,9.10000228881836,-4.6299972534179545,-0.34999847412108664,3.8600006103515625,-4.520000457763672,6.0,6.0,03-18,0.5063895384470621
01-19,1.5199995040893555,-0.5866661071777379,-6.70000076293946,1.3666667938232386,3.800001144409176,2.4599990844726562,4.150001525878906,9.10000228881836,-5.610000610351555,-1.229999542236321,5.089996337890625,-4.729999542236328,7.0,5.0,03-19,0.7191666762034096
01-20,1.5199995040893555,0.17333412170409446,-5.306667327880852,1.1066665649414062,4.5,2.4400005340576136,4.150001525878906,7.130001068115234,-3.8400001525878906,-2.150001525878899,5.069999694824212,-6.040000915527344,8.0,4.0,03-20,0.7294444243113197
01-21,0.32666683197021484,0.7600002288818324,-6.560001373291016,0.8866672515869105,5.380001068115238,2.4400005340576136,3.7900009155273473,9.080001831054688,-2.759998321533203,-0.15000152587889914,4.779998779296875,-6.040000915527344,8.0,4.0,03-21,0.9944446086883548
01-22,1.2666654586791992,1.0599994659423864,-4.460002899169936,0.11333274841308594,5.380001068115238,1.6499996185302699,3.5299987792968643,8.610000610351562,-3.529998779296875,-1.430000305175767,4.779998779296875,-5.850000381469723,8.0,4.0,03-22,0.926666180292765
01-23,0.5466670989990217,0.7666664123535192,-4.680000305175788,-0.2199993133544922,6.3333339691162145,1.3899993896484375,3.1299991607666087,9.779998779296875,-3.259998321533203,-0.9599990844726491,3.9599990844726634,-5.279998779296875,7.0,5.0,03-23,0.9588890075683612
01-24,1.9466667175292969,0.8333339691162109,-3.520000457763679,-0.18666648864746094,5.780000686645508,0.44000053405762074,4.130001068115234,9.829998016357429,-5.829998016357422,-1.8699989318847585,5.379997253417962,-5.10999870300293,7.0,5.0,03-24,0.9852779706319176
01-25,1.4933338165283203,0.4799995422363281,-3.333332061767578,-0.7466659545898402,5.719999313354489,0.4900016784667969,4.400001525878906,9.829998016357429,-6.0600013732910085,-3.5,3.6700019836425852,-5.039999008178711,7.0,5.0,03-25,0.6169447898864764
01-26,1.7999992370605469,1.7399997711181676,-3.3933334350585938,-0.5466670989990234,5.1533317565918,0.37000083923339844,4.299999237060554,9.049999237060554,-5.94000244140625,-4.799999237060554,2.1800003051757812,-3.5499992370605504,7.0,5.0,03-26,0.5302774111429859
01-27,1.426666259765625,2.60000038146973,-4.386665344238281,-0.5066661834716797,6.50666618347168,0.4300003051757848,4.2899990081787145,10.369998931884773,-5.530002593994141,-1.0099983215332102,2.220001220703118,-2.780000686645508,7.0,5.0,03-27,1.135833263397217
01-28,0.8799991607666016,2.553333282470703,-4.893333435058594,1.4800014495849574,6.50666618347168,0.3199996948242223,4.489999771118168,10.34000015258789,-6.210002899169929,-2.020000457763679,1.3800010681152344,-2.8300018310546875,8.0,4.0,03-28,0.9997218449910473
01-29,2.379999160766598,2.7399997711181676,-7.03333663940429,1.3066673278808594,6.173334121704102,0.3199996948242223,5.779998779296868,7.180000305175781,-5.69000244140625,-2.020000457763679,1.4599990844726562,-2.4900016784667933,8.0,4.0,03-29,0.8422214190165201
01-30,2.859999656677246,1.6200008392333984,-7.120002746582038,0.5666675567626918,5.326665878295902,0.22999954223633168,5.589998245239261,7.840000152587905,-5.240001678466804,-1.4300003051757741,1.1500015258789062,-2.0,8.0,4.0,03-30,0.7827773888905855
01-31,1.3666658401489258,2.2200012207031286,-7.440002441406257,0.453332901000973,5.30000114440918,-1.899999618530277,8.90999984741211,9.229999542236335,-5.270000457763672,-1.520000457763679,0.2700004577636719,-2.090000152587887,7.0,5.0,03-31,0.794166485468546
02-01,1.3000001907348633,2.2200012207031286,-8.266666412353523,-0.2466659545898473,3.906667709350579,-1.7600002288818395,8.380001068115234,10.389999389648445,-5.740001678466804,0.4400024414062429,-0.13000106811523438,-1.9699993133544922,6.0,6.0,04-01,0.7102781136830627
02-02,3.693333625793457,2.373334884643562,-7.886665344238288,-1.3933334350585902,3.3933334350585938,-1.480001449584961,8.380001068115234,11.619998931884766,-6.979999542236328,0.5999984741210866,0.29000091552734375,-1.159999847412113,7.0,5.0,04-02,0.9541668097178135
02-03,2.87333393096924,2.10000038146973,-9.086666107177734,-1.9533329010009766,2.0666675567626953,-2.409999847412113,8.080001831054688,11.080001831054695,-7.640003204345696,1.0099983215332031,1.1300010681152344,-1.3899993896484375,7.0,5.0,04-03,0.488333622614544
02-04,2.2733345031738317,3.1066665649414062,-8.979999542236328,-1.466665267944336,0.9799995422363281,-1.4799995422363317,7.780000686645504,11.029998779296875,-6.5300025939941335,1.7999992370605469,1.7900009155273438,-2.0599994659423864,7.0,5.0,04-04,0.6869444847106934
02-05,2.6799983978271484,3.880001068115231,-10.873334884643555,-1.866664886474613,0.9733333587646449,-1.7599983215332031,9.430000305175781,10.299999237060547,-6.040000915527337,2.549999237060547,1.0900001525878906,-2.2100009918212855,7.0,5.0,04-05,0.6794443130493164
02-06,2.7933349609375,4.879999160766598,-10.900001525878903,-1.866664886474613,0.8399982452392578,-2.70999908447266,12.050001144409176,10.520000457763672,-6.720001220703118,2.0999984741210938,1.529998779296875,-1.189998626708988,7.0,5.0,04-06,0.9438888231913243
02-07,2.6733341217041016,4.893333435058597,-11.573335647583004,-2.4866657257080114,0.8199996948242188,-3.679998397827145,12.770000457763683,10.090000152587884,-5.849998474121094,4.319999694824219,2.270000457763679,-2.020000457763672,7.0,5.0,04-07,1.0188891092936212
02-08,1.739999771118164,4.606666564941406,-11.780000686645504,-3.2133331298828196,-0.1800003051757848,-3.1599998474121094,13.059997558593754,12.590000152587884,-5.790000915527344,5.930000305175781,2.5900001525878906,-2.0699996948242188,6.0,6.0,04-08,1.1936108271280916
02-09,1.739999771118164,3.666666030883789,-8.973333358764638,-4.273332595825199,0.28666687011719105,-2.9200000762939453,18.54999923706055,12.680000305175767,-5.600002288818352,5.95000076293946,3.3499984741210938,-1.6399993896484375,7.0,5.0,04-09,1.9013886451721203
02-10,2.5466670989990234,3.313333511352539,-6.313333511352546,-2.406665802001953,0.7733325958252024,-2.9300003051757812,18.09000015258789,12.430000305175767,-4.8500022888183665,4.959999084472663,3.220001220703118,-1.6399993896484375,7.0,5.0,04-10,2.2661110560099265
02-11,2.693332672119137,2.6533317565917933,-6.540000915527344,-2.973333358764652,0.973333358764652,-2.8199996948242188,18.23999977111816,12.110000610351555,-4.959999084472656,6.33000183105468,3.6899986267089844,-2.0100002288818395,7.0,5.0,04-11,2.2822221120198543
02-12,3.673334121704105,2.520000457763672,-7.013332366943359,-3.206666946411133,0.7266674041748011,-2.8199996948242188,24.139999389648438,11.700000762939453,-4.8899993896484375,6.159999847412109,3.6699981689453125,-2.629999160766598,7.0,5.0,04-12,2.669166882832845
02-13,4.213333129882816,1.5599994659423864,-7.506664276123054,-3.14666748046875,0.8400001525878906,2.5100002288818395,23.010000228881832,9.0,-4.8899993896484375,6.450000762939446,3.529998779296875,-1.75,8.0,4.0,04-13,2.818333466847737
02-14,5.893331527709961,1.7866649627685582,-7.606666564941413,-2.780000686645508,1.0199985504150426,0.5200004577636719,22.810001373291012,9.979999542236335,-2.970001220703118,4.799999237060547,1.6800003051757884,-1.6200008392333984,8.0,4.0,04-14,2.7927772204081225
02-15,7.026666641235352,2.2199993133544993,-6.133335113525398,-2.7133331298828125,2.1466674804687464,-0.4500007629394496,20.060001373291012,9.419998168945312,-3.9199981689453125,5.259998321533203,0.5,-1.590000152587887,7.0,5.0,04-15,2.652221997578939
02-16,7.699998855590824,2.2199993133544993,-6.920001983642585,-2.1066665649414062,-1.639999389648441,-2.14999961853027,18.409999847412106,9.419998168945312,-3.720001220703125,5.430000305175781,0.12000274658203836,-0.7299995422363281,6.0,6.0,04-16,2.1694442431132006
02-17,7.699998855590824,2.286666870117191,-6.619998931884766,-2.75333404541016,-0.5333328247070312,-2.14999961853027,18.409999847412106,9.020000457763672,-2.55999755859375,4.700000762939453,0.20000076293945312,-1.2099990844726598,6.0,6.0,04-17,2.207500457763672
02-18,7.413333892822273,2.053333282470703,-7.113334655761719,-2.2800006866455114,-2.3466663360595703,-2.14999961853027,17.499999999999996,6.8400001525878835,-2.8600006103515625,5.659996032714844,0.20000076293945312,-1.2099990844726598,6.0,6.0,04-18,1.8088885943094883
02-19,6.513332366943363,1.8066673278808558,-5.700000762939453,-2.2200012207031286,-2.3466663360595703,-3.389999389648434,21.010002136230472,6.25,-4.579998016357429,5.409996032714844,0.20000076293945312,-1.0399990081787145,6.0,6.0,04-19,1.8261111577351883
02-20,6.093332290649414,1.2066669464111293,-5.340000152587891,-2.3333339691162145,-1.739999771118164,-4.89000129699707,19.089998245239247,4.119998931884773,-4.439998626708984,5.409996032714844,-0.4500007629394531,-1.5299987792968786,5.0,7.0,04-20,1.2663882573445626
02-21,6.606667518615723,1.7000007629394496,-5.340000152587891,-2.3333339691162145,-2.399999618530277,-3.5,20.38000106811523,6.349998474121094,-4.439998626708984,5.039997100830078,-0.470001220703125,-0.47000122070312145,5.0,7.0,04-21,1.7602775096893302
