,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-19.902917340739258,-16.33333365122477,49.65753730379731,-16.853933306659023,-13.281855539474439,17.83625802745577,4.024068028145837,8.222020372001502,-9.577322598870373,-17.83657094274949,17.840262976145343,-31.167478042778946,5.0,7.0,-2.281105392912544
01-03,-31.472074952022815,-16.33333365122477,51.855896060325534,-16.853933306659023,-12.021436786985165,15.218698827146317,5.436332618691539,9.005295783300046,-9.577322598870373,-17.495201514419367,19.352483954685706,-35.14239007891767,5.0,7.0,-3.1689154704125038
01-04,-29.499995708465576,-15.18151955413994,52.18340406765007,-20.112359983995415,-13.292119959851343,13.497300478118637,4.617600328295167,7.618766212747722,-8.086981061840968,-19.917192223171362,19.88109574799592,-35.58511066782163,5.0,7.0,-3.656426027039893
01-05,-30.150748832018536,-12.211225329086508,51.09170203382504,-22.699729618876006,-14.240758569506538,17.031065750305206,6.73721277499714,11.831493419163058,-7.3254658797462655,-20.056863351072938,19.437160664348674,-39.09958368279705,5.0,7.0,-3.304645051705394
01-06,-46.73367147237849,-12.541258020759097,51.88888973659939,-22.505539134689677,-10.92437195192141,16.454230098071534,10.511462088671202,12.5784309479414,-9.777560535124355,-22.176009195357775,18.563165014259592,-37.26440597746843,5.0,7.0,-4.327219866846343
01-07,-38.19095411161224,-10.96774719508224,50.11286402293641,-33.74126437652928,-8.845579397889791,16.570107603856293,7.4074086533076136,16.68693441897989,-8.447933505856554,-21.51099717498125,17.00246155755305,-40.280019737001574,5.0,7.0,-4.517059936859972
01-08,-46.842105098048116,-6.325302481011058,47.009569255181475,-29.661015670646364,-9.220386268119467,16.512168850963914,6.955290882169727,15.946344547785566,-6.76982397422829,-20.383953059805187,18.058973344076986,-37.29133687783149,5.0,7.0,-4.334298045792692
01-09,-32.6633212187143,-5.507247959257914,48.845266669808886,-27.429208613421086,-9.145429183463202,18.475071903131298,4.562043859134366,11.124624878457258,-3.3949913229256077,-21.850735407137467,13.808350925148408,-37.42596056625967,5.0,7.0,-3.3834613362915857
01-10,-31.08808498177239,-1.3927630064145224,46.56212486461334,-28.539696414915362,-10.279672391596133,17.581123078332283,13.504825714739551,10.853657160820799,1.6623720432969489,-10.54788465329866,11.019700614269915,-38.06970791793103,6.0,6.0,-1.5611671574879382
01-11,-2.0161270940217118,-0.8310307667627584,44.993969074032854,-30.705167220249624,-14.847809653690208,22.820365929686805,8.813560150018914,10.690292388257882,-3.48864835028407,-9.117770361831854,12.741694026291908,-48.05634189659443,5.0,7.0,-0.7502511479288584
01-12,4.528306402231398,2.216064432986116,45.95898625224974,-24.235690193566732,-13.778097344352433,20.3983112654896,10.861563989369973,13.744659977547602,5.0724675865189495,-7.233506920351555,18.935471240901478,-37.771950907097995,8.0,4.0,3.2247154818271784
01-13,3.0188739337966504,2.7700805412326455,41.25159706955245,-20.412596163454186,-13.69564756178305,22.320377291093084,11.782035275837305,14.935861473132551,3.7555525037977433,3.151922662724412,16.839819578364903,-42.8649091202058,9.0,3.0,3.5710806236740584
01-14,9.05660380753559,-2.7548182225875784,38.12500238418579,-24.60937404373127,-14.525545976813477,18.669017715427618,10.493374070255305,13.048742431815905,5.200262326921492,-1.0745651203143847,15.637257812299143,-41.07094382803978,7.0,5.0,2.1829177797461963
01-15,9.230769936149668,0.5479446686014618,37.80025068011085,-21.35869775354752,-13.430658235071826,20.259126461261616,10.161233536066304,18.943368890039938,4.182507202363594,0.4320603996194038,14.926471241342718,-35.33568816659993,9.0,3.0,3.8632240716946886
01-16,-2.459013990675489,5.729167539781611,34.312413529494,-17.033543045050116,-13.868617508444384,15.300544074983947,10.060061436101826,17.794115403119264,3.6653947006333567,0.4320603996194038,13.872548905027577,-48.748887146054074,8.0,4.0,1.5880203582114103
01-17,-4.838705025652108,8.35443438331467,32.87857943378547,-17.033543045050116,-14.798538565682174,15.223881735730538,9.4523648619161,17.551623879418674,3.6653947006333567,-2.4627335647039064,14.646585007247632,-40.33612718050816,7.0,5.0,1.8586013850374978
01-18,8.771930118089982,7.179492383626989,32.87857943378547,-18.710690299262826,-12.613293845645648,14.933501112350909,11.801247170423638,18.51311549669086,1.9114060388706229,-1.2532451304085626,12.410669702916136,-55.83724484063701,8.0,4.0,1.6654556117333794
01-19,12.16216651604412,7.179492383626989,35.06138774316418,-13.269430416802837,-17.93313554494951,16.349584125416005,9.958971016339383,18.51311549669086,4.147774389529553,-2.9286079143472104,17.73503702620251,-53.910365576547626,8.0,4.0,2.7554991036972023
01-20,12.16216651604412,6.41025625350521,34.986230834890605,-13.517590882528314,-18.473282487205843,16.498520022009775,9.958971016339383,16.122445779304318,3.564977498278136,-6.2055614686148886,16.04070476970256,-66.63320720873116,8.0,4.0,0.9095525535828249
01-21,10.135133393582352,9.090906839021619,37.08609430461923,-14.32161023167002,-18.022820593041846,16.498520022009775,1.8276754228982,15.347517297623007,3.7102826732307825,-5.681821527783003,13.526324457759866,-66.63320720873116,8.0,4.0,0.2135829041265668
01-22,2.447550203160131,10.75269065298553,38.82503181959356,-7.666828696526197,-18.022820593041846,10.979230502001696,4.27163235621003,16.694213755672525,1.1855915424701218,-4.251273663548841,13.526324457759866,-67.46988728577836,8.0,4.0,0.10595458757985199
01-23,-2.189778925938227,12.234043598768682,36.218377951152064,-7.97342349078661,-20.380231048822758,11.338401314164276,4.511007005772294,18.873627888034857,3.0425069063514028,-5.6895146168746455,13.226851203957308,-61.33721653755099,7.0,5.0,0.15622093735230536
01-24,6.825940038461052,15.601026090126267,38.58974558048381,-6.8343642853082365,-21.188428821186214,17.11111068725586,3.4495116317083054,18.672543184293986,7.941832609550721,-5.985621624622145,10.982514202020953,-65.20000457763673,8.0,4.0,1.6638170595956343
01-25,3.5335656299810947,17.91044855787007,39.23077365115303,-10.204079969960373,-22.608701158868875,14.922811268341055,1.502931954150653,18.672543184293986,8.322150239843753,-9.027016737414078,2.3630222982982447,-55.85089541825185,8.0,4.0,0.7306294582863918
01-26,16.768291375418624,18.65671650643001,37.692307504206255,-1.5033921111804758,-23.372545429304534,15.165340149621395,-1.129097282103542,15.698156285756228,10.308587845515016,-11.00552385024603,1.930005116366916,-41.162653824077054,7.0,5.0,3.1705160238669
01-27,16.463413614733163,21.14427633496316,35.38268217139323,-2.061858157973155,-23.95587125591697,11.638954990423615,-7.527286499704386,15.835862544412427,10.994409316078912,-5.892254229983054,1.4736289822312822,-39.88944813859524,7.0,5.0,2.800542472671914
01-28,10.060973371479323,19.6029816164495,33.24936835592134,-1.6159611713150734,-23.95587125591697,-2.494062188172853,-1.844184330998011,20.016075494208742,12.380536345228478,-3.4752181566721307,0.18334126313437826,-43.26448416845088,6.0,6.0,1.570291264574654
01-29,15.71428435189382,22.549016055855414,30.06289212359764,-3.1355505686622522,-23.24665768704738,-0.35629136222520985,-9.937886037252962,16.154264786066275,12.263525703995457,-3.4752181566721307,2.435831057470442,-38.69653666099546,6.0,6.0,1.694306133835304
01-30,17.35294517761273,21.951216533735696,29.08163476317981,-3.036140533814947,-22.06462004193612,-2.7544854099257505,-6.907141908278165,14.773347911546955,15.225810389364918,-2.2414150290911157,-2.147720503587993,-33.47420876744011,5.0,7.0,2.1466018817804926
01-31,10.954061877626396,28.88888782925075,31.695335279188146,-3.9999996323183185,-31.031670275676916,0.23711270620876274,-6.343140399589889,15.442971515859002,15.913981776083668,-2.1591593954313053,-0.5158647422698448,-29.706042974105234,6.0,6.0,2.4480394637354346
02-01,9.352517738814159,28.88888782925075,7.862411748517265,-5.108431161168127,-30.82834880373327,0.9535151422219126,-3.5342291391364618,21.7598406567744,16.344082740045362,-4.655032685344769,1.3622626736678487,-23.24410433121319,7.0,5.0,1.596114367391323
02-02,13.10345179118941,35.999997456868485,8.9680646820791,-12.928883118893374,-30.824377966773163,2.235289180979988,-3.5342291391364618,22.737527785417587,15.987055213279868,-2.992523843245746,1.6528921672123287,-26.84124439046476,7.0,5.0,1.9635849848761058
