,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-3.3553357124328613,-1.2637014389038068,0.509834289550783,0.5969896316528303,-0.48815345764160156,0.2787590026855469,-1.6183910369873082,-3.011411666870117,0.7006053924560511,-2.796092987060547,2.4108448028564418,1.8573894500732457,6.0,6.0,03-02,-0.5148886442184453
01-03,-4.035120010375976,-1.3857116699218768,0.46190357208251953,0.5969896316528303,-0.32396125793456676,0.6159553527832031,-1.2638015747070312,-2.3391380310058594,0.7006053924560511,-2.7013092041015625,2.5940685272216797,1.3831596374511683,6.0,6.0,03-03,-0.4746966361999518
01-04,-4.078695774078368,-1.3508539199829102,0.48804950714110973,0.7582225799560547,-0.06657028198241832,-0.5485115051269496,-1.191061019897461,-2.4312305450439418,0.4203681945800746,-2.890874862670902,1.6875896453857422,2.5390872955322266,5.0,7.0,03-04,-0.5553733905156454
01-05,-3.5950040817260733,-1.1634788513183594,0.40961265563964666,1.1111841201782227,-0.39052772521972656,-0.4810752868652308,-1.0455894470214808,-2.0168170928955043,0.046710968017578125,-3.033050537109375,1.0029106140136754,2.381011962890625,5.0,7.0,03-05,-0.5645093917846667
01-06,-3.708301544189454,-1.5861606597900373,0.4401149749755824,1.4162168502807617,-0.11538124084472656,-0.2787532806396449,-0.4818820953369105,-1.6484489440917933,0.23353576660156605,-2.985660552978512,1.1861362457275426,2.7663192749023473,5.0,7.0,03-06,-0.39685543378193994
01-07,-3.4119834899902335,-1.3508510589599592,0.6754274368286097,1.5992307662963867,-0.30620574951171875,-0.400146484375,-0.690998077392571,-0.3867912292480433,0.3736572265625,-2.7960968017578125,1.0318393707275426,2.7465629577636754,5.0,7.0,03-07,-0.2430295944213853
01-08,-4.026404380798342,-1.3639202117919922,0.5577688217163104,1.3900690078735352,-0.2973289489746094,-0.4810752868652308,-0.7455577850341832,-0.009210586547851562,0.12143898010253906,-2.8908767700195312,0.7232532501220703,2.6378841400146555,5.0,7.0,03-08,-0.3653299808502191
01-09,-3.908749580383301,-1.2593441009521484,0.6100645065307635,1.1024665832519531,-0.3372688293457031,-0.5260353088378942,-0.46369934082031605,0.9761714935302734,-0.14011573791504262,-3.2700042724609375,0.35680198669433594,2.0747432708740305,5.0,7.0,03-09,-0.3987474441528322
01-10,-3.616793155670166,-1.241912841796875,0.5752048492431658,0.9630212783813494,0.08431816101074219,-1.411746978759762,0.48188591003417613,-0.03683853149413707,-0.18682479858398082,-2.796092987060547,-0.16393852233886363,1.3140029907226527,5.0,7.0,03-10,-0.5029762188593537
01-11,-2.8585729598999023,-0.997889518737793,0.5185556411743146,1.0981082916259766,-0.05768966674805398,-1.231912612915039,0.04546356201171875,0.3499469757080078,-0.5604801177978516,-2.51174163818359,-0.19286727905273082,-1.5906352996826136,4.0,8.0,03-11,-0.6658095518747964
01-12,-2.6711955070495605,-1.0240316390991193,0.49676513671875,1.5643711090087873,0.30619812011719105,-0.8227767944335938,0.09092330932617188,0.03683662414550426,-0.42036437988281605,-2.3695697784423864,0.2507286071777379,-1.215204238891598,6.0,6.0,03-12,-0.48144328594207764
01-13,-2.444601535797119,-1.054534912109375,0.31374645233154297,1.9478397369384748,0.29288482666015625,-0.9981155395507812,0.12728309631347656,0.5525493621826172,-0.37365722656249645,-2.606521606445309,0.29894256591796875,-1.7289505004882777,6.0,6.0,03-13,-0.4727612733840935
01-14,-1.9739832878112793,-0.9761009216308594,0.30502986907958984,1.61230373382568,0.29288482666015625,-0.6519184112548864,0.4636955261230469,0.34073638916015625,0.09341049194336293,-2.985658645629883,0.40502166748046875,-1.857385635375973,7.0,5.0,03-14,-0.41099703311920166
01-15,-1.982698917388917,-0.9107379913330078,0.21787738800049006,2.0088434219360316,0.2573890686035156,-0.8182754516601562,0.6728172302246129,1.0038032531738317,-0.4203624725341797,-2.938264846801758,0.37608909606933594,-1.7981090545654226,6.0,6.0,03-15,-0.3609691063563019
01-16,-1.564372539520262,-0.7930774688720703,-0.16123104095458984,2.0785646438598597,0.4260139465332031,-0.47658538818359375,-0.4364185333251882,0.8472480773925781,-0.093414306640625,-2.938264846801758,0.16393661499023438,-4.603950500488278,4.0,8.0,03-16,-0.6292959451675407
01-17,-1.6253752708435059,-0.841011047363283,-0.07843685150146484,2.0785646438598597,0.3106403350830078,-0.9981174468994141,-0.272760391235348,0.6078052520751953,-0.093414306640625,-2.7486991882324183,-0.03857612609863281,-2.4205303192138707,3.0,9.0,03-17,-0.509992559750875
01-18,-1.6297316551208496,-0.7712879180908203,-0.07843685150146484,2.030632019042967,0.5635871887207031,-0.7733192443847656,-0.10910606384276988,1.114309310913086,0.4203643798828125,-2.84348106384277,0.02893257141112926,-5.2757720947265625,5.0,7.0,03-18,-0.6102757851282754
01-19,-1.3116264343261719,-0.7712879180908203,-0.3311767578125,2.0916404724121094,0.7810420989990234,-0.9261837005615234,0.3636875152587926,1.114309310913086,0.42036437988281605,-2.938264846801758,0.4532394409179723,-5.305412292480469,6.0,6.0,03-19,-0.5299723943074536
01-20,-1.3116264343261719,-0.2483806610107422,-0.11765289306640803,2.4620323181152326,0.6967277526855469,-1.5960922241210938,0.3636875152587926,1.1235218048095703,0.7473087310791051,-3.2700080871581996,0.4532394409179723,-6.174827575683594,6.0,6.0,03-20,-0.5726725260416657
01-21,-1.6384496688842773,-0.3006734848022443,-0.07407855987549006,2.44024753570557,0.8032321929931641,-1.5960922241210938,0.5273418426513672,2.016813278198242,0.2335338592529297,-3.5069599151611293,0.17358207702637074,-6.174827575683594,6.0,6.0,03-21,-0.5913608868916821
