,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.8425769805908203,0.5538759231567401,1.0563158988952654,0.25631141662597656,0.5514588356018084,-0.3106794357299787,-0.47049713134765625,-1.2090730667114258,-1.494132995605467,-0.10235023498534979,0.7560338973999059,1.287109375,6.0,6.0,03-02,0.0026496251424165487
01-03,-0.7302980422973633,0.7161664962768555,1.258256435394287,0.25631141662597656,0.4038839340209961,-0.13980674743652166,-0.21956348419189453,-0.9528474807739258,-1.494132995605467,0.04264640808105469,0.7740383148193359,0.6959934234619105,7.0,5.0,03-03,0.05088730653127035
01-04,-0.7453927993774432,0.6620702743530273,1.2660250663757324,0.16310882568359375,0.4038863182067889,-0.062134742736816406,-0.21956348419189453,-1.0729532241821307,-1.765045166015625,0.04264545440673473,0.2970142364501953,2.0307750701904226,7.0,5.0,03-04,0.08336965243021544
01-05,-0.6472578048706055,0.5390996932983398,1.1262173652648926,0.015533924102784091,0.4660229682922381,0.12427616119384766,-0.2430915832519549,-1.1690406799316424,-1.7703828811645508,0.2072925567626953,0.2982215881347656,2.1356525421142543,8.0,4.0,03-05,0.09021198749542199
01-06,-0.9324693679809553,0.4315023422241211,1.1339874267578125,0.023303508758544922,0.4116520881652832,0.07767105102539062,0.0,-1.0569438934326172,-1.6297388076782227,0.4587259292602539,0.3986988067626953,2.8030414581298793,8.0,4.0,03-06,0.17661921183268214
01-07,-0.7598428726196289,0.31566429138183594,1.0873842239379874,-0.023299217224121094,0.5980591773986816,0.03883457183837713,-0.03136825561523615,-0.8163986206054705,-1.4824457168579102,0.5622739791870117,0.3073558807373029,2.984189987182617,7.0,5.0,03-07,0.23170061906178727
01-08,-1.2190675735473633,0.4005899429321289,1.1728200912475586,-0.15534019470214844,0.5669913291931143,-0.06990528106689453,-0.007221221923826349,-0.5681314468383807,-1.5237932205200195,0.6226749420166016,0.25335025787353516,2.8602485656738246,6.0,6.0,03-08,0.19443468252817753
01-09,-1.0768966674804688,0.3542633056640625,1.2349557876586914,-0.03106641769409091,0.5669913291931143,0.3572864532470703,0.1655254364013654,-0.5685997009277344,-1.6147565841674805,0.801788330078125,0.15434741973876775,2.4216766357421875,8.0,4.0,03-09,0.23045961062113415
01-10,-1.0618019104003906,0.3851766586303711,1.2737932205200178,-0.05436849594116122,0.39612102508544744,0.4194202423095703,0.3072166442871094,-0.6088695526123065,-1.7378997802734375,0.7250261306762695,-0.03814697265625,2.269130706787106,7.0,5.0,03-10,0.18956649303436213
01-11,-0.8504276275634766,0.43154335021972656,1.1417527198791486,-0.12427139282226474,0.5126233100891113,0.520390510559082,0.17325115203857422,-0.7860651016235352,-1.7953691482543945,0.5287532806396502,0.1872692108154279,0.6945648193359375,8.0,4.0,03-11,0.05283459027608228
01-12,-1.008957862854004,0.4238557815551758,0.9398112297058088,-0.11650609970092773,0.3728179931640625,0.4970865249633789,0.236294746398924,-0.8581266403198242,-1.4917402267456055,0.5471086502075178,0.1962680816650373,0.5979881286621094,8.0,4.0,03-12,0.027991692225137754
01-13,-1.1890926361083984,0.3931159973144531,0.745634078979494,-0.046601295471191406,0.3883514404296875,0.4038839340209961,0.20492649078368963,-0.32965946197509766,-1.6149406433105469,0.5797300338745135,0.14146327972412287,-0.4353790283203125,7.0,5.0,03-13,-0.06321398417154918
01-14,-0.9714279174804688,0.48614883422851385,0.5281591415405273,-0.007767200469969815,0.3650493621826172,0.27184391021728516,0.3303937911987287,-0.2882566452026385,-1.2289762496948242,0.6401338577270508,0.13232898712158203,-0.6165275573730469,7.0,5.0,03-14,-0.029908140500386926
01-15,-0.5561952590942383,0.5783348083496076,0.5126223564147958,0.20971202850341797,0.411651611328125,0.20194053649902166,0.4878063201904297,0.08101463317871094,-1.2372465133666992,0.6315040588378906,0.24933338165283203,-0.5497894287109375,9.0,3.0,03-15,0.08505737781524636
01-16,-0.31510353088378906,0.5476760864257812,0.4349532127380362,0.16310787200927734,0.4737882614135751,0.2796134948730469,0.3777904510498047,0.20079135894775568,-1.2537841796875,0.6315040588378906,0.1413288116455078,-2.1128444671630895,9.0,3.0,03-16,-0.03593154748280858
01-17,-0.4285545349121094,0.5940446853637695,0.3805804252624503,0.16310787200927734,0.6912636756896973,0.2718486785888672,0.35434436798095703,0.32160377502441584,-1.2537841796875,0.6570920944213849,0.1869974136352539,-2.072484970092777,9.0,3.0,03-17,-0.01116172472635942
