,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.21000000089406967,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.09799998998641973,0.06800000369548798,2.0,8.0,03-02,0.01536363769661296
01-03,0.0,0.0,0.21000000089406967,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.1480000019073487,0.06800000369548798,2.0,8.0,03-03,0.0108181820674376
01-04,0.0,0.0,0.21000000089406967,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.0740000009536742,0.040000006556510925,2.0,8.0,03-04,0.015000000596046458
01-05,0.0,0.0,0.21000000089406967,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.09999999403953552,0.040000006556510925,2.0,8.0,03-05,0.012636364860968157
01-06,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.04999998211860657,0.09999999403953552,1.0,9.0,03-06,0.0035454556345939636
01-07,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.04999998211860657,0.09999999403953552,1.0,9.0,03-07,0.0035454556345939636
01-08,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.04999998211860657,0.09999999403953552,1.0,9.0,03-08,0.0035454556345939636
01-09,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.04999998211860657,0.03200000524520874,1.0,9.0,03-09,-0.002636361528526653
01-10,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.04800000786781311,0.03200000524520874,1.0,9.0,03-10,-0.0024545456875454297
01-11,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.09000000357627869,0.03200000524520874,1.0,9.0,03-11,-0.006272727115587754
01-12,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,0.025000005960464478,0.1599000096321106,2.0,8.0,03-12,0.01580909233201634
01-13,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,-0.12950000073760748,0.025000005960464478,0.03200000524520874,2.0,8.0,03-13,-0.007590908133848147
01-14,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,-0.12950000073760748,-0.09999999403953552,0.03200000524520874,1.0,9.0,03-14,-0.018954544497484512
01-15,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,-0.12950000073760748,-0.09999999403953552,0.02699999511241913,1.0,9.0,03-15,-0.019409090873192657
01-16,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,-0.12950000073760748,0.17999999225139618,-0.047999992966651944,1.0,9.0,03-16,-0.0007727273993871454
01-17,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.08550000190734863,0.0,0.0,10.0,03-17,-0.008772727440703999
01-18,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,0.14239999651908872,0.0,1.0,9.0,03-18,0.011945454234426668
01-19,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.05904996395111084,0.07999999821186066,1.0,9.0,03-19,0.0009045485745776783
01-20,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.06999999284744263,0.0599999874830246,1.0,9.0,03-20,-0.0019090913913466713
01-21,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.1599999964237213,0.0599999874830246,1.0,9.0,03-21,-0.010090909898281097
01-22,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,-0.1599999964237213,0.0599999874830246,1.0,9.0,03-22,-0.010090909898281097
01-23,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,0.0690000057220459,0.019999995827674838,2.0,8.0,03-23,0.007090909237211398
01-24,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,0.009999990463256836,-0.0319999903440476,1.0,9.0,03-24,-0.002999999983744193
01-25,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,0.044999986886978205,0.008000001311302157,2.0,8.0,03-25,0.003818180750716819
01-26,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,0.15410000085830694,0.0599999874830246,2.0,8.0,03-26,0.018463635309176017
01-27,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,0.042999982833862305,0.05949999392032629,2.0,8.0,03-27,0.00831817971034484
01-28,0.0,0.0,0.0,0.0,-0.010999999940395355,0.0,0.0,0.0,0.0,0.042999982833862305,0.05949999392032629,2.0,8.0,03-28,0.00831817971034484
01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10300001502037048,-0.0004999935626983087,0.0,10.0,03-29,-0.00940909168936989
01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10300001502037048,-0.06199999153614044,0.0,10.0,03-30,-0.015000000596046448
01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10300001502037048,-0.07460001111030579,0.0,10.0,03-31,-0.01614545692097057
02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08525002002716059,-0.07460001111030579,0.0,10.0,04-01,-0.014531821012496943
02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999964237213,-0.07460001111030579,1.0,9.0,04-02,0.007763635028492321
02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000238418579,-0.07460001111030579,1.0,9.0,04-03,-0.0013272735205563631
02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000001192092896,-0.07460001111030579,1.0,9.0,04-04,-0.004054546356201172
02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953547,-0.07460001111030579,1.0,9.0,04-05,0.0023090893572026983
02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.01960001885890958,0.0,10.0,04-06,-0.013145456259900871
02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,-0.009800001978874207,1.0,9.0,04-07,0.008199999278241938
02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.07000000774860382,2.0,8.0,04-08,0.015454545617103577
02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11000001430511469,0.012960001826286316,2.0,8.0,04-09,0.01117818328467282
02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000021457672175,0.012960001826286316,1.0,9.0,04-10,-0.00245818360285326
02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11000001430511469,0.012960001826286316,2.0,8.0,04-11,0.01117818328467282
02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11000001430511469,0.012960001826286316,2.0,8.0,04-12,0.01117818328467282
02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000001788139343,0.012960001826286316,2.0,8.0,04-13,0.01936000179160725
02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999996900558472,0.0650000125169754,2.0,8.0,04-14,0.025909089229323647
02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39100000262260437,0.0650000125169754,2.0,8.0,04-15,0.04145454683087089
02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36910000443458557,0.040000006556510925,2.0,8.0,04-16,0.03719091009009968
02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6590000092983246,0.040000006556510925,2.0,8.0,04-17,0.06354545598680322
02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999955296516,0.0,0.0,0.6590000092983246,0.040000006556510925,3.0,7.0,04-18,0.06536363776434552
02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.6590000092983246,0.040000006556510925,3.0,7.0,04-19,0.07445454648272558
02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.6550000011920929,0.04999999701976776,3.0,7.0,04-20,0.07499999942427332
02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.7251000106334686,-0.02299998700618741,2.0,7.0,04-21,0.07473636537112972
02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.9450000226497648,-0.02290000021457672,2.0,7.0,04-22,0.09473636526275762
02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.8049999475479126,-0.02290000021457672,2.0,7.0,04-23,0.08200908570804379
02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.6050000190734863,-0.02290000021457672,2.0,7.0,04-24,0.0638272740285505
02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.8049999475479126,-0.012900009751319885,2.0,7.0,04-25,0.08291817575015804
02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.949999988079071,-0.03290000557899475,2.0,7.0,04-26,0.09428181617774746
02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.9999999701976776,0.18000000715255737,3.0,6.0,04-27,0.11818181570958007
02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.6149999797344209,-0.028999999165534973,2.0,7.0,04-28,0.0641818160021847
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.0,0.17000000178813934,2.0,1.0,04-29,0.026363636113025925
03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.6400000154972076,0.17000000178813934,3.0,6.0,04-30,0.08454545570368116
03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.320000022649765,0.0020000040531158447,3.0,6.0,05-01,0.04018182019618424
03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.0,0.0,0.3959999978542328,0.0020000040531158447,3.0,6.0,05-02,0.047090908851135864
03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.09000000171363354,0.0,0.4000000059604645,-0.05799998342990875,3.0,6.0,05-03,0.050181819972666825
03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.09000000171363354,0.0,0.3499999940395355,0.1080000102519989,4.0,5.0,05-04,0.060727272860028526
03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.09000000171363354,0.0,0.3499999940395355,0.1080000102519989,4.0,5.0,05-05,0.060727272860028526
03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.09000000171363354,0.0,0.15000000596046448,0.018999993801116943,4.0,5.0,05-06,0.03445454517548734
03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.09000000171363354,0.0,0.3499999940395355,0.018999993801116943,4.0,5.0,05-07,0.05263636227358471
03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999545514584,0.09000000171363354,0.0,0.4050000011920929,0.018999993801116943,4.0,5.0,05-08,0.0576363629238172
03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.11499997973442078,-0.10890001058578491,3.0,6.0,05-09,0.016918179325082085
03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.14500001072883606,0.018999993801116943,4.0,5.0,05-10,0.031272727996110916
03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.14500001072883606,0.018999993801116943,4.0,5.0,05-11,0.031272727996110916
03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.27000001072883606,0.010999992489814758,4.0,5.0,05-12,0.041909091513265266
03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.3055000305175781,0.10000000894069672,4.0,5.0,05-13,0.05322727662595836
03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.23549997806549072,0.10000000894069672,4.0,5.0,05-14,0.04686363549395041
03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.07904994487762451,0.010999992489814758,4.0,5.0,05-15,0.024549994617700577
03-17,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.03904998302459717,-0.0690000057220459,3.0,6.0,05-16,-0.005450001833113757
03-18,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,-0.10595002770423889,-0.04899999499320984,2.0,7.0,05-17,-0.016813638196750122
03-19,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,-0.0949999988079071,-0.04899999499320984,2.0,8.0,05-18,-0.015818181024356323
03-20,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,-0.004999995231628418,0.08689999580383304,3.0,7.0,05-19,0.0047181821004910925
03-21,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,0.06000000238418579,-0.007899999618530273,3.0,7.0,05-20,0.002009091390804811
03-22,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,-0.030000001192092896,0.08889999985694888,3.0,7.0,05-21,0.0026272728361866715
03-23,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,-0.024100005626678522,0.041999995708465604,3.0,7.0,05-22,-0.001100000671365047
03-24,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,-0.024100005626678522,-0.009999990463256836,2.0,8.0,05-23,-0.005827272141521633
03-25,0.0,0.0,-0.21000000089406967,0.0,0.0,0.0,0.09000000171363354,0.09000000171363354,0.0,-0.024100005626678522,-0.009499996900558527,2.0,8.0,05-24,-0.005781818181276332
