,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.6899995803833008,0.010000228881835938,-0.1399998664855966,-0.36999988555908114,0.5500001907348624,-0.09000015258788885,-0.05000019073486328,-0.049999237060546875,1.0,0.10000038146972656,-0.3000001907348615,-0.13000011444091975,4.0,8.0,03-02,-0.09666653474171949
01-03,-1.9099998474121094,0.010000228881835938,-0.1399998664855966,-0.36999988555908114,0.36999988555908203,-0.039999961853027344,-0.14999961853027344,-0.049999237060546875,1.0,0.10000038146972656,-0.35000038146972656,-0.26000022888183416,4.0,8.0,03-03,-0.14916654427846257
01-04,-1.9099998474121094,0.5,-0.1399998664855966,-0.36999988555908114,0.26000022888183594,-0.02000045776367365,-0.1300001144409162,-0.049999237060546875,1.0,0.1399993896484375,-0.11000061035156428,-0.0200004577636701,4.0,8.0,03-04,-0.07083340485890706
01-05,-1.9099998474121094,0.5,-0.1399998664855966,-0.36999988555908114,0.26000022888183594,-0.039999961853027344,-0.14999961853027344,0.09000015258789062,1.0,0.19999980926513494,-0.30000019073486506,-0.09000015258789062,5.0,7.0,03-05,-0.07916661103566518
01-06,-1.4700002670288077,0.5,-0.05000019073486239,-0.36999988555908114,0.24000024795532227,-0.039999961853027344,-0.09999942779541016,0.09000015258789062,1.0,0.18999958038330078,-0.14999961853027344,-0.18000030517578125,5.0,7.0,03-06,-0.028333306312560813
01-07,-1.8200001716613778,0.5,-0.34999990463256747,0.8000001907348642,0.24000024795532227,0.27000045776367365,-0.09999942779541016,0.09000015258789062,1.0,0.18999958038330078,-0.14999961853027344,-0.14000034332275568,7.0,5.0,03-07,0.04416676362355557
01-08,-1.8200001716613778,0.3000001907348633,-0.3299999237060547,0.8000001907348642,0.24000024795532227,0.27000045776367365,-0.14999961853027344,0.09000015258789062,1.0,0.14999961853027344,0.10000038146972656,-0.14000034332275568,8.0,4.0,03-08,0.04250009854634603
01-09,-1.7800002098083487,0.5999999046325684,-0.3299999237060547,0.8000001907348642,0.24000024795532227,-0.15000057220458984,-0.14999961853027344,0.09000015258789062,1.0,0.1099996566772461,0.10000038146972656,-0.15999984741211115,7.0,5.0,03-09,0.03083336353302002
01-10,-1.3600001335144034,0.5999999046325684,-0.3299999237060547,0.40000009536743253,0.05000019073486239,-0.15000057220458984,0.40000057220458984,0.09000015258789062,1.0,0.1099996566772461,0.15000057220459162,-0.21000003814697266,8.0,4.0,03-10,0.06250003973643008
01-11,-1.3600001335144034,0.5999999046325684,-0.3299999237060547,0.40000009536743253,0.05000019073486239,-0.15000057220458984,0.15000057220458984,0.09000015258789062,1.0,0.14000034332275213,0.05000019073486328,-0.869999885559082,8.0,4.0,03-11,-0.019166588783264233
