,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-27.450978100551872,16.66666997803569,5.882354178643096,-7.692309808449005,0.833332505491096,15.294119890998392,8.484846172910759,7.428571156093053,2.702706534118825,-1.6759840826958188,2.7027027027027026,-0.8805113229934353,8.0,4.0,1.8579599836919567
01-03,-25.490195620110374,15.254233521108176,5.882354178643096,-7.692309808449005,-16.666660043928598,15.094337288532813,12.727275039210454,7.428571156093053,2.702706534118825,2.7932961489138304,2.7027027027027026,-0.8805113229934353,8.0,4.0,1.1546499811534616
01-04,-14.285711244660995,15.254233521108176,-2.941173583166078,-7.692309808449005,-4.583328780200908,11.11111765208691,12.727275039210454,7.428571156093053,-0.6756718007207329,2.7932961489138304,1.081085205078125,-0.8805113229934353,6.0,6.0,1.6114060151916163
01-05,0.0,15.254233521108176,-23.529402689950533,-7.692309808449005,-4.583328780200908,11.11111765208691,12.727275039210454,0.0,-0.6756718007207329,2.7932961489138304,-1.6666624281141493,-0.8805113229934353,4.0,8.0,0.23816962757421714
01-06,-1.5624985448084445,15.254233521108176,5.882354178643096,-7.692309808449005,-4.583328780200908,11.11111765208691,6.666668978604393,-4.9999986376081065,-0.6756718007207329,2.7932961489138304,-1.6666624281141493,-0.8805113229934353,5.0,7.0,1.637224096371802
01-07,0.0,15.254233521108176,5.882354178643096,-16.666660043928623,-4.583328780200908,11.11111765208691,6.0606060606060606,-4.9999986376081065,-0.6756718007207329,2.7932961489138304,-1.6666624281141493,-0.8805113229934353,5.0,7.0,0.9690645456493433
01-08,6.249994179233778,15.254233521108176,5.882354178643096,-27.272722346723675,-4.583328780200908,11.11111765208691,10.303029147061423,-4.9999986376081065,-0.6756718007207329,2.7932961489138304,-1.6666624281141493,-0.8805113229934353,6.0,6.0,0.9595941258905173
01-09,10.156249854480844,15.254233521108176,5.882354178643096,-27.272722346723675,-20.83333250549107,11.11111765208691,7.878789034756759,-12.85714421953475,-0.6756718007207329,2.7932961489138304,-1.6666624281141493,-0.8805113229934353,6.0,6.0,-0.9258336861323496
01-10,57.03124810825098,15.254233521108176,5.882354178643096,-31.818183295982895,-44.92754090577637,34.54545627940785,7.878789034756759,-12.85714421953475,-0.6756718007207329,2.7932961489138304,-3.977266138742921,-0.8805113229934353,6.0,6.0,2.3540882989441325
01-11,57.03124810825098,15.254233521108176,5.882354178643096,-31.818183295982895,-44.92754090577637,44.61538608257587,7.878789034756759,-12.85714421953475,-0.6756718007207329,2.7932961489138304,-3.977266138742921,-0.8805113229934353,6.0,6.0,3.1932491158748006
01-12,50.8928562875609,15.254233521108176,5.882354178643096,-31.818183295982895,-44.92754090577637,44.61538608257587,7.878789034756759,-12.85714421953475,-0.6756718007207329,2.7932961489138304,-7.954543114693748,-0.8805113229934353,6.0,6.0,2.3502767161547253
01-13,8.035717231734662,15.254233521108176,5.882354178643096,-29.166657560401855,-44.92754090577637,28.286854216917025,7.878789034756759,-12.85714421953475,-0.6756718007207329,2.7932961489138304,-7.954543114693748,-0.8805113229934353,6.0,6.0,-2.3609020493372785
01-14,8.035717231734662,15.254233521108176,5.882354178643096,-29.166657560401855,-44.92754090577637,28.286854216917025,4.242423086455363,11.285713740757533,0.0,2.7932961489138304,-7.954543114693748,-0.8805113229934353,7.0,5.0,-0.5957217316113101
01-15,35.714283433495744,15.254233521108176,5.882354178643096,-29.166657560401855,-44.92754090577637,28.286854216917025,4.242423086455363,-13.571425846644821,0.0,2.7932961489138304,-7.954543114693748,-0.8805113229934353,6.0,6.0,-0.36060284708141616
01-16,35.714283433495744,15.254233521108176,5.882354178643096,-29.166657560401855,-44.92754090577637,28.286854216917025,4.242423086455363,-13.571425846644821,0.0,2.7932961489138304,-7.954543114693748,-5.031453859136193,6.0,6.0,-0.7065147250933127
01-17,35.714283433495744,17.35537450631594,5.882354178643096,-29.166657560401855,-44.92754090577637,40.0000015894572,4.242423086455363,-22.68518188062957,0.0,-1.6759840826958188,-7.954543114693748,-5.031453859136193,5.0,7.0,-0.6872437174138512
01-18,35.714283433495744,17.35537450631594,5.882354178643096,-29.166657560401855,-44.92754090577637,40.0000015894572,4.242423086455363,-13.571425846644821,0.0,-1.6759840826958188,-10.795452144027793,-3.1446541634962597,5.0,7.0,-0.007273159056298033
01-19,35.714283433495744,17.35537450631594,5.882354178643096,-29.166657560401855,-45.63107200634795,42.857146100932944,-10.489510349600325,-13.571425846644821,0.0,-1.6759840826958188,-10.795452144027793,-3.1446541634962597,4.0,8.0,-1.0554664944855914
01-20,35.714283433495744,17.35537450631594,5.882354178643096,-29.166657560401855,-45.63107200634795,51.93591435724259,-10.489510349600325,-13.571425846644821,0.0,-0.5586613608986063,-10.795452144027793,-31.199996948242216,4.0,8.0,-2.5437374783721833
01-21,35.714283433495744,58.50622554416566,5.882354178643096,-9.166657560401854,-45.63107200634795,51.93591435724259,-10.489510349600325,-3.267973815469507,0.0,-0.5586613608986063,-10.795452144027793,-31.199996948242216,4.0,8.0,3.410787777379903
01-22,35.714283433495744,58.50622554416566,15.789471372673006,-9.166657560401854,-45.63107200634795,51.93591435724259,-2.1992247849220874,-3.267973815469507,-9.467453325685142,-0.5586613608986063,-10.795452144027793,-31.199996948242216,4.0,8.0,4.138283563465154
01-23,35.714283433495744,18.181819973092214,15.789471372673006,-9.166657560401854,-45.63107200634795,51.26835504799312,1.2499988079070934,-19.69697287150549,-9.467453325685142,-0.5586613608986063,-10.795452144027793,-31.199996948242216,5.0,7.0,-0.3593614651623227
01-24,44.61538038310199,18.181819973092214,15.789471372673006,-9.166657560401854,-45.63107200634795,45.00000136239189,-1.8749952316283958,-3.267973815469507,-9.467453325685142,-0.5586613608986063,-10.795452144027793,-32.90112978719,4.0,8.0,0.8269398216341551
01-25,44.61538038310199,43.428570883614675,15.789471372673006,-9.166657560401854,14.285714285714285,15.094342678201686,-1.8749952316283958,-3.267973815469507,-9.467453325685142,0.0,-10.795452144027793,-32.90112978719,5.0,7.0,5.47831814490858
01-26,44.61538038310199,40.00000272478376,15.789471372673006,-20.83333250549108,14.285714285714285,28.57143073395529,-1.8749952316283958,-3.267973815469507,-9.467453325685142,0.0,-10.795452144027793,-32.90112978719,5.0,7.0,5.3434718908947
01-27,44.61538038310199,40.00000272478376,15.789471372673006,-20.83333250549108,14.285714285714285,39.59731388981235,-1.8749952316283958,-3.267973815469507,-9.467453325685142,0.0,-11.428571428571429,-32.90112978719,5.0,7.0,6.209535546837485
01-28,32.307690191550996,40.00000272478376,15.789471372673006,-9.166657560401854,14.285714285714285,36.91275262289247,-0.12500286102294922,8.496733166853808,-9.467453325685142,0.0,-11.428571428571429,-32.90112978719,6.0,6.0,7.058629116799744
01-29,38.46153653777363,42.28571483067104,19.999998807907094,-9.166657560401854,14.285714285714285,34.22818495547366,-0.12500286102294922,8.496733166853808,-11.278195326981574,0.0,-11.428571428571429,-32.90112978719,6.0,6.0,7.738193801685475
01-30,38.46153653777363,40.00000272478376,19.999998807907094,-9.166657560401854,14.571428298950195,31.54362368855378,-5.499994754791238,-8.208958304361309,-11.278195326981574,1.1111153496636283,-11.428571428571429,-32.90112978719,6.0,6.0,5.6003498537778915
01-31,33.076920255401326,40.00000272478376,19.999998807907094,-9.166657560401854,14.571428298950195,29.577463842814584,-5.499994754791238,-8.208958304361309,-11.278195326981574,11.11111111111111,-11.428571428571429,-31.199996948242216,6.0,6.0,5.962879226468204
02-01,33.076920255401326,40.00000272478376,19.999998807907094,-0.8333325054910962,17.14285441807337,39.18918997288795,-5.499994754791238,5.2287593513843005,-11.278195326981574,0.0,-11.428571428571429,-35.53718265699967,6.0,6.0,7.505037404800231
02-02,33.076920255401326,40.00000272478376,19.999998807907094,5.833337472544612,17.14285441807337,40.0,-5.499994754791238,5.2287593513843005,-15.624999767169356,2.7027027027027026,-11.428571428571429,-34.42622848301609,8.0,4.0,8.083731774937423
02-03,33.076920255401326,40.00000272478376,19.999998807907094,0.7692300638503489,17.14285441807337,40.0,-5.499994754791238,5.2287593513843005,-15.624999767169356,2.5945921201963684,-11.428571428571429,-34.42622848301609,8.0,4.0,7.652713609004039
