,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-3.3399999141693115,-0.15999984741210938,0.5700001716613771,1.2699999809265137,-0.020000457763671875,-0.6599998474121094,0.6800003051757804,0.039999961853027344,0.05999994277953924,0.4699997901916486,0.5999999046325692,-2.3299999237060547,7.0,5.0,03-17,-0.2349999944369001
01-03,-3.5299999713897705,-0.06999969482421875,0.5700001716613771,1.2699999809265137,-0.1099996566772461,-0.5599994659423828,0.8700003623962385,0.15000009536743164,0.05999994277953924,0.5499997138977061,0.7000002861022949,-2.6399999856948853,7.0,5.0,03-18,-0.2283331851164502
01-04,-3.2699999809265137,-0.06999969482421875,0.5199999809265137,1.670000076293945,-0.4299998283386257,-0.5200004577636719,1.0300002098083496,0.15000009536743164,0.15000009536743342,0.4800000190734899,0.5700001716613771,-2.2699999809265132,7.0,5.0,03-19,-0.1658332745234169
01-05,-3.2699999809265137,-0.11999988555908205,0.6500000953674316,1.9699997901916493,-0.5100002288818368,-0.6999998092651367,1.0300002098083496,0.25,0.09000015258789151,0.4299998283386231,0.4500002861022958,-2.450000047683716,7.0,5.0,03-20,-0.18166663249333706
01-06,-3.6500000953674316,-0.23999977111816675,0.8699998855590811,1.989999771118164,-0.4200000762939453,-0.6999998092651367,1.190000057220459,0.4099998474121094,0.05000019073486062,0.4700002670288104,0.25,-2.450000047683716,7.0,5.0,03-21,-0.18583331505457604
01-07,-3.2599997520446777,-0.5100002288818359,1.0799999237060531,1.8400001525878908,-0.4200000762939453,-0.619999885559082,0.9399995803833008,0.6200003623962393,0.19999980926513936,0.4300003051757795,0.25,-2.4599997997283936,7.0,5.0,03-22,-0.1591666340827943
01-08,-3.4699997901916504,-0.6899995803833017,1.0599999427795408,1.7799997329711927,-0.309999942779541,-0.4600000381469727,0.9699993133544904,0.5999999046325684,0.1100001335144043,0.4300003051757795,0.25,-2.3499999046325684,7.0,5.0,03-23,-0.17333332697550474
01-09,-2.1800003051757817,-0.4300003051757813,1.0799999237060574,1.7799997329711927,-0.4600000381469727,-0.5500001907348615,1.1299996376037624,0.4099998474121103,0.1100001335144043,0.30999994277953924,0.25,-2.0799999237060547,7.0,5.0,03-24,-0.05250012874603216
01-10,-2.5999999046325684,-0.5799999237060529,1.0799999237060574,1.5199999809265146,-0.5199999809265128,-0.38000011444091797,1.249999523162841,0.4099998474121103,0.08000040054321289,-0.04999971389770685,-0.1100001335144043,-2.1299998760223384,5.0,7.0,03-25,-0.16916666428248042
01-11,-2.25,-0.5799999237060529,0.9600000381469762,1.2699999809265137,-0.8200001716613743,-0.2200002670288086,1.0899996757507333,0.4099998474121103,-0.039999961853027344,-0.2300000190734864,-0.09999990463256657,-1.8799998760223384,4.0,8.0,03-26,-0.19916671514511008
