,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-0.06000000238418578,0.0,-0.05999999865889551,-0.009999999776482586,0.009999999776482582,0.03999999910593033,0.009999997913837448,0.0,0.00999999977648258,0.0,4.0,6.0,03-17,-0.0054545458406209954
01-03,0.0,-0.06000000238418578,0.0,-0.05999999865889551,0.00999999977648258,0.009999999776482582,0.01999999955296516,0.009999997913837448,0.0,0.00999999977648258,0.0,5.0,5.0,03-18,-0.005454545840620997
01-04,0.0,-0.06000000238418578,0.0,-0.05999999865889551,0.00999999977648258,0.009999999776482582,0.01999999955296516,0.009999997913837448,0.0,0.01999999955296516,-0.009999999776482582,5.0,5.0,03-19,-0.005454545840620997
01-05,0.0,-0.06999999284744263,0.0,-0.05999999865889551,0.00999999977648258,0.009999999776482582,0.01999999955296516,0.0,0.0,0.01999999955296516,0.0,4.0,6.0,03-20,-0.006363635713403879
01-06,0.0,-0.06999999284744263,0.0,-0.05999999865889551,0.00999999977648258,0.009999999776482582,0.009999997913837426,0.0,0.0,0.01999999955296516,0.0,4.0,6.0,03-21,-0.0072727267715064
01-07,0.0,-0.03000000119209289,0.0,-0.05999999865889551,0.00999999977648258,0.0,0.009999997913837426,0.0,0.0,0.01999999955296516,0.0,3.0,7.0,03-22,-0.004545454782518477
01-08,0.0,-0.06000000238418578,-0.039999999105930335,-0.05999999865889551,0.019999999552965164,0.0,0.009999997913837426,0.009999997913837448,0.0,0.01999999955296516,0.0,4.0,6.0,03-23,-0.009090909565036949
01-09,0.0,-0.0800000131130219,-0.039999999105930335,-0.05999999865889551,0.019999999552965164,0.0,0.009999997913837426,0.009999997913837448,0.0,0.01999999955296516,0.0,4.0,6.0,03-24,-0.010909092358567506
01-10,0.0,-0.0800000131130219,-0.039999999105930335,-0.019999999552965168,0.0,0.0,0.009999997913837426,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,3.0,7.0,03-25,-0.01000000146979636
01-11,0.0,-0.0800000131130219,-0.039999999105930335,-0.019999999552965168,0.0,-0.009999999776482582,0.009999997913837426,-0.020000003278255463,-0.009999999776482586,0.01999999955296516,0.0,2.0,8.0,03-26,-0.013636365194212314
01-12,0.0,-0.07000002264976507,-0.039999999105930335,-0.019999999552965168,0.0,-0.009999999776482582,0.009999997913837426,-0.020000003278255463,-0.009999999776482586,0.009999999776482582,0.0,2.0,8.0,03-27,-0.0136363660408692
01-13,0.0,-0.04000002145767212,-0.04999999701976776,-0.019999999552965168,0.0,-0.009999999776482582,0.0,0.01999999582767488,-0.009999999776482586,0.009999999776482582,0.0,2.0,8.0,03-28,-0.00909091108901934
01-14,0.0,-0.010000020265579224,-0.04999999701976776,-0.019999999552965168,0.009999999776482586,-0.009999999776482582,0.0,0.009999997913837448,-0.009999999776482586,0.009999999776482582,0.0,3.0,7.0,03-29,-0.006363638084043155
01-15,0.0,-0.040000021457672175,-0.04999999701976776,-0.019999999552965168,0.009999999776482586,0.0,0.009999997913837426,0.009999997913837448,-0.009999999776482586,0.009999999776482582,0.0,4.0,6.0,03-30,-0.007272729311477058
01-16,0.0,-0.040000021457672175,-0.04999999701976776,-0.019999999552965168,0.0,0.009999999776482582,0.009999997913837426,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,4.0,6.0,03-31,-0.006363638422705916
01-17,0.0,-0.040000021457672175,-0.04999999701976776,-0.0300000049173832,0.0,0.009999999776482582,0.009999997913837426,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,4.0,6.0,04-01,-0.007272729819471191
01-18,0.0,-0.040000021457672175,-0.0299999937415123,-0.0300000049173832,0.0,0.009999999776482582,0.009999997913837426,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,4.0,6.0,04-02,-0.005454547703266149
01-19,0.0,-0.020000010728836115,-0.05000000447034837,-0.0300000049173832,-0.009999999776482586,0.009999999776482582,0.009999997913837426,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,4.0,6.0,04-03,-0.006363638592037293
01-20,0.0,-0.009999990463256836,-0.05000000447034837,-0.04000000283122064,-0.009999999776482586,0.009999999776482582,0.009999997913837426,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,4.0,7.0,04-04,-0.0063636365600607606
01-21,0.0,-0.020000010728836115,-0.06000000238418578,-0.04000000283122064,-0.009999999776482586,0.009999999776482582,0.009999997913837426,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,4.0,7.0,04-05,-0.008181820030916826
01-22,0.0,-0.020000010728836115,-0.06000000238418578,-0.04000000283122064,-0.009999999776482586,0.009999999776482582,0.019999999552965164,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,4.0,7.0,04-06,-0.007272728972814305
01-23,-0.01000002026557928,-0.009999990463256836,-0.06000000238418578,-0.04000000283122064,-0.009999999776482586,0.009999999776482582,0.019999999552965164,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,4.0,7.0,04-07,-0.007272728972814305
01-24,0.03999999165534973,-0.009999990463256836,-0.06000000238418578,-0.04000000283122064,-0.02000000141561032,0.009999999776482582,0.019999999552965164,0.009999997913837448,-0.009999999776482586,0.01999999955296516,0.0,5.0,6.0,04-08,-0.00363636440174146
01-25,0.03999999165534973,-0.009999990463256836,-0.06000000238418578,-0.04000000283122064,-0.02000000141561032,0.009999999776482582,0.019999999552965164,0.009999997913837448,-0.009999999776482586,0.00999999977648258,0.0,5.0,6.0,04-09,-0.004545455290512604
01-26,0.03999999165534973,-0.009999990463256836,-0.06000000238418578,-0.04000000283122064,-0.02000000141561032,0.009999999776482582,0.019999999552965164,0.009999997913837448,-0.009999999776482586,0.00999999977648258,0.0,5.0,6.0,04-10,-0.004545455290512604
01-27,0.03999999165534973,-0.03000000119209289,-0.06000000238418578,-0.05000000447034837,-0.02000000141561032,0.009999999776482582,0.009999997913837426,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,5.0,6.0,04-11,-0.009090911258350721
01-28,0.03999999165534973,-0.04999998211860657,-0.05000000447034837,-0.05000000447034837,-0.02000000141561032,0.0,0.009999997913837426,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,4.0,7.0,04-12,-0.010909091511910612
01-29,0.03999999165534973,-0.02000001072883606,-0.05000000447034837,-0.03999999910593033,-0.02000000141561032,0.0,0.009999997913837426,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,4.0,7.0,04-13,-0.007272729988802563
01-30,0.019999980926513672,-0.02000001072883606,-0.05000000447034837,-0.03999999910593033,-0.02000000141561032,0.0,0.009999997913837426,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,4.0,7.0,04-14,-0.009090912782333116
01-31,0.019999980926513672,-0.02000001072883606,-0.0299999937415123,-0.03000000119209289,-0.02000000141561032,0.0,0.009999997913837426,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,4.0,7.0,04-15,-0.006363639269362797
02-01,0.019999980926513672,-0.03999999165534973,-0.01999999582767488,-0.03999999910593033,-0.02000000141561032,0.0,0.009999997913837426,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,4.0,7.0,04-16,-0.008181819353591314
02-02,0.019999980926513672,-0.06000000238418585,-0.05000000447034837,-0.03000000119209289,-0.02000000141561032,0.0,0.009999997913837426,0.01999999582767488,-0.02000000141561032,0.00999999977648258,0.0,4.0,7.0,04-17,-0.010909094221212652
02-03,0.019999980926513672,-0.06000000238418585,-0.05000000447034837,-0.03000000119209289,-0.02000000141561032,0.0,0.0,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,3.0,8.0,04-18,-0.012727275660092184
02-04,0.009999990463256836,-0.06000000238418585,-0.05000000447034837,-0.03000000119209289,-0.02000000141561032,0.0,0.0,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,3.0,8.0,04-19,-0.013636365702206443
02-05,0.009999990463256836,-0.07000002264976507,-0.05000000447034837,-0.03999999910593033,-0.02000000141561032,0.0,-0.010000001639127738,0.009999997913837448,-0.02000000141561032,0.00999999977648258,0.0,3.0,8.0,04-20,-0.016363640231165023
02-06,-0.01000002026557928,-0.07000002264976507,-0.05000000447034837,-0.03999999910593033,-0.02000000141561032,0.0,-0.010000001639127738,0.009999997913837448,-0.02000000141561032,0.0,0.0,1.0,10.0,04-21,-0.019090913913466723
02-07,-0.01000002026557928,-0.07000002264976507,-0.03999999910593033,-0.04999999888241291,-0.02000000141561032,0.009999999776482582,-0.010000001639127738,0.009999997913837448,-0.02000000141561032,0.0,0.0,2.0,9.0,04-22,-0.01818182251670145
02-08,-0.01000002026557928,-0.07000002264976507,-0.03999999910593033,-0.04999999888241291,-0.02000000141561032,0.009999999776482582,-0.010000001639127738,0.0299999937415123,-0.02000000141561032,0.0,0.0,2.0,9.0,04-23,-0.016363641077821914
02-09,-0.01000002026557928,-0.07000002264976507,-0.03999999910593033,-0.04999999888241291,-0.02000000141561032,0.009999999776482582,-0.010000001639127738,0.01999999582767488,-0.02000000141561032,0.0,0.0,2.0,9.0,04-24,-0.017272731797261683
02-10,-0.02000001072883606,-0.06000000238418585,-0.04999999701976776,-0.04999999888241291,-0.02000000141561032,0.009999999776482582,0.0,0.009999997913837431,-0.03000000119209289,0.0,0.0,2.0,9.0,04-25,-0.0190909103575078
02-11,0.0,-0.06000000238418585,-0.03999999165534973,-0.04999999888241291,-0.02000000141561032,0.0,0.019999999552965168,0.009999997913837431,-0.010000001639127731,0.0,0.0,2.0,9.0,04-26,-0.01363636350089854
02-12,-0.01000002026557928,-0.03999999165534973,-0.03999999165534973,-0.04999999888241291,0.0,0.009999999776482582,0.019999999552965168,0.009999997913837431,-0.010000001639127731,0.0,0.0,3.0,8.0,04-27,-0.010000000623139473
02-13,0.0,-0.03999999165534973,-0.03999999165534973,-0.04999999888241291,0.0,0.0,0.019999999552965168,0.009999997913837431,-0.010000001639127731,0.0,0.0,2.0,9.0,04-28,-0.009999998760494318
