,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.7999992370605469,-0.5,0.0,-0.7999992370605469,0.35000038146972656,-5.0,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,-1.0,-15.0,4.0,8.0,03-17,-1.8658332824707031
01-03,0.7999992370605469,-0.5,0.0,-0.7999992370605469,0.35000038146972656,-3.75,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,-1.0,-17.0,4.0,8.0,03-18,-1.9283332824707031
01-04,-0.20000076293945312,-0.5,0.0,-0.7999992370605469,0.35000038146972656,-3.75,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,1.0,-17.0,4.0,8.0,03-19,-1.8449999491373696
01-05,-0.20000076293945312,-0.5,0.0,-0.7999992370605469,0.35000038146972656,-3.75,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,1.0,-18.0999984741211,4.0,8.0,03-20,-1.9366664886474616
01-06,-0.20000076293945312,-0.5,0.0,-0.7999992370605469,0.35000038146972656,-3.75,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,1.0,-18.0999984741211,4.0,8.0,03-21,-1.9366664886474616
01-07,-0.20000076293945312,-0.5,0.0,-0.7999992370605469,0.35000038146972656,-1.25,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,1.0,-18.0999984741211,4.0,8.0,03-22,-1.728333155314128
01-08,-0.25,-0.5,0.2999992370605469,-0.7999992370605469,0.35000038146972656,-1.25,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,1.0,-16.51999664306641,5.0,7.0,03-23,-1.5758330027262375
01-09,-0.25,-0.5,0.2999992370605469,-0.7999992370605469,0.35000038146972656,-1.25,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,1.0,-16.51999664306641,5.0,7.0,03-24,-1.5758330027262375
01-10,-0.25,-0.5,0.2999992370605469,-0.7999992370605469,0.35000038146972656,-1.25,0.0,-4.139999389648442,1.85000038146973,1.0499992370605469,1.0,-18.37999725341797,5.0,7.0,03-25,-1.7308330535888672
01-11,-2.25,-0.5,0.2999992370605469,-0.7999992370605469,0.35000038146972656,-1.25,0.0,-4.139999389648442,1.85000038146973,-0.44000244140625,1.0,-18.37999725341797,4.0,8.0,03-26,-2.0216665267944336
