,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-16.806715870382046,20.78103531521132,19.99999780764522,34.16422788704442,-41.791045079615046,13.608244544122535,17.316515855983376,-20.152089290020346,6.0000038146972665,20.35398364524533,20.634917888854755,-59.53756994415493,8.0,4.0,1.2142922145526545
01-03,-14.747475701051778,22.08504995801348,19.99999780764522,34.16422788704442,-46.7532549297429,11.018705598256641,17.647061088174254,-23.92157431063138,6.0000038146972665,18.918921705403317,25.56054025008077,-90.27777087909232,8.0,4.0,-1.692130642600251
01-04,-10.291256760323948,22.08504995801348,21.60919171057497,35.24229244542194,-21.300443971741284,15.151515735337851,18.493154338684548,-23.92157431063138,5.0,15.740738696685744,26.552462297191056,-67.46988116198034,8.0,4.0,3.074270748102721
01-05,-10.291256760323948,19.6159099563992,20.780711077523858,35.890015540337245,-15.894034367431328,13.84615775866388,18.493154338684548,-25.29411737206628,2.9702988059809163,10.37736171587956,26.195426308781705,-101.44927398518988,8.0,4.0,-0.3966372485633762
01-06,-8.932039410266315,12.311902905777837,23.97790089016275,35.233922083137,-14.62882287019326,13.84615775866388,21.232877681691814,-24.804687681899,-2.0618537443073257,10.231655415733435,26.804123255230678,-101.44927398518988,7.0,5.0,-0.6865114751215321
01-07,0.5565813305066684,8.236996609494902,24.534504051235576,33.629629347059456,-14.62882287019326,11.79486788236176,18.480722154222764,-12.081785902247677,-5.263157894736842,10.231655415733435,26.804123255230678,-96.37681503702528,8.0,4.0,0.4932081951368505
01-08,2.14425206745619,8.90124981074076,24.202422983193895,35.63218398679435,-11.13537636195318,10.204081434053666,21.690765950070748,-10.86556484787972,-4.166662527455388,10.231655415733435,25.360825634215555,-61.5853730781954,8.0,4.0,4.217871705564576
01-09,6.238857331600612,0.5882347166332026,22.409912413392004,35.63218398679435,-6.2906714415200815,7.740593015812339,22.497192346447417,-3.5842345669686178,-4.166662527455388,12.162155569140609,22.083336230781224,-67.30769171987528,8.0,4.0,4.0002671128985305
01-10,0.5802748426621693,-0.8955286764893093,22.409912413392004,34.770115848135035,-11.894272387452249,3.391689365123172,25.59139855515268,-3.5842345669686178,-5.20833312637277,8.910896417942748,18.259026041382988,-81.94442926733643,7.0,5.0,0.8655429549309517
01-11,1.3435733425881673,-0.8955286764893093,20.045047149421325,33.57348565554975,-9.628009643170351,6.1336299298720345,24.039513314120963,-3.5842345669686178,-9.278356596924231,1.010095269177958,13.793100967702005,-102.96296008493351,7.0,5.0,-2.200886995004486
01-12,1.3435733425881673,1.3432787807886104,17.505473975595752,35.09272407740516,-8.225110905926632,6.1336299298720345,24.039513314120963,-5.555554606059059,-10.41666625274554,0.98038656534656,14.902808642884406,-73.41771741227424,8.0,4.0,0.3105282876330169
01-13,-0.7677535808090709,-7.431341419947107,18.251362503608853,36.585369163057756,-8.225110905926632,6.1336299298720345,25.24697915012436,-7.182326991750207,-12.49999751647323,-2.040814340536656,15.631691801872632,-73.41771741227424,5.0,7.0,-0.8096691349317915
01-14,-2.2727250149756664,-13.410595163829093,20.689651880223593,29.551816472453496,-8.225110905926632,-1.0952839708867157,25.27115328700596,-7.222219622184267,-10.526315789473683,-2.040814340536656,15.631691801872632,-91.77214487911988,4.0,8.0,-3.785074687114744
01-15,-8.846154904224484,-3.2310146593915663,22.197557704703907,29.35392850201739,-8.874466112668573,0.8752726553724782,29.46236765333673,-4.629629547867447,-10.526315789473683,-2.040814340536656,15.631691801872632,-84.65909190968542,5.0,7.0,-2.107222412212058
01-16,-11.82571938846529,-6.535949392928629,24.216213741817988,29.35392850201739,-7.7753703623982915,1.6251313756179062,26.10096880399309,0.17793153466735062,-10.526315789473683,-2.040814340536656,17.446802725560726,-105.38923083237707,6.0,6.0,-3.7643686185420986
01-17,1.3916534541067953,-6.535949392928629,24.216213741817988,29.35392850201739,-10.77586237903725,6.562500931322537,27.204302773336124,-0.7181321475811656,-10.526315789473683,-3.9999961853027344,19.4968568233948,-88.50574444899206,6.0,6.0,-1.0697120097766586
01-18,-0.4048579088026745,-6.535949392928629,24.216213741817988,27.389443845998308,-16.666666666666664,4.1313496502571025,27.204302773336124,-0.7181321475811656,-13.829789824375794,-6.999998092651367,15.31729233716455,-92.631585881981,5.0,7.0,-3.2940314638677672
01-19,-0.4048579088026745,-6.535949392928629,24.05765457875721,24.079317606847507,-14.069266482000634,1.9501555842748501,27.204302773336124,-0.7181321475811656,-11.578951383891859,-13.978496387881695,12.747255776069734,-112.79069912504544,5.0,7.0,-5.836472209070557
01-20,-0.4048579088026745,-5.1070829326631175,25.7958234506953,27.385892307746087,-14.565219351835234,1.9501555842748501,27.204302773336124,-2.422142930860512,-9.47368019505551,-11.956526133423807,14.43965209384445,-112.79069912504544,5.0,7.0,-4.995365197315792
01-21,-6.958248310806807,0.1636698635566356,24.83295830637628,27.500000993410783,-14.565219351835234,1.9501555842748501,28.87473720805871,-1.2259224377184703,-8.974360933749079,-9.574474560939489,14.43965209384445,-112.79069912504544,6.0,6.0,-4.693979222547736
01-22,-4.500978729237458,0.3262639568211561,23.73068954334056,27.500000993410783,-14.565219351835234,1.9586437401551797,31.41683793313119,-4.137926952167167,-8.510640672344481,-9.574474560939489,14.43965209384445,-130.99414968224798,6.0,6.0,-6.075941807339041
01-23,1.953123181010556,1.6420423475233257,23.81477309910729,27.500000993410783,-11.062901025468816,-4.778553042632353,31.40830740199112,-4.41696124981887,-8.510640672344481,-10.638298304062632,3.282277674683339,-130.05780203430305,6.0,6.0,-6.655385969241982
01-24,1.7751508785136525,0.663357169127808,23.81477309910729,26.80555388147445,-9.60698830895217,-6.619390272950381,29.04222616459984,-0.681430368532566,-10.638298304062632,-15.46391782984621,5.345206756177538,-102.5773170536872,6.0,6.0,-4.845089515752546
01-25,1.7751508785136525,0.663357169127808,24.917307917158407,25.38569303966228,-11.353711563072231,-7.575753197087581,28.96907214467689,-0.681430368532566,-9.47368019505551,-21.276596608125285,2.614386893398783,-98.42105411756737,6.0,6.0,-5.371438167241894
01-26,1.7751508785136525,3.4825875761229232,26.85285031319135,25.977649389888164,-12.095030862589129,-5.005683530066184,28.96907214467689,-3.918228680707721,-8.602152412124298,-17.708330642846025,6.593410508987489,-98.42105411756737,6.0,6.0,-4.341646619543355
01-27,1.3806739505186003,-4.697982066762641,27.713379357583285,22.641509042223788,-11.373395432677569,-5.005683530066184,28.453606250676547,-3.231293427254048,-6.0000038146972665,-15.624999379118307,3.409093002642436,-98.42105411756737,5.0,7.0,-5.0630125137082285
