,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-12.210000991821287,-1.3199996948242188,-2.0300025939941406,12.360000610351562,15.110000610351562,-10.06999969482422,0.220001220703125,2.3600006103515625,19.990005493164066,-9.790008544921877,0.6100006103515625,-56.739990234375,6.0,6.0,03-17,-3.4591660499572754
01-03,-11.650001525878904,-2.289997100830078,-2.0300025939941406,12.360000610351562,10.329994201660156,-2.5100021362304688,5.290000915527344,4.899993896484375,19.990005493164066,-14.639999389648438,6.399993896484375,-75.5199966430664,6.0,6.0,03-18,-4.11416753133138
01-04,-10.490001678466797,-2.289997100830078,-2.960002899169922,11.330001831054688,10.520004272460938,0.470001220703125,9.239997863769533,4.899993896484375,23.3900146484375,-14.589996337890625,3.19000244140625,-74.75,7.0,5.0,03-19,-3.5033318201700845
01-05,-10.490001678466797,-2.729999542236328,-3.950000762939453,12.130001068115234,13.67999267578125,-0.5199966430664062,9.239997863769533,7.860000610351562,24.69000244140625,-16.760009765625,-0.540008544921875,-88.81999969482422,5.0,7.0,03-20,-4.6841684977213545
01-06,-10.31999969482422,-5.390003204345703,-2.3600006103515625,11.900001525878904,16.139999389648438,-0.5199966430664062,8.569999694824219,14.25,25.90998840332031,-19.09999084472656,0.6999969482421875,-88.81999969482422,6.0,6.0,03-21,-4.086667060852052
01-07,-8.020000457763674,-5.9099998474121085,-0.2299995422363281,12.000003814697266,16.139999389648438,-5.1699981689453125,4.30999755859375,19.449996948242188,25.91000366210937,-15.079986572265625,0.6999969482421875,-90.18999481201172,6.0,6.0,03-22,-3.840831756591797
01-08,-6.3600006103515625,-5.799999237060548,-0.5400009155273438,11.380001068115234,16.550003051757812,-3.1299972534179688,6.30999755859375,20.25,26.68000793457031,-15.079986572265625,-2.779998779296875,-104.24000549316406,5.0,7.0,03-23,-4.729998270670573
01-09,-4.459999084472656,-5.740001678466798,-1.029998779296875,11.380001068115234,13.300003051757812,2.3199996948242188,6.910003662109375,23.520004272460934,26.68000793457031,-15.469985961914062,-7.600006103515625,-109.82999420166016,6.0,6.0,03-24,-5.00166384379069
01-10,-3.8700008392333984,-6.0,-1.029998779296875,11.119998931884766,14.470008850097654,1.829994201660156,7.8800048828125,23.520004272460934,25.30000305175781,-12.449996948242188,-19.19000244140625,-113.7199935913086,6.0,6.0,03-25,-6.011664867401122
01-11,-4.0900020599365225,-6.0,-1.0999984741210938,9.729999542236328,14.67999267578125,4.029998779296875,7.790008544921875,23.520004272460934,27.58000183105469,-20.009994506835934,-15.919998168945312,-104.57999420166016,6.0,6.0,03-26,-5.364165147145589
01-12,-4.0900020599365225,-4.430000305175781,-0.6599998474121094,9.510002136230467,17.129997253417972,4.290000915527344,7.790008544921875,20.87001037597656,37.72000122070313,-16.509994506835938,-15.3800048828125,-99.35999298095705,6.0,6.0,03-27,-3.5933311780293784
01-13,-3.5799999237060547,-1.8699989318847656,-0.04999923706054688,11.820003509521484,17.129997253417972,4.290000915527344,4.0200042724609375,20.759994506835934,33.610000610351555,-27.30999755859375,-16.139999389648438,-99.35999298095705,6.0,6.0,03-28,-4.723332246144612
