,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.40569019317626953,-1.369259834289549,-0.5587730407714844,0.12367725372314453,-2.4915447235107404,1.4610872268676758,-0.2527577877044678,1.0177061557769773,-0.20278215408325195,-0.6224865913391113,0.19602537155151412,-1.187304019927978,5.0,7.0,03-17,-0.2900601625442501
01-03,0.5524334907531738,-1.369259834289549,-0.5587730407714844,0.12367725372314453,-1.792484283447262,1.2221689224243182,-0.47743082046508833,1.2193276882171633,-0.20278215408325195,-0.5835814476013188,0.0980129241943355,-0.9102663993835454,5.0,7.0,03-18,-0.2232464750607804
01-04,1.3897171020507821,-1.369259834289549,-0.30558109283447266,0.39751815795898615,-1.6670036315917969,0.9832468032836914,-0.3089253902435307,1.2193276882171633,-0.1834702491760254,-0.6419398784637447,0.09801316261291504,-0.3660850524902344,5.0,7.0,03-19,-0.06287018458048464
01-05,1.3897171020507821,-1.3865890502929688,-0.008729934692381036,0.23851108551025568,-1.1113348007202148,0.6064872741699219,-0.3089253902435307,1.209726810455323,-0.43453359603881836,-0.603034257888794,0.1176154613494873,-0.9102659225463867,5.0,7.0,03-20,-0.10011293490727703
01-06,1.1825547218322763,-1.7419004440307617,0.2793874740600586,0.26500988006591975,-1.15614604949951,0.6064872741699219,-0.7395501136779794,1.0465092658996584,-0.3090019226074219,-0.5349493026733398,0.18622446060180664,-0.9102659225463867,6.0,6.0,03-21,-0.15213672320047983
01-07,2.132046222686766,-1.8025674819946271,0.5413103103637678,0.574188232421875,-1.15614604949951,0.5054073333740234,-0.5804073810577393,0.9504992961883545,-0.30900144577026367,-0.38905382156372026,0.18622446060180664,-0.969631671905518,6.0,6.0,03-22,-0.026427666346232098
01-08,1.8471980094909668,-2.045220375061035,0.6024274826049805,0.6183605194091797,-1.3353958129882795,0.38594913482666016,-0.2995655536651616,1.0849130153656008,-0.28968906402587846,-0.38905382156372026,0.19602537155151367,-0.8904776573181157,6.0,6.0,03-23,-0.04287739594777409
01-09,1.9507784843444824,-2.157881736755371,0.6897344589233416,0.6183605194091797,-0.8962392807006854,0.4962196350097656,-0.39317917823791504,1.2577313184738164,-0.28968906402587846,-0.35014867782592773,0.0980129241943355,-1.0685737133026119,6.0,6.0,03-24,-0.003739525874455696
01-10,2.4427900314331064,-2.495863914489746,0.6897344589233416,0.2738475799560547,-1.6580486297607422,-0.018381118774414062,-0.5242402553558345,1.2577313184738164,-0.29934573173522905,-0.447412490844727,0.17642331123352095,-0.9102661609649663,5.0,7.0,03-25,-0.12608596682548492
01-11,2.66721248626709,-2.495863914489746,0.3404998779296875,0.1060066223144549,-1.9986190795898455,-0.10108089447021484,-0.6646606922149654,1.2577313184738164,-0.38625192642211914,-0.4863176345825191,0.3234431743621826,-0.38587331771850586,5.0,7.0,03-26,-0.15198116501172373
01-12,2.66721248626709,-2.114548683166504,0.24446487426757812,0.10600566864013672,-2.003574371337889,-0.4318952560424787,-0.6646606922149654,1.3345394134521489,-0.337970495223999,-0.5835809707641602,0.2744364738464351,-0.3067202568054199,5.0,7.0,03-27,-0.1513576507568356
01-13,2.6413168907165527,-1.94122314453125,0.32303714752197266,0.530029296875,-2.003574371337889,-0.4318952560424787,-0.10297560691833496,1.0177061557769775,-0.2800323963165283,-0.6905713081359859,0.22543025016784624,-0.3067202568054199,5.0,7.0,03-28,-0.08495604991912813
01-14,2.9347996711730957,-1.7418994903564435,0.5238504409790021,0.31801795959472656,-2.003574371337889,-0.49621772766113104,-0.056168556213378906,1.1905245780944826,-0.4635024070739746,-0.6905713081359859,0.22543025016784624,-0.3957681655883789,5.0,7.0,03-29,-0.05458992719650237
01-15,2.468517780303955,-1.3518028259277326,0.5326852798461914,0.047646522521972656,-2.075277328491211,-0.26801300048828125,-0.3418540954589848,1.296135425567627,-0.4102969169616695,-0.6905713081359859,0.27443623542785645,-0.5540752410888672,5.0,7.0,03-30,-0.0893724560737608
01-16,1.812246322631836,-1.6032714843749982,0.7077312469482422,0.047646522521972656,-1.7961311340332031,-0.2769317626953125,-0.6511421203613277,1.6277097463607788,-0.4102969169616695,-0.6905713081359859,0.1713855266571045,-0.7519590854644775,5.0,7.0,03-31,-0.15113203724225335
01-17,2.045591354370118,-1.6032714843749982,0.7077312469482422,0.047646522521972656,-1.6705827713012695,-0.727992057800293,-0.8575994968414316,1.5892392396926884,-0.4102969169616695,-0.6858224868774414,0.18118691444396973,-0.8585100173950195,5.0,7.0,04-01,-0.18688999613126098
01-18,2.3220996856689453,-1.6032714843749982,0.7077312469482422,-0.04087638854980469,-1.940382003784178,-0.8932790756225586,-0.8575994968414316,1.5892392396926884,-0.3717758655548091,-0.5495653152465825,0.2202463150024414,-1.0467171669006348,4.0,8.0,04-02,-0.20534585913022332
01-19,2.3220996856689453,-1.6032714843749982,0.7949810028076172,0.3218955993652344,-3.287549972534176,-1.077850818634034,-0.8575994968414316,1.5892392396926884,-0.3717935085296631,-0.4813411235809326,0.1516187191009517,-0.857900857925415,5.0,7.0,04-03,-0.27978941798210116
01-20,2.3220996856689453,-1.1612586975097656,1.0310773849487322,0.5790567398071289,-3.854610443115231,-1.077850818634034,-0.8575994968414316,1.51239812374115,-0.40071034431457564,-0.6176323890686035,0.13197946548461914,-0.857900857925415,5.0,7.0,04-04,-0.27091263731320675
01-21,1.7087125778198233,-0.4416494369506836,1.1529846191406232,-0.1820621490478498,-3.854610443115231,-1.077850818634034,-0.4730229377746582,1.5893056392669676,-0.448921680450439,-0.7345585823059082,0.13197946548461914,-0.857900857925415,4.0,8.0,04-05,-0.2906328837076821
01-22,1.3457279205322266,-0.45896434783935547,1.6345443725585938,-0.1820621490478498,-3.854610443115231,-0.885118007659913,-0.46387863159179643,1.4643771648406982,-0.4102275371551509,-0.7345585823059082,0.13197946548461914,-0.8079514503479008,4.0,8.0,04-06,-0.26839518547058067
01-23,0.38729000091552734,-0.17290115356445312,1.6520528793334979,-0.1820621490478498,-2.9744062423706055,-0.8571152687072745,-0.19185423851013184,1.541300892829895,-0.4102275371551509,-0.8999066352844238,0.1909327507019043,-0.847398042678833,4.0,8.0,04-07,-0.23035789529482484
01-24,0.04202699661254883,0.13939762115478516,1.6520528793334979,0.1094541549682635,-2.2034854888916016,-0.8297076225280762,-0.36064958572387695,1.5509182214736938,-0.4391968250274654,-0.9679391384124751,0.18114995956420898,-0.7574799060821542,6.0,6.0,04-08,-0.15695489446322095
01-25,0.04202699661254883,0.13939762115478516,1.6433181762695312,-1.6499414443969727,-1.8184127807617188,-0.434173583984375,-0.4170358180999756,1.5509182214736938,-0.3909671306610103,-0.7732717990875244,0.053788185119628906,-0.6977665424346915,5.0,7.0,04-09,-0.22934332489967335
01-26,0.04202699661254883,0.09606552124023438,1.1978731155395508,-1.9331712722778338,-1.0721454620361293,-0.3326597213745135,-0.4170358180999756,1.4453070163726807,-0.31371641159057617,-0.8218159675598145,0.0832839012146005,-0.6977665424346915,5.0,7.0,04-10,-0.22697955369949327
01-27,0.22329282760620117,0.08726024627685547,1.766242027282713,-2.1096315383911133,-1.61220073699951,-0.3326597213745135,-0.5293738842010498,1.5704187154769893,-0.2943344116210933,-0.6370327472686763,0.02436614036560103,-0.6977665424346915,5.0,7.0,04-11,-0.21178496877352396
01-28,0.48227405548095614,0.1826324462890625,1.4597826004028303,-1.6753320693969727,-1.61220073699951,-0.461309432983402,-0.26696300506591886,1.9069511890411377,-0.25560426712036133,-0.461642742156982,0.02436614036560103,-0.5097773075103764,5.0,7.0,04-12,-0.09890192747116129
01-29,0.093763828277587,0.3385171890258807,1.1623029708862305,-1.852622985839842,-2.0961694717407227,-0.8570747375488281,-0.12636089324951127,2.186009764671326,-0.25560426712036133,-0.461642742156982,-0.10305070877075195,-0.5789494514465332,4.0,8.0,04-13,-0.21257345875104236
01-30,0.1542944908142081,-0.2508573532104492,1.057268142700197,-1.852622985839842,-2.0787038803100586,-0.9311432838439941,-0.33281898498535156,2.2054607868194585,-0.25560426712036133,-0.40328454971313477,-0.21095633506774902,-0.1817023754119873,3.0,9.0,04-14,-0.256722549597422
01-31,0.4476919174194336,-0.3202629089355469,1.057268142700197,-1.8172817230224592,-2.8712873458862305,-0.701257228851321,-0.38866138458251953,2.0900499820709233,-0.3521671295166011,-0.5396285057067867,-0.25996232032775923,0.10714292526245117,4.0,8.0,04-15,-0.2956962982813516
02-01,0.46497488021850586,-0.3202629089355469,0.8040733337402362,-1.5513248443603516,-4.112805366516115,-0.7663307189941388,-0.1725149154663077,2.0900499820709233,-0.2844338417053218,-0.5395758152008052,-0.3188984394073491,0.18642735481262296,4.0,8.0,04-16,-0.376718441645304
02-02,0.46497488021850586,-0.24226665496826172,1.0840511322021484,-2.1883087158203107,-4.239123344421387,-0.7663307189941388,-0.1725149154663077,2.118852853775025,-0.22634029388427734,-0.34503126144409135,-0.4564814567565918,0.15661406517028809,4.0,8.0,04-17,-0.40099203586578325
02-03,0.16286468505859375,-0.251007080078125,0.8571557998657209,-2.0038137435913104,-4.734172821044924,-0.7663307189941388,-0.05081653594970703,1.72489583492279,-0.2359266281127934,-0.3158175945281978,-0.4564814567565918,0.15661406517028809,4.0,8.0,04-18,-0.49273634950319956
02-04,-0.5367212295532227,0.21687698364257635,0.6383256912231445,-1.9068565368652344,-4.734172821044924,-0.8582248687744141,-0.3506371974945064,1.7636659145355233,-0.40008401870727583,-0.27684164047241167,-0.4564814567565918,0.2555558681488037,4.0,8.0,04-19,-0.553799609343211
