,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-17.560977470584053,14.704597611632286,2.471481510974085,-0.7194256669964362,-0.34207584346168435,6.146025698791213,-6.727578257334441,10.318276571433048,11.045754986859574,-27.919220857317182,5.0,5.0,-0.7802856105457802
01-03,0.0,-17.560977470584053,14.704597611632286,2.471481510974085,-0.7194256669964362,-0.34207584346168435,9.733335706922727,-6.727578257334441,10.318276571433048,11.045754986859574,-27.919220857317182,5.0,5.0,-0.454166518897461
01-04,0.0,-17.560977470584053,15.31728639636408,2.471481510974085,0.5995188480651237,4.7962493532691735,9.733335706922727,-3.545532147201208,10.318276571433048,11.045754986859574,-26.69007787726,7.0,3.0,0.5895741708038688
01-05,0.0,-19.306928075396566,18.319966461581703,0.0,0.5995188480651237,4.7962493532691735,9.733335706922727,-1.9841269240567971,10.318276571433048,11.045754986859574,-26.69007787726,6.0,4.0,0.6210880955834545
01-06,0.0,-18.719218163672334,16.008486932272206,3.9325884434678184,0.5995188480651237,9.736743238954524,14.77129865309808,-1.9841269240567971,10.318276571433048,11.045754986859574,-26.69007787726,7.0,3.0,1.7290222462873857
01-07,0.0,-15.763551148797063,12.043007471228162,3.9325884434678184,0.5995188480651237,9.736743238954524,15.445465949698393,0.0,10.318276571433048,11.045754986859574,-26.69007787726,7.0,3.0,1.8788842257863259
01-08,0.0,-6.206898305607956,9.593280264296787,3.9325884434678184,-0.7194256669964362,8.474577786740946,18.90670117506943,0.630914209626621,10.318276571433048,11.045754986859574,-26.69007787726,7.0,3.0,2.66233559887544
01-09,0.0,-6.206898305607956,9.593280264296787,2.2857157389322915,6.189179134036957,5.965174598016907,21.49032945225723,0.630914209626621,10.318276571433048,11.045754986859574,-68.37807256738479,8.0,2.0,-0.6423950834121218
01-10,0.0,-6.206898305607956,9.593280264296787,0.5813938874649625,6.189179134036957,9.074343012594523,21.49032945225723,0.630914209626621,10.318276571433048,11.045754986859574,-68.37807256738479,8.0,2.0,-0.5146817594930052
01-11,0.0,-6.206898305607956,9.911893939992279,3.2945678265761966,4.285709341125922,9.074343012594523,21.49032945225723,4.276066752337576,10.318276571433048,5.68627369093712,-68.37807256738479,8.0,2.0,-0.5679554805217141
01-12,0.0,-6.206898305607956,9.427318172124819,7.3387678866958534,4.285709341125922,9.074343012594523,21.449159306086347,4.276066752337576,10.318276571433048,-6.730767874268472,-56.33803922897648,7.0,3.0,-0.2823694878595288
01-13,0.0,-5.8558522179456745,12.026437699693934,7.3387678866958534,4.285709341125922,5.976680995182713,18.44380930723277,1.3147724074367872,10.318276571433048,-6.730767874268472,-56.33803922897648,7.0,3.0,-0.8382004647626903
01-14,0.0,-6.306304371247716,15.951182150749126,7.3387678866958534,4.285709341125922,7.300632431411842,18.896665210307752,-2.7375213405742964,10.318276571433048,-6.730767874268472,-56.33803922897648,6.0,4.0,-0.7292181112130384
01-15,0.0,-6.216212222255237,15.560255241156227,9.191992528961935,4.285709341125922,4.163513922381595,23.836972817181305,-4.675969385723409,10.318276571433048,-6.730767874268472,-56.33803922897648,6.0,4.0,-0.6003880262712329
01-16,0.0,-5.977527746993488,15.560255241156227,7.633587563970797,4.942080301735193,4.163513922381595,20.025028679856085,-4.675969385723409,10.318276571433048,-13.387569561086929,-56.33803922897648,6.0,4.0,-1.6123966947497594
01-17,0.0,-5.977527746993488,15.560255241156227,8.30515197719151,4.942080301735193,5.057637537643358,20.025028679856085,-4.675969385723409,10.318276571433048,-13.387569561086929,-70.56737872469844,6.0,4.0,-2.7636377372260768
01-18,0.0,-5.977527746993488,14.84009098662709,7.177751986480978,4.942080301735193,5.057637537643358,20.025028679856085,-3.93765801832416,10.318276571433048,-13.387569561086929,-70.56737872469844,6.0,4.0,-2.8644789079388433
01-19,0.0,-3.146070844671684,15.915792364823206,6.818179026779668,4.942080301735193,5.057637537643358,20.025028679856085,-8.95521925675196,10.318276571433048,-13.387569561086929,-70.56737872469844,6.0,4.0,-2.998113082267132
01-20,0.0,0.6493489872433365,15.915792364823206,6.818179026779668,4.942080301735193,5.057637537643358,24.43384823158016,-8.573924025116279,10.318276571433048,-13.387569561086929,-70.56737872469844,7.0,3.0,-2.2176099354239707
01-21,0.0,-0.3079617080244572,17.51342392176106,6.818179026779668,4.942080301735193,4.4202942168153765,22.643025789628517,-8.573924025116279,10.318276571433048,-13.387569561086929,-70.56737872469844,6.0,4.0,-2.3801412900702954
01-22,0.0,0.0,17.51342392176106,6.818179026779668,4.942080301735193,4.4202942168153765,18.869456530524324,-12.003609502383393,10.318276571433048,-13.387569561086929,-106.43777936587068,6.0,4.0,-6.267931623662938
01-23,0.0,-0.4405218976219626,17.51342392176106,9.523809523809524,9.981716651404405,2.245566191697018,15.287692025592287,-12.003609502383393,10.318276571433048,-13.387569561086929,-106.43777936587068,6.0,4.0,-6.127181403751418
01-24,0.0,-0.4405218976219626,13.258980610748653,5.405404012163142,12.156135703106505,1.1589992312576796,12.608318271366937,-12.003609502383393,10.318276571433048,-13.387569561086929,-106.43777936587068,6.0,4.0,-7.0330332660806345
01-25,0.0,-0.2202609488109813,12.125056315938805,4.615387549767114,16.183928620138268,1.1589992312576796,12.608318271366937,-15.334568619258654,10.318276571433048,-13.387569561086929,-106.43777936587068,6.0,4.0,-7.124564721375035
01-26,0.0,1.101321548888017,8.788401562951696,5.6092872013219495,14.2592606721101,1.1589992312576796,10.528597544230763,-17.47211965102613,10.318276571433048,-13.387569561086929,-106.43777936587068,7.0,3.0,-7.775756749617315
01-27,0.0,1.7621212001541184,6.5699696264501295,5.6092872013219495,14.2592606721101,2.245566191697018,9.507499719207258,-17.47211965102613,10.318276571433048,-2.679166847649745,-106.43777936587068,7.0,3.0,-6.937916789288448
01-28,0.0,1.7621212001541184,7.849829823657282,5.6092872013219495,14.2592606721101,1.3233152503579348,12.214377113971493,-12.260543468321778,10.318276571433048,-2.679166847649745,-106.43777936587068,7.0,3.0,-6.1855474408032975
01-29,0.0,1.7621212001541184,7.849829823657282,5.647972805709799,15.263543641561437,-0.36377003383896,12.214377113971493,-12.260543468321778,10.318276571433048,-2.679166847649745,-106.43777936587068,6.0,4.0,-6.244103505381273
01-30,0.0,1.7621212001541184,7.849829823657282,3.4059430112933025,15.263543641561437,-0.36377003383896,5.317818012154415,-12.260543468321778,10.318276571433048,0.8037500542949079,-106.43777936587068,7.0,3.0,-6.758255504862081
01-31,0.0,1.7621212001541184,8.703075379897172,4.347820186926231,15.263543641561437,-2.6191317546351733,7.2068346453733385,-10.823756320490503,-7.032858682891532,0.8037500542949079,-106.43777936587068,6.0,4.0,-8.075125546880061
