,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.38000011444092,1.7199993133544955,-1.4500007629394531,2.899999618530273,0.9700012207031214,0.8199996948242188,-1.0500011444091726,1.3199996948242223,1.2000007629394496,2.30000114440918,4.820001602172852,-11.950000762939453,8.0,4.0,03-17,-0.06499997774759884
01-03,-2.510000228881836,1.969999313354496,-1.4500007629394531,2.899999618530273,0.879999160766598,0.7100009918212891,-0.7399997711181676,1.6499996185302768,1.2000007629394496,2.0499992370605438,5.620000839233398,-13.229999542236328,8.0,4.0,03-18,-0.07916673024495502
01-04,-2.59000015258789,1.969999313354496,-0.8199996948242188,3.0799999237060565,0.9899997711181604,0.939998626708988,-0.4699993133544886,1.6499996185302768,1.3499984741210866,2.5000019073486333,4.809999465942387,-15.190000534057608,8.0,4.0,03-19,-0.14833354949951008
01-05,-2.59000015258789,2.2100009918212926,-1.039999008178711,2.4500007629394567,1.1399993896484375,0.8499984741210902,-0.4699993133544886,1.409999847412113,2.1499996185302703,1.7999992370605504,3.4200000762939453,-19.45000076293945,8.0,4.0,03-20,-0.6766667366027818
01-06,-2.869999885559082,2.1100006103515625,-0.639999389648441,2.4699993133544886,1.2999992370605469,0.8499984741210902,0.059999465942386365,2.5699996948242188,1.5999984741210866,1.6000003814697197,3.3499984741210898,-19.45000076293945,9.0,3.0,03-21,-0.5875004927317317
01-07,-2.310000419616699,1.8499984741210904,-0.3200016021728516,1.8299999237060531,1.2999992370605469,0.7999992370605433,-0.0400009155273402,3.509998321533203,1.1499996185302772,1.549999237060543,3.3499984741210898,-19.270000457763672,8.0,4.0,03-22,-0.5500009059906014
01-08,-2.840000152587889,2.1499996185302703,-0.7000007629394531,1.899999618530272,1.64999961853027,0.8999996185302734,0.06999969482421875,3.5300006866455043,1.700000762939457,1.549999237060543,3.4899997711181605,-16.49999809265136,9.0,3.0,03-23,-0.2583333651224778
01-09,-1.4000005722045863,2.529998779296875,-0.2800006866455078,1.899999618530272,1.1800003051757884,1.1399993896484408,0.4500007629394531,3.2600002288818324,1.700000762939457,1.299999237060543,3.670000076293945,-17.350000381469727,9.0,3.0,03-24,-0.1583335399627678
01-10,-1.9600000381469729,1.75,-0.2800006866455078,1.5599994659423828,1.1299991607666016,0.9599990844726491,0.3899993896484375,3.2600002288818324,0.8999996185302805,0.949998855590824,2.769998550415039,-17.040000915527337,9.0,3.0,03-25,-0.4675006071726475
01-11,-1.3899993896484375,1.75,-0.8000011444091761,1.080000877380369,1.1399993896484375,1.0599994659423793,-0.3799991607666051,3.2600002288818324,0.9500007629394496,-0.14999961853026988,2.680000305175781,-17.58999824523926,7.0,5.0,03-26,-0.6991663773854584
01-12,-1.3899993896484375,1.75,-1.2800006866455078,0.7399997711181641,1.1199989318847619,0.3799991607666016,-0.3799991607666051,3.1599998474121063,1.0499992370605504,-0.049999237060543315,3.0199985504150386,-17.549997329711914,7.0,5.0,03-27,-0.7858333587646488
01-13,-1.3999996185302734,1.2399997711181676,-1.39999961853027,1.3500003814697266,1.1199989318847619,0.3799991607666016,-0.3999996185302805,2.879999160766598,1.3500022888183558,-0.5999984741211009,3.1299991607666016,-17.549997329711914,7.0,5.0,03-28,-0.8249996503194188
01-14,-0.5600004196166974,1.25,-1.579999923706055,1.0900001525878942,1.1199989318847619,-0.3100013732910085,-0.5400009155273473,2.7300014495849645,1.8999996185302697,-0.5999984741211009,3.1299991607666016,-17.569997787475586,6.0,6.0,03-29,-0.8283332983652753
01-15,-1.14999961853027,1.1499996185302734,-1.5,0.8800010681152344,1.1599998474121094,-1.8999996185302697,-0.2099990844726598,3.2600002288818324,1.799999237060543,-0.5999984741211009,3.1100006103515625,-16.079999923706055,6.0,6.0,03-30,-0.8399996757507333
01-16,-1.6099996566772459,0.9200000762939452,-1.0400009155273473,0.8800010681152344,1.2200012207031214,-1.4799995422363317,-0.3799991607666016,3.5200004577636683,1.799999237060543,-0.5999984741211009,2.729999542236332,-18.51000213623047,6.0,6.0,03-31,-1.0458331902821876
01-17,-0.19000053405761896,0.9200000762939452,-1.0400009155273473,0.8800010681152344,1.010000228881836,-1.3900012969970703,-0.5499992370605398,3.75,1.799999237060543,-1.6500015258788991,3.0,-16.239999771118164,6.0,6.0,04-01,-0.8083335558573399
01-18,0.0,0.9200000762939452,-1.0400009155273473,0.3099994659423828,0.470001220703125,-1.5499992370605469,-0.5499992370605398,3.75,1.7999992370605504,-1.14999961853027,2.970001220703121,-16.71000099182129,6.0,6.0,04-02,-0.8983332316080723
01-19,0.0,0.9200000762939452,-0.470001220703125,0.07999992370605469,0.07999992370605469,-1.3099994659423793,-0.5499992370605398,3.75,2.099998474121101,-1.800001144409176,3.459999084472667,-18.380001068115234,6.0,6.0,04-03,-1.0100003878275527
01-20,0.0,1.3199996948242188,-0.279998779296875,-0.0699996948242223,0.1100006103515625,-1.3099994659423793,-0.5499992370605398,3.779998779296879,1.25,-0.4000015258788992,3.8899993896484446,-18.380001068115234,5.0,7.0,04-04,-0.8866667747497537
01-21,0.7399997711181658,1.4799995422363317,0.11999893188476562,-0.370000839233402,0.1100006103515625,-1.3099994659423793,0.2399997711181605,3.609998703002933,1.3999996185302803,-0.3000011444091761,3.8899993896484446,-18.380001068115234,8.0,4.0,04-05,-0.7308338483174622
01-22,1.1599998474121094,2.4099998474121134,-0.2900009155273437,-0.370000839233402,0.1100006103515625,-1.25,0.2300014495849609,2.720001220703129,0.8999996185302805,-0.3000011444091761,3.8899993896484446,-18.13999938964844,7.0,5.0,04-06,-0.7441666920979803
