,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-11.826089312403765,5.047612359442495,2.4472506828287988,5.509636831173228,10.565726741557674,-3.5333333706326084,-0.6040227299881125,-0.3123077889810253,-3.6144569785696175,11.058825225302096,2.4973396438669924,-26.13333384195964,6.0,6.0,-0.7414293781969565
01-03,-15.336324002343908,5.047612359442495,2.4472506828287988,5.509636831173228,11.155692112468731,-4.999998601277719,-1.1394055505275436,-0.3123077889810253,-3.6144569785696175,8.551070540855019,-0.10746130982885993,-33.57143402099609,5.0,7.0,-2.1975104771463747
01-04,-22.476196567769126,5.047612359442495,5.569615076031611,8.482139595613132,12.845524932822947,-3.4000001678466893,-1.2751630080574017,-0.3123077889810253,-4.19276969069092,9.285717497066427,0.26969332222256515,-32.140350341796854,6.0,6.0,-1.8580403984952358
01-05,-22.476196567769126,9.142856640458898,3.2121694520809605,7.623324967343284,8.943089569573901,-3.1250004359382166,-1.2751630080574017,-0.3123077889810253,-3.836926691153363,10.352941083545074,0.2128840531044813,-45.40540695787535,6.0,6.0,-3.0786446403056567
01-06,-22.476196567769126,3.1639470570064763,1.6033696107027948,9.562113675622802,6.6666689978705325,-3.1250004359382166,-0.6711402780692498,-0.7462679264300899,-0.7841296631066164,10.54117619645802,0.2128840531044813,-45.40540695787535,6.0,6.0,-3.454831853201961
01-07,-10.095235708846511,8.007625943741358,1.6033696107027948,7.579906567260281,6.6666689978705325,-3.1914862452076567,-0.938966244284886,0.0,-3.309694594424078,10.54117619645802,0.2128840531044813,-45.17374142052113,6.0,6.0,-2.3414577370122327
01-08,-22.66667457943893,5.7617175944869325,1.2658171818523931,9.72346567822793,6.6666689978705325,-4.720743558542038,-0.8695679021571737,-0.31309002440121125,-4.246176453218065,10.54117619645802,-2.7142006209896445,-44.69230358417221,5.0,7.0,-3.855325922835288
01-09,-9.15255185373598,9.772296035954948,-1.298704601469494,9.72346567822793,7.666946814709831,-3.9867141823336483,0.531914374201274,-2.9981233226225363,-4.246176453218065,10.588232506352732,0.38314008248682346,-41.35848711121757,6.0,6.0,-2.031230169388646
01-10,-9.15255185373598,7.128901286796267,-1.298704601469494,9.901877634945274,6.833335504266933,-5.2454627180650695,-0.06689307724364595,-2.9981233226225363,-3.5305258121314664,9.669819069994832,-2.5938150749797453,-65.06437915799968,4.0,8.0,-4.701376843520358
01-11,-9.15255185373598,7.128901286796267,-3.8961047217959446,10.2222262008101,4.166671401924536,-5.958024409361813,0.3331074503910049,-2.9981233226225363,-1.4391840188761285,8.028841386796923,1.1375898964658877,-48.299854376727716,6.0,6.0,-3.3938754233279504
01-12,-9.15255185373598,6.640620994221367,-6.564363183803313,10.133332736545167,3.3585191440876057,-6.462589743026156,0.3331074503910049,-2.9981233226225363,-0.23309756547976765,4.228859356596104,-1.6456453754379945,-45.268739429538144,5.0,7.0,-3.969222565983552
01-13,-9.15255185373598,10.714284939617404,0.8438810721259876,11.1208350078655,3.3585191440876057,-6.462589743026156,2.0652913526530083,2.105261175022895,-1.176466987372302,4.477612719270593,-1.6456453754379945,-45.268739429538144,7.0,5.0,-2.4183589982056306
01-14,-9.090911951932068,10.88180194824175,-5.432931859664222,11.295966195501153,3.3585191440876057,-4.285713877923508,1.9218041905499332,-0.8124959226698654,-2.6066350946529,4.477612719270593,-1.6456453754379945,-42.694930560453685,5.0,7.0,-2.8861300370902665
01-15,3.7272768376090704,12.082958829830115,-1.2942224500727633,11.140345226767865,5.541556587744533,-5.88235462950313,0.9333324195014208,2.496882997142311,-3.0952325051065657,4.477612719270593,-1.4810776990867116,-40.51851343225547,7.0,5.0,-0.989286258179894
01-16,3.7272768376090704,12.082958829830115,-2.8922016296831186,11.140345226767865,3.199344860973543,-3.3063432767676733,1.2000058186847349,3.500003114342608,-3.0952325051065657,4.477612719270593,1.2945073711716717,-31.03448275862069,8.0,4.0,0.024482884039346214
01-17,9.00000199317934,12.082958829830115,-2.8922016296831186,11.140345226767865,1.6666650639639926,-3.4712916567779195,1.333339021470667,3.500003114342608,-3.0952325051065657,5.472636608194488,-0.3839807821280487,-35.714285714285715,7.0,5.0,-0.11342020251935675
01-18,9.00000199317934,12.082958829830115,-2.8922016296831186,11.052630610303064,3.4999966343244178,-3.2644907541750734,1.333339021470667,3.500003114342608,-2.3222801454578432,5.9701537717694615,2.2957838530968804,-29.266662597656275,8.0,4.0,0.9157693917786878
01-19,9.00000199317934,12.082958829830115,-2.5416322923915606,11.052630610303064,6.59073050007281,-3.058507651657325,1.333339021470667,3.500003114342608,-3.942309156853858,8.232452605667223,0.8042875152728515,-38.99641329579256,8.0,4.0,0.3381284827869475
01-20,9.00000199317934,14.33723753452214,-1.7391379704325465,8.384280572214246,6.59073050007281,-3.058507651657325,1.333339021470667,5.453393909451279,-2.6066350946529,4.545455508761956,0.5376364484882058,-38.99641329579256,8.0,4.0,0.3151151229687758
01-21,9.090911951932089,13.043482187339627,4.12111077025341,8.782605245117718,6.59073050007281,-3.058507651657325,0.6666660139295696,5.183307451001572,-2.3640689845910394,2.5773224864581894,0.5376364484882058,-38.99641329579256,9.0,3.0,0.5145652602126886
01-22,9.090911951932089,12.334797641598845,-4.402516078944112,8.782605245117718,6.59073050007281,0.0,0.7999992167155018,6.523077272674736,-3.2427245429539617,2.5773224864581894,0.5376364484882058,-39.78181318803264,8.0,4.0,-0.015831087239385866
01-23,10.869568489449673,13.10043109204105,-1.0434864311005487,8.782605245117718,-0.4149417329108426,2.1386921529640026,0.3997331338406624,3.047263961535137,-3.2427245429539617,2.474224395865521,0.16190332182302172,-34.71539489087901,8.0,4.0,0.12982284956603488
01-24,8.869569492880906,13.478258906330217,-1.0434864311005487,10.782607981748484,3.153524088306478,1.824102551590816,0.6688956874279397,2.866040897464698,-3.958033928720772,1.7616509678198349,1.400863342474444,-35.617413915748564,9.0,3.0,0.3488816367061614
01-25,8.869569492880906,13.478258906330217,-4.086957354626772,10.0,4.7346977783608475,2.2383125938673114,0.9339550882759062,2.866040897464698,-3.624221548007372,1.5543972733175422,0.32241467664239154,-33.8078219348212,9.0,3.0,0.2898871558070398
01-26,8.869569492880906,13.043482187339627,-1.8260898517977613,6.255588561151631,1.0726105672260329,2.2383125938673114,0.9339550882759062,0.311522916464172,-3.958033928720772,3.1762318098474487,0.323447269057087,-33.8078219348212,9.0,3.0,-0.2806021024358009
01-27,8.52174009023857,10.493825778582805,-2.9565281642635424,6.350624850748493,3.228415331452735,2.2383125938673114,0.4002664664039524,0.311522916464172,-4.096389294293679,3.0117403778670533,0.05405529125316723,-33.8078219348212,9.0,3.0,-0.5208529747083469
01-28,6.608698444330387,3.1481460309977845,-3.639520513357784,5.834828657297172,3.228415331452735,1.84331625377308,0.600396200467305,-5.351384336014771,-5.423723440702351,2.8132991229474538,0.05405529125316723,-35.231314890154685,8.0,4.0,-2.126232320642543
01-29,13.30645694134735,-0.8546980447904368,-4.26087023945977,8.782605245117718,3.9548026425691303,0.7294457386644929,2.0381274611271616,0.18691244266138335,-5.423723440702351,2.8132991229474538,-1.1891854775918305,-23.441562985545662,7.0,5.0,-0.2798658828046132
01-30,0.1666682533422841,-3.904766269346612,-6.012372570647534,8.782605245117718,5.119995273437371,-4.18049059374302,4.193547797624821,-0.6853608739583195,-5.423723440702351,0.2557622707293861,-3.6752610703124255,-18.272842052192605,5.0,7.0,-1.9696865025542736
01-31,-3.4782639234863617,1.7117072911087718,-6.012372570647534,8.695644241649937,4.319996011962783,-2.910050083416844,4.645163656943301,0.0,-5.569004287202321,4.761902758722067,-0.8147725137073394,-21.501272627393945,5.0,7.0,-1.345943503788957
02-01,-3.4782639234863617,1.7117072911087718,-3.2714426540551633,5.4905483324957824,4.777065674776515,-2.7667957421068294,4.336575494643538,0.0,-3.7231519163714912,3.500001940727252,0.8004248685288184,-18.87979220583425,6.0,6.0,-0.9585935699644512
02-02,-3.4782639234863617,5.135132269235777,-5.570290989891004,-6.210619625785784,6.2355640666932155,-2.7667957421068294,4.336575494643538,-0.3094023935159354,-3.7288073254303153,5.1622445655616005,-2.0685854295391497,-21.87096380418349,4.0,8.0,-2.0945177364837284
02-03,-3.4782639234863617,-2.7619091892892484,-5.244759605288858,4.46584987771129,1.9323653543902988,-2.7667957421068294,3.2362495584009783,-3.972690532290715,-3.9215752822719447,8.810986921216928,-2.0685854295391497,-21.87096380418349,4.0,8.0,-2.3033409830614247
02-04,-3.4782639234863617,2.6220655109470776,-13.896720311280735,2.8770724290611818,1.9323653543902988,-2.108034851129009,4.211872420994181,-5.8117508844621595,-5.037789285821869,11.899311963032249,-2.0685854295391497,-20.967741935483872,5.0,7.0,-2.485516578564848
