,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-1.3870543816703933,-12.172136340721885,25.02355141364476,-8.34415506001647,-3.621998834813621,18.559559030855546,-14.246949891983766,-5.657845929783916,0.2296263797483139,4.50288180725404,-57.28045795387632,4.0,7.0,-4.532914980113644
01-03,0.0,-2.67558914587206,-12.172136340721885,25.02355141364476,-8.045979315446656,-2.4245731459486373,21.003501331360567,-8.57511221198698,-5.657845929783916,0.1998849055089245,6.113690119599672,-82.79570264614495,4.0,7.0,-5.833859247149262
01-04,0.0,-2.67558914587206,-10.409839980482463,24.85207504795991,-9.57271032087877,-0.720001220703125,18.824945192315187,-8.57511221198698,-4.730180062094898,0.08518623780315036,2.4563920623334297,-85.5003456663746,4.0,7.0,-6.330431672331767
01-05,0.0,-4.347829969882404,-4.563490411561952,24.87499713897705,-11.689192389292414,4.789507937686287,18.824945192315187,-6.189549131566102,-7.606490891829928,-1.3667413349507214,2.9484035076737483,-91.90141102833027,4.0,7.0,-6.3522376150634585
01-06,0.0,-8.265027389147889,0.4225916536683037,25.88272150755105,-9.289260738152118,4.789507937686287,18.681057009597573,-3.729144262443188,-7.723572980830514,-1.7026062586362456,-0.4723806635327561,-91.90141102833027,4.0,7.0,-6.108960434380813
01-07,0.0,-9.284734422362954,2.8571428571428568,19.462861278457343,-9.289260738152118,4.663470026498058,17.214697356901794,-0.09822782710403533,-6.191117749323452,-1.7603603361612492,-0.4723806635327561,-93.38027784025542,4.0,7.0,-6.3565156714909925
01-08,0.0,-6.929344331426711,1.5916143003462473,19.8349784582907,-5.950410701026624,4.502249268809926,16.527945039328593,1.4464185830180387,-5.764072736458508,-1.7603603361612492,-0.5813947847045612,-106.7859795508329,5.0,6.0,-6.9890297325680875
01-09,0.0,-5.0870164004538445,2.49999853280873,19.8349784582907,-5.348133794381783,5.495052318948715,15.659737493891445,0.32970781972064,-5.764072736458508,-2.072684602314033,-3.696857775248748,-92.58741642095103,5.0,6.0,-5.8947255921789745
01-10,0.0,-6.152804934139394,2.49999853280873,17.656761085252462,-6.761680487305132,7.349721213309532,16.439345767110154,0.32970781972064,-5.730559905256432,-2.3329421950329827,-7.011493858081702,-92.51748475138143,5.0,6.0,-6.352619309416298
01-11,0.0,-6.152804934139394,0.8846136239858774,16.228961206584852,-9.197709901181543,7.8782069890819875,16.03751372726925,0.32970781972064,-6.550214395721582,-3.7812658425604133,-5.529948448850976,-67.62722898720949,5.0,6.0,-4.790014095251734
01-12,0.0,-1.893169260942393,4.727009425614804,14.751915430843875,-9.282132582570377,7.900460270558704,16.03751372726925,-2.2420056277161327,-3.5797146866919096,-1.8689037996088895,-7.298980759677132,-62.255190110584344,4.0,7.0,-3.750266497792045
01-13,0.0,-2.469965624432602,4.6962364236480685,18.768523560842066,-9.282132582570377,7.900460270558704,15.340228527790101,1.8000030517578127,-2.645506449947961,-6.8104358594515775,-7.215290271093447,-62.255190110584344,5.0,6.0,-3.514422421956961
01-14,0.0,-1.5013087499495767,1.7543904615199724,13.498350678455894,-9.282132582570377,6.789073689371749,16.769158839379234,1.4439230868406587,-1.2111320735633364,-6.8104358594515775,-7.215290271093447,-60.94955623299446,5.0,6.0,-3.892913251171272
01-15,0.0,0.26160864586542265,2.6686409398463957,11.602025559243955,-7.34557832019079,7.3807765400046375,16.77327213911707,5.767938735603088,-1.543511663640185,-6.8104358594515775,-6.435263514651457,-52.13431990047479,6.0,5.0,-2.484570558227354
01-16,0.0,-3.249335368681777,4.682392173874875,11.602025559243955,-10.020376365748152,8.175357110346987,13.304819324826687,6.8331139527374605,-1.543511663640185,-6.8104358594515775,-6.517471111755147,-57.372174753961026,5.0,6.0,-3.4096330835173263
01-17,0.0,-3.249335368681777,4.682392173874875,11.602025559243955,-14.350090961025375,7.783853305679123,11.815773768129716,8.54562914856784,-1.543511663640185,-7.512804312757416,-5.9120984515385056,-53.81454035362954,5.0,6.0,-3.496058929648108
01-18,0.0,-3.249335368681777,4.682392173874875,8.581197363698584,-13.516321714699714,8.390293065486366,11.815773768129716,8.54562914856784,-1.5430112765259856,-4.685779548343173,-7.041715314520911,-53.85964256733585,5.0,6.0,-3.4900433558625017
01-19,0.0,-3.249335368681777,7.5403962395167,8.923797023681914,-12.90877830804188,8.541178983800535,11.815773768129716,8.54562914856784,-0.8538532512933443,-7.732958888175467,-2.6976369387319883,-64.02741872959172,5.0,6.0,-3.8419338600682886
01-20,0.0,1.7566656219889378,13.876419211932511,10.439021412919207,-12.136749528412151,8.541178983800535,11.815773768129716,8.46958848610095,-2.7116392229850264,-8.489011052351268,-0.9204712864673332,-64.02741872959172,6.0,5.0,-2.7822201945779703
01-21,0.0,7.507889624083856,12.689656224744072,7.34803180927428,-12.136749528412151,8.541178983800535,11.795862825913716,3.8798908306722377,-3.649140323449794,-8.638248517620124,-0.9204712864673332,-64.02741872959172,6.0,5.0,-3.1341265072543685
01-22,0.0,10.831235860412107,13.0824960235039,7.34803180927428,-12.136749528412151,8.838744840877611,10.309276747649953,1.6057438105658002,-5.091649852734036,-8.638248517620124,-0.9204712864673332,-59.536871106701575,6.0,5.0,-2.859038433304297
01-23,0.0,9.836062419368346,12.325902133753347,7.34803180927428,-13.104636885636618,9.0245008018145,9.379447618841112,0.14163954852302302,-5.091649852734036,-7.64787540767937,-0.03649718620825421,-59.6643896235493,6.0,5.0,-3.1241220520194135
01-24,0.0,7.142853604176834,12.325902133753347,7.88243342770481,-15.293700525452303,11.645637077584071,3.9419523907312737,1.4675054646336578,-6.58520228902561,-8.162702857666401,-2.8731361182237207,-42.736486794886474,6.0,5.0,-2.6037453738892102
01-25,0.0,7.142853604176834,10.689414234758349,4.172364305418181,-17.62665470106512,13.047617957705542,2.647054011158908,1.4675054646336578,-8.594817476101548,-6.4959996606357935,-2.466450173024265,-38.92618187082108,6.0,5.0,-2.911941191983028
01-26,0.0,7.987010212365936,7.670454045157293,1.5565574725512672,-17.567566138601208,13.847603247001247,2.647054011158908,-0.4192834673864386,-7.54458427452528,-7.8539827560069595,-3.063457878375861,-38.92618187082108,5.0,6.0,-3.4721981164568483
01-27,0.0,10.123293195258286,6.405697935848331,1.6279917112590052,-14.861202618788301,13.847603247001247,5.147055179877472,-2.5502840538119083,-6.9320538780836225,-4.290340241956377,-2.6889526119517417,-38.92618187082108,5.0,6.0,-2.7581145005140564
01-28,0.0,11.068461185181036,5.792350121660353,-0.2482258614553521,-14.861202618788301,12.14908654242458,7.303498801714519,-0.9236242714216091,-4.872232662997235,-4.37483877932978,-2.6889526119517417,-37.304252736933435,4.0,7.0,-2.4133277409914133
01-29,0.0,9.406564120990444,5.8715610329164285,2.9189572698243897,-14.759649543747239,11.724806917909369,5.634481631033465,2.080395415691682,-4.872232662997235,-4.37483877932978,-2.2892410984276435,-36.06924090931648,6.0,5.0,-2.0607030504543835
01-30,0.0,10.118674968140358,7.132516874890156,2.9189572698243897,-12.366663614908855,11.868079433125349,5.076017059311732,4.285719222604594,-4.872232662997235,-3.5916874828477487,-2.4319422680514893,-29.69501914645286,6.0,5.0,-0.963131695613468
01-31,0.0,10.897828586869563,7.132516874890156,2.0260993667039298,-13.342365196216937,12.36091096151502,3.5618512793008628,6.1496450845860675,-3.6115824605290814,-3.328821425817148,0.6007069995652987,-29.534243230950366,7.0,4.0,-0.5906210966735523
02-01,0.0,10.897828586869563,5.648085901123783,1.4172719281911532,-18.846158129736658,12.493863384591416,3.7731328692056456,6.1496450845860675,-2.8068986549612087,-1.3800436665395777,0.5627852469033595,-25.58386229185957,7.0,4.0,-0.6395291451355029
02-02,0.0,9.721360569091432,7.313596483020698,-1.3251763017476057,-9.925221171725363,12.493863384591416,3.7731328692056456,8.711995574065023,-3.6998968960139926,1.03834715145414,2.3336753406852955,-33.52144900807642,7.0,4.0,-0.2571476671208111
02-03,0.0,9.278994106173071,6.5069708241116855,-2.093020441137404,-14.518415066217216,12.493863384591416,0.4381701488623325,8.006759488817696,-2.6137151449183595,5.866735311642655,2.3336753406852955,-33.52144900807642,7.0,4.0,-0.6517859212887706
02-04,0.0,14.0186863132696,5.160337861546451,-0.6531641087826551,-14.518415066217216,11.045654920477052,0.619425164071677,9.591835821136641,-0.4408310244971737,5.591060202440981,2.3336753406852955,-35.21444702548862,7.0,4.0,-0.2055151334464972
02-05,0.0,14.740790609697507,5.6303122006892785,-1.649076533748622,-14.90793564427351,13.649418528120556,-3.1541760441831075,12.092257101040024,0.6040214846827858,5.591060202440981,2.3336753406852955,-36.31784816075349,7.0,4.0,-0.11562507630019188
02-06,0.0,18.639950351029754,5.6303122006892785,-1.649076533748622,-16.162705760034793,13.145536795084665,0.1252799730686769,17.959312723943697,0.6040214846827858,0.958468043634204,4.123713907933802,-27.24409838274852,8.0,3.0,1.3442262336279116
02-07,0.0,17.942439184719998,5.6303122006892785,-0.824538266874311,-13.380526652378318,12.344524902336232,4.234123781648447,18.5547521900352,1.2080493698645274,3.0732169092835986,7.597533762911066,-28.524598023653212,8.0,3.0,2.321274113215209
02-08,0.0,17.942439184719998,0.8144459776927885,-2.384147307259947,-14.65123833587478,13.650064880793146,2.559549784507302,18.5547521900352,0.7999992370605351,5.072462358529326,9.582475369124504,-31.743327421022094,8.0,3.0,1.6831229931921643
02-09,0.0,16.227799331972466,4.226311399690938,-3.8285343479729086,-11.345551008678006,12.719607589255107,2.559549784507302,19.24897531924613,0.6266508442282447,3.4733466255438055,9.879103747771948,-30.777909031940972,8.0,3.0,1.9174458544686703
02-10,0.0,15.789469333081064,5.236490285248494,-4.384768881146831,-9.489792667957133,12.719607589255107,-0.4054735203353711,18.352418447045718,5.042547760960222,2.278275500196632,7.971782005191902,-30.777909031940972,7.0,4.0,1.8610539016332368
02-11,0.0,18.667465097008016,3.2836871721058603,-4.930763439303169,-9.489792667957133,9.932063715543837,1.4507204177045847,17.16128933814264,4.43750023841859,0.7984606772137809,7.971782005191902,-31.848927234648734,8.0,3.0,1.452790443285014
02-12,0.0,21.62485026914239,4.825287495523602,-1.2052082172304892,-9.183669695999091,8.507608543906185,-1.9274103706100243,14.670557055385489,4.5568069603697845,0.7984606772137809,6.807761125947925,-36.859870952895044,7.0,4.0,1.0512644075628768
02-13,0.0,16.047083623650547,6.991868678147219,-1.2052082172304892,-9.029870909828961,5.406059496330492,-0.12251711682928282,12.736603476539106,4.5568069603697845,1.1013257963653245,5.6583634555265006,-35.573130830552934,7.0,4.0,0.5472820343739423
