,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,4.059627532958982,0.33747100830078125,0.7957210540771484,5.006595611572268,2.7240371704101527,-0.15143203735351562,4.000841140747069,-1.4530448913574148,0.9394874572753942,-13.170036315917981,7.0,3.0,03-17,0.28084252097389883
01-03,0.0,4.059627532958982,0.33747100830078125,0.7957210540771484,5.006595611572268,2.7240371704101527,-0.15143203735351562,4.000841140747069,-1.4530448913574148,1.1134662628173864,-13.466747283935547,7.0,3.0,03-18,0.26968505165793744
01-04,0.0,3.3188247680664102,0.33747100830078125,0.7957210540771484,4.8958034515380895,2.7240371704101527,-0.15143203735351562,4.000841140747069,-1.3194313049316264,0.4262466430664098,-13.79216766357422,7.0,3.0,03-19,0.11235583912242736
01-05,0.0,3.3188247680664102,0.33747100830078125,0.7957210540771484,4.8958034515380895,2.7240371704101527,-0.15143203735351562,3.9129981994628937,-1.3194313049316264,0.2522716522216797,-14.404726028442385,7.0,3.0,03-20,0.03286708484996643
01-06,0.0,3.3188247680664102,0.33747100830078125,0.7957210540771484,4.8958034515380895,2.7240371704101527,-0.15143203735351562,3.9129981994628937,-2.154518127441399,0.8698959350585902,-14.404726028442385,7.0,3.0,03-21,0.013097763061524407
01-07,0.0,3.3188247680664102,0.33747100830078125,0.7957210540771484,4.8958034515380895,2.7240371704101527,0.8707103729248011,3.6814098358154297,-3.473949432373047,0.8698959350585902,-14.404726028442385,8.0,2.0,03-22,-0.03498198769309336
01-08,0.0,1.9261074066162145,0.33747100830078125,0.7957210540771484,2.728353500366211,2.7240371704101527,0.8707103729248011,3.6814098358154297,-3.473949432373047,1.5136165618896518,-16.376401901245114,8.0,2.0,03-23,-0.4793567657470703
01-09,0.0,1.9261074066162145,0.33747100830078125,0.9326858520507812,3.2823352813720703,3.014598846435544,0.8707103729248011,3.6814098358154297,-3.6409683227539062,1.60061073303223,-10.767654418945312,8.0,2.0,03-24,0.11248241771351207
01-10,0.0,1.9261074066162145,0.33747100830078125,0.9326858520507812,1.7935104370117188,3.1598834991455083,0.8707103729248011,3.713354110717773,-3.6409683227539062,1.0438766479492223,-9.619106292724606,8.0,2.0,03-25,0.047047701748935314
01-11,0.0,1.9261074066162145,0.33747100830078125,0.9326858520507812,1.7935104370117188,3.1598834991455083,0.8707103729248011,4.320264816284183,-3.3152847290039062,1.1830615997314418,-12.040630340576172,8.0,2.0,03-26,-0.07565637068314986
01-12,0.0,1.9261074066162145,0.33747100830078125,0.9326858520507812,2.0705013275146484,3.1598834991455083,0.8707103729248011,4.248392105102546,-3.2985877990722585,1.4962234497070312,-12.040630340576172,8.0,2.0,03-27,-0.02702210166237442
01-13,0.0,1.9261074066162145,0.061359405517578125,0.9326858520507812,2.0705013275146484,3.1598834991455083,1.249275207519517,3.234209060668938,-3.2985877990722585,1.4962234497070312,-12.040630340576172,8.0,2.0,03-28,-0.10990663008256488
01-14,0.0,1.9261074066162145,0.061359405517578125,0.9326858520507812,-0.06924819946289062,3.014598846435544,1.817125320434556,3.234209060668938,-3.2985877990722585,1.4962234497070312,-12.040630340576172,7.0,3.0,03-29,-0.2660142725164253
01-15,0.0,1.9261074066162145,0.061359405517578125,0.9326858520507812,-0.997161865234375,3.014598846435544,2.7256908416747976,3.234209060668938,-3.2985877990722585,1.4962234497070312,-12.040630340576172,7.0,3.0,03-30,-0.2677731947465383
01-16,0.0,1.9261074066162145,0.061359405517578125,0.9326858520507812,-0.997161865234375,2.1792297363281183,2.7256908416747976,3.234209060668938,-3.2985877990722585,1.7049999237060511,-8.470554351806634,7.0,3.0,03-31,-0.0001837990500716687
01-17,0.0,1.9261074066162145,0.061359405517578125,0.9326858520507812,-0.997161865234375,1.852350234985348,2.7256908416747976,3.234209060668938,-4.726573944091791,1.5310211181640592,-11.303644180297846,7.0,3.0,04-01,-0.4330869154496633
01-18,0.0,1.9261074066162145,-1.0124053955078125,0.9326858520507812,0.5470581054687607,1.852350234985348,2.7256908416747976,2.611318588256836,-4.759979248046869,2.4444122314453094,-11.868349075317385,7.0,3.0,04-02,-0.4182827689430924
