,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.3899998664855957,1.1999998092651352,-2.760000228881836,-1.3000001907348648,0.6399998664855948,0.5200004577636701,0.050000190734862386,1.9899997711181656,0.11999988555908205,5.320000648498533,3.8899993896484415,-9.770000457763672,9.0,3.0,03-17,0.024166584014892283
01-03,0.3899998664855957,1.380000114440918,-2.760000228881836,-1.3000001907348648,0.7399997711181651,-0.05000019073486328,-0.20000028610229487,1.9899997711181656,0.11999988555908205,4.86999988555908,3.899999618530281,-10.370000839233402,7.0,5.0,03-18,-0.1075002352396644
01-04,0.2200002670288104,1.380000114440918,-3.1899995803833026,-1.3899993896484355,0.7300000190734863,0.3900003433227539,-0.2200002670288068,1.9899997711181656,0.5599994659423828,5.269999504089354,4.079999923706056,-6.380001068115232,8.0,4.0,03-19,0.28666659196217914
01-05,0.2200002670288104,1.4800004959106443,-3.3100004196166988,-1.5599994659423846,1.2899999618530271,0.3900003433227539,-0.2200002670288068,1.9899997711181656,1.0699996948242203,4.679999351501463,1.0599994659423864,-8.249999999999996,8.0,4.0,03-20,-0.09666673342386793
01-06,0.32000017166137873,1.0399999618530271,-2.5699996948242188,-1.6999998092651385,1.2899999618530271,0.3900003433227539,0.11999988555908205,1.9099998474121112,0.5799999237060547,4.4099998474121085,2.2199993133544917,-8.249999999999996,9.0,3.0,03-21,-0.020000020662943083
01-07,0.32000017166137873,1.1999998092651385,-2.0500001907348637,-1.6999998092651385,1.2899999618530271,0.3900003433227539,0.11999988555908205,0.9399995803833008,0.3600006103515643,3.75,2.2199993133544917,-7.9099998474121085,9.0,3.0,03-22,-0.08916668097178111
01-08,0.3699998855590829,0.4600000381469709,-1.6199998855590856,-1.6000003814697283,1.2899999618530271,0.0,0.1599998474121085,1.3899993896484375,-0.2899999618530273,3.75,2.25,-6.2299995422363255,7.0,5.0,03-23,-0.0058333873748782255
01-09,0.3699998855590829,0.6000003814697266,-1.6900005340576192,-1.6000003814697283,0.989999771118164,-0.09999942779541016,-0.4499998092651376,2.8299999237060534,-0.2899999618530273,3.5,2.6700000762939453,-10.100000381469727,6.0,6.0,03-24,-0.2725000381469731
01-10,0.3699998855590829,0.9300003051757812,-1.6900005340576192,-1.6000003814697283,1.0,-0.01999950408935547,0.6399998664855939,2.8299999237060534,-0.3000001907348633,3.6900005340576167,4.0,-12.289999008178716,7.0,5.0,03-25,-0.2033332586288461
01-11,0.1399998664855957,0.9300003051757812,-1.4400005340576192,-1.5399999618530271,1.0,0.020000457763671875,0.6799998283386257,2.8299999237060534,0.42000007629394176,3.0799999237060565,1.6599998474121094,-11.340000152587896,9.0,3.0,03-26,-0.2966667016347255
01-12,0.1399998664855957,0.6400003433227539,-0.7200002670288068,-1.6099996566772459,1.0,0.05000019073486151,0.6799998283386257,2.8299999237060534,0.3600006103515625,1.2899999618530291,2.239999771118164,-11.039999008178713,9.0,3.0,03-27,-0.3449998696645102
01-13,0.11999988555908205,1.5599994659423828,-0.8299999237060565,-1.6099996566772459,1.0,0.05000019073486151,0.6799998283386257,4.0,-0.4600000381469727,0.8400001525878906,2.270000457763672,-11.039999008178713,8.0,4.0,03-28,-0.2849998871485396
01-14,0.07999992370605469,1.0699996948242188,-1.4099998474121094,-1.6099996566772459,1.0,0.05000019073486151,0.2899999618530318,4.560000419616699,-0.05000019073486328,0.8400001525878906,2.270000457763672,-9.909999847412113,8.0,4.0,03-29,-0.2349998950958253
01-15,0.4600000381469727,0.4899997711181641,-1.35000038146973,-1.920000076293945,1.3100004196166983,0.0,-0.05999994277953924,3.38000011444092,0.14999961853027344,0.8400001525878906,2.220001220703125,-4.449998855590825,7.0,5.0,03-30,0.08916683991750045
01-16,0.14000010490417436,2.4600000381469704,-1.3299999237060582,-1.920000076293945,1.3000001907348624,0.0,-0.05999994277953924,2.810000419616699,0.14999961853027344,0.8400001525878906,0.020000457763671875,-6.170000076293949,7.0,5.0,03-31,-0.14666658639907912
01-17,-0.2999999523162846,2.4600000381469704,-1.3299999237060582,-1.920000076293945,1.3299999237060538,0.35000038146972656,0.060000419616698324,2.9999999999999982,0.14999961853027344,-1.0299997329711932,1.3099994659423864,-2.1900005340576136,7.0,5.0,04-01,0.1574999690055844
01-18,-0.2999999523162846,2.4600000381469704,-1.3299999237060582,-2.0,1.3699998855590811,0.3400001525878906,0.060000419616698324,2.9999999999999982,-0.8999996185302734,-1.0199995040893557,1.4500007629394496,-4.270000457763672,6.0,6.0,04-02,-0.09499984979629623
01-19,-0.2999999523162846,2.4600000381469704,-1.3100004196166992,-1.25,1.670000076293945,0.1700000762939471,0.060000419616698324,2.9999999999999982,-0.469999313354494,-0.6999998092651385,-9.309997558593746,-6.1399993896484375,5.0,7.0,04-03,-1.0099996527036037
01-20,-0.2999999523162846,2.1300001144409184,-1.2899999618530291,-0.8999996185302734,1.8699998855590818,0.1700000762939471,0.060000419616698324,3.3299999237060547,-0.0900001525878924,-0.7399997711181641,-9.039999008178707,-6.1399993896484375,5.0,7.0,04-04,-0.911666452884674
01-21,0.3799998760223389,2.2200002670288086,-0.8800001144409197,-0.9099998474121094,1.8699998855590818,0.1700000762939471,-0.4999999999999991,3.4899997711181636,-0.0900001525878924,-1.0500001907348633,-9.039999008178707,-6.1399993896484375,5.0,7.0,04-05,-0.8733332355817156
01-22,0.4799997806549072,2.0500001907348637,-0.3099994659423828,-0.9099998474121094,1.8699998855590818,-0.1000003814697248,-0.2899999618530273,3.9699993133544917,-0.0900001525878924,-1.0500001907348633,-9.039999008178707,-9.520000457763672,4.0,8.0,04-06,-1.0783333579699197
01-23,0.4799997806549072,2.9300003051757795,-0.3099994659423828,-0.9099998474121094,1.0500006675720233,0.029999732971191406,0.16000032424926935,4.429999351501465,-0.0900001525878924,-1.8599996566772496,-4.0900001525878915,-9.040000915527344,6.0,6.0,04-07,-0.6016666690508528
01-24,0.19000005722045946,2.5500001907348655,-0.3099994659423828,-0.8900003433227539,1.0500006675720233,0.3799991607666016,-0.5899991989135707,4.309999465942385,-0.0900001525878924,-2.2500009536743186,-4.2999992370605495,-1.3400001525878869,5.0,7.0,04-08,-0.10749999682108516
01-25,0.19000005722045946,2.5500001907348655,-0.3599996566772443,-2.010000228881836,1.540000438690187,0.2799997329711914,-0.5899991989135707,4.309999465942385,-0.10999965667724787,-2.090000152587887,-3.8999996185302734,-2.3299999237060547,5.0,7.0,04-09,-0.2099998792012522
01-26,0.19000005722045946,1.8500003814697283,-0.8199996948242171,-0.6000003814697283,1.489999771118164,0.31000041961669744,-0.5899991989135707,4.149999618530274,-0.39999961853027344,-2.150000572204592,-4.850000381469722,-2.3299999237060547,5.0,7.0,04-10,-0.3124999602635696
01-27,0.19000005722045946,2.75,-1.1599998474121112,-1.3000001907348633,1.489999771118164,0.31000041961669744,0.14000034332275568,4.659999847412111,-0.3200006484985334,-2.7799997329711896,-4.379999160766605,-2.3299999237060547,6.0,6.0,04-11,-0.2274999221165975
