,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,3.235293430165561,-3.970354813303984,-0.7504719167064909,20.03237166731144,-44.972971323374146,3.0,7.0,-3.0766575941335152
01-03,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,3.235293430165561,-3.970354813303984,-4.240154162439558,20.03237166731144,-36.76694982185114,3.0,7.0,-2.6478994799707927
01-04,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,3.235293430165561,3.3770164876059834,-0.7982627901535131,20.03237166731144,-31.055583697295518,4.0,6.0,-1.1478423165388263
01-05,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,4.166668614530911,-0.505052451126116,-3.846158903598391,15.014161157148552,-31.055583697295518,3.0,7.0,-2.1493696236274187
01-06,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,6.1274510949724075,1.4141353034639956,-3.846158903598391,15.014161157148552,-31.055583697295518,4.0,6.0,-1.7966450568063637
01-07,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,6.1274510949724075,-0.2952729667494311,-3.846158903598391,15.014161157148552,-31.055583697295518,3.0,7.0,-1.952045808643948
01-08,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,6.1274510949724075,-0.19665195613885875,-3.846158903598391,15.014161157148552,-31.055583697295518,3.0,7.0,-1.943080262224805
01-09,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,6.1274510949724075,-0.19665195613885875,-3.846158903598391,12.747874282640812,-28.50000381469725,3.0,7.0,-1.9167808978529388
01-10,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,6.1274510949724075,3.6873156065565533,-3.846158903598391,12.747874282640812,-51.981082169391925,4.0,6.0,-3.698336424398327
01-11,0.0,0.0,-10.68752205479775,14.754098360655734,-10.562863030620766,-0.9208138547982674,6.1274510949724075,4.8888877586082,-3.846158903598391,7.327589254458536,-51.981082169391925,4.0,6.0,-4.081855776773839
01-12,0.0,0.0,-10.68752205479775,14.754098360655734,1.2406110714274372,-0.9208138547982674,6.1274510949724075,3.3053777067741827,-3.846158903598391,7.327589254458536,-44.13909631468791,5.0,5.0,-2.4398603308721833
01-13,0.0,0.0,-10.68752205479775,14.754098360655734,1.2406110714274372,-0.9208138547982674,6.1274510949724075,4.785403052773993,-3.846158903598391,7.327589254458536,-44.13909631468791,5.0,5.0,-2.305312572144928
01-14,0.0,0.0,-10.68752205479775,14.754098360655734,1.2406110714274372,-0.9208138547982674,6.1274510949724075,3.1080466398012945,-3.846158903598391,7.327589254458536,-44.13909631468791,5.0,5.0,-2.4577995187788093
01-15,0.0,0.0,-10.68752205479775,14.754098360655734,7.60692127830844,-0.9208138547982674,6.1274510949724075,3.536351665613656,-3.846158903598391,7.327589254458536,-57.879976101980574,5.0,5.0,-3.0892781146514725
01-16,0.0,0.0,-10.68752205479775,14.754098360655734,11.034930634591658,-0.9208138547982674,6.1274510949724075,3.536351665613656,-3.846158903598391,7.456902554712541,-52.06840028148386,5.0,5.0,-2.2375600712847508
01-17,0.0,0.0,-10.68752205479775,14.754098360655734,11.034930634591658,-0.9208138547982674,6.1274510949724075,3.536351665613656,-3.846158903598391,8.845831515232623,-52.01324181846818,5.0,5.0,-2.106279396417864
01-18,0.0,0.0,-10.68752205479775,14.754098360655734,11.034930634591658,-0.9208138547982674,6.1274510949724075,4.813366503961198,-3.846158903598391,8.845831515232623,-52.01324181846818,5.0,5.0,-1.9901871383862697
