,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.3699999749660492,0.10000002384185792,0.04999999701976776,-0.014999993145465863,0.01999999582767489,-0.056099995970725965,0.011000007390975952,-0.0149999987334013,5.0,6.0,03-17,0.03874166759972771
01-03,0.0,0.0,0.0,0.0,0.29999998211860657,-0.09999996423721312,0.10000000894069673,0.049900010228157037,0.01999999582767489,-0.09610000252723687,0.041999995708465576,-0.007450001314282417,5.0,6.0,03-18,0.025695835395405698
01-04,0.0,0.0,0.0,-0.5,0.29999998211860657,-0.09999996423721312,0.10000000894069673,0.049900010228157037,0.01999999582767489,-0.11610001325607293,-0.015000000596046446,-0.015000000596046446,4.0,7.0,03-19,-0.023016665130853643
01-05,0.0,0.0,0.0,-0.5,0.3689999878406525,-0.09999996423721312,0.10000000894069673,0.049900010228157037,0.038099989295005854,-0.10409998893737783,0.01034998893737793,-0.018799999728798863,5.0,6.0,03-20,-0.012962497305124986
01-06,0.0,0.0,0.0,0.0,0.3689999878406525,-0.09999996423721312,0.10000000894069673,0.03990000486373901,0.019189998507499726,-0.11910000443458554,0.010639995336532593,-0.018799999728798863,5.0,6.0,03-21,0.025069168924043574
01-07,0.0,0.0,0.0,0.0,0.3689999878406525,-0.09999996423721312,0.14000001549720764,0.013900011777877808,-0.019319996237754825,-0.11910000443458554,0.010639995336532593,-0.023799998685717583,4.0,7.0,03-22,0.02261000390474995
01-08,0.0,0.0,0.0,0.0,0.3689999878406525,-0.09999996423721312,0.14000001549720764,-0.07599999010562898,-0.019319996237754825,-0.11910000443458554,0.010639995336532593,-0.01610000059008598,3.0,8.0,03-23,0.015760003589093685
01-09,0.0,0.0,0.0,0.0,0.3799999952316284,-0.09999996423721312,0.14000001549720764,-0.02599999308586121,-0.019319996237754825,-0.1200999915599823,-0.01799999177455905,-0.017500000074505806,2.0,9.0,03-24,0.018256672813246645
01-10,0.0,0.0,0.0,0.0,0.32999998331069946,-0.09999996423721312,0.06000000983476635,-0.02599999308586121,-0.037000000476837165,-0.08900000154972076,0.011899992823600741,-0.017399998381733894,3.0,8.0,03-25,0.011041669019808366
01-11,0.0,0.0,0.0,0.0,0.32999998331069946,-0.09999996423721312,0.1599000170826912,-0.02599999308586121,-0.0037000030279159546,-0.0623999983072282,0.007100000977516146,-0.017499998211860657,3.0,8.0,03-26,0.02395000370840231
01-12,0.0,0.0,0.0,0.0,0.32999998331069946,-0.09999996423721312,0.1599000170826912,-0.02599999308586121,0.03630000352859497,-0.0910000056028366,-0.014499992132186891,-0.018639998510479927,3.0,8.0,03-27,0.023005004196117326
01-13,0.0,0.0,0.0,0.0,0.32999998331069946,-0.09999996423721312,0.17990001291036606,-0.06999999284744263,0.009599998593330385,-0.06120000779628754,-0.03859999775886536,-0.018639998510479927,3.0,8.0,03-28,0.019255002805342283
01-14,0.0,0.0,0.0,0.0,0.32999998331069946,-0.09999996423721312,0.1649000123143196,-0.06999999284744263,0.08380001783370969,-0.06120000779628754,-0.03859999775886536,-0.018740000203251842,3.0,8.0,03-29,0.02418000421797236
