,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.19999998807907104,0.08000000193715096,-0.0010000001639127731,0.0018000002019107342,0.006399999838322401,-0.01950000133365392,-0.0004000000189989801,9.999983012676239e-05,-0.006599999964237211,0.0028300001285970194,9.999983012676326e-05,6.0,5.0,03-17,-0.012388180708512664
01-03,-0.19999998807907104,0.08000000193715096,-0.0010000001639127731,0.002199999988079072,0.006399999838322401,-0.01909999828785658,-0.0004000000189989801,9.999983012676239e-05,-0.0033499998971819878,0.002700000535696743,-0.0006000001449137926,5.0,6.0,03-18,-0.012095453132959929
01-04,-0.19999998807907104,0.08999999985098839,-0.0010000001639127731,0.002199999988079072,0.006399999838322401,-0.015699997544288635,-0.0004000000189989801,-0.00026999972760677424,-0.0010000001639127731,0.0035799997858703136,-0.000999999931082129,4.0,7.0,03-19,-0.010653635105964813
01-05,-0.19999998807907104,0.0949999988079071,-0.0010000001639127731,0.002199999988079072,0.006399999838322401,-0.015699997544288635,-0.0004000000189989801,0.0014100000262260437,0.0004000002518296242,0.0035000005736947042,-0.000999999931082129,6.0,5.0,03-20,-0.009926362386481329
01-06,-0.09999999403953552,0.0949999988079071,-0.0010000001639127731,0.002199999988079072,0.006399999838322401,-0.015699997544288635,-0.0004000000189989801,0.0004000002518296242,-0.001589999534189701,0.0028500002808868894,-0.000999999931082129,5.0,6.0,03-21,-0.0011672720059075139
01-07,-0.030000001192092896,0.08499999344348907,-0.0010000001639127731,0.002199999988079072,0.006399999838322401,-0.019599998369812965,-0.0004000000189989801,0.0001799999736249447,-0.0017600003629922867,0.0028500002808868894,-0.001299999887123704,5.0,6.0,03-22,0.0038699994117698884
01-08,-0.050000011920928955,0.09000000357627871,-0.0010000001639127731,0.002199999988079072,0.006399999838322401,-0.02059999853372574,-0.0004000000189989801,0.0005899998359382153,-0.0017600003629922867,0.0028500002808868894,0.0,5.0,6.0,03-23,0.0025709084108133233
01-09,-0.13999998569488525,0.0949999988079071,-0.0010000001639127731,0.002199999988079072,0.006399999838322401,-0.02129999827593565,-0.0004000000189989801,0.0005899998359382153,-0.003500000573694706,0.0045000002719461935,-0.0006000000284984706,5.0,6.0,03-24,-0.005282726001248441
01-10,-0.15000000596046448,0.0949999988079071,-0.0010000001639127731,0.002199999988079072,0.006399999838322401,-0.020899998955428597,-0.0004000000189989801,0.000690000131726265,-0.0017100004479289055,0.003479999955743553,-0.0004999999655410645,5.0,6.0,03-25,-0.006067273344590582
01-11,-0.15000000596046448,0.0949999988079071,-0.0015000011771917343,0.002199999988079072,0.006399999838322401,-0.02074999921023845,-0.0004000000189989801,0.0016999999061226845,-0.0025999997742474088,0.003399999812245369,-0.000800000037997961,5.0,6.0,03-26,-0.006122727984223853
01-12,-0.1599999964237213,0.12900000624358654,-0.0015000011771917343,0.002199999988079072,0.006399999838322401,-0.02074999921023845,-0.000500000081956387,0.002599999774247408,-0.0020099999383091927,0.003109999466687441,-0.000800000037997961,5.0,6.0,03-27,-0.0038409083234992886
01-13,-0.050000011920928955,0.10899999551475048,-0.0015000011771917343,0.002199999988079072,0.006399999838322401,-0.021749999374151226,-0.000500000081956387,-0.004079999402165414,-0.0026000002399086952,0.0034099998883903027,-0.000800000037997961,4.0,7.0,03-28,0.0036163620904765344
01-14,-0.1599999964237213,0.12299999594688416,-0.0015000011771917343,0.002199999988079072,0.006399999838322401,-0.02169999945908785,-0.000500000081956387,-0.00578000023961067,-0.0026000002399086952,0.0034099998883903027,-0.0009000001009553671,4.0,7.0,03-29,-0.005270000187341462
01-15,-0.13999998569488525,0.11300000548362735,-0.0015000011771917343,0.002199999988079072,0.006399999838322401,-0.0210999995470047,-0.000500000081956387,-0.004900000058114526,-0.0026000002399086952,0.0035100001841783524,-0.0009499998996034262,4.0,7.0,03-30,-0.004221816473132505
01-16,-0.20999997854232788,0.10799999535083771,-0.0015000011771917343,0.002199999988079072,0.006399999838322401,-0.02199999988079071,-0.0010000000474974515,-0.004900000058114526,-0.0026000002399086952,0.004199999617412686,-0.0007999998051673183,4.0,7.0,03-31,-0.011090907723304223
01-17,-0.20999997854232788,0.10799999535083771,-0.0015000011771917343,0.002199999988079072,0.006399999838322401,-0.023499999660998583,-0.0010000000474974515,-0.004900000058114526,-0.0025999997742474088,0.003810000605881214,-0.001099999994039536,4.0,7.0,04-01,-0.011289998497390612
01-18,-0.20999997854232788,0.10799999535083771,-0.0015000011771917343,-0.0024999999441206447,0.006399999838322401,-0.023499999660998583,-0.0010000000474974515,-0.005200000014156102,-0.0009999992325902003,0.003459999803453684,-0.0012000000569969416,3.0,8.0,04-02,-0.011639998516660522
01-19,-0.20999997854232788,0.10799999535083771,-0.0015000011771917343,-0.0035000001080334195,0.006399999838322401,-0.023499999660998583,-0.0010000000474974515,-0.0043000001460313814,-0.0022999998182058334,0.0016100001521408558,-0.0012000000569969416,3.0,8.0,04-03,-0.011935453110543842
01-20,-0.19999998807907104,0.10799999535083771,-0.0015000011771917343,-0.0035000001080334195,0.006399999838322401,-0.023499999660998583,-0.0010000000474974515,-0.0027499995194375506,-9.999983012676412e-05,0.0012900000438094148,-0.0012000000569969416,3.0,8.0,04-04,-0.01071454484058036
01-21,-0.19999998807907104,0.09999999590218067,-0.006000000983476639,-0.0035000001080334195,0.006399999838322401,-0.023999999277293682,-0.0008999999845400446,-0.0021000001579523087,-9.999983012676412e-05,0.0012900000438094148,-0.0012000000569969416,3.0,8.0,04-05,-0.011828181153925305
01-22,-0.21999999880790716,0.07000000216066837,-0.006000000983476639,-0.0035000001080334195,0.006399999838322401,-0.021800002083182335,-0.0008999999845400446,-0.0022999998182058334,-9.999983012676412e-05,0.0012900000438094148,-0.0012000000569969416,3.0,8.0,04-06,-0.016191818148151724
01-23,-0.21999999880790716,0.07000000216066837,-0.006000000983476639,-0.0035000001080334195,0.006399999838322401,-0.02019999921321869,-0.0008999999845400446,-0.0022999998182058334,-0.0009899996221065539,-0.00030999956652522,-0.00010000006295740604,2.0,9.0,04-07,-0.016172726924361835
01-24,-0.20999997854232788,0.07000000216066837,-0.006000000983476639,-0.0035000001080334195,0.006399999838322401,-0.020599999465048313,-0.001299999887123704,-0.005199999548494816,-0.0005999999120831507,-0.0007000002078711969,0.0,2.0,9.0,04-08,-0.01559090696867894
01-25,-0.20999997854232788,0.07000000216066837,-0.006000000983476639,-0.0035000001080334195,0.006399999838322401,-0.020599999465048313,-0.001299999887123704,-0.006199999712407591,-0.001999999862164258,-0.0003600004129111758,-0.0005900000687688589,2.0,9.0,04-09,-0.015831816094842823
01-26,-0.20999997854232788,0.09999999590218067,-0.005500000901520254,-0.0035000001080334195,0.007400000002235176,-0.020599999465048313,-0.001299999887123704,-0.003499999642372132,-0.007629998959600927,0.0006500002928078175,-0.0005900000687688589,3.0,8.0,04-10,-0.013142725579779257
01-27,-0.16999998688697815,0.07999999448657036,-0.005500000901520254,-0.0035000001080334195,0.007400000002235176,-0.02039999980479479,-0.0013999999500811096,-0.0036999997682869434,-0.010400000959634781,0.0009000003337860107,-0.0005900000687688589,3.0,8.0,04-11,-0.011562726693227887
01-28,-0.25,0.07499999552965164,-0.005500000901520254,-0.0035000001080334195,0.007899999851360919,-0.019499999471008774,-0.0013999999500811096,-0.0016000005416572077,-0.00820000097155571,0.0009000003337860107,-0.0005900000687688589,3.0,8.0,04-12,-0.01877181875434789
01-29,-1.6499999761581416,0.07499999552965164,-0.005500000901520254,-0.0035000001080334195,0.007899999851360919,-0.017799999564886093,-0.0013999999500811096,-0.0016000005416572077,-0.00820000097155571,-0.0003999997861683386,-0.0003400000277906656,2.0,9.0,04-13,-0.14598545296625653
01-30,-0.2800000309944153,0.07499999552965164,-0.005500000901520254,-0.0035000001080334195,0.007899999851360919,-0.0279999990016222,-0.0013999999500811096,-0.0016000005416572077,-0.005699999630451204,0.000599999912083149,-0.00040000001899898096,3.0,8.0,04-14,-0.022054548713971268
01-31,-0.31000003218650823,0.07499999552965164,-0.005500000901520254,-0.0035000001080334195,0.007899999851360919,-0.0368000017479062,-0.0013999999500811096,-0.0016000005416572077,-0.005100000649690626,-0.0015300000086426726,-0.00029999995604157535,2.0,9.0,04-15,-0.02571182187900625
02-01,-0.31000003218650823,0.07499999552965164,-0.005500000901520254,-0.0035000001080334195,0.007899999851360919,-0.0380000015720725,-0.0013999999500811096,-0.0040399995632469645,-0.006219999864697456,-0.0017200000584125527,-0.000749999890103936,2.0,9.0,04-16,-0.02620273079215126
